id,lv,profession_id,name,hp_basic,atk_basic,def_basic,spd_basic,acc_basic,dodge_basic,cri_basic,tough_basic,piercing_dmg,burn_dmg,ment_dmg,electricity_dmg,radiation_dmg,piercing_res,burn_res,ment_res,electricity_res,radiation_res
82,32,10011,护卫,3303,355,165,5,66,37,66,37,0,0,0,0,0,0,0,0,0,0
83,33,10011,护卫,3395,366,170,5,68,38,68,38,0,0,0,0,0,0,0,0,0,0
84,34,10011,护卫,3487,377,175,5,70,39,70,39,0,0,0,0,0,0,0,0,0,0
85,35,10011,护卫,3579,388,180,5,72,40,72,40,0,0,0,0,0,0,0,0,0,0
86,36,10011,护卫,3671,399,185,5,74,41,74,41,0,0,0,0,0,0,0,0,0,0
87,37,10011,护卫,3763,410,190,5,76,42,76,42,0,0,0,0,0,0,0,0,0,0
88,38,10011,护卫,3855,421,195,5,78,43,78,43,0,0,0,0,0,0,0,0,0,0
89,39,10011,护卫,3947,432,200,5,80,44,80,44,0,0,0,0,0,0,0,0,0,0
90,40,10011,护卫,4039,443,205,5,82,45,82,45,0,0,0,0,0,0,0,0,0,0
91,41,10011,护卫,4131,454,210,5,84,46,84,46,0,0,0,0,0,0,0,0,0,0
92,42,10011,护卫,4223,465,215,5,86,47,86,47,0,0,0,0,0,0,0,0,0,0
93,43,10011,护卫,4315,476,220,5,88,48,88,48,0,0,0,0,0,0,0,0,0,0
94,44,10011,护卫,4407,487,225,5,90,49,90,49,0,0,0,0,0,0,0,0,0,0
95,45,10011,护卫,4499,498,230,5,92,50,92,50,0,0,0,0,0,0,0,0,0,0
96,46,10011,护卫,4591,509,235,5,94,51,94,51,0,0,0,0,0,0,0,0,0,0
97,47,10011,护卫,4683,520,240,5,96,52,96,52,0,0,0,0,0,0,0,0,0,0
98,48,10011,护卫,4775,531,245,5,98,53,98,53,0,0,0,0,0,0,0,0,0,0
99,49,10011,护卫,4867,542,250,5,100,54,100,54,0,0,0,0,0,0,0,0,0,0
100,50,10011,护卫,4959,553,255,5,102,55,102,55,0,0,0,0,0,0,0,0,0,0
101,1,10012,精英护卫,432,17,8,5,6,5,6,5,0,0,0,0,0,0,0,0,0,0
102,2,10012,精英护卫,474,22,11,5,8,6,8,6,0,0,0,0,0,0,0,0,0,0
103,3,10012,精英护卫,521,28,14,5,9,8,9,8,0,0,0,0,0,0,0,0,0,0
104,4,10012,精英护卫,574,35,18,5,11,9,11,9,0,0,0,0,0,0,0,0,0,0
105,5,10012,精英护卫,850,59,30,5,12,10,12,10,0,0,0,0,0,0,0,0,0,0
106,6,10012,精英护卫,946,70,36,5,14,11,14,11,0,0,0,0,0,0,0,0,0,0
107,7,10012,精英护卫,1051,83,43,5,15,13,16,13,0,0,0,0,0,0,0,0,0,0
108,8,10012,精英护卫,1166,97,50,5,17,15,18,14,0,0,0,0,0,0,0,0,0,0
109,9,10012,精英护卫,1290,112,58,5,18,16,19,15,0,0,0,0,0,0,0,0,0,0
110,10,10012,精英护卫,1650,155,80,5,25,22,26,21,0,0,0,0,0,0,0,0,0,0
111,11,10012,精英护卫,1814,175,91,5,26,23,27,22,0,0,0,0,0,0,0,0,0,0
112,12,10012,精英护卫,1990,197,102,5,28,24,29,23,0,0,0,0,0,0,0,0,0,0
113,13,10012,精英护卫,2176,220,115,5,29,25,30,24,0,0,0,0,0,0,0,0,0,0
114,14,10012,精英护卫,2375,246,128,5,31,27,32,26,0,0,0,0,0,0,0,0,0,0
115,15,10012,精英护卫,2949,317,165,5,32,28,33,27,0,0,0,0,0,0,0,0,0,0
116,16,10012,精英护卫,3195,348,182,5,34,29,36,28,0,0,0,0,0,0,0,0,0,0
117,17,10012,精英护卫,3454,382,199,5,35,30,37,29,0,0,0,0,0,0,0,0,0,0
118,18,10012,精英护卫,3727,417,218,5,37,32,39,31,0,0,0,0,0,0,0,0,0,0
119,19,10012,精英护卫,4013,455,238,5,38,34,40,32,0,0,0,0,0,0,0,0,0,0
120,20,10012,精英护卫,5214,580,308,5,45,41,48,38,0,0,0,0,0,0,0,0,0,0
121,21,10012,精英护卫,5580,627,333,5,47,42,50,39,0,0,0,0,0,0,0,0,0,0
122,22,10012,精英护卫,5946,674,358,5,49,43,52,40,0,0,0,0,0,0,0,0,0,0
123,23,10012,精英护卫,6312,721,383,5,51,44,54,41,0,0,0,0,0,0,0,0,0,0
124,24,10012,精英护卫,6678,768,408,5,53,45,56,42,0,0,0,0,0,0,0,0,0,0
125,25,10012,精英护卫,7044,815,433,5,55,46,58,43,0,0,0,0,0,0,0,0,0,0
126,26,10012,精英护卫,7410,862,458,5,57,47,60,44,0,0,0,0,0,0,0,0,0,0
127,27,10012,精英护卫,7776,909,483,5,59,48,62,45,0,0,0,0,0,0,0,0,0,0
128,28,10012,精英护卫,8142,956,508,5,61,49,64,46,0,0,0,0,0,0,0,0,0,0
129,29,10012,精英护卫,8508,1003,533,5,63,50,66,47,0,0,0,0,0,0,0,0,0,0
130,30,10012,精英护卫,8874,1050,558,5,65,51,68,48,0,0,0,0,0,0,0,0,0,0
131,31,10012,精英护卫,9240,1097,583,5,67,52,70,49,0,0,0,0,0,0,0,0,0,0
132,32,10012,精英护卫,9606,1144,608,5,69,53,72,50,0,0,0,0,0,0,0,0,0,0
133,33,10012,精英护卫,9972,1191,633,5,71,54,74,51,0,0,0,0,0,0,0,0,0,0
134,34,10012,精英护卫,10338,1238,658,5,73,55,76,52,0,0,0,0,0,0,0,0,0,0
135,35,10012,精英护卫,10704,1285,683,5,75,56,78,53,0,0,0,0,0,0,0,0,0,0
136,36,10012,精英护卫,11070,1332,708,5,77,57,80,54,0,0,0,0,0,0,0,0,0,0
137,37,10012,精英护卫,11436,1379,733,5,79,58,82,55,0,0,0,0,0,0,0,0,0,0
138,38,10012,精英护卫,11802,1426,758,5,81,59,84,56,0,0,0,0,0,0,0,0,0,0
139,39,10012,精英护卫,12168,1473,783,5,83,60,86,57,0,0,0,0,0,0,0,0,0,0
140,40,10012,精英护卫,12534,1520,808,5,85,61,88,58,0,0,0,0,0,0,0,0,0,0
141,41,10012,精英护卫,12900,1567,833,5,87,62,90,59,0,0,0,0,0,0,0,0,0,0
142,42,10012,精英护卫,13266,1614,858,5,89,63,92,60,0,0,0,0,0,0,0,0,0,0
143,43,10012,精英护卫,13632,1661,883,5,91,64,94,61,0,0,0,0,0,0,0,0,0,0
144,44,10012,精英护卫,13998,1708,908,5,93,65,96,62,0,0,0,0,0,0,0,0,0,0
145,45,10012,精英护卫,14364,1755,933,5,95,66,98,63,0,0,0,0,0,0,0,0,0,0
146,46,10012,精英护卫,14730,1802,958,5,97,67,100,64,0,0,0,0,0,0,0,0,0,0
147,47,10012,精英护卫,15096,1849,983,5,99,68,102,65,0,0,0,0,0,0,0,0,0,0
148,48,10012,精英护卫,15462,1896,1008,5,101,69,104,66,0,0,0,0,0,0,0,0,0,0
149,49,10012,精英护卫,15828,1943,1033,5,103,70,106,67,0,0,0,0,0,0,0,0,0,0
150,50,10012,精英护卫,16194,1990,1058,5,105,71,108,68,0,0,0,0,0,0,0,0,0,0
151,1,10013,王牌护卫,432,17,8,5,6,5,6,5,0,0,0,0,0,0,0,0,0,0
152,2,10013,王牌护卫,474,22,11,5,8,6,8,6,0,0,0,0,0,0,0,0,0,0
153,3,10013,王牌护卫,521,28,14,5,9,8,9,8,0,0,0,0,0,0,0,0,0,0
154,4,10013,王牌护卫,574,35,18,5,11,9,11,9,0,0,0,0,0,0,0,0,0,0
155,5,10013,王牌护卫,891,60,31,5,12,10,13,10,0,0,0,0,0,0,0,0,0,0
156,6,10013,王牌护卫,993,72,37,5,14,12,15,11,0,0,0,0,0,0,0,0,0,0
157,7,10013,王牌护卫,1104,85,44,5,15,14,16,13,0,0,0,0,0,0,0,0,0,0
158,8,10013,王牌护卫,1227,99,52,5,17,15,18,14,0,0,0,0,0,0,0,0,0,0
159,9,10013,王牌护卫,1359,114,60,5,18,16,19,15,0,0,0,0,0,0,0,0,0,0
160,10,10013,王牌护卫,1740,159,83,5,25,22,26,21,0,0,0,0,0,0,0,0,0,0
161,11,10013,王牌护卫,1916,180,94,5,26,23,27,22,0,0,0,0,0,0,0,0,0,0
162,12,10013,王牌护卫,2104,202,106,5,28,24,30,23,0,0,0,0,0,0,0,0,0,0
163,13,10013,王牌护卫,2304,226,119,5,29,25,31,24,0,0,0,0,0,0,0,0,0,0
164,14,10013,王牌护卫,2517,252,133,5,31,28,33,26,0,0,0,0,0,0,0,0,0,0
165,15,10013,王牌护卫,3130,326,172,5,32,29,34,27,0,0,0,0,0,0,0,0,0,0
166,16,10013,王牌护卫,3394,358,189,5,34,30,36,28,0,0,0,0,0,0,0,0,0,0
167,17,10013,王牌护卫,3674,393,207,5,35,31,37,29,0,0,0,0,0,0,0,0,0,0
168,18,10013,王牌护卫,3969,429,227,5,37,33,39,31,0,0,0,0,0,0,0,0,0,0
169,19,10013,王牌护卫,4278,468,248,5,38,34,41,32,0,0,0,0,0,0,0,0,0,0
170,20,10013,王牌护卫,5667,604,326,5,45,42,49,38,0,0,0,0,0,0,0,0,0,0
171,21,10013,王牌护卫,6069,653,353,5,47,43,51,39,0,0,0,0,0,0,0,0,0,0
172,22,10013,王牌护卫,6490,705,381,5,48,44,53,40,0,0,0,0,0,0,0,0,0,0
173,23,10013,王牌护卫,6928,759,411,5,50,45,55,41,0,0,0,0,0,0,0,0,0,0
174,24,10013,王牌护卫,7384,816,442,5,51,47,56,43,0,0,0,0,0,0,0,0,0,0
175,25,10013,王牌护卫,8682,973,528,5,53,48,58,44,0,0,0,0,0,0,0,0,0,0
176,26,10013,王牌护卫,9210,1041,565,5,54,50,60,45,0,0,0,0,0,0,0,0,0,0
177,27,10013,王牌护卫,9757,1111,603,5,56,51,62,46,0,0,0,0,0,0,0,0,0,0
178,28,10013,王牌护卫,10323,1184,644,5,57,53,63,48,0,0,0,0,0,0,0,0,0,0
179,29,10013,王牌护卫,10911,1261,686,5,59,54,65,49,0,0,0,0,0,0,0,0,0,0
180,30,10013,王牌护卫,13794,1542,855,5,65,61,74,54,0,0,0,0,0,0,0,0,0,0
181,31,10013,王牌护卫,14515,1634,907,5,67,64,76,56,0,0,0,0,0,0,0,0,0,0
182,32,10013,王牌护卫,15236,1726,959,5,69,67,78,58,0,0,0,0,0,0,0,0,0,0
183,33,10013,王牌护卫,15957,1818,1011,5,71,70,80,60,0,0,0,0,0,0,0,0,0,0
184,34,10013,王牌护卫,16678,1910,1063,5,73,73,82,62,0,0,0,0,0,0,0,0,0,0
185,35,10013,王牌护卫,17399,2002,1115,5,75,76,84,64,0,0,0,0,0,0,0,0,0,0
186,36,10013,王牌护卫,18120,2094,1167,5,77,79,86,66,0,0,0,0,0,0,0,0,0,0
187,37,10013,王牌护卫,18841,2186,1219,5,79,82,88,68,0,0,0,0,0,0,0,0,0,0
188,38,10013,王牌护卫,19562,2278,1271,5,81,85,90,70,0,0,0,0,0,0,0,0,0,0
189,39,10013,王牌护卫,20283,2370,1323,5,83,88,92,72,0,0,0,0,0,0,0,0,0,0
190,40,10013,王牌护卫,21004,2462,1375,5,85,91,94,74,0,0,0,0,0,0,0,0,0,0
191,41,10013,王牌护卫,21725,2554,1427,5,87,94,96,76,0,0,0,0,0,0,0,0,0,0
192,42,10013,王牌护卫,22446,2646,1479,5,89,97,98,78,0,0,0,0,0,0,0,0,0,0
193,43,10013,王牌护卫,23167,2738,1531,5,91,100,100,80,0,0,0,0,0,0,0,0,0,0
194,44,10013,王牌护卫,23888,2830,1583,5,93,103,102,82,0,0,0,0,0,0,0,0,0,0
195,45,10013,王牌护卫,24609,2922,1635,5,95,106,104,84,0,0,0,0,0,0,0,0,0,0
196,46,10013,王牌护卫,25330,3014,1687,5,97,109,106,86,0,0,0,0,0,0,0,0,0,0
197,47,10013,王牌护卫,26051,3106,1739,5,99,112,108,88,0,0,0,0,0,0,0,0,0,0
198,48,10013,王牌护卫,26772,3198,1791,5,101,115,110,90,0,0,0,0,0,0,0,0,0,0
199,49,10013,王牌护卫,27493,3290,1843,5,103,118,112,92,0,0,0,0,0,0,0,0,0,0
200,50,10013,王牌护卫,28214,3382,1895,5,105,121,114,94,0,0,0,0,0,0,0,0,0,0
201,1,10014,壁垒守卫,432,17,8,5,6,5,6,5,0,0,0,0,0,0,0,0,0,0
202,2,10014,壁垒守卫,474,22,11,5,8,6,8,6,0,0,0,0,0,0,0,0,0,0
203,3,10014,壁垒守卫,521,28,14,5,9,8,9,8,0,0,0,0,0,0,0,0,0,0
204,4,10014,壁垒守卫,574,35,18,5,11,9,11,9,0,0,0,0,0,0,0,0,0,0
205,5,10014,壁垒守卫,945,62,33,5,12,11,13,10,0,0,0,0,0,0,0,0,0,0
206,6,10014,壁垒守卫,1056,74,39,5,14,12,15,11,0,0,0,0,0,0,0,0,0,0
207,7,10014,壁垒守卫,1176,87,46,5,15,14,16,13,0,0,0,0,0,0,0,0,0,0
208,8,10014,壁垒守卫,1308,102,54,5,17,15,18,14,0,0,0,0,0,0,0,0,0,0
209,9,10014,壁垒守卫,1451,118,62,5,18,16,19,15,0,0,0,0,0,0,0,0,0,0
210,10,10014,壁垒守卫,1861,164,87,5,25,22,27,21,0,0,0,0,0,0,0,0,0,0
211,11,10014,壁垒守卫,2051,186,99,5,26,24,28,22,0,0,0,0,0,0,0,0,0,0
212,12,10014,壁垒守卫,2256,209,111,5,28,25,30,23,0,0,0,0,0,0,0,0,0,0
213,13,10014,壁垒守卫,2474,234,125,5,29,26,31,24,0,0,0,0,0,0,0,0,0,0
214,14,10014,壁垒守卫,2707,261,139,5,31,28,33,26,0,0,0,0,0,0,0,0,0,0
215,15,10014,壁垒守卫,3371,337,180,5,32,29,35,27,0,0,0,0,0,0,0,0,0,0
216,16,10014,壁垒守卫,3660,371,199,5,34,30,37,28,0,0,0,0,0,0,0,0,0,0
217,17,10014,壁垒守卫,3967,407,218,5,35,31,38,29,0,0,0,0,0,0,0,0,0,0
218,18,10014,壁垒守卫,4291,446,239,5,37,34,40,31,0,0,0,0,0,0,0,0,0,0
219,19,10014,壁垒守卫,4632,487,261,5,38,35,41,32,0,0,0,0,0,0,0,0,0,0
220,20,10014,壁垒守卫,6269,635,349,5,45,43,51,38,0,0,0,0,0,0,0,0,0,0
221,21,10014,壁垒守卫,6722,688,379,5,47,44,53,39,0,0,0,0,0,0,0,0,0,0
222,22,10014,壁垒守卫,7195,743,409,5,48,45,54,40,0,0,0,0,0,0,0,0,0,0
223,23,10014,壁垒守卫,7689,801,442,5,50,46,57,41,0,0,0,0,0,0,0,0,0,0
224,24,10014,壁垒守卫,8203,861,476,5,51,49,58,43,0,0,0,0,0,0,0,0,0,0
225,25,10014,壁垒守卫,9655,1028,569,5,53,50,60,44,0,0,0,0,0,0,0,0,0,0
226,26,10014,壁垒守卫,10252,1100,609,5,54,51,61,45,0,0,0,0,0,0,0,0,0,0
227,27,10014,壁垒守卫,10872,1175,651,5,56,52,64,46,0,0,0,0,0,0,0,0,0,0
228,28,10014,壁垒守卫,11514,1253,696,5,57,55,65,48,0,0,0,0,0,0,0,0,0,0
229,29,10014,壁垒守卫,12180,1336,742,5,59,56,67,49,0,0,0,0,0,0,0,0,0,0
230,30,10014,壁垒守卫,15678,1653,938,5,65,64,77,54,0,0,0,0,0,0,0,0,0,0
231,31,10014,壁垒守卫,16510,1754,996,5,67,66,80,56,0,0,0,0,0,0,0,0,0,0
232,32,10014,壁垒守卫,17370,1858,1057,5,68,68,81,57,0,0,0,0,0,0,0,0,0,0
233,33,10014,壁垒守卫,18254,1967,1119,5,70,69,83,58,0,0,0,0,0,0,0,0,0,0
234,34,10014,壁垒守卫,19165,2080,1185,5,71,70,85,59,0,0,0,0,0,0,0,0,0,0
235,35,10014,壁垒守卫,21735,2381,1357,5,73,73,87,61,0,0,0,0,0,0,0,0,0,0
236,36,10014,壁垒守卫,22749,2509,1432,5,74,74,89,62,0,0,0,0,0,0,0,0,0,0
237,37,10014,壁垒守卫,23791,2643,1509,5,76,76,91,63,0,0,0,0,0,0,0,0,0,0
238,38,10014,壁垒守卫,24858,2781,1590,5,77,77,92,64,0,0,0,0,0,0,0,0,0,0
239,39,10014,壁垒守卫,25953,2923,1673,5,79,79,95,66,0,0,0,0,0,0,0,0,0,0
240,40,10014,壁垒守卫,32269,3510,2048,5,86,89,108,71,0,0,0,0,0,0,0,0,0,0
241,41,10014,壁垒守卫,33587,3681,2149,5,87,91,109,73,0,0,0,0,0,0,0,0,0,0
242,42,10014,壁垒守卫,34934,3857,2253,5,89,93,112,74,0,0,0,0,0,0,0,0,0,0
243,43,10014,壁垒守卫,36307,4038,2361,5,90,94,113,75,0,0,0,0,0,0,0,0,0,0
244,44,10014,壁垒守卫,37708,4226,2472,5,92,96,116,76,0,0,0,0,0,0,0,0,0,0
245,45,10014,壁垒守卫,41714,4715,2761,5,93,98,117,78,0,0,0,0,0,0,0,0,0,0
246,46,10014,壁垒守卫,43230,4923,2885,5,95,100,120,79,0,0,0,0,0,0,0,0,0,0
247,47,10014,壁垒守卫,44774,5138,3013,5,96,101,121,80,0,0,0,0,0,0,0,0,0,0
248,48,10014,壁垒守卫,46345,5359,3145,5,98,103,124,81,0,0,0,0,0,0,0,0,0,0
249,49,10014,壁垒守卫,47941,5587,3281,5,99,105,126,83,0,0,0,0,0,0,0,0,0,0
250,50,10014,壁垒守卫,52539,6176,3629,5,106,112,135,88,0,0,0,0,0,0,0,0,0,0
251,1,10021,突击手,432,17,8,5,6,5,6,5,0,0,0,0,0,0,0,0,0,0
252,2,10021,突击手,474,22,11,5,8,6,8,6,0,0,0,0,0,0,0,0,0,0
253,3,10021,突击手,521,28,14,5,9,8,9,8,0,0,0,0,0,0,0,0,0,0
254,4,10021,突击手,574,35,18,5,11,9,11,9,0,0,0,0,0,0,0,0,0,0
255,5,10021,突击手,782,61,28,5,12,10,15,10,0,0,0,0,0,0,0,0,0,0
256,6,10021,突击手,869,73,34,5,14,11,17,11,0,0,0,0,0,0,0,0,0,0
257,7,10021,突击手,956,85,40,5,16,12,19,12,0,0,0,0,0,0,0,0,0,0
258,8,10021,突击手,1043,97,46,5,18,13,21,13,0,0,0,0,0,0,0,0,0,0
259,9,10021,突击手,1130,109,52,5,20,14,23,14,0,0,0,0,0,0,0,0,0,0
260,10,10021,突击手,1217,121,58,5,22,15,25,15,0,0,0,0,0,0,0,0,0,0
261,11,10021,突击手,1304,133,64,5,24,16,27,16,0,0,0,0,0,0,0,0,0,0
262,12,10021,突击手,1391,145,70,5,26,17,29,17,0,0,0,0,0,0,0,0,0,0
263,13,10021,突击手,1478,157,76,5,28,18,31,18,0,0,0,0,0,0,0,0,0,0
264,14,10021,突击手,1565,169,82,5,30,19,33,19,0,0,0,0,0,0,0,0,0,0
265,15,10021,突击手,1652,181,88,5,32,20,35,20,0,0,0,0,0,0,0,0,0,0
266,16,10021,突击手,1739,193,94,5,34,21,37,21,0,0,0,0,0,0,0,0,0,0
267,17,10021,突击手,1826,205,100,5,36,22,39,22,0,0,0,0,0,0,0,0,0,0
268,18,10021,突击手,1913,217,106,5,38,23,41,23,0,0,0,0,0,0,0,0,0,0
269,19,10021,突击手,2000,229,112,5,40,24,43,24,0,0,0,0,0,0,0,0,0,0
270,20,10021,突击手,2087,241,118,5,42,25,45,25,0,0,0,0,0,0,0,0,0,0
271,21,10021,突击手,2174,253,124,5,44,26,47,26,0,0,0,0,0,0,0,0,0,0
272,22,10021,突击手,2261,265,130,5,46,27,49,27,0,0,0,0,0,0,0,0,0,0
