level,furniture,decoration,experience,market_level,hero_slot,trade,maker_slot,shopSize_slot,adventur_slot,warrior_id,worker_id,hero_occupation,type,reward,reward_number,gold_lv
24,-1,13023,362800,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,19069
25,-1,13011,440000,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,22933
26,-1,13024,532800,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,27570
27,-1,14007,644100,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,33134
28,-1,13017,777700,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,39811
29,-1,-1,937900,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,47823
30,-1,-1,1129800,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,57438
31,-1,-1,1359900,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,60360
32,-1,-1,1635600,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,63428
33,-1,-1,1965800,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,66649
34,-1,-1,2361200,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,70031
35,-1,-1,2791600,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,73583
36,-1,-1,3299700,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,77312
37,-1,-1,3899400,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,81228
38,-1,-1,4607200,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,85339
39,-1,-1,5442700,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,89656
40,-1,-1,6428900,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,94189
41,-1,-1,7592900,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,98948
42,-1,-1,8966800,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,103945
43,-1,-1,10588400,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,109192
44,-1,-1,12502400,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,114702
45,-1,-1,14761500,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,120487
46,-1,-1,17428100,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,126561
47,-1,-1,20575400,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,132939
48,-1,-1,24290200,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,139636
49,-1,-1,28675000,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,146668
50,-1,-1,33850400,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,154051
51,-1,-1,39959000,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,161804
52,-1,-1,47169200,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,169944
53,-1,-1,55679500,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,178491
54,-1,-1,65724400,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,187466
55,-1,-1,77580500,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,196889
56,-1,-1,91574600,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,206783
57,-1,-1,108092000,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,217172
58,-1,-1,127587900,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,228081
59,-1,-1,150599300,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,239535
60,-1,-1,177760200,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,251562
61,-1,-1,209818700,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,264190
62,-1,-1,247658100,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,277450
63,-1,-1,292320600,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,291373
64,-1,-1,345036800,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,305992
65,-1,-1,407258700,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,321342
66,-1,-1,480700500,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,337459
67,-1,-1,567385400,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,354382
68,-1,-1,669701400,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,372151
69,-1,-1,790467000,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,390809
70,-1,-1,933009100,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,410399
71,-1,-1,1101254600,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,430969
72,-1,-1,1299838200,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,452567
73,-1,-1,1534230500,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,475245
74,-1,-1,1810888600,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,499057
75,-1,-1,2137433700,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,524060
76,-1,-1,2522861800,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,550313
77,-1,-1,2977790500,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,577879
78,-1,-1,3514752300,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,606823
79,-1,-1,4148539300,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,637214
80,-1,-1,4896611200,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,669125
81,-1,-1,5779575900,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,702631
82,-1,-1,6821757400,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,737813
83,-1,-1,8051865800,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,774754
84,-1,-1,9503787900,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,813542
85,-1,-1,11217521600,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,854269
86,-1,-1,13240276900,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,897032
87,-1,-1,15627776700,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,941934
88,-1,-1,18445792000,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,989081
89,-1,-1,21771953700,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,1038585
90,-1,-1,25697890900,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,1090564
91,-1,-1,30331755600,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,1145142
92,-1,-1,35801201800,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,1202449
93,-1,-1,42256902000,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,1262621
94,-1,-1,49876698000,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,1325802
95,-1,-1,58870500700,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,1392142
96,-1,-1,69486071500,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,1461799
97,-1,-1,82015848700,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,1534939
98,-1,-1,96805003500,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,1611736
99,-1,-1,99998758900,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10002,5,1692373
