id,group_id,trigger_type,trigger_value,end_level,if_constraint,condition_des,mask_color,guide_type,guide_id,dialog,guide_condition,whether_main,guide_scenes,operations_id,server_behavior_type,behavior_value,behavior_num,time,position
34,9,8,8,10,1,点击帮助后的对话1,0,1,3,太棒了！拥有高<Color=#3aff5c>能量上限</Color>值是达成良好交易的关键！同时摆放更多的货架也会提升<Color=#3aff5c>能量上限</Color>哦~,,1,,,,,,,
35,9,8,8,10,1,引导用户点击完成,0,4,3,点击<Color=#3aff5c>完成</Color>进度。,,1,IndoorScene,51006,,,,,
36,10,6,5,10,1,开启联盟对话1,0,1,3,加入联盟可以获得伙伴的帮助！|何不加入<Color=#3aff5c>联盟</Color>？与<Color=#3aff5c>其他玩家</Color>合作将会获益良多！,,1,,,,,,,
37,10,6,5,10,1,折扣文字加点击1,55,4,3,点击<Color=#3aff5c>城市</Color>按钮。,,0,IndoorScene,1,,,,,
38,10,6,5,10,1,折扣对话2,55,4,3,点击<Color=#3aff5c>联盟</Color>按钮。,,0,CityScene,32001,,,,,
39,10,6,5,10,1,开启联盟对话1,0,1,3,加入或创建<Color=#3aff5c>联盟</Color>与<Color=#3aff5c>其他玩家</Color>一起<Color=#3aff5c>投资</Color>、同舟共济或是互相陪伴...我想不到不加入联盟的理由！|若您改变主意了，您也能随时离开。所以无需过多担心！,,0,,,,,,,
40,11,6,6,10,1,获得宠物对话1,0,1,3,在这片废土里，也许最忠诚的就是独属于你的小伙伴了！|我想你不会忍心拒绝如此可爱的它吧？快领养一只！,,1,,,,,,,
41,11,6,6,10,1,获得宠物文字加点击1,55,4,3,点击<Color=#3aff5c>设计</Color>按钮。,,0,IndoorScene,10012,,,,,
42,11,6,6,10,1,获得宠物文字加点击2,55,4,3,点击<Color=#3aff5c>宠物</Color>按钮。,,0,IndoorScene,50000,,,,,
43,11,6,6,10,1,获得宠物文字加点击3,0,4,3,点击<Color=#3aff5c>收养宠物</Color>。,,0,IndoorScene,50001,,,,,
44,11,6,6,10,1,获得宠物文字加点击4,0,4,3,点击<Color=#3aff5c>创建</Color>按钮。,,0,IndoorScene,50004,,,,,
45,11,6,6,10,1,获得宠物文字加点击5,0,4,3,点击<Color=#3aff5c>应用</Color>按钮。,,0,IndoorScene,50005,,,,,
46,11,6,6,10,1,获得宠物对话2,0,1,3,别担心那只狗狗！好好照顾它，记得给它满满的爱哦...还有别忘记<Color=#3aff5c>喂养</Color>它！|我相信你的顾客也会喜欢它，并给你带来不菲的<Color=#3aff5c>能量</Color>！,,0,,,,,,,
47,12,6,7,10,1,解锁市场对话1,0,1,3,各个壁垒玩家之间的市场已经开启，快去卖出你收藏的装备物资吧！,,1,,,,,,,
48,12,6,7,10,1,获得宠物文字加点击1,55,4,3,点击<Color=#3aff5c>城市</Color>按钮。,,0,IndoorScene,1,,,,,
49,12,6,7,10,1,获得宠物文字加点击2,55,4,3,点击<Color=#3aff5c>市场</Color>按钮。,,0,CityScene,34002,,,,,
50,12,6,7,10,1,解锁市场对话2,0,1,3,欢迎来到<Color=#3aff5c>市场</Color>，在这里，您可以和来自<Color=#3aff5c>全世界</Color>的店主进行交易！|说不定能找到您心仪已久的装备哦！,,0,,,,,,,
51,13,4,8,15,1,扩建商店对话1,0,1,3,是时候<Color=#3aff5c>扩建商店</Color>了！这样才能摆放更多的家具！,,1,,,,,,,
52,13,4,8,15,1,扩建商店文字加点击1,55,4,3,点击<Color=#3aff5c>设计</Color>按钮。,,0,IndoorScene,10012,,,,,
53,13,4,8,15,1,扩建商店文字加点击2,55,4,3,点击<Color=#3aff5c>扩建</Color>按钮。,,0,IndoorScene,20044,,,,,
54,13,4,8,15,1,扩建商店对话2,0,1,3,虽然很贵，但物有所值！想想那些多出的放置<Color=#3aff5c>货架</Color>和<Color=#3aff5c>资源箱</Color>的空间！,,0,,,,,,,
55,14,4,9999,15,1,开启签到对话1,0,1,3,哇哦！有新的福利送到啦！每天别忘记在这里可以<Color=#3aff5c>签到</Color>领取你的每日奖励哦！,,1,,,6,1,1,,
56,14,4,9999,15,1,开启转盘文字加点击1,55,4,3,点击<Color=#3aff5c>福利</Color>按钮。,,0,IndoorScene,51012,,,,,
57,14,4,9999,15,1,开启转盘对话2,0,1,3,这里可以领取到各种<Color=#3aff5c>稀有道具</Color>，累计签到次数越多奖励越高哦！,,0,,,,,,,
58,14,4,9999,15,1,开启七日目标对话1,0,1,3,很好，看起来您学会了如何经营这家商店，可以开始您的<Color=#3aff5c>大亨之路</Color>了。|接下来我们就去看看怎样成为一名世界<Color=#3aff5c>大亨</Color>！,,0,,,,,,,
59,14,4,9999,15,1,开启七日目标文字加点击1,55,4,3,点击<Color=#3aff5c>大亨之路</Color>按钮。,,0,IndoorScene,40004,,,,,
60,14,4,9999,15,1,开启七日目标对话2,0,1,3,在这里为您准备了成为商业大亨的学习手册，<Color=#3aff5c>完成</Color>它们就能获得价值不菲的<Color=#3aff5c>奖励</Color>哦！|记住，扩建您的制作栏位和认真对待您的每一名顾客是<Color=#3aff5c>财富积累</Color>的诀窍！,,0,,,,,,,
