id,name,icon,atlas,icon_big,prefabnew,sprites,prefab,furniture_type_icon,des,iconitem_id,type_1,type_2,placement_num,cost_times,show_lv,unlock_lv,is_show,cost_type,cost_num,length,width,height,luxury,energy,buff_ids
13016,花盆,icon_shinei_13016,FurnitureIcon_01_atlas,icon_shinei_13016,huapeng_lev01,,,,废墟里捡回来的花盆，非常茁壮。,,5,0,-1,1,-1,2,1,1,250,,1,1,0,2,
13017,修复的街机,icon_shinei_13017,FurnitureIcon_01_atlas,icon_shinei_13017,jieji_lev01,,,,捡回来的游戏机，已经修理好了，要不要来一局游戏？,,5,0,-1,1,25,28,1,2,170,,1,1,45,15,
13018,盆栽,icon_shinei_13018,FurnitureIcon_01_atlas,icon_shinei_13018,pengzai_lev01,,,,经过培养的绿色植物，非常漂亮。,,5,0,-1,1,11,14,1,1,50000,,1,1,0,3,
13019,钢琴,icon_shinei_13019,FurnitureIcon_01_atlas,icon_shinei_13019,piano_lev01,,,,基本完整的钢琴，可惜已经找不到调琴师为它调音了。,,5,0,-1,1,13,16,1,2,660,,2,2,180,18,
13020,书柜,icon_shinei_13020,FurnitureIcon_01_atlas,icon_shinei_13020,shujia_lev01,,,,据说是从市政厅的废墟里找到的书柜，里面的藏书非常丰富。,,5,0,-1,1,15,18,1,1,150000,,1,1,0,3,
13021,沙发,icon_shinei_13021,FurnitureIcon_01_atlas,icon_shinei_13021,sofa_lev01,,,,探索队带回的好家伙，坐在里面舒服极了。,,5,0,-1,1,17,20,1,2,330,,2,1,90,15,
13022,破损的音响,icon_shinei_13022,FurnitureIcon_01_atlas,icon_shinei_13022,sonic_lev01,,,,一个很好玩的音响，插上电后，发出巨大的声响，能吸引丧尸。,,5,0,-1,1,19,22,1,1,250000,,1,1,0,3,
13023,待客沙发,icon_shinei_13023,FurnitureIcon_01_atlas,icon_shinei_13023,zstz_lev01,,,,改造过的沙发，用来接待客人就很完美了。,,5,0,-1,1,21,24,1,2,660,,2,2,180,10,
13024,桌面足球,icon_shinei_13024,FurnitureIcon_01_atlas,icon_shinei_13024,zszq_lev01,,,,老人们说曾经足球是这个世界男人都爱的运动。,,5,0,-1,1,23,26,1,2,170,,1,1,45,8,
13025,留声机,icon_shinei_13025,FurnitureIcon_01_atlas,icon_shinei_13025,liushenji_lev01,,,,,,5,0,-1,1,14,17,1,2,170,,1,1,45,20,
13026,招财猫,icon_shinei_13026,FurnitureIcon_01_atlas,icon_shinei_13026,zhaocaimao_lev01,,,,,,5,0,-1,1,87,90,1,2,1850,,1,1,500,25,
13027,老式挂钟,icon_shinei_13027,FurnitureIcon_01_atlas,icon_shinei_13027,guazhong_lev01,,,,,,4,0,-1,1,15,18,1,2,450,,1,1,120,,
13028,落地钟,icon_shinei_13028,FurnitureIcon_01_atlas,icon_shinei_13028,luodizhong_lev01,,,,,,5,0,-1,1,14,17,1,2,170,,1,1,45,20,
13029,吉他,icon_shinei_13029,FurnitureIcon_01_atlas,icon_shinei_13029,jita_lev01,,,,,,4,0,-1,1,9,12,1,2,450,,1,1,120,,
13030,木乃伊,icon_shinei_13030,FurnitureIcon_01_atlas,icon_shinei_13030,munaiyi_lev01,,,,,,5,0,-1,1,87,90,1,2,170,,1,1,500,25,
13031,名画-呐喊,icon_shinei_13031,FurnitureIcon_01_atlas,icon_shinei_13031,nahan_lev01,,,,,,4,0,-1,1,87,90,1,2,450,,1,1,120,,
13032,名画-蒙娜丽莎,icon_shinei_13032,FurnitureIcon_01_atlas,icon_shinei_13032,mnls_lev01,,,,,,4,0,-1,1,87,90,1,2,450,,1,1,120,,
13033,吸血鬼棺材,icon_shinei_13033,FurnitureIcon_01_atlas,icon_shinei_13033,guangcai_lev01,,,,,,5,0,-1,1,87,90,1,2,2600,,2,1,700,25,
13034,十字架,icon_shinei_13034,FurnitureIcon_01_atlas,icon_shinei_13034,shizijia_lev01,,,,,,4,0,-1,1,24,27,1,2,450,,1,1,120,,
13035,恐龙化石,icon_shinei_13035,FurnitureIcon_01_atlas,icon_shinei_13035,diaosu_lev02,,,,,,5,0,-1,1,87,90,1,2,330,,2,1,700,25,
13036,锦绣花田毯,icon_shinei_13036,FurnitureIcon_01_atlas,icon_shinei_13036,ditan_01,,,,,,3,0,-1,1,87,90,1,2,740,3,3,3,800,,
13037,方形红毯,icon_shinei_13037,FurnitureIcon_01_atlas,icon_shinei_13037,ditan_04,,,,,,3,0,-1,1,87,90,1,2,490,3,3,2,135,,
13038,魔法地毯,icon_shinei_13038,FurnitureIcon_01_atlas,icon_shinei_13038,ditan_02,,,,,,3,0,-1,1,87,90,1,2,740,3,3,3,800,,
13039,圆形红毯,icon_shinei_13039,FurnitureIcon_01_atlas,icon_shinei_13039,ditan_03,,,,,,3,0,-1,1,87,90,1,2,740,3,3,3,800,,
13040,流苏毯,icon_shinei_13040,FurnitureIcon_01_atlas,icon_shinei_13040,ditan_07,,,,,,3,0,-1,1,13,16,1,2,490,3,3,2,135,,
13041,百灵鸟毯,icon_shinei_13041,FurnitureIcon_01_atlas,icon_shinei_13041,ditan_08,,,,,,3,0,-1,1,87,90,1,2,740,3,3,3,800,,
13042,鹿角毯,icon_shinei_13042,FurnitureIcon_01_atlas,icon_shinei_13042,ditan_06,,,,,,3,0,-1,1,15,18,1,2,330,3,2,2,90,,
13043,斑点狗地毯,icon_shinei_13043,FurnitureIcon_01_atlas,icon_shinei_13043,ditan_05,,,,,,3,0,-1,1,87,90,1,2,330,3,2,2,90,,
13045,熊皮地毯,icon_shinei_13045,FurnitureIcon_01_atlas,icon_shinei_13045,xiongpi_lev01,,,,,,3,0,-1,1,87,90,1,2,330,3,2,2,90,,
13046,茶台屏风,icon_shinei_13046,FurnitureIcon_01_atlas,icon_shinei_13046,chataipingfeng_lev01,,,,,,5,0,-1,1,87,90,1,2,500,,2,1,500,35,
13047,中式地灯,icon_shinei_13047,FurnitureIcon_01_atlas,icon_shinei_13047,zhongshidideng_lev01,,,,,,5,0,-1,1,87,90,1,2,150,,1,1,50,15,
13048,中式书架,icon_shinei_13048,FurnitureIcon_01_atlas,icon_shinei_13048,zhongshishujia_lev01,,,,,,5,0,-1,1,87,90,1,2,200,,2,1,100,15,
13049,中式木窗,icon_shinei_13049,FurnitureIcon_01_atlas,icon_shinei_13049,muchuang_lev01,,,,,,4,0,-1,1,87,90,1,2,300,,1,1,200,,
13050,扇形木窗,icon_shinei_13050,FurnitureIcon_01_atlas,icon_shinei_13050,shanxingwindow_lev01,,,,,,4,0,-1,1,87,90,1,2,450,,1,1,80,,
13051,山水画,icon_shinei_13051,FurnitureIcon_01_atlas,icon_shinei_13051,shanshuihua_lev01,,,,,,4,0,-1,1,87,90,1,2,180,,1,1,50,,
13052,南瓜立灯,icon_shinei_13052,FurnitureIcon_01_atlas,icon_shinei_13052,nangualamp_lev01,,,,,,5,0,-1,1,87,90,1,2,420,,1,1,235,20,
13053,南瓜壁炉,icon_shinei_13053,FurnitureIcon_01_atlas,icon_shinei_13053,nanguabilu_lev01,,,,,,5,0,-1,1,87,90,1,2,1200,,2,2,900,50,
13054,埃及猫,icon_shinei_13054,FurnitureIcon_01_atlas,icon_shinei_13054,aijicat_lev01,,,,,,5,0,-1,1,87,90,1,2,1200,,1,1,800,15,
13055,豪华沙发,icon_shinei_13055,FurnitureIcon_01_atlas,icon_shinei_13055,haohuasofa_lev01,,,,,,5,0,-1,1,87,90,1,2,1200,,2,1,600,20,
13056,人像画,icon_shinei_13056,FurnitureIcon_01_atlas,icon_shinei_13056,shaonv_lev01,,,,,,4,0,-1,1,87,90,1,2,1200,,1,1,180,,
13057,鹿头挂饰,icon_shinei_13057,FurnitureIcon_01_atlas,icon_shinei_13057,lutou_lev01,,,,,,4,0,-1,1,87,90,1,2,1200,,1,1,355,,
13058,衣帽架,icon_shinei_13058,FurnitureIcon_01_atlas,icon_shinei_13058,yimaojia_lev01,,,,,,5,0,-1,1,87,90,1,2,1200,,1,1,45,8,
13059,化妆台,icon_shinei_13059,FurnitureIcon_01_atlas,icon_shinei_13059,huazhuangtai_lev01,,,,,,5,0,-1,1,87,90,1,2,1200,,2,1,135,10,
13060,酿酒桶,icon_shinei_13060,FurnitureIcon_01_atlas,icon_shinei_13060,jiutong_lev01,,,,,,5,0,-1,1,27,30,1,2,740,,2,1,235,25,
13061,小吧台,icon_shinei_13061,FurnitureIcon_01_atlas,icon_shinei_13061,huazhuangtai_lev01,,,,,,5,0,-1,1,87,90,1,2,1200,,2,1,180,15,
13062,长方形地毯,icon_shinei_13062,FurnitureIcon_01_atlas,icon_shinei_13062,cfxdt_lev01,,,,,,3,0,-1,1,87,90,1,2,1200,3,3,2,800,,
13063,阿拉丁飞毯,icon_shinei_13063,FurnitureIcon_01_atlas,icon_shinei_13063,aladingditan_lev01,,,,,,3,0,-1,1,87,90,1,2,1200,3,3,2,1000,,
13064,圣诞花环,icon_shinei_13064,FurnitureIcon_01_atlas,icon_shinei_13064,sdhq_lev01,,,,,,4,0,-1,1,87,90,1,2,1200,,1,1,235,,
13065,圣诞树,icon_shinei_13065,FurnitureIcon_01_atlas,icon_shinei_13065,sds_lev01,,,,,,5,0,-1,1,87,90,1,2,1200,,2,2,700,30,
13066,堆积的礼物,icon_shinei_13066,FurnitureIcon_01_atlas,icon_shinei_13066,sdlh_lev01,,,,,,5,0,-1,1,87,90,1,2,1200,,1,1,235,15,
13067,叉腰的柜子,icon_shinei_13067,FurnitureIcon_01_atlas,icon_shinei_13067,cygz_lev01,,,,,,5,0,-1,1,87,90,1,2,1200,,1,1,500,30,
13068,标本挂画,icon_shinei_13068,FurnitureIcon_01_atlas,icon_shinei_13068,hdbb_lev01,,,,,,4,0,-1,1,87,90,1,2,1200,,2,1,135,,
13069,懒人沙发,icon_shinei_13069,FurnitureIcon_01_atlas,icon_shinei_13069,lrshafa_lev01,,,,,,5,0,-1,1,87,90,1,2,1200,,2,1,455,15,
13070,复古船舵,icon_shinei_13070,FurnitureIcon_01_atlas,icon_shinei_13070,chuanduo_lev01,,,,,,4,0,-1,1,87,90,1,2,1200,,1,1,255,,
13071,字画卷轴缸,icon_shinei_13071,FurnitureIcon_01_atlas,icon_shinei_13071,zhg_lev01,,,,,,5,0,-1,1,87,90,1,2,1200,,1,1,500,,
13072,木制屏风,icon_shinei_13072,FurnitureIcon_01_atlas,icon_shinei_13072,mzpf_lev01,,,,,,5,0,-1,1,87,90,1,2,1200,,3,1,500,,
13073,兔年窗花,icon_shinei_13073,FurnitureIcon_01_atlas,icon_shinei_13073,tnch_lev01,,,,,,4,0,-1,1,87,90,1,2,1200,,2,1,500,,
14001,残破的发电机,icon_shiwai_14001,FurnitureIcon_01_atlas,icon_shiwai_14001,fdj_lev01,,,,一个还能用的发电机，可惜总是漏油。,,10,0,-1,1,4,7,1,2,660,,2,1,180,,
14002,招牌废墟,icon_shiwai_14002,FurnitureIcon_01_atlas,icon_shiwai_14002,ggp_lev01,,,,挂上这个招牌，你的店铺就是这条街最靓的店。,,10,0,-1,1,6,9,1,2,980,,3,1,265,,
14003,路障,icon_shiwai_14003,FurnitureIcon_01_atlas,icon_shiwai_14003,gsp_lev01,,,,店铺室外装饰：摆上可以阻止丧尸靠近哦！,,10,0,-1,1,2,5,1,1,5000,,2,1,0,,
14004,烧烤架,icon_shiwai_14004,FurnitureIcon_01_atlas,icon_shiwai_140043,kaojia_lev01,,,,也许在这片废墟里，烤架是用来做大部分美食的必备之物了吧！,,10,0,-1,1,8,11,1,1,200000,,1,1,0,,
14005,摩托车,icon_shiwai_14005,FurnitureIcon_01_atlas,icon_shiwai_14005,moto_lev01,,,,已经启动不了的一辆摩托车。,,10,0,-1,1,10,13,1,2,660,,2,1,180,,
14006,邮箱,icon_shiwai_14006,FurnitureIcon_01_atlas,icon_shiwai_14006,niaowu_lev01,,,,虽然已经没有邮差来了，但是里面适合一些小动物居住。,,10,0,-1,1,12,15,1,1,20000,,1,1,0,,
14007,童年秋千,icon_shiwai_14007,FurnitureIcon_01_atlas,icon_shiwai_14007,qiuqian_lev01,,,,希望摆上这个秋千后，每个人都能上去坐一坐。,,10,0,-1,1,87,90,1,2,1310,,2,2,355,,
14008,神秘石像,icon_shiwai_14008,FurnitureIcon_01_atlas,icon_shiwai_14008,shenxiang_lev01,,,,有人从废墟里带回来的石像，据说摆放店铺门口能提升资源产量。,,10,0,1,1,1,1,1,3,1,,2,2,355,,1
14009,无线电接收站,icon_shiwai_14009,FurnitureIcon_01_atlas,icon_shiwai_14009,tianxian_lev01,,,,有了无线电接收站就能够更快的得到英雄的消息，酒馆英雄高品质刷新概率提升。,,10,0,1,1,1,1,1,3,4,,1,1,90,,2
14010,仙人掌绿植,icon_shiwai_14010,FurnitureIcon_01_atlas,icon_shiwai_14010,xrz_lev01,,,,能带来希望的装饰品，适合摆在店外。,,10,0,-1,1,2,5,1,1,5000,,1,1,0,,
14011,热带椰子树,icon_shiwai_14011,FurnitureIcon_01_atlas,icon_shiwai_14011,zls_lev01,,,,种在室外不知道能不能结出果子。,,10,0,-1,1,87,90,1,2,660,,2,1,180,,
14012,沙滩座椅,icon_shiwai_14012,FurnitureIcon_01_atlas,icon_shiwai_14012,zys_lev01,,,,沙滩座椅为顾客提供休息场所从而提高购物欲，所有装备出售价格提升,,10,0,1,1,1,1,1,3,7,,2,2,355,,3
14013,凉亭,icon_shiwai_14013,FurnitureIcon_01_atlas,icon_shiwai_14013,tingzi_lev01,,,,,,10,0,-1,1,17,20,1,2,1310,,2,2,355,,
14014,冰淇淋车,icon_shiwai_14014,FurnitureIcon_01_atlas,icon_shiwai_14014,bqlc_lev01,,,,,,10,0,-1,1,87,90,1,2,660,,2,1,180,,
14015,自由女神,icon_shiwai_14015,FurnitureIcon_01_atlas,icon_shiwai_14015,zyns_lev01,,,,,,10,0,-1,1,87,90,1,2,330,,1,1,580,,
14016,水井,icon_shiwai_14016,FurnitureIcon_01_atlas,icon_shiwai_14016,jing_lev01,,,,,,10,0,-1,1,87,90,1,2,330,,1,1,90,,
14017,狮身人像,icon_shiwai_14017,FurnitureIcon_01_atlas,icon_shiwai_14017,ssrx_lev01,,,,,,10,0,-1,1,87,90,1,2,660,,1,2,1400,,
14018,神庙,icon_shiwai_14018,FurnitureIcon_01_atlas,icon_shiwai_14018,shenmiao_lev01,,,,,,10,0,-1,1,87,90,1,2,1310,,2,2,800,,
14019,玛雅金字塔,icon_shiwai_14019,FurnitureIcon_01_atlas,icon_shiwai_14019,prymide_lev01,,,,,,10,0,-1,1,87,90,1,2,1310,,2,2,800,,
14020,埃菲尔铁塔,icon_shiwai_14020,FurnitureIcon_01_atlas,icon_shiwai_14020,tieta_lev01,,,,,,10,0,-1,1,87,90,1,2,1310,,2,2,800,,
14021,比萨斜塔,icon_shiwai_14021,FurnitureIcon_01_atlas,icon_shiwai_14021,xieta_lev01,,,,,,10,0,-1,1,87,90,1,2,1310,,2,2,800,,
14022,废弃加油机,icon_shiwai_14022,FurnitureIcon_01_atlas,icon_shiwai_14022,jiayouzhan_lev01,,,,,,10,0,-1,1,22,25,1,2,660,,2,1,180,,
14023,印第安图腾柱,icon_shiwai_14023,FurnitureIcon_01_atlas,icon_shiwai_14023,mayaxiang_lev01,,,,,,10,0,-1,1,87,90,1,2,330,,1,1,580,,
14024,房车,icon_shiwai_14024,FurnitureIcon_01_atlas,icon_shiwai_14024,fangche_lev01,,,,,,10,0,-1,1,25,28,1,2,800,,2,2,355,,
14025,游艇,icon_shiwai_14025,FurnitureIcon_01_atlas,icon_shiwai_14025,youting_lev01,,,,,,10,0,-1,1,87,90,1,2,1200,,3,2,700,,
14026,耶稣神像,icon_shiwai_14026,FurnitureIcon_01_atlas,icon_shiwai_14026,jidushan_lev01,,,,,,10,0,-1,1,87,90,1,2,1310,,2,2,800,,
14027,花盆路灯,icon_shiwai_14027,FurnitureIcon_01_atlas,icon_shiwai_14027,huadeng_lev01,,,,,,10,0,-1,1,11,14,1,2,330,,1,1,90,,
