languages_game,languages_CN,languages_TC,languages_EN
领袖之路成长计划，<color=#61c2ff><size=42>20</size>倍</color>返利只要<color=#ec6eff><size=42>4.99</size>美元</color>，就返价值<color=#ffea3c><size=42>6000</size>金块奖励！</color>,领袖之路成长计划，<color=#61c2ff><size=42>20</size>倍</color>返利只要<color=#ec6eff><size=42>4.99</size>美元</color>，就返价值<color=#ffea3c><size=42>6000</size>金块奖励！</color>,領袖之路成長計劃，<color=#61c2ff><size=42>20</size>倍</color>返利只要<color=#ec6eff><size=42>4.99</size>美元</color>，就返價值<color=#ffea3c><size=42>6000</size>金塊獎勵！</color>,Leader's Growth Fund， <color=#61c2ff><size=42>20</size> times</color> return is only <color=#ec6eff><size=42>4.99</size>USD</color> ， you will be rewarded with <color=#ffea3c><size=42>6000</size>! </color>  gold bars.
您与服务器的连接已丢失。请重新连接,您与服务器的连接已丢失。请重新连接,您與服務器的連接已丟失。請重新連接,You've lost connection to the server. Please reconnect to continue the game. Error (4006)
以继续游戏。（错误4006）,以继续游戏。（错误4006）,以繼續遊戲。（錯誤4006）,
输入兑换码,输入兑换码,輸入兌換碼,Enter redeem code
欢迎回来!,欢迎回来!,歡迎回來!,Welcome back!
嗨！店长！这是您离开期间错过的内容！,嗨！店长！这是您离开期间错过的内容！,嗨！店長！這是您離開期間錯過的內容！,Hi， Shopkeeper! Here's what you missed while offline!
黑市商店,黑市商店,黑市商店,Black Market
超值,超值,超值,Super Value
2,2,2,2
已售罄,已售罄,已售罄,Sold out
确认重置,确认重置,確認重置,Confirm to reset
重置成功!,重置成功!,重置成功!,Reset successfully!
首次翻倍,首次翻倍,首次翻倍,1st Double
英雄之路,英雄之路,英雄之路,Hero Road
解锁大亨之路超额奖励，收益1200%,解锁大亨之路超额奖励，收益1200%,解鎖大亨之路超額獎勵，收益1200%,Unlock extra rewards of Tycoon Road to gain 1200% bonus!
1、每个任务都可以领取一份额外高收益奖励。,1、每个任务都可以领取一份额外高收益奖励。,1、每個任務都可以領取一份額外高收益獎勵。,1. To claim an additional reward for each task.
2、每天领取完所有奖励后，可以额外再领取一份特殊超稀有奖励！,2、每天领取完所有奖励后，可以额外再领取一份特殊超稀有奖励！,2、每天領取完所有獎勵後，可以額外再領取一份特殊超稀有獎勵！,2. To obtain an extra special reward after receiving all the normal rewards every day!
3，  解除大亨通行证层数限制层数限制,3，  解除大亨通行证层数限制层数限制,3，  解除大亨通行證層數限製層數限製,
边境之王,边境之王,邊境之王,The king of the border
距商店关闭还有,距商店关闭还有,距商店關閉還有,Close in: 
5天12时,5天12时,5天12時,5d 12h
《用户协议》,《用户协议》,《用戶協議》,<Service Terms>
《隐私政策》,《隐私政策》,《隱私政策》,<Privacy Policy>
激活新图纸！,激活新图纸！,激活新圖紙！,Activate new blueprint!
护甲提升20%，在队友都死亡的情况下，自身护甲额外提升200%,护甲提升20%，在队友都死亡的情况下，自身护甲额外提升200%,護甲提升20%，在隊友都死亡的情況下，自身護甲額外提升200%,Increased armor by 20%， and if all teammates are dead， the armor is increased by an additional 200%
转职礼盒,转职礼盒,轉職禮盒,Advancement Box
<size=32>价格</size>,<size=32>价格</size>,<size=32>價格</size>,<size=32> Price </size>
<size=32>优惠</size>,<size=32>优惠</size>,<size=32>優惠</size>,<size=32> Discounts </size>
联盟勋章，可以用来升级联盟科技，开启联盟技能,联盟勋章，可以用来升级联盟科技，开启联盟技能,聯盟勛章，可以用來升級聯盟科技，開啟聯盟技能,Guild Medals， which can be used to upgrade guild tech and unlock guild skills
6阶麻醉手表,6阶麻醉手表,6階麻醉手表,Tier 6 Anesthesia Watch
4阶战术望远镜,4阶战术望远镜,4階戰術望遠鏡,Tier 4 Tactical Telescope
击杀街道废墟简单BOSS,击杀街道废墟简单BOSS,擊殺街道廢墟簡單BOSS,Kill BOSS on easy difficulty of Street Ruins
超值\n150%,超值\n150%,超值\n150%,Bonus\n150%
<color=#e95aff>稀有</color>,<color=#e95aff>稀有</color>,<color=#e95aff>稀有</color>,<color=#e95aff> Rare </color>
<Color=#ff911c>超稀有</Color>,<Color=#ff911c>超稀有</Color>,<Color=#ff911c>超稀有</Color>,<color=#e95aff> Super Rare </color>
超值\n200%,超值\n200%,超值\n200%,Bonus\n200%
制作简易弓达到X9可解锁,制作简易弓达到X9可解锁,製作簡易弓達到X9可解鎖,Craft 9 Simple Bow
制作左轮手枪达到X8可解锁,制作左轮手枪达到X8可解锁,製作左輪手槍達到X8可解鎖,Craft 8 Revolver
制作铁桶头盔达到X7可解锁,制作铁桶头盔达到X7可解锁,製作鐵桶頭盔達到X7可解鎖,Craft 7 Iron Helmet
制作棒球帽达到X8可解锁,制作棒球帽达到X8可解锁,製作棒球帽達到X8可解鎖,Craft 8 Baseball Cap
制作防爆腿甲达到X7可解锁,制作防爆腿甲达到X7可解锁,製作防爆腿甲達到X7可解鎖,Craft 7 Blast Legguards
制作马蜂窝达到X8可解锁,制作马蜂窝达到X8可解锁,製作馬蜂窩達到X8可解鎖,Craft 8 Hornet's Nest
哇哦！有新的福利送到啦！每天别忘记在这里可以<Color=#3aff5c>签到</Color>领取你的每日奖励哦！,哇哦！有新的福利送到啦！每天别忘记在这里可以<Color=#3aff5c>签到</Color>领取你的每日奖励哦！,哇哦！有新的福利送到啦！每天別忘記在這裏可以<Color=#3aff5c>簽到</Color>領取你的每日獎勵哦！,Wow! New benefits! Don't forget to <Color=#3aff5c>check-in</Color> here every day for daily rewards!
点击<Color=#3aff5c>福利</Color>按钮。,点击<Color=#3aff5c>福利</Color>按钮。,點擊<Color=#3aff5c>福利</Color>按鈕。,Click <Color=#3aff5c>Benefit</Color> button.
这里可以领取到各种<Color=#3aff5c>稀有道具</Color>，累计签到次数越多奖励越高哦！,这里可以领取到各种<Color=#3aff5c>稀有道具</Color>，累计签到次数越多奖励越高哦！,這裏可以領取到各種<Color=#3aff5c>稀有道具</Color>，累計簽到次數越多獎勵越高哦！,Here you can claim kinds of <Color=#3aff5c>rare items</Color>， the more you check-in， the better the reward!
很好，看起来您学会了如何经营这家商店，可以开始您的<Color=#3aff5c>大亨之路</Color>了。|接下来我们就去看看怎样成为一名世界<Color=#3aff5c>大亨</Color>！,很好，看起来您学会了如何经营这家商店，可以开始您的<Color=#3aff5c>大亨之路</Color>了。|接下来我们就去看看怎样成为一名世界<Color=#3aff5c>大亨</Color>！,很好，看起來您學會了如何經營這家商店，可以開始您的<Color=#3aff5c>大亨之路</Color>了。|接下來我們就去看看怎樣成為一名世界<Color=#3aff5c>大亨</Color>！,Great， it looks like you've learned how to run the shop and just start your <Color=#3aff5c>tycoon road</Color>. |Next， let's see how to become a world-class <Color=#3aff5c>tycoon</Color>!
使用副本道具，副本道具数量不足,使用副本道具，副本道具数量不足,使用副本道具，副本道具數量不足,Use props. The prop is not enough.
您的战斗辅助道具数量不足，可以通过以下方式获得副本辅助道具！,您的战斗辅助道具数量不足，可以通过以下方式获得副本辅助道具！,您的戰鬥輔助道具數量不足，可以通過以下方式獲得副本輔助道具！,Your combat AIDS is not enough. You can collect it in the following ways!
使用金条，数量不足时弹出的提示,使用金条，数量不足时弹出的提示,使用金條，數量不足時彈出的提示,Use gold bars. The pop-up prompts when there are not enough gold bars.
当前金条不足！这里可以快捷补充金条哦！,当前金条不足！这里可以快捷补充金条哦！,當前金條不足！這裏可以快捷補充金條哦！,Your gold bars are not enough. Here you can replenish it quickly!
前往【宝箱】获得图纸碎片！,前往【宝箱】获得图纸碎片！,前往【寶箱】獲得圖紙碎片！,Obtain Mystic Shards from Chest!
前往【黑市商店】获得图纸碎片！,前往【黑市商店】获得图纸碎片！,前往【黑市商店】獲得圖紙碎片！,Obtain Mystic Shards from Black Market!
前往黑市,前往黑市,前往黑市,Go to Black Market
前往【幸运转盘】获得图纸碎片！,前往【幸运转盘】获得图纸碎片！,前往【幸運轉盤】獲得圖紙碎片！,Obtain Mystic Shards from Lucky Wheel!
开启【英雄补给】获得转职材料！,开启【英雄补给】获得转职材料！,開啟【英雄補給】獲得轉職材料！,Obtain Advancement Items from Hero Supply!
前往商店,前往商店,前往商店,Go to Shop
前往【黑市商店】获得转职材料！,前往【黑市商店】获得转职材料！,前往【黑市商店】獲得轉職材料！,Obtain Advancement Items from Black Market!
满足每日【艾莉的收购】获得转职材料！,满足每日【艾莉的收购】获得转职材料！,滿足每日【艾莉的收購】獲得轉職材料！,Obtain Advancement Items by fulfilling Eily's purchase!
前往【幸运转盘】获得战斗道具！,前往【幸运转盘】获得战斗道具！,前往【幸運轉盤】獲得戰鬥道具！,Obtain Combat Props from Lucky Wheel!
前往【宝箱】获得战斗道具！,前往【宝箱】获得战斗道具！,前往【寶箱】獲得戰鬥道具！,Obtain Combat Props from Chest!
前往【黑市商店】获得战斗道具！,前往【黑市商店】获得战斗道具！,前往【黑市商店】獲得戰鬥道具！,Obtain Combat Props from Black Market!
使用后可获得1个SR射手（需要1个空英雄栏）,使用后可获得1个SR射手（需要1个空英雄栏）,使用後可獲得1個SR射手（需要1個空英雄欄）,Use it to get an SR Hunter（Require one hero slot)
初级礼盒,初级礼盒,初級禮盒,Primary Box
随机获得常见道具,随机获得常见道具,隨機獲得常見道具,Randomly obtain primary items
中级礼盒,中级礼盒,中級禮盒,Middle Box
随机获得中级道具,随机获得中级道具,隨機獲得中級道具,Randomly obtain middle items
高级礼盒,高级礼盒,高級禮盒,Senior Box
随机获得高级道具,随机获得高级道具,隨機獲得高級道具,Randomly obtain senior items
转职宝箱,转职宝箱,轉職寶箱,Advancement Box
可以获得「碎木地板」--装修店铺所用的地板样式,可以获得「碎木地板」--装修店铺所用的地板样式,可以獲得「碎木地板」--裝修店鋪所用的地板樣式,Contains「Chipped Wood Floor」--Shop Floor
可以获得「白桦木地板」--装修店铺所用的地板样式,可以获得「白桦木地板」--装修店铺所用的地板样式,可以獲得「白樺木地板」--裝修店鋪所用的地板樣式,Contains「Birch Wood floor」--Shop Floor
可以获得「残破的地砖」--装修店铺所用的地板样式,可以获得「残破的地砖」--装修店铺所用的地板样式,可以獲得「殘破的地磚」--裝修店鋪所用的地板樣式,Contains「Broken Floor Tiles」--Shop Floor
可以获得「维纳斯地板」--装修店铺所用的地板样式,可以获得「维纳斯地板」--装修店铺所用的地板样式,可以獲得「維納斯地板」--裝修店鋪所用的地板樣式,Contains「Venus Floor」--Shop Floor
可以获得「维纳斯罗德纹」--装修店铺所用的地板样式,可以获得「维纳斯罗德纹」--装修店铺所用的地板样式,可以獲得「維納斯羅德紋」--裝修店鋪所用的地板樣式,Contains「Venus Rhodes」--Shop Floor
可以获得「拼块地板」--装修店铺所用的地板样式,可以获得「拼块地板」--装修店铺所用的地板样式,可以獲得「拼塊地板」--裝修店鋪所用的地板樣式,Contains「Tile Floor」--Shop Floor
可以获得「粽叶地板」--装修店铺所用的地板样式,可以获得「粽叶地板」--装修店铺所用的地板样式,可以獲得「粽葉地板」--裝修店鋪所用的地板樣式,Contains「Reed Leaf Floor」--Shop Floor
可以获得「花簇地板」--装修店铺所用的地板样式,可以获得「花簇地板」--装修店铺所用的地板样式,可以獲得「花簇地板」--裝修店鋪所用的地板樣式,Contains「Flower Floor」--Shop Floor
可以获得「方形地板」--装修店铺所用的地板样式,可以获得「方形地板」--装修店铺所用的地板样式,可以獲得「方形地板」--裝修店鋪所用的地板樣式,Contains「Square Floor」--Shop Floor
可以获得「电光迸射地板」--装修店铺所用的地板样式,可以获得「电光迸射地板」--装修店铺所用的地板样式,可以獲得「電光迸射地板」--裝修店鋪所用的地板樣式,Contains「Light Floor」--Shop Floor
可以获得「枫叶地板」--装修店铺所用的地板样式,可以获得「枫叶地板」--装修店铺所用的地板样式,可以獲得「楓葉地板」--裝修店鋪所用的地板樣式,Contains「Maple Floor」--Shop Floor
可以获得「狗狗地板」--装修店铺所用的地板样式,可以获得「狗狗地板」--装修店铺所用的地板样式,可以獲得「狗狗地板」--裝修店鋪所用的地板樣式,Contains「Dog Floor」--Shop Floor
可以获得「交织地板」--装修店铺所用的地板样式,可以获得「交织地板」--装修店铺所用的地板样式,可以獲得「交織地板」--裝修店鋪所用的地板樣式,Contains「Interwoven Floor」--Shop Floor
可以获得「粉刷的墙壁」--装修店铺所用的墙纸样式,可以获得「粉刷的墙壁」--装修店铺所用的墙纸样式,可以獲得「粉刷的墻壁」--裝修店鋪所用的墻紙樣式,Contains「Whitewashed Walls」--Shop Wallpaper
可以获得「砖头墙壁」--装修店铺所用的墙纸样式,可以获得「砖头墙壁」--装修店铺所用的墙纸样式,可以獲得「磚頭墻壁」--裝修店鋪所用的墻紙樣式,Contains「Brick Wall」--Shop Wallpaper
可以获得「条纹墙纸」--装修店铺所用的墙纸样式,可以获得「条纹墙纸」--装修店铺所用的墙纸样式,可以獲得「條紋墻紙」--裝修店鋪所用的墻紙樣式,Contains「Striped Wallpaper」--Shop Wallpaper
可以获得「黄昏墙纸」--装修店铺所用的墙纸样式,可以获得「黄昏墙纸」--装修店铺所用的墙纸样式,可以獲得「黃昏墻紙」--裝修店鋪所用的墻紙樣式,Contains「Twilight Wallpaper」--Shop Wallpaper
可以获得「海面幻影墙纸」--装修店铺所用的墙纸样式,可以获得「海面幻影墙纸」--装修店铺所用的墙纸样式,可以獲得「海面幻影墻紙」--裝修店鋪所用的墻紙樣式,Contains「Sea Wallpaper」--Shop Wallpaper
可以获得「西瓜墙纸」--装修店铺所用的墙纸样式,可以获得「西瓜墙纸」--装修店铺所用的墙纸样式,可以獲得「西瓜墻紙」--裝修店鋪所用的墻紙樣式,Contains「Watermelon Wallpaper」--Shop Wallpaper
可以获得「动物墙纸」--装修店铺所用的墙纸样式,可以获得「动物墙纸」--装修店铺所用的墙纸样式,可以獲得「動物墻紙」--裝修店鋪所用的墻紙樣式,Contains「Animal Wallpaper」--Shop Wallpaper
可以获得「仿砖墙纸」--装修店铺所用的墙纸样式,可以获得「仿砖墙纸」--装修店铺所用的墙纸样式,可以獲得「仿磚墻紙」--裝修店鋪所用的墻紙樣式,Contains「Brick Wallpaper」--Shop Wallpaper
可以获得「竹墙纸」--装修店铺所用的墙纸样式,可以获得「竹墙纸」--装修店铺所用的墙纸样式,可以獲得「竹墻紙」--裝修店鋪所用的墻紙樣式,Contains「Bamboo Wallpaper」--Shop Wallpaper
可以获得「复古墙纸」--装修店铺所用的墙纸样式,可以获得「复古墙纸」--装修店铺所用的墙纸样式,可以獲得「復古墻紙」--裝修店鋪所用的墻紙樣式,Contains「Vintage Wallpaper」--Shop Wallpaper
可以获得「儿童墙纸」--装修店铺所用的墙纸样式,可以获得「儿童墙纸」--装修店铺所用的墙纸样式,可以獲得「兒童墻紙」--裝修店鋪所用的墻紙樣式,Contains「Kids Wallpaper」--Shop Wallpaper
可以获得「海底世界墙纸」--装修店铺所用的墙纸样式,可以获得「海底世界墙纸」--装修店铺所用的墙纸样式,可以獲得「海底世界墻紙」--裝修店鋪所用的墻紙樣式,Contains「Underwater Wallpaper」--Shop Wallpaper
可以获得「晚安墙纸」--装修店铺所用的墙纸样式,可以获得「晚安墙纸」--装修店铺所用的墙纸样式,可以獲得「晚安墻紙」--裝修店鋪所用的墻紙樣式,Contains「Goodnight Wallpaper」--Shop Wallpaper
可以获得「花海墙纸」--装修店铺所用的墙纸样式,可以获得「花海墙纸」--装修店铺所用的墙纸样式,可以獲得「花海墻紙」--裝修店鋪所用的墻紙樣式,Contains「Flower Sea Wallpaper」--Shop Wallpaper
可以获得「星星墙纸」--装修店铺所用的墙纸样式,可以获得「星星墙纸」--装修店铺所用的墙纸样式,可以獲得「星星墻紙」--裝修店鋪所用的墻紙樣式,Contains「Star Wallpaper」--Shop Wallpaper
可以获得「麋鹿墙纸」--装修店铺所用的墙纸样式,可以获得「麋鹿墙纸」--装修店铺所用的墙纸样式,可以獲得「麋鹿墻紙」--裝修店鋪所用的墻紙樣式,Contains「Elk Wallpaper」--Shop Wallpaper
可以获得「祥云墙纸」--装修店铺所用的墙纸样式,可以获得「祥云墙纸」--装修店铺所用的墙纸样式,可以獲得「祥雲墻紙」--裝修店鋪所用的墻紙樣式,Contains「Cloud Wallpaper」--Shop Wallpaper
可以获得「小地毯」--装饰店铺所用的地毯,可以获得「小地毯」--装饰店铺所用的地毯,可以獲得「小地毯」--裝飾店鋪所用的地毯,Contains「Small Carpet」--Shop Carpet
可以获得「大地毯」--装饰店铺所用的地毯,可以获得「大地毯」--装饰店铺所用的地毯,可以獲得「大地毯」--裝飾店鋪所用的地毯,Contains「Large Carpet」--Shop Carpet
可以获得「武器板」--装饰店铺所用的墙壁挂饰,可以获得「武器板」--装饰店铺所用的墙壁挂饰,可以獲得「武器板」--裝飾店鋪所用的墻壁掛飾,Contains「Weapon Board」--Wall Decor
可以获得「留言板」--装饰店铺所用的墙壁挂饰,可以获得「留言板」--装饰店铺所用的墙壁挂饰,可以獲得「留言板」--裝飾店鋪所用的墻壁掛飾,Contains「Message Board」--Wall Decor
可以获得「壁垒日报」--装饰店铺所用的墙壁挂饰,可以获得「壁垒日报」--装饰店铺所用的墙壁挂饰,可以獲得「壁壘日報」--裝飾店鋪所用的墻壁掛飾,Contains「Shelter Daily」--Wall Decor
可以获得「壁炉」--装饰店铺所用的地面摆件,可以获得「壁炉」--装饰店铺所用的地面摆件,可以獲得「壁爐」--裝飾店鋪所用的地面擺件,Contains「Fireplace」--Indoor Furniture
可以获得「羚羊墙饰」--装饰店铺所用的墙壁挂饰,可以获得「羚羊墙饰」--装饰店铺所用的墙壁挂饰,可以獲得「羚羊墻飾」--裝飾店鋪所用的墻壁掛飾,Contains「Antelope Decor」--Wall Decor
可以获得「编织墙饰」--装饰店铺所用的墙壁挂饰,可以获得「编织墙饰」--装饰店铺所用的墙壁挂饰,可以獲得「編織墻飾」--裝飾店鋪所用的墻壁掛飾,Contains「Woven Decor」--Wall Decor
可以获得「油箱」--装饰店铺所用的地面摆件,可以获得「油箱」--装饰店铺所用的地面摆件,可以獲得「油箱」--裝飾店鋪所用的地面擺件,Contains「Oil Trunk」--Indoor Furniture
可以获得「子弹箱」--装饰店铺所用的地面摆件,可以获得「子弹箱」--装饰店铺所用的地面摆件,可以獲得「子彈箱」--裝飾店鋪所用的地面擺件,Contains「Bullet Container」--Indoor Furniture
可以获得「木制地下室」--装饰店铺所用的地面摆件,可以获得「木制地下室」--装饰店铺所用的地面摆件,可以獲得「木製地下室」--裝飾店鋪所用的地面擺件,Contains「Wood Basement」--Indoor Furniture
可以获得「精钢地牢」--装饰店铺所用的地面摆件,可以获得「精钢地牢」--装饰店铺所用的地面摆件,可以獲得「精鋼地牢」--裝飾店鋪所用的地面擺件,Contains「Steel Dungeon」--Indoor Furniture
可以获得「设计师的桌子」--装饰店铺所用的地面摆件,可以获得「设计师的桌子」--装饰店铺所用的地面摆件,可以獲得「設計師的桌子」--裝飾店鋪所用的地面擺件,Contains「Designer Desk」--Indoor Furniture
可以获得「幸运飞镖」--装饰店铺所用的墙壁挂饰,可以获得「幸运飞镖」--装饰店铺所用的墙壁挂饰,可以獲得「幸運飛鏢」--裝飾店鋪所用的墻壁掛飾,Contains「Lucky Dart」--Wall Decor
可以获得「花盆」--装饰店铺所用的地面摆件,可以获得「花盆」--装饰店铺所用的地面摆件,可以獲得「花盆」--裝飾店鋪所用的地面擺件,Contains「Flowerpot」--Indoor Furniture
可以获得「修复的街机」--装饰店铺所用的地面摆件,可以获得「修复的街机」--装饰店铺所用的地面摆件,可以獲得「修復的街機」--裝飾店鋪所用的地面擺件,Contains「Repaired Arcade」--Indoor Furniture
可以获得「盆栽」--装饰店铺所用的地面摆件,可以获得「盆栽」--装饰店铺所用的地面摆件,可以獲得「盆栽」--裝飾店鋪所用的地面擺件,Contains「Potted Plants」--Indoor Furniture
可以获得「钢琴」--装饰店铺所用的地面摆件,可以获得「钢琴」--装饰店铺所用的地面摆件,可以獲得「鋼琴」--裝飾店鋪所用的地面擺件,Contains「Piano」--Indoor Furniture
可以获得「书柜」--装饰店铺所用的地面摆件,可以获得「书柜」--装饰店铺所用的地面摆件,可以獲得「書櫃」--裝飾店鋪所用的地面擺件,Contains「Bookcase」--Indoor Furniture
可以获得「沙发」--装饰店铺所用的地面摆件,可以获得「沙发」--装饰店铺所用的地面摆件,可以獲得「沙發」--裝飾店鋪所用的地面擺件,Contains「Sofa」--Indoor Furniture
可以获得「破损的音响」--装饰店铺所用的地面摆件,可以获得「破损的音响」--装饰店铺所用的地面摆件,可以獲得「破損的音響」--裝飾店鋪所用的地面擺件,Contains「Broken Speaker」--Indoor Furniture
可以获得「待客沙发」--装饰店铺所用的地面摆件,可以获得「待客沙发」--装饰店铺所用的地面摆件,可以獲得「待客沙發」--裝飾店鋪所用的地面擺件,Contains「Guest Sofa」--Indoor Furniture
可以获得「桌面足球」--装饰店铺所用的地面摆件,可以获得「桌面足球」--装饰店铺所用的地面摆件,可以獲得「桌面足球」--裝飾店鋪所用的地面擺件,Contains「Football Table」--Indoor Furniture
可以获得「留声机」--装饰店铺所用的地面摆件,可以获得「留声机」--装饰店铺所用的地面摆件,可以獲得「留聲機」--裝飾店鋪所用的地面擺件,Contains「Phonograph」--Indoor Furniture
可以获得「招财猫」--装饰店铺所用的地面摆件,可以获得「招财猫」--装饰店铺所用的地面摆件,可以獲得「招財貓」--裝飾店鋪所用的地面擺件,Contains「Lucky Cat」--Indoor Furniture
可以获得「老式挂钟」--装饰店铺所用的墙壁挂饰,可以获得「老式挂钟」--装饰店铺所用的墙壁挂饰,可以獲得「老式掛鐘」--裝飾店鋪所用的墻壁掛飾,Contains「Old Wall Clock」--Wall Decor
可以获得「落地钟」--装饰店铺所用的地面摆件,可以获得「落地钟」--装饰店铺所用的地面摆件,可以獲得「落地鐘」--裝飾店鋪所用的地面擺件,Contains「Grandfather Clock」--Indoor Furniture
可以获得「吉他」--装饰店铺所用的墙壁挂饰,可以获得「吉他」--装饰店铺所用的墙壁挂饰,可以獲得「吉他」--裝飾店鋪所用的墻壁掛飾,Contains「Guitar」--Wall Decor
可以获得「木乃伊」--装饰店铺所用的地面摆件,可以获得「木乃伊」--装饰店铺所用的地面摆件,可以獲得「木乃伊」--裝飾店鋪所用的地面擺件,Contains「Mummy」--Indoor Furniture
可以获得「名画-呐喊」--装饰店铺所用的墙壁挂饰,可以获得「名画-呐喊」--装饰店铺所用的墙壁挂饰,可以獲得「名畫-吶喊」--裝飾店鋪所用的墻壁掛飾,Contains「Painting - Scream」--Wall Decor
可以获得「名画-蒙娜丽莎」--装饰店铺所用的墙壁挂饰,可以获得「名画-蒙娜丽莎」--装饰店铺所用的墙壁挂饰,可以獲得「名畫-蒙娜麗莎」--裝飾店鋪所用的墻壁掛飾,Contains「Painting - Mona Lisa」--Wall Decor
可以获得「吸血鬼棺材」--装饰店铺所用的地面摆件,可以获得「吸血鬼棺材」--装饰店铺所用的地面摆件,可以獲得「吸血鬼棺材」--裝飾店鋪所用的地面擺件,Contains「Vampire Coffin」--Indoor Furniture
可以获得「十字架」--装饰店铺所用的墙壁挂饰,可以获得「十字架」--装饰店铺所用的墙壁挂饰,可以獲得「十字架」--裝飾店鋪所用的墻壁掛飾,Contains「Cross」--Wall Decor
可以获得「恐龙化石」--装饰店铺所用的地面摆件,可以获得「恐龙化石」--装饰店铺所用的地面摆件,可以獲得「恐龍化石」--裝飾店鋪所用的地面擺件,Contains「Dinosaur Fossil」--Indoor Furniture
可以获得「锦绣花田毯」--装饰店铺所用的地毯,可以获得「锦绣花田毯」--装饰店铺所用的地毯,可以獲得「錦繡花田毯」--裝飾店鋪所用的地毯,Contains「Flower Field Blanket」--Shop Carpet
