id,item_id,item_type,item_num,atlas,icon,desc
100,150006,18,4,item_atlas_newAdd,jingyanxiang01,小型经验箱
101,90001,19,4,item_atlas,90001,普通转职证书
102,130001,20,2,item_atlas,130001,便携交通工具
103,130100,21,2,item_atlas,130100,初级探测器
104,10004,4,3,item_atlas,10004,图纸碎片
105,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
106,150002,23,5,item_atlas,150002,功能饮料
107,150007,18,5,item_atlas_newAdd,jingyanxiang02,中型经验箱
108,90001,19,6,item_atlas,90001,普通转职证书
109,130300,24,2,item_atlas,130300,初级战斗手册
110,130002,20,2,item_atlas,130002,轻型机动车
111,10004,4,3,item_atlas,10004,图纸碎片
112,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
113,150001,23,1,item_atlas,150001,恢复药水
114,150007,18,6,item_atlas_newAdd,jingyanxiang02,中型经验箱
115,90001,19,8,item_atlas,90001,普通转职证书
116,130300,24,2,item_atlas,130300,初级战斗手册
117,130101,21,2,item_atlas,130101,中级探测器
118,10004,4,3,item_atlas,10004,图纸碎片
119,90011,19,2,item_atlas,90011,精英转职证书
120,413021,40,1,FurnitureIcon_01_atlas,icon_shinei_13021,沙发
121,130400,25,2,item_atlas,130400,维修工具
122,60005,9,2,item_atlas,60005,胜利宝箱IC卡
123,150002,23,5,item_atlas,150002,功能饮料
124,130400,25,2,item_atlas,130400,维修工具
125,90001,19,2,item_atlas,90001,普通转职证书
126,130100,21,2,item_atlas,130100,初级探测器
127,10004,4,3,item_atlas,10004,图纸碎片
128,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
129,150002,23,5,item_atlas,150002,功能饮料
130,150006,18,5,item_atlas_newAdd,jingyanxiang01,小型经验箱
131,90001,19,4,item_atlas,90001,普通转职证书
132,130001,20,2,item_atlas,130001,便携交通工具
133,130100,21,2,item_atlas,130100,初级探测器
134,10004,4,3,item_atlas,10004,图纸碎片
135,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
136,150002,23,5,item_atlas,150002,功能饮料
137,150007,18,6,item_atlas_newAdd,jingyanxiang02,中型经验箱
138,90001,19,6,item_atlas,90001,普通转职证书
139,130300,24,2,item_atlas,130300,初级战斗手册
140,130002,20,2,item_atlas,130002,轻型机动车
141,10004,4,3,item_atlas,10004,图纸碎片
142,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
143,150001,23,1,item_atlas,150001,恢复药水
144,150007,18,7,item_atlas_newAdd,jingyanxiang02,中型经验箱
145,90001,19,8,item_atlas,90001,普通转职证书
146,130300,24,2,item_atlas,130300,初级战斗手册
147,130101,21,2,item_atlas,130101,中级探测器
148,10004,4,3,item_atlas,10004,图纸碎片
149,90011,19,2,item_atlas,90011,精英转职证书
150,413022,40,1,FurnitureIcon_01_atlas,icon_shinei_13022,破损的音响
151,130400,25,2,item_atlas,130400,维修工具
152,60005,9,2,item_atlas,60005,胜利宝箱IC卡
153,150002,23,5,item_atlas,150002,功能饮料
154,130400,25,2,item_atlas,130400,维修工具
155,90001,19,2,item_atlas,90001,普通转职证书
156,130100,21,2,item_atlas,130100,初级探测器
157,10004,4,3,item_atlas,10004,图纸碎片
158,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
159,150002,23,5,item_atlas,150002,功能饮料
160,150006,18,5,item_atlas_newAdd,jingyanxiang01,小型经验箱
161,90001,19,4,item_atlas,90001,普通转职证书
162,130001,20,2,item_atlas,130001,便携交通工具
163,130100,21,2,item_atlas,130100,初级探测器
164,10004,4,3,item_atlas,10004,图纸碎片
165,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
166,150002,23,5,item_atlas,150002,功能饮料
167,150007,18,7,item_atlas_newAdd,jingyanxiang02,中型经验箱
168,90001,19,6,item_atlas,90001,普通转职证书
169,130300,24,2,item_atlas,130300,初级战斗手册
170,130002,20,2,item_atlas,130002,轻型机动车
171,10004,4,3,item_atlas,10004,图纸碎片
172,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
173,150001,23,1,item_atlas,150001,恢复药水
174,150007,18,9,item_atlas_newAdd,jingyanxiang02,中型经验箱
175,90001,19,8,item_atlas,90001,普通转职证书
176,130300,24,2,item_atlas,130300,初级战斗手册
177,130101,21,2,item_atlas,130101,中级探测器
178,10004,4,3,item_atlas,10004,图纸碎片
179,90011,19,2,item_atlas,90011,精英转职证书
180,413028,40,1,FurnitureIcon_01_atlas,icon_shinei_13028,落地钟
181,130400,25,2,item_atlas,130400,维修工具
182,60005,9,2,item_atlas,60005,胜利宝箱IC卡
183,150002,23,5,item_atlas,150002,功能饮料
184,130400,25,2,item_atlas,130400,维修工具
185,90001,19,2,item_atlas,90001,普通转职证书
186,130100,21,2,item_atlas,130100,初级探测器
187,10004,4,3,item_atlas,10004,图纸碎片
188,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
189,150002,23,5,item_atlas,150002,功能饮料
190,150006,18,6,item_atlas_newAdd,jingyanxiang01,小型经验箱
191,90001,19,4,item_atlas,90001,普通转职证书
192,130001,20,2,item_atlas,130001,便携交通工具
193,130100,21,2,item_atlas,130100,初级探测器
194,10004,4,3,item_atlas,10004,图纸碎片
195,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
196,150002,23,5,item_atlas,150002,功能饮料
197,150007,18,8,item_atlas_newAdd,jingyanxiang02,中型经验箱
198,90001,19,6,item_atlas,90001,普通转职证书
199,130300,24,2,item_atlas,130300,初级战斗手册
200,130002,20,2,item_atlas,130002,轻型机动车
201,10004,4,3,item_atlas,10004,图纸碎片
202,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
203,150001,23,1,item_atlas,150001,恢复药水
204,150007,18,10,item_atlas_newAdd,jingyanxiang02,中型经验箱
205,90001,19,8,item_atlas,90001,普通转职证书
206,130300,24,2,item_atlas,130300,初级战斗手册
207,130101,21,2,item_atlas,130101,中级探测器
208,10004,4,3,item_atlas,10004,图纸碎片
209,90011,19,2,item_atlas,90011,精英转职证书
210,413022,40,1,FurnitureIcon_01_atlas,icon_shinei_13022,破损的音响
211,130400,25,2,item_atlas,130400,维修工具
212,60005,9,2,item_atlas,60005,胜利宝箱IC卡
213,150002,23,5,item_atlas,150002,功能饮料
214,130400,25,2,item_atlas,130400,维修工具
215,90001,19,2,item_atlas,90001,普通转职证书
216,130100,21,2,item_atlas,130100,初级探测器
217,10004,4,3,item_atlas,10004,图纸碎片
218,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
219,150002,23,5,item_atlas,150002,功能饮料
220,150006,18,6,item_atlas_newAdd,jingyanxiang01,小型经验箱
221,90001,19,4,item_atlas,90001,普通转职证书
222,130001,20,2,item_atlas,130001,便携交通工具
223,130100,21,2,item_atlas,130100,初级探测器
224,10004,4,3,item_atlas,10004,图纸碎片
225,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
226,150002,23,5,item_atlas,150002,功能饮料
227,150007,18,8,item_atlas_newAdd,jingyanxiang02,中型经验箱
228,90001,19,6,item_atlas,90001,普通转职证书
229,130300,24,2,item_atlas,130300,初级战斗手册
230,130002,20,2,item_atlas,130002,轻型机动车
231,10004,4,3,item_atlas,10004,图纸碎片
232,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
233,150001,23,1,item_atlas,150001,恢复药水
234,150007,18,10,item_atlas_newAdd,jingyanxiang02,中型经验箱
235,90001,19,8,item_atlas,90001,普通转职证书
236,130300,24,2,item_atlas,130300,初级战斗手册
237,130101,21,2,item_atlas,130101,中级探测器
238,10004,4,3,item_atlas,10004,图纸碎片
239,90011,19,2,item_atlas,90011,精英转职证书
240,413028,40,1,FurnitureIcon_01_atlas,icon_shinei_13028,落地钟
241,130400,25,2,item_atlas,130400,维修工具
242,60005,9,2,item_atlas,60005,胜利宝箱IC卡
243,150002,23,5,item_atlas,150002,功能饮料
244,130400,25,2,item_atlas,130400,维修工具
245,90001,19,2,item_atlas,90001,普通转职证书
246,130100,21,2,item_atlas,130100,初级探测器
247,10004,4,3,item_atlas,10004,图纸碎片
248,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
249,150002,23,5,item_atlas,150002,功能饮料
250,150006,18,6,item_atlas_newAdd,jingyanxiang01,小型经验箱
251,90001,19,4,item_atlas,90001,普通转职证书
252,130001,20,2,item_atlas,130001,便携交通工具
253,130100,21,2,item_atlas,130100,初级探测器
254,10004,4,3,item_atlas,10004,图纸碎片
255,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
256,150002,23,5,item_atlas,150002,功能饮料
257,150007,18,8,item_atlas_newAdd,jingyanxiang02,中型经验箱
258,90001,19,6,item_atlas,90001,普通转职证书
259,130300,24,2,item_atlas,130300,初级战斗手册
260,130002,20,2,item_atlas,130002,轻型机动车
261,10004,4,3,item_atlas,10004,图纸碎片
262,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
263,150001,23,1,item_atlas,150001,恢复药水
264,150007,18,10,item_atlas_newAdd,jingyanxiang02,中型经验箱
265,90001,19,8,item_atlas,90001,普通转职证书
266,130300,24,2,item_atlas,130300,初级战斗手册
267,130101,21,2,item_atlas,130101,中级探测器
268,10004,4,3,item_atlas,10004,图纸碎片
269,90011,19,2,item_atlas,90011,精英转职证书
270,413028,40,1,FurnitureIcon_01_atlas,icon_shinei_13028,落地钟
271,130400,25,2,item_atlas,130400,维修工具
272,60005,9,2,item_atlas,60005,胜利宝箱IC卡
273,150002,23,5,item_atlas,150002,功能饮料
274,130400,25,2,item_atlas,130400,维修工具
275,90001,19,2,item_atlas,90001,普通转职证书
276,130100,21,2,item_atlas,130100,初级探测器
277,10004,4,3,item_atlas,10004,图纸碎片
278,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
279,150002,23,5,item_atlas,150002,功能饮料
280,150006,18,6,item_atlas_newAdd,jingyanxiang01,小型经验箱
281,90001,19,4,item_atlas,90001,普通转职证书
282,130001,20,2,item_atlas,130001,便携交通工具
283,130100,21,2,item_atlas,130100,初级探测器
284,10004,4,3,item_atlas,10004,图纸碎片
285,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
286,150002,23,5,item_atlas,150002,功能饮料
287,150007,18,8,item_atlas_newAdd,jingyanxiang02,中型经验箱
288,90001,19,6,item_atlas,90001,普通转职证书
289,130300,24,2,item_atlas,130300,初级战斗手册
290,130002,20,2,item_atlas,130002,轻型机动车
291,10004,4,3,item_atlas,10004,图纸碎片
292,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
293,150001,23,1,item_atlas,150001,恢复药水
294,150007,18,10,item_atlas_newAdd,jingyanxiang02,中型经验箱
295,90001,19,8,item_atlas,90001,普通转职证书
296,130300,24,2,item_atlas,130300,初级战斗手册
297,130101,21,2,item_atlas,130101,中级探测器
298,10004,4,3,item_atlas,10004,图纸碎片
299,90011,19,2,item_atlas,90011,精英转职证书
300,413021,40,1,FurnitureIcon_01_atlas,icon_shinei_13021,沙发
301,130400,25,2,item_atlas,130400,维修工具
302,60005,9,2,item_atlas,60005,胜利宝箱IC卡
303,150002,23,5,item_atlas,150002,功能饮料
304,130400,25,2,item_atlas,130400,维修工具
305,90001,19,2,item_atlas,90001,普通转职证书
306,130100,21,2,item_atlas,130100,初级探测器
307,10004,4,3,item_atlas,10004,图纸碎片
308,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
309,150002,23,5,item_atlas,150002,功能饮料
310,150006,18,6,item_atlas_newAdd,jingyanxiang01,小型经验箱
311,90001,19,4,item_atlas,90001,普通转职证书
312,130001,20,2,item_atlas,130001,便携交通工具
313,130100,21,2,item_atlas,130100,初级探测器
314,10004,4,3,item_atlas,10004,图纸碎片
315,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
316,150002,23,5,item_atlas,150002,功能饮料
317,150007,18,8,item_atlas_newAdd,jingyanxiang02,中型经验箱
318,90001,19,6,item_atlas,90001,普通转职证书
319,130300,24,2,item_atlas,130300,初级战斗手册
320,130002,20,2,item_atlas,130002,轻型机动车
321,10004,4,3,item_atlas,10004,图纸碎片
322,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
323,150001,23,1,item_atlas,150001,恢复药水
324,150007,18,10,item_atlas_newAdd,jingyanxiang02,中型经验箱
325,90001,19,8,item_atlas,90001,普通转职证书
326,130300,24,2,item_atlas,130300,初级战斗手册
327,130101,21,2,item_atlas,130101,中级探测器
328,10004,4,3,item_atlas,10004,图纸碎片
329,90011,19,2,item_atlas,90011,精英转职证书
330,413022,40,1,FurnitureIcon_01_atlas,icon_shinei_13022,破损的音响
331,130400,25,2,item_atlas,130400,维修工具
332,60005,9,2,item_atlas,60005,胜利宝箱IC卡
333,150002,23,5,item_atlas,150002,功能饮料
334,130400,25,2,item_atlas,130400,维修工具
335,90001,19,2,item_atlas,90001,普通转职证书
336,130100,21,2,item_atlas,130100,初级探测器
337,10004,4,3,item_atlas,10004,图纸碎片
338,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
339,150002,23,5,item_atlas,150002,功能饮料
340,150006,18,6,item_atlas_newAdd,jingyanxiang01,小型经验箱
341,90001,19,4,item_atlas,90001,普通转职证书
342,130001,20,2,item_atlas,130001,便携交通工具
343,130100,21,2,item_atlas,130100,初级探测器
344,10004,4,3,item_atlas,10004,图纸碎片
345,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
346,150002,23,5,item_atlas,150002,功能饮料
347,150007,18,8,item_atlas_newAdd,jingyanxiang02,中型经验箱
348,90001,19,6,item_atlas,90001,普通转职证书
349,130300,24,2,item_atlas,130300,初级战斗手册
350,130002,20,2,item_atlas,130002,轻型机动车
351,10004,4,3,item_atlas,10004,图纸碎片
352,140001,17,2,item_atlas,zhuejiemian_zhuanpan,幸运转盘
353,150001,23,1,item_atlas,150001,恢复药水
354,150007,18,10,item_atlas_newAdd,jingyanxiang02,中型经验箱
355,90001,19,8,item_atlas,90001,普通转职证书
356,130300,24,2,item_atlas,130300,初级战斗手册
357,130101,21,2,item_atlas,130101,中级探测器
358,10004,4,3,item_atlas,10004,图纸碎片
359,90011,19,2,item_atlas,90011,精英转职证书
360,413028,40,1,FurnitureIcon_01_atlas,icon_shinei_13028,落地钟
