languages_game,languages_CN,languages_TC,languages_EN
科学院的科研小组成立的尖端科技研究项目,工匠之家的科研小组成立的尖端科技研究项目,工匠之家的科研小組成立的尖端科技研究項目,High-end Tech project established by study group of Science Academy
科学院的科研小组成立的康复研究项目,工匠之家的科研小组成立的康复研究项目,工匠之家的科研小組成立的康復研究項目,Recovery Research project established by study group of Science Academy
科学院的科研小组成立的探险研究项目,工匠之家的科研小组成立的探险研究项目,工匠之家的科研小組成立的探險研究項目,Exploration Research project established by study group of Science Academy
科学院的科研小组成立的指挥研究项目,工匠之家的科研小组成立的指挥研究项目,工匠之家的科研小組成立的指揮研究項目,Command Research project established by study group of Science Academy
科学院总等级达到{0}级,工匠之家总等级达到{0}级,工匠之家總等級達到{0}級,Academy total level reaches {0}
升级科学院总等级到{0}级,升级工匠之家总等级到{0}级,升級工匠之家總等級到{0}級,Upgrade the Academy to Lv {0}
点击城市场景中的科学院,点击城市场景中的工匠之家,點擊城市場景中的工匠之家,
点击科学院的科技,点击工匠之家的科技,點擊工匠之家的科技,
科学院的不仅对生产有加成还能提升英雄等级上限,工匠之家的不仅对生产有加成还能提升英雄等级上限,工匠之家的不僅對生產有加成還能提升英雄等級上限,The Academy's not only has a bonus to production， but also increases the hero's max level
科学院的科研小组成立的纺织工艺研究项目,工匠之家的科研小组成立的纺织工艺研究项目,工匠之家的科研小組成立的紡織工藝研究項目,Fabric research project established by the Academy
工匠等级已达上限，需要升级科学院！,工匠等级已达上限，需要升级工匠之家！,工匠等級已達上限，需要升級工匠之家！,The worker has reached max level. Please upgrade Academy!
空间不足以升级,周围空间不足，请将货架摆放至空旷处！,周圍空間不足，請將貨架擺放至空曠處！,Not enough space to upgrade
店主升到{0}级加入联盟解锁悬赏任务,店主升到{0}级加入联盟解锁联盟任务任务,店主升到{0}級加入聯盟解鎖懸賞任務,Join guild bounty when the shopkeeper reaches lv {0}.
完成商会联盟的悬赏任务，商会获得声望！,完成商会联盟的联盟任务任务，商会获得声望！,完成商會聯盟的懸賞任務，商會獲得聲望！,Complete bounties， and the guild will gain reputation!
从悬赏牌接受任务，可以获得联盟币和联盟声望！,从联盟任务牌接受任务，可以获得联盟币和联盟声望！,從懸賞牌接受任務，可以獲得聯盟幣和聯盟聲望！,Accept bounty to get guild coin and reputation!
悬赏评级,联盟任务评级,懸賞評級,Bounty Rating
悬赏牌,联盟任务牌,懸賞牌,Bounty Board
您的当前悬赏,您的当前联盟任务,您的當前懸賞,Current bounty
购买联盟福利来解锁更多悬赏栏位！,购买联盟福利来解锁更多联盟任务栏位！,購買聯盟福利來解鎖更多懸賞欄位！,Buy guild benefits to unlock more bounty slots!
悬赏,联盟任务,懸賞,Bounty
 无悬赏!, 无联盟任务!, 無懸賞!,No bounty!
前往悬赏牌,前往联盟任务牌,前往懸賞牌,Go to bounty board
商会券，通过悬赏任务获得，可以用来购买联盟资源包,联盟币，帮助联盟成员、投资、完成联盟任务可以获得，用来购买联盟资源包。,聯盟幣，幫助聯盟成員、投資、完成懸賞可以獲得，用來購買聯盟資源包。,Guild coin，obtained from bounties and used to buy guild bag
商会券，可以用来购买联盟资源包,联盟币，帮助联盟成员、投资、完成联盟任务可以获得，用来购买联盟资源包。,聯盟幣，幫助聯盟成員、投資、完成懸賞可以獲得，用來購買聯盟資源包。,Guild Coin，used to buy guild bag
联盟声望:联盟代币m完成悬赏任务获得每周联盟声望,联盟声望:联盟代币m完成联盟任务任务获得每周联盟声望,聯盟聲望:聯盟代幣m完成懸賞任務獲得每周聯盟聲望,Guild Reputation: as guild token， obtained from bounties
悬赏牌容量增加,联盟任务牌容量增加,懸賞牌容量增加,Bounty capacity increases
悬赏牌容量增加{0},联盟任务牌容量增加{0},懸賞牌容量增加{0},Bounty capacity +{0}
悬赏牌容量增加2,联盟任务牌容量增加2,懸賞牌容量增加2,Bounty capacity +2
下一个:悬赏牌容量增加悬赏{0},下一个:联盟任务牌容量增加联盟任务{0},下一個:懸賞牌容量增加懸賞{0},Next: Bounty capacity + bounty {0}
下一个:悬赏牌容量增加+4 悬赏,下一个:联盟任务牌容量增加+4 任务,下一個:懸賞牌容量增加+4 懸賞,Next: Bounty capacity +4 bounties  
悬赏牌容量,联盟任务牌容量,懸賞牌容量,Bounty Capacity 
前往悬赏,前往联盟任务,前往懸賞,Check Bounty
完成悬赏来为下周的声望等级做出贡献！,完成联盟任务来为下周的声望等级做出贡献！,完成懸賞來為下周的聲望等級做出貢獻！,Complete bounties to contribute to the next week's reputation level.
悬赏主,任务接受者,懸賞主,Bounty Master
悬赏牌容量增加4,联盟任务牌容量增加4,懸賞牌容量增加4,Bounty capacity +4
下一个:悬赏牌容量增加+6 悬赏,下一个:联盟任务牌容量增加+6 任务,下一個:懸賞牌容量增加+6 懸賞,Next: Bounty capacity +6 bounties  
悬赏牌容量增加6,联盟任务牌容量增加6,懸賞牌容量增加6,Bounty capacity +6
下一个:悬赏牌容量增加+8 悬赏,下一个:联盟任务牌容量增加+8 任务,下一個:懸賞牌容量增加+8 懸賞,Next: Bounty capacity +8 bounties  
悬赏牌容量增加8,联盟任务牌容量增加8,懸賞牌容量增加8,Bounty capacity +8
下一个:悬赏牌容量增加+10 悬赏,下一个:联盟任务牌容量增加+10 任务,下一個:懸賞牌容量增加+10 懸賞,Next: Bounty capacity +10 bounties  
悬赏牌容量增加10,联盟任务牌容量增加10,懸賞牌容量增加10,Bounty capacity +10
下一个:悬赏牌容量增加+12 悬赏,下一个:联盟任务牌容量增加+12 任务,下一個:懸賞牌容量增加+12 懸賞,Next: Bounty capacity +12 bounties 
悬赏牌容量增加12,联盟任务牌容量增加12,懸賞牌容量增加12,Bounty capacity +12
下一个:悬赏牌容量增加+14 悬赏,下一个:联盟任务牌容量增加+14 任务,下一個:懸賞牌容量增加+14 懸賞,Next: Bounty capacity +14 bounties 
悬赏牌容量增加14,联盟任务牌容量增加14,懸賞牌容量增加14,Bounty capacity increases 14
下一个:悬赏牌容量增加+16 悬赏,下一个:联盟任务牌容量增加+16 任务,下一個:懸賞牌容量增加+16 懸賞,Next: Bounty capacity +16 bounties  
悬赏牌容量增加16,联盟任务牌容量增加16,懸賞牌容量增加16,Bounty capacity +16
悬赏主名称,任务接受者名称,懸賞主名稱,Bounty Master Name
悬赏：,联盟任务：,懸賞：,Bounty：
该悬赏已被其他盟友接取,该联盟任务已被其他盟友接取,該懸賞已被其他盟友接取,This bounty has been accepted by another member
已接受悬赏！,已接受联盟任务！,已接受懸賞！,Bounty accepted!
仓库已满，请升级您的保险柜！,仓库已满，请升级或摆放更多的保险柜哦！,倉庫已滿，請升級或擺放更多的保險櫃哦！,Inventory is full， upgrade the safe
当前无悬赏,当前\n无联盟任务,當前\n無懸賞,No bounty\n now
当前无悬赏!,当前无联盟任务!,當前無懸賞!,No bounty available!
出场提示,出场提示,,
出场提示具体内容,1.进入废墟后，废墟内的所有英雄属性、装备、等级将被锁定，不受废墟外的英雄变更影响！\n2.隔日再次进入废墟时，将更新废墟内英雄的属性、装备、等级等，同时当前未通过的关卡怪物也会恢复数量和血量。\n3.废墟内当日英雄的血量和怒气不可回复（每场战斗完怪物也不会回复血量）\n4.英雄死亡后，今日将不可继续出战，需要等到次日才可恢复！,,
确认进入,确认进入,,
离开废墟,离开废墟,,
审判废墟,审判废墟,,
审判日后残存的城市废墟，壁垒附近最大的危险源，据幸存者相传，里面有灾难前遗留的装备改造材料和生物科技，每天进入一次，找到它们来打造您独一无二的商店！,审判日后残存的城市废墟，壁垒附近最大的危险源，据幸存者相传，里面有灾难前遗留的装备改造材料和生物科技，每天进入一次，找到它们来打造您独一无二的商店！,,
准备战斗,准备战斗,,
淘汰,淘汰,,
出战人数已达上限,出战人数已达上限,,
英雄已上阵,英雄已上阵,,
已通过 {0},已通过 {0},,
剩余怪物数量：{0},剩余怪物数量：{0},,
建议战力：{0},建议战力：{0},,
剩余英雄：{0},剩余英雄：{0},,
请重置,请重置,,
通关成功！,通关成功！,,
即将进入 {0} {1},即将进入 {0} {1},,
通关失败！,通关失败！,,
英雄已死亡,英雄已被淘汰,,
已全部通关,已全部通关,,
整队再战,整队再战,,
解锁新地图,解锁新地图,,
使用 星核U盘 来提升此图纸的真正潜力!,使用 超凡升星卡 来提升此图纸的真正潜力!,使用 超凡升星卡 來提升此圖紙的真正潛力!,
概率公示_转盘抽奖_奖品2,<color=#e95aff>稀有</color>奖品获得概率,<color=#e95aff>稀有</color>獎品獲得概率,<color=#e95aff>rare</color> prizes rate
概率公示_转盘抽奖_奖品2概率,5%~24%,5%~24%,5%~24%
服务器正在维护中，请耐心等待最新通知！,服务器正在维护中，请耐心等待最新通知！,服务器正在维护中，请耐心等待最新通知！,
服务器处于维护中，请重启游戏查看最新公告！,服务器处于维护中，请重启游戏查看最新公告！,服务器处于维护中，请重启游戏查看最新公告！,
夺宝奇兵活动介绍标题1,参与限时活动，成为夺宝奇兵！,,
金伯利矿坑详情1,探险队在金伯利矿坑发现了一处富含<color=#ff1ea2>彩钻</color>的矿脉，击败敌人，与联盟成员一起争夺矿坑的所有权！,,
夺宝奇兵活动介绍标题2,积攒<color=#8e88ff>夺宝奖章</color>，领取丰厚奖励,,
金伯利矿坑详情2,击败敌人获得奖章，使用积攒的奖章换取强力道具，更有超值家具和稀缺资源在等着你！,,
夺宝奇兵活动介绍标题3,击败Boss，获取专属宝箱及IC卡,,
金伯利矿坑详情3,通关副本解锁Boss，击败Boss即可获得专属宝箱或IC卡，还能获得活动限定蓝图与制作材料,,
创建报价,出售物品,出售物品,
在市场上列出物品，供其他玩家购买。,在市场上卖出物品，供其他玩家购买。,在市場上賣出物品，供其他玩家購買。,
创建请求,创建求购,創建求購,
在市场上请求物品，供任意玩家满足。,在市场上向其他玩家求购指定物品。,在市場上向其他玩家求購指定物品。,
报价,出售,出售,
请求,求购,求購,
购买物品,购买物品,購買物品,
卖出物品,卖出物品,賣出物品,
出售大厅,出售大厅,出售大廳,
购买大厅,求购大厅,求購大廳,
领袖之路成长计划,领袖之路成长计划，<color=#61c2ff><size=42>50</size>倍</color>收益！\n可领取价值<color=#ffea3c><size=42>34300</size>金条奖励！</color>,領袖之路成長計劃，<color=#61c2ff><size=42>50</size>倍</color>收益！\n可領取價值<color=#ffea3c><size=42>34300</size>金條獎勵！</color>,Leader's Plan， <color=#61c2ff><size=42>2300%</size></color> bonus! \n  <color=#ec6eff><size=42>9.99</size>$</color> to get items worth <color=#ffea3c><size=42>15.6K</size> gold bar! </color>
勇气挑战活动介绍标题1,圣诞平安夜，<color=#ff9829>任务</color>来袭！,,
勇气挑战活动详情1,圣诞节来临！圣诞老人送来了圣诞礼物，完成清单上的<color=#ff9829>任务</color>，与商会成员一同努力解锁礼物吧！,,
勇气挑战活动介绍标题2,完成挑战，积攒<Color=#72c5ff>雪花</Color>,,
勇气挑战活动详情2,完成任务积攒<Color=#72c5ff>雪花</Color>，换取强力道具，更有超值家具和专属宠物在等着你,,
勇气挑战活动介绍标题3,丰富多样的任务,,
勇气挑战活动详情3,任务类型丰富多样，这正是考验店主能力的时候，完成它，证明自己！,,
防具/散件架 升级时间减 <Color=#77DD4F>{0}%</Color>,防具/散件架 升级时间减 <Color=#77DD4F>{0}%</Color>,,
冷兵器/枪械架 升级时间减 <Color=#77DD4F>{0}%</Color>,冷兵器/枪械架 升级时间减 <Color=#77DD4F>{0}%</Color>,,
店内顾客上限 增加 <Color=#77DD4F>{0}</Color>,店内顾客流量 增加 <Color=#77DD4F>{0}</Color>,,
防具类售价 +<Color=#77DD4F>{0}%</Color>,防具类售价 +<Color=#77DD4F>{0}%</Color>,,
武器类售价 +<Color=#77DD4F>{0}%</Color>,武器类售价 +<Color=#77DD4F>{0}%</Color>,,
散件类售价 +<Color=#77DD4F>{0}%</Color>,散件类售价 +<Color=#77DD4F>{0}%</Color>,,
防具架/散件架,防具架/散件架,,
冷兵器架/枪械架,冷兵器架/枪械架,,
店内顾客上限,店内顾客上限,,
防具类装备,防具类装备,,
武器类装备,武器类装备,,
散件类装备,散件类装备,,
减少升级时间<Color=#77DD4F>{0}%</Color>,减少升级时间<Color=#77DD4F>{0}%</Color>,,
增加<Color=#77DD4F>{0}</Color>,增加<Color=#77DD4F>{0}</Color>,,
出售价格<Color=#77DD4F>+{0}%</Color>,出售价格<Color=#77DD4F>+{0}%</Color>,,
