id,type,shopkeeper_level,level,store,money,diamond,time,build_id,build_level,furniture_id,item_id,start_diamond,rate
136,2,1,1,8,1000000,0,0,1800,1,26001,20010,0,0
137,2,1,2,10,1500000,150,16200,1800,1,26001,20010,128,108
138,2,1,3,12,2000000,200,37800,1800,2,26001,20010,170,189
139,2,1,4,14,3000000,250,48000,1800,3,26001,20010,213,192
140,2,1,5,16,5000000,300,75600,1800,4,26001,20010,255,252
141,2,30,6,18,8000000,350,108000,1800,6,26002,20010,298,309
142,2,30,7,21,10000000,400,140400,1800,7,26002,20010,340,351
143,2,30,8,24,15000000,450,237600,1800,9,26002,20010,383,528
144,2,30,9,27,20000000,500,270000,1800,10,26002,20010,425,540
145,2,30,10,30,30000000,550,302400,1800,11,26002,20010,468,550
146,2,50,11,33,40000000,600,334800,1800,12,26003,20010,510,558
147,2,50,12,37,60000000,650,399600,1800,13,26003,20010,553,615
148,2,50,13,41,100000000,700,464400,1800,15,26003,20010,595,663
149,2,50,14,45,300000000,800,529200,1800,17,26003,20010,680,662
150,2,50,15,49,500000000,900,583200,1800,20,26003,20010,765,648
