id,type_group,big_type,technology_level,need_level,need_point,type,skill_time,behind_skill_time,now_level,behind_level,add_num,add2_num,name,desc,help_desc,skill_desc,help_skill_desc,next_id,next_desc,help_next_desc,next_union_level_desc,help_next_union_level_desc,atlas,icon,item_des,item_compare_des
9,1,3,1,2,15,3,,,,,3,,常见资源篮子容量,常见资源篮子容量{0},常见资源篮子容量3,,,10,下一个:常见资源篮子容量容量{0},下一个:常见资源篮子容量+6 容量,下一个:需求工会等级{0},下一个:需求工会等级7,union_atlas,lianmeng_putong,常见资源篮子容量,永久升级
10,1,3,2,7,25,3,,,,,6,,常见资源篮子容量,常见资源篮子容量{0},常见资源篮子容量6,,,11,下一个:常见资源篮子容量容量{0},下一个:常见资源篮子容量+9 容量,下一个:需求工会等级{0},下一个:需求工会等级15,union_atlas,lianmeng_putong,常见资源篮子容量,永久升级
11,1,3,3,15,50,3,,,,,9,,常见资源篮子容量,常见资源篮子容量{0},常见资源篮子容量9,,,12,下一个:常见资源篮子容量容量{0},下一个:常见资源篮子容量+12 容量,下一个:需求工会等级{0},下一个:需求工会等级24,union_atlas,lianmeng_putong,常见资源篮子容量,永久升级
12,1,3,4,24,100,3,,,,,12,,常见资源篮子容量,常见资源篮子容量{0},常见资源篮子容量12,,,13,下一个:常见资源篮子容量容量{0},下一个:常见资源篮子容量+15 容量,下一个:需求工会等级{0},下一个:需求工会等级35,union_atlas,lianmeng_putong,常见资源篮子容量,永久升级
13,1,3,5,35,150,3,,,,,15,,常见资源篮子容量,常见资源篮子容量{0},常见资源篮子容量15,,,14,下一个:常见资源篮子容量容量{0},下一个:常见资源篮子容量+18 容量,下一个:需求工会等级{0},下一个:需求工会等级46,union_atlas,lianmeng_putong,常见资源篮子容量,永久升级
14,1,3,6,46,200,3,,,,,18,,常见资源篮子容量,常见资源篮子容量{0},常见资源篮子容量18,,,15,下一个:常见资源篮子容量容量{0},下一个:常见资源篮子容量+21 容量,下一个:需求工会等级{0},下一个:需求工会等级57,union_atlas,lianmeng_putong,常见资源篮子容量,永久升级
15,1,3,7,57,250,3,,,,,21,,常见资源篮子容量,常见资源篮子容量{0},常见资源篮子容量21,,,16,下一个:常见资源篮子容量容量{0},下一个:常见资源篮子容量+24 容量,下一个:需求工会等级{0},下一个:需求工会等级68,union_atlas,lianmeng_putong,常见资源篮子容量,永久升级
16,1,3,8,68,400,3,,,,,24,,常见资源篮子容量,常见资源篮子容量{0},常见资源篮子容量24,,,,,,,,union_atlas,lianmeng_putong,常见资源篮子容量,永久升级
17,1,4,1,10,30,4,,,,,1,,稀有资源容量,稀有资源容量{0},稀有资源容量1,,,18,下一个:稀有资源容量容量{0},下一个:稀有资源容量+3 容量,下一个:需求工会等级{0},下一个:需求工会等级17,union_atlas,lianmeng_zhengui,稀有资源容量,永久升级
18,1,4,2,17,50,4,,,,,3,,稀有资源容量,稀有资源容量{0},稀有资源容量3,,,19,下一个:稀有资源容量容量{0},下一个:稀有资源容量+4 容量,下一个:需求工会等级{0},下一个:需求工会等级25,union_atlas,lianmeng_zhengui,稀有资源容量,永久升级
19,1,4,3,25,100,4,,,,,4,,稀有资源容量,稀有资源容量{0},稀有资源容量4,,,20,下一个:稀有资源容量容量{0},下一个:稀有资源容量+6 容量,下一个:需求工会等级{0},下一个:需求工会等级36,union_atlas,lianmeng_zhengui,稀有资源容量,永久升级
20,1,4,4,36,150,4,,,,,6,,稀有资源容量,稀有资源容量{0},稀有资源容量6,,,21,下一个:稀有资源容量容量{0},下一个:稀有资源容量+7 容量,下一个:需求工会等级{0},下一个:需求工会等级45,union_atlas,lianmeng_zhengui,稀有资源容量,永久升级
21,1,4,5,45,200,4,,,,,7,,稀有资源容量,稀有资源容量{0},稀有资源容量7,,,22,下一个:稀有资源容量容量{0},下一个:稀有资源容量+9 容量,下一个:需求工会等级{0},下一个:需求工会等级55,union_atlas,lianmeng_zhengui,稀有资源容量,永久升级
22,1,4,6,55,250,4,,,,,9,,稀有资源容量,稀有资源容量{0},稀有资源容量9,,,23,下一个:稀有资源容量容量{0},下一个:稀有资源容量+10 容量,下一个:需求工会等级{0},下一个:需求工会等级65,union_atlas,lianmeng_zhengui,稀有资源容量,永久升级
23,1,4,7,65,300,4,,,,,10,,稀有资源容量,稀有资源容量{0},稀有资源容量10,,,24,下一个:稀有资源容量容量{0},下一个:稀有资源容量+12 容量,下一个:需求工会等级{0},下一个:需求工会等级75,union_atlas,lianmeng_zhengui,稀有资源容量,永久升级
24,1,4,8,75,500,4,,,,,12,,稀有资源容量,稀有资源容量{0},稀有资源容量12,,,,,,,,union_atlas,lianmeng_zhengui,稀有资源容量,永久升级
25,1,5,1,20,50,5,,,,,1,,罕见资源容量,罕见资源容量{0},罕见资源容量1,,,26,下一个:罕见资源容量容量{0},下一个:罕见资源容量+2 容量,下一个:需求工会等级{0},下一个:需求工会等级27,union_atlas,lianmeng_xiyou,罕见资源容量,永久升级
26,1,5,2,27,100,5,,,,,2,,罕见资源容量,罕见资源容量{0},罕见资源容量2,,,27,下一个:罕见资源容量容量{0},下一个:罕见资源容量+3 容量,下一个:需求工会等级{0},下一个:需求工会等级37,union_atlas,lianmeng_xiyou,罕见资源容量,永久升级
27,1,5,3,37,150,5,,,,,3,,罕见资源容量,罕见资源容量{0},罕见资源容量3,,,28,下一个:罕见资源容量容量{0},下一个:罕见资源容量+4 容量,下一个:需求工会等级{0},下一个:需求工会等级47,union_atlas,lianmeng_xiyou,罕见资源容量,永久升级
28,1,5,4,47,200,5,,,,,4,,罕见资源容量,罕见资源容量{0},罕见资源容量4,,,29,下一个:罕见资源容量容量{0},下一个:罕见资源容量+5 容量,下一个:需求工会等级{0},下一个:需求工会等级57,union_atlas,lianmeng_xiyou,罕见资源容量,永久升级
29,1,5,5,57,250,5,,,,,5,,罕见资源容量,罕见资源容量{0},罕见资源容量5,,,30,下一个:罕见资源容量容量{0},下一个:罕见资源容量+6 容量,下一个:需求工会等级{0},下一个:需求工会等级67,union_atlas,lianmeng_xiyou,罕见资源容量,永久升级
30,1,5,6,67,300,5,,,,,6,,罕见资源容量,罕见资源容量{0},罕见资源容量6,,,31,下一个:罕见资源容量容量{0},下一个:罕见资源容量+7 容量,下一个:需求工会等级{0},下一个:需求工会等级77,union_atlas,lianmeng_xiyou,罕见资源容量,永久升级
31,1,5,7,77,500,5,,,,,7,,罕见资源容量,罕见资源容量{0},罕见资源容量7,,,32,下一个:罕见资源容量容量{0},下一个:罕见资源容量+8 容量,下一个:需求工会等级{0},下一个:需求工会等级87,union_atlas,lianmeng_xiyou,罕见资源容量,永久升级
32,1,5,8,87,750,5,,,,,8,,罕见资源容量,罕见资源容量{0},罕见资源容量8,,,,,,,,union_atlas,lianmeng_xiyou,罕见资源容量,永久升级
33,1,6,1,2,15,6,,,,,2,,枪械货架能量,枪械货架能量{0},枪械货架能量2,,,34,下一个:枪械货架能量能量{0},下一个:枪械货架能量+4 能量,下一个:需求工会等级{0},下一个:需求工会等级8,union_atlas,lianmeng_rewuqijia,枪械货架能量,永久升级
34,1,6,2,8,30,6,,,,,4,,枪械货架能量,枪械货架能量{0},枪械货架能量4,,,35,下一个:枪械货架能量能量{0},下一个:枪械货架能量+6 能量,下一个:需求工会等级{0},下一个:需求工会等级16,union_atlas,lianmeng_rewuqijia,枪械货架能量,永久升级
35,1,6,3,16,100,6,,,,,6,,枪械货架能量,枪械货架能量{0},枪械货架能量6,,,36,下一个:枪械货架能量能量{0},下一个:枪械货架能量+8 能量,下一个:需求工会等级{0},下一个:需求工会等级26,union_atlas,lianmeng_rewuqijia,枪械货架能量,永久升级
36,1,6,4,26,150,6,,,,,8,,枪械货架能量,枪械货架能量{0},枪械货架能量8,,,37,下一个:枪械货架能量能量{0},下一个:枪械货架能量+10 能量,下一个:需求工会等级{0},下一个:需求工会等级42,union_atlas,lianmeng_rewuqijia,枪械货架能量,永久升级
37,1,6,5,42,200,6,,,,,10,,枪械货架能量,枪械货架能量{0},枪械货架能量10,,,38,下一个:枪械货架能量能量{0},下一个:枪械货架能量+12 能量,下一个:需求工会等级{0},下一个:需求工会等级55,union_atlas,lianmeng_rewuqijia,枪械货架能量,永久升级
38,1,6,6,55,250,6,,,,,12,,枪械货架能量,枪械货架能量{0},枪械货架能量12,,,39,下一个:枪械货架能量能量{0},下一个:枪械货架能量+14 能量,下一个:需求工会等级{0},下一个:需求工会等级67,union_atlas,lianmeng_rewuqijia,枪械货架能量,永久升级
39,1,6,7,67,300,6,,,,,14,,枪械货架能量,枪械货架能量{0},枪械货架能量14,,,,,,,,union_atlas,lianmeng_rewuqijia,枪械货架能量,永久升级
40,1,7,1,2,15,7,,,,,2,,防具货架能量,防具货架能量{0},防具货架2,,,41,下一个:防具货架能量能量{0},下一个:防具货架能量+4 能量,下一个:需求工会等级{0},下一个:需求工会等级8,union_atlas,lianmeng_fangjujia,防具货架能量,永久升级
41,1,7,2,8,30,7,,,,,4,,防具货架能量,防具货架能量{0},防具货架4,,,42,下一个:防具货架能量能量{0},下一个:防具货架能量+6 能量,下一个:需求工会等级{0},下一个:需求工会等级16,union_atlas,lianmeng_fangjujia,防具货架能量,永久升级
42,1,7,3,16,100,7,,,,,6,,防具货架能量,防具货架能量{0},防具货架6,,,43,下一个:防具货架能量能量{0},下一个:防具货架能量+8 能量,下一个:需求工会等级{0},下一个:需求工会等级26,union_atlas,lianmeng_fangjujia,防具货架能量,永久升级
43,1,7,4,26,150,7,,,,,8,,防具货架能量,防具货架能量{0},防具货架8,,,44,下一个:防具货架能量能量{0},下一个:防具货架能量+10 能量,下一个:需求工会等级{0},下一个:需求工会等级42,union_atlas,lianmeng_fangjujia,防具货架能量,永久升级
44,1,7,5,42,200,7,,,,,10,,防具货架能量,防具货架能量{0},防具货架10,,,45,下一个:防具货架能量能量{0},下一个:防具货架能量+12 能量,下一个:需求工会等级{0},下一个:需求工会等级55,union_atlas,lianmeng_fangjujia,防具货架能量,永久升级
45,1,7,6,55,250,7,,,,,12,,防具货架能量,防具货架能量{0},防具货架12,,,46,下一个:防具货架能量能量{0},下一个:防具货架能量+14 能量,下一个:需求工会等级{0},下一个:需求工会等级67,union_atlas,lianmeng_fangjujia,防具货架能量,永久升级
46,1,7,7,67,300,7,,,,,14,,防具货架能量,防具货架能量{0},防具货架14,,,,,,,,union_atlas,lianmeng_fangjujia,防具货架能量,永久升级
47,1,8,1,2,15,8,,,,,2,,冷兵器架能量,冷兵器架能量{0},冷兵器架2,,,48,下一个:冷兵器架能量能量{0},下一个:冷兵器架能量+4 能量,下一个:需求工会等级{0},下一个:需求工会等级8,union_atlas,lianmeng_lengbingqi,冷兵器架能量,永久升级
48,1,8,2,8,30,8,,,,,4,,冷兵器架能量,冷兵器架能量{0},冷兵器架4,,,49,下一个:冷兵器架能量能量{0},下一个:冷兵器架能量+6 能量,下一个:需求工会等级{0},下一个:需求工会等级16,union_atlas,lianmeng_lengbingqi,冷兵器架能量,永久升级
49,1,8,3,16,100,8,,,,,6,,冷兵器架能量,冷兵器架能量{0},冷兵器架6,,,50,下一个:冷兵器架能量能量{0},下一个:冷兵器架能量+8 能量,下一个:需求工会等级{0},下一个:需求工会等级26,union_atlas,lianmeng_lengbingqi,冷兵器架能量,永久升级
50,1,8,4,26,150,8,,,,,8,,冷兵器架能量,冷兵器架能量{0},冷兵器架8,,,51,下一个:冷兵器架能量能量{0},下一个:冷兵器架能量+10 能量,下一个:需求工会等级{0},下一个:需求工会等级42,union_atlas,lianmeng_lengbingqi,冷兵器架能量,永久升级
51,1,8,5,42,200,8,,,,,10,,冷兵器架能量,冷兵器架能量{0},冷兵器架10,,,52,下一个:冷兵器架能量能量{0},下一个:冷兵器架能量+12 能量,下一个:需求工会等级{0},下一个:需求工会等级55,union_atlas,lianmeng_lengbingqi,冷兵器架能量,永久升级
52,1,8,6,55,250,8,,,,,12,,冷兵器架能量,冷兵器架能量{0},冷兵器架12,,,53,下一个:冷兵器架能量能量{0},下一个:冷兵器架能量+14 能量,下一个:需求工会等级{0},下一个:需求工会等级67,union_atlas,lianmeng_lengbingqi,冷兵器架能量,永久升级
53,1,8,7,67,300,8,,,,,14,,冷兵器架能量,冷兵器架能量{0},冷兵器架14,,,,,,,,union_atlas,lianmeng_lengbingqi,冷兵器架能量,永久升级
54,1,9,1,2,15,9,,,,,2,,散件货架能量,散件货架能量{0},散件货架2,,,55,下一个:散件货架能量能量{0},下一个:散件货架能量+4 能量,下一个:需求工会等级{0},下一个:需求工会等级8,union_atlas,lianmeng_sanjianjia,散件货架能量,永久升级
55,1,9,2,8,30,9,,,,,4,,散件货架能量,散件货架能量{0},散件货架4,,,56,下一个:散件货架能量能量{0},下一个:散件货架能量+6 能量,下一个:需求工会等级{0},下一个:需求工会等级16,union_atlas,lianmeng_sanjianjia,散件货架能量,永久升级
56,1,9,3,16,100,9,,,,,6,,散件货架能量,散件货架能量{0},散件货架6,,,57,下一个:散件货架能量能量{0},下一个:散件货架能量+8 能量,下一个:需求工会等级{0},下一个:需求工会等级26,union_atlas,lianmeng_sanjianjia,散件货架能量,永久升级
57,1,9,4,26,150,9,,,,,8,,散件货架能量,散件货架能量{0},散件货架8,,,58,下一个:散件货架能量能量{0},下一个:散件货架能量+10 能量,下一个:需求工会等级{0},下一个:需求工会等级42,union_atlas,lianmeng_sanjianjia,散件货架能量,永久升级
58,1,9,5,42,200,9,,,,,10,,散件货架能量,散件货架能量{0},散件货架10,,,59,下一个:散件货架能量能量{0},下一个:散件货架能量+12 能量,下一个:需求工会等级{0},下一个:需求工会等级55,union_atlas,lianmeng_sanjianjia,散件货架能量,永久升级
59,1,9,6,55,250,9,,,,,12,,散件货架能量,散件货架能量{0},散件货架12,,,60,下一个:散件货架能量能量{0},下一个:散件货架能量+14 能量,下一个:需求工会等级{0},下一个:需求工会等级67,union_atlas,lianmeng_sanjianjia,散件货架能量,永久升级
60,1,9,7,67,300,9,,,,,14,,散件货架能量,散件货架能量{0},散件货架14,,,,,,,,union_atlas,lianmeng_sanjianjia,散件货架能量,永久升级
61,1,10,1,4,15,10,,,,,2,,仓库容量,仓库容量{0},仓库容量2,,,62,下一个:仓库容量容量{0},下一个:仓库容量+4 容量,下一个:需求工会等级{0},下一个:需求工会等级9,union_atlas,lianmeng_ckrongliang,仓库容量,永久升级
62,1,10,2,9,30,10,,,,,4,,仓库容量,仓库容量{0},仓库容量4,,,63,下一个:仓库容量容量{0},下一个:仓库容量+6 容量,下一个:需求工会等级{0},下一个:需求工会等级18,union_atlas,lianmeng_ckrongliang,仓库容量,永久升级
63,1,10,3,18,100,10,,,,,6,,仓库容量,仓库容量{0},仓库容量6,,,64,下一个:仓库容量容量{0},下一个:仓库容量+8 容量,下一个:需求工会等级{0},下一个:需求工会等级28,union_atlas,lianmeng_ckrongliang,仓库容量,永久升级
64,1,10,4,28,150,10,,,,,8,,仓库容量,仓库容量{0},仓库容量8,,,65,下一个:仓库容量容量{0},下一个:仓库容量+10 容量,下一个:需求工会等级{0},下一个:需求工会等级44,union_atlas,lianmeng_ckrongliang,仓库容量,永久升级
65,1,10,5,44,200,10,,,,,10,,仓库容量,仓库容量{0},仓库容量10,,,66,下一个:仓库容量容量{0},下一个:仓库容量+12 容量,下一个:需求工会等级{0},下一个:需求工会等级57,union_atlas,lianmeng_ckrongliang,仓库容量,永久升级
66,1,10,6,57,250,10,,,,,12,,仓库容量,仓库容量{0},仓库容量12,,,67,下一个:仓库容量容量{0},下一个:仓库容量+14 容量,下一个:需求工会等级{0},下一个:需求工会等级68,union_atlas,lianmeng_ckrongliang,仓库容量,永久升级
67,1,10,7,68,300,10,,,,,14,,仓库容量,仓库容量{0},仓库容量14,,,,,,,,union_atlas,lianmeng_ckrongliang,仓库容量,永久升级
68,1,11,1,4,15,11,,,,,2,,仓库堆叠数量,仓库堆叠数量{0},仓库堆叠数量2,,,69,下一个:仓库堆叠数量堆叠数量{0},下一个:仓库堆叠数量+4 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级10,union_atlas,lianmeng_duidie,仓库堆叠数量,永久升级
69,1,11,2,10,30,11,,,,,4,,仓库堆叠数量,仓库堆叠数量{0},仓库堆叠数量4,,,70,下一个:仓库堆叠数量堆叠数量{0},下一个:仓库堆叠数量+6 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级19,union_atlas,lianmeng_duidie,仓库堆叠数量,永久升级
70,1,11,3,19,100,11,,,,,6,,仓库堆叠数量,仓库堆叠数量{0},仓库堆叠数量6,,,71,下一个:仓库堆叠数量堆叠数量{0},下一个:仓库堆叠数量+8 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级29,union_atlas,lianmeng_duidie,仓库堆叠数量,永久升级
71,1,11,4,29,150,11,,,,,8,,仓库堆叠数量,仓库堆叠数量{0},仓库堆叠数量8,,,72,下一个:仓库堆叠数量堆叠数量{0},下一个:仓库堆叠数量+10 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级43,union_atlas,lianmeng_duidie,仓库堆叠数量,永久升级
72,1,11,5,43,200,11,,,,,10,,仓库堆叠数量,仓库堆叠数量{0},仓库堆叠数量10,,,73,下一个:仓库堆叠数量堆叠数量{0},下一个:仓库堆叠数量+12 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级58,union_atlas,lianmeng_duidie,仓库堆叠数量,永久升级
73,1,11,6,58,250,11,,,,,12,,仓库堆叠数量,仓库堆叠数量{0},仓库堆叠数量12,,,74,下一个:仓库堆叠数量堆叠数量{0},下一个:仓库堆叠数量+14 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级69,union_atlas,lianmeng_duidie,仓库堆叠数量,永久升级
74,1,11,7,69,300,11,,,,,14,,仓库堆叠数量,仓库堆叠数量{0},仓库堆叠数量14,,,,,,,,union_atlas,lianmeng_duidie,仓库堆叠数量,永久升级
75,1,16,1,4,15,16,,,,,2,,市场请求堆叠数量,市场请求堆叠数量{0},市场请求堆叠数量2,,,76,下一个:市场请求堆叠数量堆叠数量{0},下一个:市场请求堆叠数量+4 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级9,union_atlas,lianmeng_shichanglei,市场请求堆叠数量,永久升级
76,1,16,2,9,30,16,,,,,4,,市场请求堆叠数量,市场请求堆叠数量{0},市场请求堆叠数量4,,,77,下一个:市场请求堆叠数量堆叠数量{0},下一个:市场请求堆叠数量+6 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级18,union_atlas,lianmeng_shichanglei,市场请求堆叠数量,永久升级
77,1,16,3,18,100,16,,,,,6,,市场请求堆叠数量,市场请求堆叠数量{0},市场请求堆叠数量6,,,78,下一个:市场请求堆叠数量堆叠数量{0},下一个:市场请求堆叠数量+8 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级28,union_atlas,lianmeng_shichanglei,市场请求堆叠数量,永久升级
78,1,16,4,28,150,16,,,,,8,,市场请求堆叠数量,市场请求堆叠数量{0},市场请求堆叠数量8,,,79,下一个:市场请求堆叠数量堆叠数量{0},下一个:市场请求堆叠数量+10 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级44,union_atlas,lianmeng_shichanglei,市场请求堆叠数量,永久升级
79,1,16,5,44,200,16,,,,,10,,市场请求堆叠数量,市场请求堆叠数量{0},市场请求堆叠数量10,,,80,下一个:市场请求堆叠数量堆叠数量{0},下一个:市场请求堆叠数量+12 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级57,union_atlas,lianmeng_shichanglei,市场请求堆叠数量,永久升级
80,1,16,6,57,250,16,,,,,12,,市场请求堆叠数量,市场请求堆叠数量{0},市场请求堆叠数量12,,,81,下一个:市场请求堆叠数量堆叠数量{0},下一个:市场请求堆叠数量+14 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级68,union_atlas,lianmeng_shichanglei,市场请求堆叠数量,永久升级
81,1,16,7,68,300,16,,,,,14,,市场请求堆叠数量,市场请求堆叠数量{0},市场请求堆叠数量14,,,,,,,,union_atlas,lianmeng_shichanglei,市场请求堆叠数量,永久升级
82,1,17,1,4,15,17,,,,,2,,市场报价的堆叠数量,市场报价的堆叠数量{0},市场报价的堆叠数量2,,,83,下一个:市场报价的堆叠数量堆叠数量{0},下一个:市场报价的堆叠数量+4 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级10,union_atlas,lianmeng_shichanglei,市场报价的堆叠数量,永久升级
83,1,17,2,10,30,17,,,,,4,,市场报价的堆叠数量,市场报价的堆叠数量{0},市场报价的堆叠数量4,,,84,下一个:市场报价的堆叠数量堆叠数量{0},下一个:市场报价的堆叠数量+6 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级19,union_atlas,lianmeng_shichanglei,市场报价的堆叠数量,永久升级
84,1,17,3,19,100,17,,,,,6,,市场报价的堆叠数量,市场报价的堆叠数量{0},市场报价的堆叠数量6,,,85,下一个:市场报价的堆叠数量堆叠数量{0},下一个:市场报价的堆叠数量+8 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级29,union_atlas,lianmeng_shichanglei,市场报价的堆叠数量,永久升级
85,1,17,4,29,150,17,,,,,8,,市场报价的堆叠数量,市场报价的堆叠数量{0},市场报价的堆叠数量8,,,86,下一个:市场报价的堆叠数量堆叠数量{0},下一个:市场报价的堆叠数量+10 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级43,union_atlas,lianmeng_shichanglei,市场报价的堆叠数量,永久升级
86,1,17,5,43,200,17,,,,,10,,市场报价的堆叠数量,市场报价的堆叠数量{0},市场报价的堆叠数量10,,,87,下一个:市场报价的堆叠数量堆叠数量{0},下一个:市场报价的堆叠数量+12 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级58,union_atlas,lianmeng_shichanglei,市场报价的堆叠数量,永久升级
87,1,17,6,58,250,17,,,,,12,,市场报价的堆叠数量,市场报价的堆叠数量{0},市场报价的堆叠数量12,,,88,下一个:市场报价的堆叠数量堆叠数量{0},下一个:市场报价的堆叠数量+14 堆叠数量,下一个:需求工会等级{0},下一个:需求工会等级69,union_atlas,lianmeng_shichanglei,市场报价的堆叠数量,永久升级
88,1,17,7,69,300,17,,,,,14,,市场报价的堆叠数量,市场报价的堆叠数量{0},市场报价的堆叠数量14,,,,,,,,union_atlas,lianmeng_shichanglei,市场报价的堆叠数量,永久升级
89,1,18,1,4,15,18,,,,,2,,常见资源的回复速度,常见资源的回复速度+{0}%,常见资源的回复速度+2%,,,90,下一个:常见资源的回复速度回复速度+{0}%,下一个:常见资源的回复速度+4% 回复速度,下一个:需求工会等级{0},下一个:需求工会等级9,union_atlas,lianmeng_putong,常见资源的回复速度,永久升级
90,1,18,2,9,30,18,,,,,4,,常见资源的回复速度,常见资源的回复速度+{0}%,常见资源的回复速度+4%,,,91,下一个:常见资源的回复速度回复速度+{0}%,下一个:常见资源的回复速度+6% 回复速度,下一个:需求工会等级{0},下一个:需求工会等级18,union_atlas,lianmeng_putong,常见资源的回复速度,永久升级
91,1,18,3,18,100,18,,,,,6,,常见资源的回复速度,常见资源的回复速度+{0}%,常见资源的回复速度+6%,,,92,下一个:常见资源的回复速度回复速度+{0}%,下一个:常见资源的回复速度+8% 回复速度,下一个:需求工会等级{0},下一个:需求工会等级28,union_atlas,lianmeng_putong,常见资源的回复速度,永久升级
