type,name,pay_type,atlas,icon,condition,task_scenes,task_guide_1,task_guide_2,task_guide_3,task_guide_4,task_guide_5,dialog
23,制作 <color=#fe9999>药品</color> ×{0} 件,1,activity_point_atlas,task2_yaopin,20010,IndoorScene,20002,34003,,,,
24,制作 <color=#fe9999>工具</color> ×{0} 件,1,activity_point_atlas,task2_gongju,21010,IndoorScene,20002,34003,,,,
25,制作 <color=#fe9999>暗器</color> ×{0} 件,1,activity_point_atlas,task2_anqi,22010,IndoorScene,20002,34003,,,,
26,制作 <color=#fe9999>投掷</color> ×{0} 件,1,activity_point_atlas,task2_touzhi,23010,IndoorScene,20002,34003,,,,
27,制作 <color=#fe9999>盾牌</color> ×{0} 件,1,activity_point_atlas,task2_dunpai,25010,IndoorScene,20002,34003,,,,
28,消耗 <color=#fe9999>铁矿</color> ×{0},1,item_atlas,icon_ziyuan3,1010,IndoorScene,20002,34003,,,,
29,消耗 <color=#fe9999>木材</color> ×{0},1,item_atlas,icon_ziyuan7,2010,IndoorScene,20002,34003,,,,
30,消耗 <color=#fe9999>皮革</color> ×{0},1,item_atlas,icon_ziyuan10,12010,IndoorScene,20002,34003,,,,
31,消耗 <color=#fe9999>化学制剂</color> ×{0},1,item_atlas,icon_ziyuan9,20010,IndoorScene,20002,34003,,,,
32,获得 <color=#fe9999>联盟任务评分</color> ×{0},1,__common_1,lianmeng_shengwang,,IndoorScene,33001,51016,,,,
33,开启 <color=#fe9999>任意宝箱</color> ×{0},1,main_atlas,zhuejiemian_baoxiang,,CityScene,20040,20049,,,,
34,探险收集 <color=#fe9999>任意材料</color> ×{0},1,activity_point_atlas,task2_tansuocailiao,,CityScene,20040,20040,,,,
35,探索 <color=#fe9999>任意副本</color> ×{0} 次,1,main_atlas,tanxian_tubiao,,CityScene,20040,20040,,,,
36,击杀 <color=#fe9999>副本BOSS</color> ×{0} 次,1,activity_point_atlas,task2_boss,,CityScene,20040,20040,,,,
37,获得 <color=#fe9999>待办任务活跃度</color> ×{0} 点,1,task_atlas,renwu_huoyuedu,,IndoorScene,33001,,,,,
38,制作获得 <color=#fe9999>高品质装备</color> ×{0} 件,1,activity_point_atlas,task2_gaopinzhi,,IndoorScene,20002,,,,,
39,制作 <color=#fe9999>重武器</color> ×{0} 件,2,activity_point_atlas,task2_zhongwuqi,8010,IndoorScene,20002,,,,,
40,制作 <color=#fe9999>狙击枪</color> ×{0} 件,2,activity_point_atlas,task2_jujiqiang,7010,IndoorScene,20002,,,,,
41,制作 <color=#fe9999>首饰</color> ×{0} 件,2,activity_point_atlas,task2_shoushi,24010,IndoorScene,20002,,,,,
42,在 <color=#fe9999>酒吧刷新</color> ×{0} 次,2,activity_point_atlas,task2_jiuba,,IndoorScene,20024,25032,20026,,,
43,在 <color=#fe9999>幸运转盘抽奖</color> ×{0} 次,2,lottery_atlas,zhuejiemian_zhuanpan,,IndoorScene,51012,31001,51007,,,
44,通过 <color=#fe9999>购买礼包</color> 、 <color=#fe9999>充值</color> 获得金条×{0},2,main_atlas,zhuejiemian_tbshangdian,,IndoorScene,51013,,,,,
45,通过 <color=#fe9999>消耗金条</color> ×{0}(不包含市场消耗),2,__common_1,zhuejiemian_jinkuai,,IndoorScene,51013,51015,,,,
46,通过 <color=#fe9999>黑市消费金条</color> ×{0},2,task_atlas,task_shichang,,IndoorScene,51013,51015,,,,
