id,instance_name,instance_group,group_index,instance_group_name,instance_type,scenes,instance_atlas,instance_icon,instance_bg,monster1_id,monster2_id,monster3_id,monster4_id,monster5_id,monster6_id,monster7_id,monster8_id,monster9_id,monster10_id,boss_id,reward_type,reward_id,reward_num,team_strength,recommend_power
26,据点6,3,6,地标大厦,1,Level_203,ruins_atlas,jianzhu3,feixu_xiaotudatang,102106:102106:102206:102206,102106:102106:102206:102206,102106:102106:102206:102206,102106:102106:102206:102206:102206,102106:102106:102206:102206:102206,102106:102106:102206:102206:102206,,,,,102102,49:50,70001:80002,91:7,21380,4276
27,据点7,3,7,地标大厦,1,Level_203,ruins_atlas,jianzhu3,feixu_xiaotudatang,102107:102107:102207:102207:102207,102107:102107:102207:102207:102207,102107:102107:102207:102207:102207,102107:102107:102207:102207:102207,102107:102107:102207:102207:102207,102107:102107:102207:102207:102207,,,,,102102,49:50,70001:80003,95:7,22230,4446
28,据点8,3,8,地标大厦,1,Level_203,ruins_atlas,jianzhu3,feixu_xiaotudatang,102108:102108:102208:102208,102108:102108:102208:102208,102108:102108:102208:102208:102208,102108:102108:102208:102208:102208,102108:102108:102208:102208:102208,102108:102108:102208:102208:102208,102108:102108:102208:102208:102208,,,,102102,49:50,70001:80001,111:9,23105,4621
29,据点9,3,9,地标大厦,1,Level_203,ruins_atlas,jianzhu3,feixu_xiaotudatang,102109:102109:102209:102209,102109:102109:102209:102209,102109:102109:102209:102209,102109:102109:102209:102209,102109:102109:102209:102209:102209,102109:102109:102209:102209:102209,102109:102109:102209:102209:102209,102109:102109:102209:102209:102209,,,102102,49:50,70001:80002,127:10,23985,4797
30,据点10,3,10,地标大厦,2,Level_203,ruins_atlas,jianzhu3,feixu_xiaotudatang,102110:102110:102210:102210,102110:102110:102210:102210:102210,102110:102110:102210:102210:102210,102110:102110:102210:102210:102210,102110:102110:102210:102210:102210,102110:102110:102210:102210:102210,102110:102110:102210:102210:102210,102110:102110:102210:102301:102210,,,102301,49:50,70001:80003,159:12,36730,7346
31,据点1,4,1,完整的银行,1,Level_204,ruins_atlas,jianzhu4,feixu_xiaotuyih,103101:103101:103201:103201,103101:103101:103201:103201,103101:103101:103201:103201,103101:103101:103201:103201:103201,,,,,,,103101,49:50,70001:80001,24:2,21380,4276
32,据点2,4,2,完整的银行,1,Level_204,ruins_atlas,jianzhu4,feixu_xiaotuyih,103102:103102:103202,103102:103102:103202:103202,103102:103102:103202:103202,103102:103102:103202:103202,103102:103102:103202:103202:103202,,,,,,103101,49:50,70001:80002,34:3,22230,4446
33,据点3,4,3,完整的银行,1,Level_204,ruins_atlas,jianzhu4,feixu_xiaotuyih,103103:103103:103203:103203,103103:103103:103203:103203,103103:103103:103203:103203:103203,103103:103103:103203:103203:103203,103103:103103:103203:103203:103203,,,,,,103101,49:50,70001:80003,44:3,23105,4621
34,据点4,4,4,完整的银行,1,Level_204,ruins_atlas,jianzhu4,feixu_xiaotuyih,103104:103104:103204:103204,103104:103104:103204:103204,103104:103104:103204:103204,103104:103104:103204:103204,103104:103104:103204:103204:103204,103104:103104:103204:103204:103204,,,,,103101,49:50,70001:80001,53:4,23985,4797
35,据点5,4,5,完整的银行,1,Level_204,ruins_atlas,jianzhu4,feixu_xiaotuyih,103105:103105:103205:103205,103105:103105:103205:103205,103105:103105:103205:103205,103105:103105:103205:103205,103105:103105:103205:103205,103105:103105:103205:103205,103105:103105:103205:103205:103205,,,,103101,49:50,70001:80002,102:8,24900,4980
36,据点6,4,6,完整的银行,1,Level_204,ruins_atlas,jianzhu4,feixu_xiaotuyih,103106:103106:103206:103206,103106:103106:103206:103206,103106:103106:103206:103206,103106:103106:103206:103206:103206,103106:103106:103206:103206:103206,103106:103106:103206:103206:103206,103106:103106:103206:103206:103206,,,,103102,49:50,70001:80003,112:9,25855,5171
37,据点7,4,7,完整的银行,1,Level_204,ruins_atlas,jianzhu4,feixu_xiaotuyih,103107:103107:103207:103207,103107:103107:103207:103207,103107:103107:103207:103207,103107:103107:103207:103207,103107:103107:103207:103207,103107:103107:103207:103207:103207,103107:103107:103207:103207:103207,103107:103107:103207:103207:103207,,,103102,49:50,70001:80001,116:9,26840,5368
38,据点8,4,8,完整的银行,1,Level_204,ruins_atlas,jianzhu4,feixu_xiaotuyih,103108:103108:103208:103208,103108:103108:103208:103208,103108:103108:103208:103208:103208,103108:103108:103208:103208:103208,103108:103108:103208:103208:103208,103108:103108:103208:103208:103208,103108:103108:103208:103208:103208,103108:103108:103208:103208:103208,,,103102,49:50,70001:80002,136:10,27865,5573
39,据点9,4,9,完整的银行,1,Level_204,ruins_atlas,jianzhu4,feixu_xiaotuyih,103109:103109:103209:103209,103109:103109:103209:103209,103109:103109:103209:103209,103109:103109:103209:103209,103109:103109:103209:103209:103209,103109:103109:103209:103209:103209,103109:103109:103209:103209:103209,103109:103109:103209:103209:103209,103109:103109:103209:103209:103209,,103102,49:50,70001:80003,155:12,28935,5787
40,据点10,4,10,完整的银行,2,Level_204,ruins_atlas,jianzhu4,feixu_xiaotuyih,103110:103110:103210:103210,103110:103110:103210:103210:103210,103110:103110:103210:103210:103210,103110:103110:103210:103210:103210,103110:103110:103210:103210:103210,103110:103110:103210:103210:103210,103110:103110:103210:103210:103210,103110:103110:103210:103210:103210,103110:103110:103210:103301:103210,,103301,49:50,70001:80001,194:15,44410,8882
41,据点1,5,1,未知的医院,1,Level_205,ruins_atlas,jianzhu5,feixu_xiaotuyiy,104101:104101:104201:104201,104101:104101:104201:104201,104101:104101:104201:104201,104101:104101:104201:104201:104201,104101:104101:104201:104201:104201,,,,,,104101,49:50,70001:80002,25:2,25855,5171
42,据点2,5,2,未知的医院,1,Level_205,ruins_atlas,jianzhu5,feixu_xiaotuyiy,104102:104102:104202:104202,104102:104102:104202:104202,104102:104102:104202:104202,104102:104102:104202:104202,104102:104102:104202:104202,104102:104102:104202:104202:104202,,,,,104101,49:50,70001:80003,35:3,26840,5368
43,据点3,5,3,未知的医院,1,Level_205,ruins_atlas,jianzhu5,feixu_xiaotuyiy,104103:104103:104203:104203,104103:104103:104203:104203,104103:104103:104203:104203:104203,104103:104103:104203:104203:104203,104103:104103:104203:104203:104203,104103:104103:104203:104203:104203,,,,,104101,49:50,70001:80001,44:3,27865,5573
44,据点4,5,4,未知的医院,1,Level_205,ruins_atlas,jianzhu5,feixu_xiaotuyiy,104104:104104:104204:104204,104104:104104:104204:104204,104104:104104:104204:104204,104104:104104:104204:104204,104104:104104:104204:104204:104204,104104:104104:104204:104204:104204,104104:104104:104204:104204:104204,,,,104101,49:50,70001:80002,54:4,28935,5787
45,据点5,5,5,未知的医院,1,Level_205,ruins_atlas,jianzhu5,feixu_xiaotuyiy,104105:104105:104205:104205,104105:104105:104205:104205:104205,104105:104105:104205:104205:104205,104105:104105:104205:104205:104205,104105:104105:104205:104205:104205,104105:104105:104205:104205:104205,104105:104105:104205:104205:104205,,,,104101,49:50,70001:80003,104:8,30045,6009
46,据点6,5,6,未知的医院,1,Level_205,ruins_atlas,jianzhu5,feixu_xiaotuyiy,104106:104106:104206:104206,104106:104106:104206:104206,104106:104106:104206:104206,104106:104106:104206:104206:104206,104106:104106:104206:104206:104206,104106:104106:104206:104206:104206,104106:104106:104206:104206:104206,104106:104106:104206:104206:104206,,,104102,49:50,70001:80001,114:9,31205,6241
47,据点7,5,7,未知的医院,1,Level_205,ruins_atlas,jianzhu5,feixu_xiaotuyiy,104107:104107:104207:104207,104107:104107:104207:104207,104107:104107:104207:104207,104107:104107:104207:104207,104107:104107:104207:104207,104107:104107:104207:104207:104207,104107:104107:104207:104207:104207,104107:104107:104207:104207:104207,104107:104107:104207:104207:104207,,104102,49:50,70001:80002,119:9,32410,6482
48,据点8,5,8,未知的医院,1,Level_205,ruins_atlas,jianzhu5,feixu_xiaotuyiy,104108:104108:104208:104208,104108:104108:104208:104208,104108:104108:104208:104208:104208,104108:104108:104208:104208:104208,104108:104108:104208:104208:104208,104108:104108:104208:104208:104208,104108:104108:104208:104208:104208,104108:104108:104208:104208:104208,104108:104108:104208:104208:104208,,104102,49:50,70001:80003,138:11,33665,6733
49,据点9,5,9,未知的医院,1,Level_205,ruins_atlas,jianzhu5,feixu_xiaotuyiy,104109:104109:104209:104209,104109:104109:104209:104209,104109:104109:104209:104209,104109:104109:104209:104209,104109:104109:104209:104209:104209,104109:104109:104209:104209:104209,104109:104109:104209:104209:104209,104109:104109:104209:104209:104209,104109:104109:104209:104209:104209,104109:104109:104209:104209:104209,104102,49:50,70001:80001,158:12,34965,6993
50,据点10,5,10,未知的医院,2,Level_205,ruins_atlas,jianzhu5,feixu_xiaotuyiy,104110:104110:104210:104210,104110:104110:104210:104210:104210,104110:104110:104210:104210:104210,104110:104110:104210:104210:104210,104110:104110:104210:104210:104210,104110:104110:104210:104210:104210,104110:104110:104210:104210:104210,104110:104110:104210:104210:104210,104110:104110:104210:104210:104210,104110:104110:104210:104301:104210,104301,49:50,70001:80002,198:15,53785,10757
51,据点1,6,1,地下艺术馆,1,Level_206,ruins_atlas,jianzhu6,feixu_xiaotukejig,105101:105101:105201:105201,105101:105101:105201:105201,105101:105101:105201:105201,105101:105101:105201:105201:105201,105101:105101:105201:105201:105201,105101:105101:105201:105201:105201,,,,,105101,49:50,70001:80003,25:2,31205,6241
52,据点2,6,2,地下艺术馆,1,Level_206,ruins_atlas,jianzhu6,feixu_xiaotukejig,105102:105102:105202:105202:105202,105102:105102:105202:105202:105202,105102:105102:105202:105202:105202,105102:105102:105202:105202:105202,105102:105102:105202:105202:105202,105102:105102:105202:105202:105202,,,,,105101,49:50,70001:80001,35:3,32410,6482
53,据点3,6,3,地下艺术馆,1,Level_206,ruins_atlas,jianzhu6,feixu_xiaotukejig,105103:105103:105203:105203,105103:105103:105203:105203,105103:105103:105203:105203:105203,105103:105103:105203:105203:105203,105103:105103:105203:105203:105203,105103:105103:105203:105203:105203,105103:105103:105203:105203:105203,,,,105101,49:50,70001:80002,45:3,33665,6733
54,据点4,6,4,地下艺术馆,1,Level_206,ruins_atlas,jianzhu6,feixu_xiaotukejig,105104:105104:105204:105204,105104:105104:105204:105204,105104:105104:105204:105204,105104:105104:105204:105204,105104:105104:105204:105204:105204,105104:105104:105204:105204:105204,105104:105104:105204:105204:105204,105104:105104:105204:105204:105204,,,105101,49:50,70001:80003,55:4,34965,6993
55,据点5,6,5,地下艺术馆,1,Level_206,ruins_atlas,jianzhu6,feixu_xiaotukejig,105105:105105:105205:105205,105105:105105:105205:105205:105205,105105:105105:105205:105205:105205,105105:105105:105205:105205:105205,105105:105105:105205:105205:105205,105105:105105:105205:105205:105205,105105:105105:105205:105205:105205,105105:105105:105205:105205:105205,,,105101,49:50,70001:80001,106:8,36330,7266
56,据点6,6,6,地下艺术馆,1,Level_206,ruins_atlas,jianzhu6,feixu_xiaotukejig,105106:105106:105206:105206,105106:105106:105206:105206,105106:105106:105206:105206,105106:105106:105206:105206:105206,105106:105106:105206:105206:105206,105106:105106:105206:105206:105206,105106:105106:105206:105206:105206,105106:105106:105206:105206:105206,105106:105106:105206:105206:105206,,105102,49:50,70001:80002,116:9,37740,7548
57,据点7,6,7,地下艺术馆,1,Level_206,ruins_atlas,jianzhu6,feixu_xiaotukejig,105107:105107:105207:105207,105107:105107:105207:105207,105107:105107:105207:105207,105107:105107:105207:105207,105107:105107:105207:105207,105107:105107:105207:105207:105207,105107:105107:105207:105207:105207,105107:105107:105207:105207:105207,105107:105107:105207:105207:105207,105107:105107:105207:105207:105207,105102,49:50,70001:80003,121:9,39205,7841
58,据点8,6,8,地下艺术馆,1,Level_206,ruins_atlas,jianzhu6,feixu_xiaotukejig,105108:105108:105208:105208,105108:105108:105208:105208,105108:105108:105208:105208:105208,105108:105108:105208:105208:105208,105108:105108:105208:105208:105208,105108:105108:105208:105208:105208,105108:105108:105208:105208:105208,105108:105108:105208:105208:105208,105108:105108:105208:105208:105208,105108:105108:105208:105208:105208,105102,49:50,70001:80001,141:11,40715,8143
59,据点9,6,9,地下艺术馆,1,Level_206,ruins_atlas,jianzhu6,feixu_xiaotukejig,105109:105109:105209:105209:105209,105109:105109:105209:105209:105209,105109:105109:105209:105209:105209,105109:105109:105209:105209:105209,105109:105109:105209:105209:105209,105109:105109:105209:105209:105209,105109:105109:105209:105209:105209,105109:105109:105209:105209:105209,105109:105109:105209:105209:105209,105109:105109:105209:105209:105209,105102,49:50,70001:80002,161:12,42295,8459
60,据点10,6,10,地下艺术馆,2,Level_206,ruins_atlas,jianzhu6,feixu_xiaotukejig,105110:105110:105210:105210:105210,105110:105110:105210:105210:105210,105110:105110:105210:105210:105210,105110:105110:105210:105210:105210,105110:105110:105210:105210:105210,105110:105110:105210:105210:105210,105110:105110:105210:105210:105210,105110:105110:105210:105210:105210,105110:105110:105210:105210:105210,105110:105110:105210:105301:105210,105301,49:50,70001:80003,201:15,65150,13030
61,据点1,7,1,购物中心,1,Level_207,ruins_atlas,jianzhu7,feixu_xiaotuchaoshi,106101:106101:106201:106201,106101:106101:106201:106201,106101:106101:106201:106201,106101:106101:106201:106201:106201,106101:106101:106201:106201:106201,106101:106101:106201:106201:106201,106101:106101:106201:106201:106201,,,,106101,49:50,70001:80001,26:2,39060,7812
62,据点2,7,2,购物中心,1,Level_207,ruins_atlas,jianzhu7,feixu_xiaotuchaoshi,106102:106102:106202:106202,106102:106102:106202:106202,106102:106102:106202:106202,106102:106102:106202:106202,106102:106102:106202:106202,106102:106102:106202:106202:106202,106102:106102:106202:106202:106202,106102:106102:106202:106202:106202,,,106101,49:50,70001:80002,36:3,40570,8114
63,据点3,7,3,购物中心,1,Level_207,ruins_atlas,jianzhu7,feixu_xiaotuchaoshi,106103:106103:106203:106203,106103:106103:106203:106203,106103:106103:106203:106203:106203,106103:106103:106203:106203:106203,106103:106103:106203:106203:106203,106103:106103:106203:106203:106203,106103:106103:106203:106203:106203,106103:106103:106203:106203:106203,,,106103,49:50,70001:80003,46:4,42140,8428
64,据点4,7,4,购物中心,1,Level_207,ruins_atlas,jianzhu7,feixu_xiaotuchaoshi,106104:106104:106204:106204,106104:106104:106204:106204,106104:106104:106204:106204,106104:106104:106204:106204,106104:106104:106204:106204:106204,106104:106104:106204:106204:106204,106104:106104:106204:106204:106204,106104:106104:106204:106204:106204,106104:106104:106204:106204:106204,,106205,49:50,70001:80001,56:4,43770,8754
65,据点5,7,5,购物中心,1,Level_207,ruins_atlas,jianzhu7,feixu_xiaotuchaoshi,106105:106105:106205:106205,106105:106105:106205:106205,106105:106105:106205:106205,106105:106105:106205:106205,106105:106105:106205:106205,106105:106105:106205:106205,106105:106105:106205:106205:106205,106105:106105:106205:106205:106205,106105:106105:106205:106205:106205,106105:106105:106205:106205:106205,106205,49:50,70001:80002,107:8,45470,9094
66,据点6,7,6,购物中心,1,Level_207,ruins_atlas,jianzhu7,feixu_xiaotuchaoshi,106106:106106:106206:106206,106106:106106:106206:106206,106106:106106:106206:106206,106106:106106:106206:106206:106206,106106:106106:106206:106206:106206,106106:106106:106206:106206:106206,106106:106106:106206:106206:106206,106106:106106:106206:106206:106206,106106:106106:106206:106206:106206,106106:106106:106206:106206:106206,106206,49:50,70001:80003,118:9,47235,9447
67,据点7,7,7,购物中心,1,Level_207,ruins_atlas,jianzhu7,feixu_xiaotuchaoshi,106107:106107:106207:106207:106207,106107:106107:106207:106207:106207,106107:106107:106207:106207:106207,106107:106107:106207:106207:106207,106107:106107:106207:106207:106207,106107:106107:106207:106207:106207,106107:106107:106207:106207:106207,106107:106107:106207:106207:106207,106107:106107:106207:106207:106207,106107:106107:106207:106207:106207,106207,49:50,70001:80001,123:9,49060,9812
68,据点8,7,8,购物中心,1,Level_207,ruins_atlas,jianzhu7,feixu_xiaotuchaoshi,106108:106108:106208:106208:106208,106108:106108:106208:106208:106208,106108:106108:106208:106208:106208,106108:106108:106208:106208:106208,106108:106108:106208:106208:106208,106108:106108:106208:106208:106208,106108:106108:106208:106208:106208,106108:106108:106208:106208:106208,106108:106108:106208:106208:106208,106108:106108:106208:106208:106208,106208,49:50,70001:80002,143:11,50955,10191
69,据点9,7,9,购物中心,1,Level_207,ruins_atlas,jianzhu7,feixu_xiaotuchaoshi,106109:106109:106209:106209:106209,106109:106109:106209:106209:106209,106109:106109:106209:106209:106209,106109:106109:106209:106209:106209,106109:106109:106209:106209:106209,106109:106109:106209:106209:106209,106109:106109:106209:106209:106209,106109:106109:106209:106209:106209,106109:106109:106209:106209:106209,106109:106109:106209:106209:106209,106209,49:50,70001:80003,164:13,52930,10586
70,据点10,7,10,购物中心,2,Level_207,ruins_atlas,jianzhu7,feixu_xiaotuchaoshi,106110:106110:106210:106210:106210,106110:106110:106210:106210:106210,106110:106110:106210:106210:106210,106110:106110:106210:106210:106210,106110:106110:106210:106210:106210,106110:106110:106210:106210:106210,106110:106110:106210:106210:106210,106110:106110:106210:106210:106210,106110:106110:106210:106210:106210,106110:106110:106210:106301:106210,106301,49:50,70001:80001,205:16,81675,16335
71,据点1,8,1,警察总局,1,Level_208,ruins_atlas,jianzhu8,feixu_xiaotujingcha,107101:107101:107201:107201,107101:107101:107201:107201,107101:107101:107201:107201,107101:107101:107201:107201:107201,107101:107101:107201:107201:107201,107101:107101:107201:107201:107201,107101:107101:107201:107201:107201,107101:107101:107201:107201:107201,,,107101,49:50,70001:80002,26:2,47235,9447
72,据点2,8,2,警察总局,1,Level_208,ruins_atlas,jianzhu8,feixu_xiaotujingcha,107102:107102:107202:107202,107102:107102:107202:107202,107102:107102:107202:107202,107102:107102:107202:107202,107102:107102:107202:107202,107102:107102:107202:107202:107202,107102:107102:107202:107202:107202,107102:107102:107202:107202:107202,107102:107102:107202:107202:107202,,107102,49:50,70001:80003,36:3,49060,9812
73,据点3,8,3,警察总局,1,Level_208,ruins_atlas,jianzhu8,feixu_xiaotujingcha,107103:107103:107203:107203,107103:107103:107203:107203,107103:107103:107203:107203,107103:107103:107203:107203,107103:107103:107203:107203,107103:107103:107203:107203,107103:107103:107203:107203,107103:107103:107203:107203:107203,107103:107103:107203:107203:107203,107103:107103:107203:107203:107203,107103,49:50,70001:80001,47:4,50955,10191
74,据点4,8,4,警察总局,1,Level_208,ruins_atlas,jianzhu8,feixu_xiaotujingcha,107104:107104:107204:107204,107104:107104:107204:107204,107104:107104:107204:107204,107104:107104:107204:107204,107104:107104:107204:107204:107204,107104:107104:107204:107204:107204,107104:107104:107204:107204:107204,107104:107104:107204:107204:107204,107104:107104:107204:107204:107204,107104:107104:107204:107204:107204,107204,49:50,70001:80002,57:4,52930,10586
75,据点5,8,5,警察总局,1,Level_208,ruins_atlas,jianzhu8,feixu_xiaotujingcha,107105:107105:107205:107205,107105:107105:107205:107205:107205,107105:107105:107205:107205:107205,107105:107105:107205:107205:107205,107105:107105:107205:107205:107205,107105:107105:107205:107205:107205,107105:107105:107205:107205:107205,107105:107105:107205:107205:107205,107105:107105:107205:107205:107205,107105:107105:107205:107205:107205,107205,49:50,70001:80003,109:8,54985,10997
76,据点6,8,6,警察总局,1,Level_208,ruins_atlas,jianzhu8,feixu_xiaotujingcha,107106:107106:107206:107206:107206,107106:107106:107206:107206:107206,107106:107106:107206:107206:107206,107106:107106:107206:107206:107206,107106:107106:107206:107206:107206,107106:107106:107206:107206:107206,107106:107106:107206:107206:107206,107106:107106:107206:107206:107206,107106:107106:107206:107206:107206,107106:107106:107206:107206:107206,107206,49:50,70001:80001,120:9,57115,11423
77,据点7,8,7,警察总局,1,Level_208,ruins_atlas,jianzhu8,feixu_xiaotujingcha,107107:107107:107207:107207:107207,107107:107107:107207:107207:107207,107107:107107:107207:107207:107207,107107:107107:107207:107207:107207,107107:107107:107207:107207:107207,107107:107107:107207:107207:107207,107107:107107:107207:107207:107207,107107:107107:107207:107207:107207,107107:107107:107207:107207:107207,107107:107107:107207:107207:107207,107207,49:50,70001:80002,125:9,59335,11867
78,据点8,8,8,警察总局,1,Level_208,ruins_atlas,jianzhu8,feixu_xiaotujingcha,107108:107108:107208:107208:107208,107108:107108:107208:107208:107208,107108:107108:107208:107208:107208,107108:107108:107208:107208:107208,107108:107108:107208:107208:107208,107108:107108:107208:107208:107208,107108:107108:107208:107208:107208,107108:107108:107208:107208:107208,107108:107108:107208:107208:107208,107108:107108:107208:107208:107208,107208,49:50,70001:80003,146:11,61650,12330
