chinese_,english
墙纸解锁,Wallpaper Unlock
内容种类,Type
外观选择,Customize
开始游戏,Start
自定义店主形象！,Customize the shop owner's appearance!
外观,Appearance
选择一个名称,Choose a name
装修,Decorate
地板,Flooring
墙纸,Wallpaper
铁血战靴,Iron Boots
图纸,Blueprint
里程碑,Milestone
工匠,Worker
不管它来自什么地方，都注定能拯救世界。,No matter where it comes from，it's destined to save the world
制作,Craft
里程碑升级,Milestone Upgrades
到达制作里程碑来解锁此图纸的升级。,Reach milestone achievements to get upgrade rewards
每次升级都可以获得更多的研究卷轴！,Receive additional Research Scrolls with every upgrade!
价格提升,Value Increase
布甲,Leather Armor
普通品质,Normal
生命,HP
攻击,ATK
防御,DEF
速度,SPD
命中,HIT
闪避,EVA
暴击,CRIT
韧性,Toughness
穿刺伤害,Pierce Damage
穿刺抗性,Pierce Resistance
燃烧伤害,Burning Damage
燃烧抗性,Burning Resistance
精神伤害,Spiritual Damage
精神抗性,Spiritual Resistance
电击伤害,Electric Damage
电击抗性,Electric Resistance
辐射伤害,Radiating Damage
辐射抗性,Radiating Resistance
制造,Craft
总览,Overview
武器,Weapon
防具,Armor
最近,Recent
收藏,Collect
精通,Master
未解锁,Locked
冒险完成!,Quest Complete!
奖励,Rewards
收集,Collect
收集全部,Collect All
如果冒险太困难，试试用更强的装备武装您的英雄。,If the quest is too difficult，try to arm your hero with stronger equipment.
区域已解锁,Area Unlocked
解锁于：,Unlocked at:
提高你的冒险地点等级来解锁升级！,Level up your Quest locations to unlock higher difficulty!
探险,Quest
可挑战,Can Challenge
探索时间：,Exploration time:
简单难度,Easy
探索,Explore
使用道具强化本次战斗,Use item to buff up the battle
队伍战力：,Team Power:
推荐战力：,Recommended Power:
看来这次任务非常简单,It seems that this quest is very simple
实力相差悬殊，看样子这次回不来了~,The enemies are too strong，it seems that I can't back this time~
选择小队,Select Party
推荐战力,Recommended Power
恢复所有英雄,Heal All Characters
点击恢复,Tap to Heal
休息中,Resting
解锁冒险,Unlock Quest
解锁,Unlock
选择强化,Select Strengthen
立即打开,Open now
正在扩建,Expanding
立即完成,Finish Now
店铺扩建已解锁！,New Expansion Unlock!
扩建店铺,Expand Shop
店铺空间,Shop Space
家具空间,Furniture Space
升级所需时间,Time required to upgrade
扩建,Expand
立即扩建,Expand Instantly
确定扩建？,To expand?
通知内容,Notification
家具,Furniture
货架,Shelves
资源篮,Resource Bin
店内装饰,Inside Decoration
店外装饰,Outside Decoration
地毯,Carpet
用,Use
已解锁,Unlocked
仓库容量,Capacity
确认,Confirm
能量上限,Max Energy
容量,Capacity
大小,Size
升级时间,Time to upgrade
升级,Level Up!
内容,Content
立即升级,Instant Upgrade
确定升级？,To upgrade?
赶工,Rush
确定赶工？,Confirm Rush?
完成升级,Finish Upgrade
已升至最高级,Already Max Level
家具升级,Furniture Upgrade
用户名,Username
获得新英雄,Recruit a new hero
资质：,Quality:
生命：,HP:
攻击：,ATK:
防御：,DEF:
速度：,SPD:
可装备,Equippable
天赋,Talent
职业技能,Class Skill
点击制作按钮,Tap Craft Button
你好，欢迎来到我的商店，需要什么装备，我很乐意为你效劳,Hello，welcome to my shop! What equipment is needed? I will be happy to help you.
店长的柜台,Counter
明白了,OK
免费,Free
地下城升级,Dungeon Upgrade
升级！,Level Up!
转职成功！,Advanced Successfully!
物品栏,Inventory
点击查看,Tap to view
缺少要求,Lack of requirements
缺少资源,Lack of resources
错误,Error
无法与服务器建立连接。请检查您的网络。,Unable to connect the server. Please check your network.
重试,Retry
断 开 连 接,Disconnect
您与服务器的连接已丢失。请重新连接以继续游戏。（错误4006）,Your connection to the server was lost. Please reconnect to continue playing. (Error 4006)
重新连接,Reconnect
联系我们,Contact Us
下次重置：,Next Reset in:
50钻,50 diamonds
立即重置,Reset Now
我的记录,My Record
获得了,Obtained
英雄类型,Hero Type
免费抽取,Free Draw
抽一次,Draw Once
抽十次,Draw 10 Times
累计奖励,Cumulative Reward
城市,City
任务,Task
设计,Design
制作详情,Craft Details
加速,Speed Up
领取,Claim
交易栏位购买,Trade Slot Purchase
将您的交易栏位提高1,Increase
花费金砖购买,Purchase with Gold
已空！,Empty!
按等级筛选,Filter by level
按品质筛选,Filter by quality
正在获取交易...,Fetching Trade
等级1,Lv1
等级2,Lv2
等阶3,Lv3
等级4,Lv4
等级5,Lv5
等级6,Lv6
等级7,Lv7
等级8,Lv8
等级9,Lv9
等级10,Lv10
全 选,Select All
应用,Apply
普通,Normal
高级,Superior
无暇,Flawless
史诗,Epic
传说,Legendary
全选,Select All
通过物品栏满足,Meet through the inventory
基础价值：,Base Value:
物品栏中：,In Inventory:
交易：,Trade:
新币价格,New Dollar Price
正在处理......,Processing
金砖价格,Gold Bricks Price
满足请求,Meet Request
市场报价,Market Price
配件,Fittings
按等阶筛选,Filter by tier
等阶1,Tier 1
等阶2,Tier 2
等阶4,Tier 4
等阶5,Tier 5
等阶6,Tier 6
等阶7,Tier 7
等阶8,Tier 8
等阶9,Tier 9
等阶10,Tier 10
出售大厅,Offer Hall
购买大厅,Request Hall
存钱罐追踪器,Piggy Bank Tracker
下一个存钱罐：,Next Piggy Bank in：
赚取新币来填满你的存钱罐并获得奖励！,Make New Dollar to fill up your piggy bank and get rewards
通知,Notificaion
提示,Tips
你确认要离开商会联盟吗？离开后你将无法享受联盟共享改造与研究技术等级加成！,Are you sure you want to leave the Guild? If you leave，you will not be able to enjoy the guild's shared development and research skill level bonus
立即完成？,Finish Now?
是,Yes
否,No
重置任务,Reset Task
花费钥匙解锁,Unlock with Keys
把握机会,Take the chance
选择宝箱,Choose chest
上次活跃,Last Active
在线,Online
造访店铺,Visit Shop
成员,Member
净价值,Net Worth
店长在生涯中所赚取的总新币数量。,The total amount of new dollar a shopkeeper has made during their career
声望,Prestige
通过高端装饰得到的声望分数。对实际游戏没有影响，但提高声望能提高您在排行榜上的名次。,A prestige score granted by fancy decoration. Has no game playeffect，but high prestige can earn you a spot on the leaderboard
投资,Investment
店长在城市中所投资的总新币数量。如果店长更换联盟，这些投资额不会清零而是跟随着店长。,The total amount of new dollars a shopkeeper has invested in the city. These investments follow the shopkeeper when he or she changes guild.
已精通,Mastered
这名店长已精通的纸数量。,The amount of blueprints this shopkeeper has mastered
已帮助,Helped
这名店长帮助过的联盟,The number of members this shopkeeper helped. Such as by speeding up furniture upgrade time
成员数量，比如帮助加,
速家具升级时间。,
升星,Ascensions
这位店长以升星的总数,The number of ascension stars this shopkeeper has acquired
工人可用,Workers Available
杰作!,Masterpiece!
您制作了一件出色的物品！,You've crafted an outstanding item!
骑士盾牌,Knight Shield
杰作！,Masterpiece!
升级至,Upgrade to
优良,Superior
收取,Collect
收到物品！,Items Received!
发现图纸！,Blueprints Discovered!
研究此图纸并开始制作它！,Research this blueprint to start crafting it!
立即研究,Research Now
图纸升级！,Blueprint Level Up!
时间减少20%,20% Time Reduction
图纸激活！,The blueprint is activated!
激活此图纸并开始制作它！,Activate this blueprint to start crafting it!
缺少要求 - 0/1,Missing requirements - 0/1
可以收到以下资源:,Will receive the following resources:
补充资源,Supplement Resources
冒险状态,Quest Status
简单,Easy
剩余时间：,Time left:
已完成,Completed
确认赶工,Confirm Rush
完成,Complete
解锁英雄栏位吗？,Unlock Hero Slot?
派更多英雄参加冒险！,More Heroes to send on quests!
优异的品质,Excellent Quality
损坏几率,Break Chance
取消装备,Unequip
替换装备,Replace
装扮,Customize
解雇,Dissmiss
天赋：,Talent:
坚韧,Toughness
探索中,Exploring
等待中,Waiting
技能,Skills
转职后激活,Activated after transfer
基础属性,Basic Attributes
变异属性,Variant Attributes
穿刺伤害：,Puncture Damage
穿刺抗性：,Puncture Resistance
燃烧伤害：,Burning Damage
燃烧抗性：,Burning Resistance
精神伤害：,Spiritual Damage
精神抗性：,Spiritual Resistance
电击伤害：,Electric Damage
电击抗性：,Electric Resistance
辐射伤害：,Radiating Damage
辐射抗性：,Radiating Resistance
可穿戴1阶装备,Can wear up to Tier 1
点击装备,Tap to equip
转职后解锁,Unlock after advance
转职,Advancement
一键装备,One-click Equipment
需要20级可转职,Can advance at level 20
创建一个名称,Create a name
解雇英雄,Dismiss the hero
角色,Chars
增加英雄栏位,Add Hero Slot
增加1个英雄栏位,Add 1 Hero Slot
招募英雄,Recruit Hero
去酒吧招募英雄,To recruit heroes in the bar
解锁新英雄,Unlock New Heroes
探险中...,On Quest
待命,Ready
职业,Class
佣兵之家,Bar
招募,Recruit
已招募,Recruited
下次刷新：,Next refresh in:
再次举办,Hold Again
免费刷新,Free to Refresh
花费新币招募,Recruit with New Dollar
恢复所有角色,Heal All Chars
您所有角色都将准备好再次去冒险。,All your Chars will be ready to quest again.
使用酒杯恢复,Heal with Glass
使用新币恢复,Heal with New Dollar
恢复爱丽丝,Heal Alice
爱丽丝将准备好再次冒险！,Alice will be ready for another quest!
使用饮料恢复,Heal with Drink
护卫职业凭证：,Guard Certificate:
转职证书：,Transfer Certificate:
使用道具升级,Upgrade with Props
小型经验卡,Mini EXP Card
使用,Use
铁匠等级上限,Max Blacksmith Level
设置,Settings
音效（60%）,Sound(60%)
音乐（60%）,Music (60%)
播放UI动画（大部分）,Play UI Animation (mostly)
语言,Language
简体中文,Simplified CN
储蓄罐,Piggy Bank
宝箱,Chest
交易所,Market
宠物,Pets
皮肤,Skin
旋转,Rotate
木材,Wood
存放,Store
编辑,Edit
应用全部,Apply All
上半身,Top
立即购买,Buy it now
衣服,Fabrics
自定义购买,Custom Purchase
取消更改,Cancel Changes
是否确定？所有未保存的自定义选择都将丢失。,Are you sure? All unsaved custom selections will be lost.
推荐,Suggest
闲聊,Small Talk
拒绝,Refuse
等待,Wait
折扣,Discount
额外收费,Surcharge
售卖,Sell
重新进货,Restock
交易取消,Cancel Trade
您确定要取消交易吗？（您的新币或金条会被退回）,Are you sure you want to cancel the trade? (Your new dollar or gold bars will be returned)
两者都,Both
仅女性,Women Only
仅男性,Men Only
换模型,Change Model
输入要更换的装备ID,Enter the ID of the equipment to be replaced
换装,Dress up
上限：,Max:
传奇,Legend
税额：,Tax:
您支付：,You Pay:
稀有度：,Quality:
稀有度,Quality
价格,Price
持续时间,Duration
返回,Back
下一步,Next
您的挂牌（每个）,Your Listing (Each)
您将获得（每个）,You Get(Each)
目标,Goals
制造盔甲,Craft Armor
与顾客讨价还价可以获得和花费能量。升级您的货架即可提高您的能量上限。,Energy is earned and spent by haggling with customers. Upgrading your racks will increase your max energy.
点击收集,Tap to Collect
您得到:,You receive:
新币宝箱,New Dollar Chest
专属,Exclusive
包含4个以下物品:,Contains 4 items:
零件,Components
消耗品,Consumables
图纸卷轴,Blueprint Scroll
宝箱专属,Chest Exclusive
创建商会联盟,Create Guild
名称,Name
输入名称......,Enter Name
联盟开放度,Guild Privacy
完全公开,Open to all
最低等级,Min Level
花费新币创建,Create with New Dollar
热门,Featured
玩 家,Players
推荐联盟,Recommended Guild
最低等级 1,Min Level 1
加入,Join
正在加载......,Loading
创建联盟,Create Guild
我不想加入联盟,Don't want to join the guild
最低等级1,Min Level 1
没有找到该联盟，请输入正确的商会联盟名称,The guild was not found，please enter the correct name of the Guild
这是玩家名字,This is player name
这是联盟名字,This is guild name
输入玩家的名称已查看结果,Enter a guild's name to see results
（至少三个字符）,(3 characters minimum)
商会联盟搜索,Guild Finder
摘要,Summary
联盟净资产：,Net Worth
联盟会长：,Guildmaster
联盟性质：,Guild Nature
完全开放,Open to all
加入等级：,Min Level
加入联盟,Join Guild
搜索联盟,Search Guild
退出联盟,Quit Guild
查看工人,View Workers
正在解锁图纸,Unlocking Blueprint
需要,Require
解锁后剩余,Remaining after unlocking
正在使用高稀有度物品,Highly rare items in use
工匠名字,Workers Name
制作速度加成,Speed up crafting
详情,Details
AI对话的翻译》↓,
没货了。,Is this out of stock?
这里需要补充装备。,Need to add some equipment here.
店主，快补货。,Shopkeeper，restock quickly!
快乐没有了！,Happiness is gone!
这家店太火爆了,This shop is so popular!
下次来，希望有货。,Next time，I hope it will be available.
商店被抢劫了吗？,Has the shop been robbed?
需要我给你上货吗？,Do you need me to restock for you?
什么都没有了吗？,There is nothing here?
白来了！,Make a futile trip!
这......,Oops...
......,......
该补货了,It's time to restock.
别打盹，老板。,Stop a nap，boss.
你的货架有股禅意。,Your shelf looks empty.
需要补充货物。,Need to restock.
货架空了。,The shelf is empty.
还不是休息的时候。,It's not time to rest.
改补货了。,Restock，please.
真相就是没货了。,The truth is out of stock.
这家店太火爆了。,This shop is so popular!
推荐大家到这里买枪。,Recommend everyone to buy guns here.
请上货，速度快。,Please restock it，quickly.
克隆人可以帮你上货。,The clone can help you restock.
怎么没货，赶着救人呢？,Why are you out of stock? Rush to save people!
这个也行！,This is fine too!
我正需要这个！,This is what I need.
完美！,Perfect!
这是钢枪利器！,This is a good weapon!
我爱这个！,I love it!
太完美了！,So perfect!
好家伙！,Wow!
这个合适。,This is suitable.
不错。,Good.
很好。,Nice.
没白来。,Haven't made a trip for nothing.
我找这个很久了!,Looking for this for a long time!
值得称赞。,Commendable.
好好好。,Good...good...
正合我意！,Just to my liking!
射手的本能。,The instinct of a Ranger.
离真相更进一步。,One step further from the truth.
这个就行了！,This will do!
这个不合适。,This is inappropriate.
我再看看。,I will look at the others.
实际点的更适合我。,A more practical one suits me better.
我需要更劲爆点的。,I need something a little more exciting.
我不喜欢这个。,I don't like this.
你没开玩笑吧。,Are you kidding?
这个不行。,This is not OK.
还行，我再看看。,Not bad. Let me check again.
不合适,Not suitable.
这个算了,Let it pass.
我俩并没有缘分。,We're not meant for each other
这个不对。,This is not the right one.
需要学习更多武器。,Let it pass.
这个子弹太少了,There are too few bullets.
太过脆弱。,Too fragile.
太过笨重。,Too heavy.
我不擅长近战。,I'm not good at close fighting.
太过显眼。,Too conspicuous.
这个算了。,Let it pass.
我再仔细找找。,Let me look more closely.
嗯......,emm...
店长看上去有点忙......,The shopkeeper looks a bit busy...
柜台那里排着队呢。,There is a line at the counter.
店长忙的很！,The shopkeeper is very busy!
柜台挤不进去。,The counter is too crowded to be approached.
我来的不是时候。,I came at a bad time.
看来要个大点柜台。,A bigger counter is needed.
生意太好了。,Business is great.
没时间排队了。,Have no time to line up.
柜台人满了。,The counter was full.
人太多了，我很紧张。,Too many people. I am nervous...
下次再来。,Will come back next time.
不必着急，自能相遇。,Don't worry，you will meet each other eventually.
店长还需要帮手吗？,Does the shopkeeper need any more help?
错过这次机会了。,Missed opportunity.
我这大块头挤不进去。,I'm too big to squeeze in...
不错！,Not bad!
我家里也摆着这个。,I have this at home，too.
让人充满希望。,It is hopeful.
好想带回家。,Really want to take it home.
漂亮！,Pretty!
这个值得收藏。,This is worth collecting.
这个卖吗？,Is this for sale?
能量全给你！,Give you all energy!
好看！,Nice!
喜欢！,Like it!
让我想起家乡的樱花!,Reminds me of cherry blossoms in my hometown!
这个值得收藏,This is worth collecting.
这个已经很少见了。,This is very rare now.
我喜欢！,I like it!
令人兴奋！,Exciting!
抱歉,Sorry
你好,Hi
又见到你真开心！,So happy to see you again!
哈喽哈,Hello
击个掌，伙计。,High-five，buddy.
让一让。,Give way，please
您好,Hello
好久不见,Long time no see.
我认识你吗？,Do I know you?
别挡道,Don't stand in the way.
(鞠躬),(bow)
哈喽,Hello
新的一天开始了！,A new day begins!
也许还有希望。,Maybe there is hope.
战斗，为了活下去。,Fight to survive.
我的队友等着我呢。,My teammates are waiting for me.
希望这次任务顺利。,Hope this mission goes well.
准备突击！,Ready to assault!
壁垒变得越来越好了！,The shelter is getting better and better!
保护别人，让人幸福。,Protect others and make them happy.
我需要更好的护甲。,I need better armor.
都说这家店不错。,They all say that this shop is good.
碰巧路过这里。,Happened to pass by here.
我只稍作停留。,I only stay for a while.
不要忘记我们是谁！,Don't forget who we are!
我闻到了向日葵气息。,I smelled the smell of sunflowers.
希望会产生绝望。,Hope will bring despair.
请保持硬核。,Please keep perfect.
昨天的猎杀令人难忘。,Yesterday's hunt is unforgettable.
活下去，活下去！,Live，live!
我的枪很快！,My gun is fast!
你想活多久?,How long do you want to live?
金牌赏金猎人登场！,The Gold Bounty Hunter is here!
一击必杀！,One hit one kill!
速度要快，动作要静。,Be fast and quiet.
不能停止练习！,Can't stop practicing!
我会调查清楚的。,I will investigate clearly.
这家店藏着个秘密。,This shop has a secret.
壁垒的空气因我而清新。,The air in the shelter is fresh because of me.
枪械才是未来，我的朋友！,Guns are the future，my friend!
我的枪也不错！,My gun is also good!
给你们看看我的新宝贝！,Show you my new booty!
忍术里没有禁忌可言。,There are no taboos in ninjutsu.
我没时间废话。,I don't have time to talk nonsense.
这就是我的忍道！,This is my ninjutsu!
仿生人会梦见电子羊吗？,Do bionic men dream of electric sheep at sleep?
你有名字吗？,Do you have a name?
一起做梦怎么样！,How about dreaming together?
昨天的猎杀邻人难忘。,Yesterday's hunt is unforgettable.
人们总是很天真，|以为文明会重建，|却不知道野蛮，|才是真正的梦乡。,People are always naive，|think that civilization will be rebuilt，|but don't know that |barbarism is the real dream.
为了活下来，|我牺牲了一切。,I sacrificed everything，|for survival.
幸存是种幸运|还是诅咒呢？,Is surviving a kind of luck |or a curse?
伙计！|可能这世道没有正义|但看到掠夺者所做的|你会知道什么是错的。,Guys! |Maybe there is no justice in this world，|but when you see what the predators do，|you will know what is wrong.
总要有人冲在最前面|为什么不是我？,Someone has to be at the forefront，|why not me?
我给壁垒带回了食物|在教堂下面分发|你可以去看看。,I brought food back to the shelter |and distributed it under the church. |You can have a look there.
护卫征收新兵了，你有兴趣吗。,The guards are collecting new recruits. Are you interested?
大家要多加小心|掠夺者在附近出没|希望壁垒没有被发现|不然就麻烦了。,Be careful，|there are marauders in the vicinity，|hope the shelter is not found，otherwise there will be trouble
我有自己想保护得|人和土地，你呢？,I have people and land I want to protect. |What about you?
请保持距离，|我买完东西就走。,Please keep your distance，|and I will leave after buying things.
别想和我套近乎，|我全身都是刺，|这是我的铠甲。,Don't want to get close to me，|I have thorns all over. |This is my armor.
不是因为我变强了，|所以不跟人合作;|而是孤独让我变强了！,It's not because I'm stronger，|so I don't cooperate with others; |It's because loneliness makes me stronger!
趁我们还有气力，|就要分出身负。,While we still have strength，|we must decide the outcome.
末日武士？|还是最后的武士？|多么有趣！,Doom samurai? |Or the last samurai? |How fun!
你们个个都是|最好的稻草人，|但敌人可不是麻雀。,All of you |are the best scarecrows，|but the enemy is not a sparrow.
你有没有看见，|我的执行官盔甲?,Did you see，|my exec's armor?
他们愤怒，残忍，|毫无怜悯...而你，|你比他们更糟，大开杀戒吧，|直到一切终结之时。,They are cruel and furious，|and have no mercy... |But you are worse than them. | Just kill them until the end.
外面的异兽越发强大，|做好准备吧，|和平都是暂时的。,The variant beasts outside are getting stronger. |Be prepared，|and peace is only temporary.
别怕！不就是|苹果放你头上吗|我又不会射偏！,Don't be afraid! |Just an apple on your head! |My shot won't miss.
你的枪法不差吧，|要来几发吗？,Your shooting is not bad，right? |Would you like a few shots?
哪个更加沉重？是杀人的武器，|还是不愿面对的过去。,Which is heavier? Is it a weapon to kill，|or the past unwilling to face?
我是一块石头，|我没有呼吸，|没有声音，|没有颤抖。,I am a stone，|having no breath，|no sound，|and no trembling.
当十字线把你锁定，|死神将亲吻你的额头。,When the cross locks thee，|death shall kiss thy brow.
当敌人在你的射程内时|，记住！你也一样。,When the enemy is within your range，|remember! the same as you
只要是假以时日，|没有什么是不可以战胜的。,With more time，|nothing is impossible.
人类的希望的壁垒？|不过是宇宙里的破水沟。,Shelter full of human hope? |Just a humble ditch in the universe.
我在执行秘密任务！|请对我的行踪保密。,I am performing a secret mission! |Please keep my trail a secret.
这把枪在发言，|他心中充满仇恨，|我只是帮他一把。,This gun is speaking，|and his heart is full of hatred. |I just want to help him.
你也想改枪吗？|你有故事吗？|你有酒吗？,You also want to remodel the gun? |Do you have a story or a drink?
我自己改的枪，|已经握不动了，|他们是我的孩子，|会自己长大。,I can't hold the gun |which remodeled myself anymore. They，my children，|will grow up by themselves.
我早已闭上了眼睛，|光明根本就不存在。,I have closed my eyes，|and there is no light at all.
别说话，听雨......,Don't talk，listen to the rain...
事出总是突然，|而理由都是后加上的。,Things are always sudden，|and the reasons are always added later.
要么就做，要么就不做。没有所谓试一试。,To do it or not. There is no trying.
我本以为自己来自未来，|却发现来到了旅途终点。,I thought I was from the future，|but found that I was at the end of the journey.
命运？不就是身不由己，|我不喜欢这种概念。,Fate? It means life is not my own，|so I don't like this expression.
医治疾病是做医生的原因|医治病人则是医生痛苦的根源。,Treating diseases is the reason to be a doctor，|while treating patients is the root of doctors’ pain.
哪有那么高超的医术，|给人希望就足够了。,There're not so much superb medical skill. |It's enough to give people hope.
义体医生多风光！|人们已不满足于修修补补，|我快认不得他们的模样。,Prosthetic doctors are look well! |People are no longer satisfied with tinkering. |I can hardly recognize them.
机械是有灵魂的，|无视机械灵魂的家伙，|不配做机械师。,Machinery has a soul，|and those who ignore it |are not worthy of being a mechanic.
你快看看！|最新款的机器人员工，|只要1000金条哦！,Look! |The latest robot employee，|only 1，000 gold bars!
哐哐哐......|吵到你了吗，抱歉，|这里有润滑油卖吗？,Klang Klang...|Does it bother you? |Sorry，is there lubricant for sale?
未来即是过去，过去即是未来，|过去无法改变，而未来已经发生，|一切只是重复，直到永远？,The future is the past that can't be changed，|and the past is the future that has happened. |Everything is just repeating forever?
你知道吗，旧时代人们|对知识有着病态的崇拜，|那些不结合实际的，|片面的思考有何意义呢。,Did you know that people in the old days |had morbid worship of knowledge，|what's the point of one-sided thinking |that's not combined with practice?
是什么呢？|为什么呢？|所以呢？|还有呢？,What? |why? |So? |Anything else?
生为有限身，死作无名鬼。,Living is finite，and death is unknown.
你是人间怨灵，|还是山间野鬼？,Are you a resentful spirit in the world，|or a wild ghost in the mountains?
付过钱了吗？|那我可以教你点东西。,Have you paid? |Then I can teach you something.
说我不讲武德，|先打败我再说,I have no martial arts ethics? |Defeat me first.
各种各样的武器，|杀人的工具？|赚钱的饭碗而已。,All kinds of weapons，|tools for killing? |It's just a profitable job.
建筑与科技名称的翻译》↓,
铁矿厂,Iron Mine
伐木场,Wood
皮革厂,Leather
纺织厂,Weaving
化学制剂厂,Chemical
炼钢厂,Steel
橡胶工厂,Rubber
炼油厂,Oil
玻璃厂,Glass
芯片工厂,Chip
酒吧,Bar
贸易所,Market
商会联盟,Guild
科学院,Academy
铸造工艺,Casting
木材工艺,Wood
服装工艺,Tailor
手工工艺,Handcraft
化学工艺,Chemistry
枪械工艺,Firearms
工程工艺,Engineering
精密工艺,Precision
艺术工艺,Art
尖端科技,High-end Tech
康复研究,Recovery Research
探险研究,Exploration Research
指挥研究,Command Research
建筑与科技描述的翻译》↓,
修复的铁矿厂，可以源源不断的产出铁矿。,Restored Iron Mine has continuous iron ore production.
修复的伐木厂，可以源源不断的产出木材。,Restored Ironwood Sawmill has continuous wood production.
修复的皮革厂，可以源源不断的产出皮革。,Restored Leather Factory has continuous leather production.
修复的纺织厂，可以源源不断的产出布料。,Restored Weaver Mill has continuous Fabric production.
修复的化学制剂厂，可以源源不断的产出药剂。,Restored Laboratory has continuous potion production.
修复的炼钢厂，可以源源不断的产出钢材。,Restored Smelter has continuous steel production.
修复的橡胶工厂，可以源源不断的产出橡胶。,Restored Rubber Factory has continuous rubber production.
修复的炼油厂，可以源源不断的产出油料。,Restored Oil Factory has continuous oil production.
修复的玻璃厂，可以源源不断的产出特殊玻璃。,Restored Glassworks has continuous glass production.
修复的芯片工厂，可以源源不断的产出电路元件。,Restored Chip Factory has continuous chip production.
科学院的科研小组成立的铸造工艺研究项目,Casting project established by study group of Science Academy
科学院的科研小组成立的木材工艺研究项目,Wood project established by study group of Science Academy
科学院的科研小组成立的服装工艺研究项目,Tailor project established by study group of Science Academy
科学院的科研小组成立的手工工艺研究项目,Handcraft project established by study group of Science Academy
科学院的科研小组成立的化学工艺研究项目,Chemistry project established by study group of Science Academy
科学院的科研小组成立的枪械工艺研究项目,Firearms project established by study group of Science Academy
科学院的科研小组成立的工程工艺研究项目,Engineering project established by study group of Science Academy
科学院的科研小组成立的精密工艺研究项目,Precision project established by study group of Science Academy
科学院的科研小组成立的艺术工艺研究项目,Art project established by study group of Science Academy
科学院的科研小组成立的尖端科技研究项目,High-end Tech project established by study group of Science Academy
科学院的科研小组成立的康复研究项目,Recovery Research project established by study group of Science Academy
科学院的科研小组成立的探险研究项目,Exploration Research project established by study group of Science Academy
科学院的科研小组成立的指挥研究项目,Command Research project established by study group of Science Academy
改造铁矿厂，将提升铁矿生产效率。,Develop Iron Mine Factory to speed up resource production
改造伐木场，将提升木材生产效率。,Develop Wood Factory to speed  up resource production
改造皮革厂，将提升皮革生产效率。,Develop Leather Factory to speed  up resource production
改造纺织厂，将提升布料生产效率。,Develop Weaver Mill to speed  up resource production
改造化学制剂厂，将提升化学药剂生产效率。,Develop Laboratory to speed  up resource production
改造炼钢厂，将提升钢材生产效率。,Develop Smelter to speed  up resource production
改造橡胶工厂，将提升橡胶生产效率。,Develop Rubber Factory to speed  up resource production
改造炼油厂，将提升油料生产效率。,Develop Oil Factory to speed  up resource production
改造玻璃厂，将提升玻璃生产效率。,Develop Glassworks to speed  up resource production
改造芯片工厂，将提升电路元件生产效率。,Develop Chipworks to speed  up resource production
研究铸造工艺，将提升铸造专家的等级上限。,Research Casting to increase the worker's max level
