id,name,desc,if_special,difficulty,big_type,Equip_type,minus_level,type,type_desc,desc_help,parameter_2,reward_type,reward_number,union_reward_type,union_reward_num,level,atlas,icon,npc_id
8,制作霰弹枪（简单）,制作{0}x{1},0,1,1,8,3,1,霰弹枪,,5,10005,8,10006,1,0,,,8
9,制作轻型护甲（简单）,制作{0}x{1},0,1,1,9,3,1,轻型护甲,,4,10005,8,10006,1,0,,,1
11,制作便衣（简单）,制作{0}x{1},0,1,1,11,3,1,便衣,,5,10005,8,10006,1,0,,,3
12,制作头盔（简单）,制作{0}x{1},0,1,1,12,3,1,头盔,,4,10005,8,10006,1,0,,,4
13,制作帽子（简单）,制作{0}x{1},0,1,1,13,3,1,帽子,,5,10005,8,10006,1,0,,,5
14,制作轻装裤（简单）,制作{0}x{1},0,1,1,14,3,1,轻装裤,,4,10005,8,10006,1,0,,,6
24,制作利刃（中等）,制作{0}x{1},0,2,1,1,2,2,利刃,,6,10005,10,10006,2,0,,,8
25,制作钝器（中等）,制作{0}x{1},0,2,1,2,2,2,钝器,,6,10005,10,10006,2,0,,,1
26,制作弓弩（中等）,制作{0}x{1},0,2,1,3,2,2,弓弩,,7,10005,10,10006,2,0,,,2
27,制作轻型武器（中等）,制作{0}x{1},0,2,1,4,2,2,轻型武器,,8,10005,10,10006,2,0,,,3
32,制作轻型护甲（中等）,制作{0}x{1},0,2,1,9,2,2,轻型护甲,,9,10005,10,10006,2,0,,,8
34,制作便衣（中等）,制作{0}x{1},0,2,1,11,2,2,便衣,,6,10005,10,10006,2,0,,,2
35,制作头盔（中等）,制作{0}x{1},0,2,1,12,2,2,头盔,,7,10005,10,10006,2,0,,,3
36,制作帽子（中等）,制作{0}x{1},0,2,1,13,2,2,帽子,,8,10005,10,10006,2,0,,,4
37,制作轻装裤（中等）,制作{0}x{1},0,2,1,14,2,2,轻装裤,,9,10005,10,10006,2,0,,,5
47,制作利刃（中等）,制作{0}x{1},0,2,1,1,1,2,利刃,,6,10005,10,10006,2,0,,,7
48,制作钝器（中等）,制作{0}x{1},0,2,1,2,1,2,钝器,,7,10005,10,10006,2,0,,,8
49,制作弓弩（中等）,制作{0}x{1},0,2,1,3,1,2,弓弩,,8,10005,10,10006,2,0,,,1
50,制作轻型武器（中等）,制作{0}x{1},0,2,1,4,1,2,轻型武器,,9,10005,10,10006,2,0,,,2
51,制作步枪（中等）,制作{0}x{1},0,2,1,5,1,2,步枪,,6,10005,10,10006,2,0,,,3
55,制作轻型护甲（中等）,制作{0}x{1},0,2,1,9,1,2,轻型护甲,,7,10005,10,10006,2,0,,,7
57,制作便衣（中等）,制作{0}x{1},0,2,1,11,1,2,便衣,,8,10005,10,10006,2,0,,,1
58,制作头盔（中等）,制作{0}x{1},0,2,1,12,1,2,头盔,,9,10005,10,10006,2,0,,,2
59,制作帽子（中等）,制作{0}x{1},0,2,1,13,1,2,帽子,,6,10005,10,10006,2,0,,,3
60,制作轻装裤（中等）,制作{0}x{1},0,2,1,14,1,2,轻装裤,,7,10005,10,10006,2,0,,,4
69,制作盾牌（中等）,制作{0}x{1},0,2,1,23,1,2,盾牌,,8,10005,10,10006,2,0,,,5
70,制作利刃（困难）,制作{0}x{1},0,3,1,1,1,3,利刃,,10,10005,25,10006,3,0,,,6
71,制作钝器（困难）,制作{0}x{1},0,3,1,2,1,3,钝器,,11,10005,25,10006,3,0,,,7
72,制作弓弩（困难）,制作{0}x{1},0,3,1,3,1,3,弓弩,,12,10005,25,10006,3,0,,,8
73,制作轻型武器（困难）,制作{0}x{1},0,3,1,4,1,3,轻型武器,,13,10005,25,10006,3,0,,,1
74,制作步枪（困难）,制作{0}x{1},0,3,1,5,1,3,步枪,,14,10005,25,10006,3,0,,,2
78,制作轻型护甲（困难）,制作{0}x{1},0,3,1,9,1,3,轻型护甲,,15,10005,25,10006,3,0,,,6
80,制作便衣（困难）,制作{0}x{1},0,3,1,11,1,3,便衣,,10,10005,25,10006,3,0,,,8
81,制作头盔（困难）,制作{0}x{1},0,3,1,12,1,3,头盔,,11,10005,25,10006,3,0,,,1
82,制作帽子（困难）,制作{0}x{1},0,3,1,13,1,3,帽子,,12,10005,25,10006,3,0,,,2
83,制作轻装裤（困难）,制作{0}x{1},0,3,1,14,1,3,轻装裤,,13,10005,25,10006,3,0,,,3
93,制作利刃（困难）,制作{0}x{1},0,3,1,1,0,3,利刃,,14,10005,25,10006,3,0,,,5
94,制作钝器（困难）,制作{0}x{1},0,3,1,2,0,3,钝器,,15,10005,25,10006,3,0,,,6
95,制作弓弩（困难）,制作{0}x{1},0,3,1,3,0,3,弓弩,,10,10005,25,10006,3,0,,,7
96,制作轻型武器（困难）,制作{0}x{1},0,3,1,4,0,3,轻型武器,,11,10005,25,10006,3,0,,,8
101,制作轻型护甲（困难）,制作{0}x{1},0,3,1,9,0,3,轻型护甲,,12,10005,25,10006,3,0,,,5
103,制作便衣（困难）,制作{0}x{1},0,3,1,11,0,3,便衣,,13,10005,25,10006,3,0,,,7
104,制作头盔（困难）,制作{0}x{1},0,3,1,12,0,3,头盔,,14,10005,25,10006,3,0,,,8
105,制作帽子（困难）,制作{0}x{1},0,3,1,13,0,3,帽子,,15,10005,25,10006,3,0,,,1
106,制作轻装裤（困难）,制作{0}x{1},0,3,1,14,0,3,轻装裤,,10,10005,25,10006,3,0,,,2
121,制作重型武器（简单）,制作{0}x{1},1,1,1,6,3,1,重型武器,,5,10005,8,10006,1,0,,,1
122,制作狙击枪（简单）,制作{0}x{1},1,1,1,7,3,1,狙击枪,,4,10005,8,10006,1,0,,,2
144,制作重型武器（中等）,制作{0}x{1},1,2,1,6,2,2,重型武器,,6,10005,10,10006,2,0,,,8
145,制作狙击枪（中等）,制作{0}x{1},1,2,1,7,2,2,狙击枪,,7,10005,10,10006,2,0,,,1
167,制作重型武器（中等）,制作{0}x{1},1,2,1,6,1,2,重型武器,,8,10005,10,10006,2,0,,,7
168,制作狙击枪（中等）,制作{0}x{1},1,2,1,7,1,2,狙击枪,,9,10005,10,10006,2,0,,,8
190,制作重型武器（困难）,制作{0}x{1},1,3,1,6,1,3,重型武器,,11,10005,25,10006,3,0,,,5
191,制作狙击枪（困难）,制作{0}x{1},1,3,1,7,1,3,狙击枪,,12,10005,25,10006,3,0,,,6
213,制作重型武器（困难）,制作{0}x{1},1,3,1,6,0,3,重型武器,,13,10005,25,10006,3,0,,,4
237,开启宝箱（简单）,开启{0}个{1},1,1,3,3,3,5,开启宝箱,,1,10005,8,10006,1,,,,4
238,开启宝箱（中等）,开启{0}个{1},1,2,3,3,2,5,开启宝箱,,2,10005,10,10006,2,,,,5
239,开启宝箱（困难）,开启{0}个{1},1,3,3,3,1,5,开启宝箱,,3,10005,25,10006,3,,,,6
240,开启宝箱（中等）,开启{0}个{1},1,2,3,3,3,5,开启宝箱,,2,10005,10,10006,2,,,,7
4001,冒险收集材料（简单）,收集{0}个{1},0,1,4,4,3,6,冒险收集材料,,2,10005,8,10006,1,,,,1
4002,冒险收集材料（中等）,收集{0}个{1},0,2,4,4,2,7,冒险收集材料,,5,10005,10,10006,2,,,,2
4003,冒险收集材料（困难）,收集{0}个{1},0,3,4,4,1,8,冒险收集材料,,8,10005,25,10006,3,,,,3
242,冒险收集材料（简单）,收集{0}个{1},0,1,4,4,3,6,冒险收集材料,,2,10005,8,10006,1,,,,1
243,冒险收集材料（中等）,收集{0}个{1},0,2,4,4,2,7,冒险收集材料,,5,10005,10,10006,2,,,,2
244,冒险收集材料（困难）,收集{0}个{1},0,3,4,4,1,8,冒险收集材料,,8,10005,25,10006,3,,,,3
245,冒险收集材料（简单）,收集{0}个{1},1,1,4,4,3,6,冒险收集材料,,2,10005,8,10006,1,,,,4
5001,加价（简单）,对{0}件{1}阶及以上装备进行加价售卖,0,1,5,5,5,9,加价,,8,10005,8,10006,1,,task_atlas,task_zhangjia,7
5002,加价（中等）,对{0}件{1}阶及以上装备进行加价售卖,0,2,5,5,4,10,加价,,11,10005,10,10006,2,,task_atlas,task_zhangjia,8
5003,加价（困难）,对{0}件{1}阶及以上装备进行加价售卖,0,3,5,5,2,11,加价,,15,10005,25,10006,3,,task_atlas,task_zhangjia,1
248,加价（简单）,对{0}件{1}阶及以上装备进行加价售卖,0,1,5,5,5,9,加价,,9,10005,8,10006,1,,task_atlas,task_zhangjia,7
249,加价（中等）,对{0}件{1}阶及以上装备进行加价售卖,0,2,5,5,4,10,加价,,12,10005,10,10006,2,,task_atlas,task_zhangjia,8
250,加价（困难）,对{0}件{1}阶及以上装备进行加价售卖,0,3,5,5,2,11,加价,,18,10005,25,10006,3,,task_atlas,task_zhangjia,1
252,加价（中等）,对{0}件{1}阶及以上装备进行加价售卖,1,2,5,5,3,10,加价,,13,10005,10,10006,2,,task_atlas,task_zhangjia,3
254,打折（简单）,对{0}件{1}阶及以上装备进行打折售卖,0,1,6,6,5,12,打折,,8,10005,8,10006,1,,task_atlas,task_zhekou,5
255,打折（中等）,对{0}件{1}阶及以上装备进行打折售卖,0,2,6,6,4,13,打折,,10,10005,10,10006,2,,task_atlas,task_zhekou,6
256,打折（困难）,对{0}件{1}阶及以上装备进行打折售卖,0,3,6,6,3,14,打折,,20,10005,25,10006,3,,task_atlas,task_zhekou,7
257,打折（简单）,对{0}件{1}阶及以上装备进行打折售卖,1,1,6,6,4,12,打折,,9,10005,8,10006,1,,task_atlas,task_zhekou,8
6001,派遣英雄探索（简单）,派遣{0}名英雄探索{1},0,1,7,7,3,15,派遣英雄探索,,2,10005,8,10006,1,,,,3
6002,派遣英雄探索（中等）,派遣{0}名英雄探索{1},0,2,7,7,2,16,派遣英雄探索,,3,10005,10,10006,2,,,,4
6003,派遣英雄探索（困难）,派遣{0}名英雄探索{1},0,3,7,7,0,17,派遣英雄探索,,5,10005,25,10006,3,,,,5
260,派遣英雄探索（简单）,派遣{0}名英雄探索{1},0,1,7,7,3,15,派遣英雄探索,,2,10005,8,10006,1,,,,3
261,派遣英雄探索（中等）,派遣{0}名英雄探索{1},0,2,7,7,2,16,派遣英雄探索,,3,10005,10,10006,2,,,,4
262,派遣英雄探索（困难）,派遣{0}名英雄探索{1},0,3,7,7,0,17,派遣英雄探索,,5,10005,25,10006,3,,,,5
263,派遣英雄探索（简单）,派遣{0}名英雄探索{1},0,1,7,7,3,15,派遣英雄探索,,2,10005,8,10006,1,,,,6
