id,name,order,ocp_style,ocp_story,atlas,ocp_icon,level_skill1,level_skill2,level_skill3,eqiup6_unlock,up_list,level_need,hp_basic,hp_grow,atk_basic,atk_grow,arm_basic,arm_grow,spd_basic,spd_grow,evd_basic,evd_grow,cri_basic,cri_grow,res_basic,res_gorw,cost_item1_id,cost_item1_num,cost_item2_id,cost_item2_num,equip1,equip2,equip3,equip4,equip5,equip6,id_skill1,id_skill2,id_skill3,dmg_punc,dmg_burn,dmg_ment,dmg_elec,dmg_radi,res_punc,res_burn,res_ment,res_elec,res_radi
10024,毁灭战士,5,1,具备强大能力的突击手，被冠以“毁灭战士”之称号,,,3,3,1,1,,50,200,5,20,5,20,1,5,0,5,0.1,5,0.1,10,0.5,,,,,1:2,10,12,15,16,6:8:21,10001,10004,10005,0,0,0,0,0,0,0,0,0,0
10031,指挥官,2,1,从战士中选拔出具有指挥天赋的人才,,,1,1,0,1,10032,20,200,10,20,1,20,1,5,0,5,0.1,5,0.1,10,0.5,90005,30,90004,10,1:2,10,12,15,16,4:5:21,10001,10006,,0,0,0,0,0,0,0,0,0,0
10032,新星指挥官,3,1,在数次战斗中展露头角的指挥官,,,2,2,0,1,10033,30,200,15,20,1,20,1,5,0,5,0.1,5,0.1,10,0.5,90005,80,90004,10,1:2,10,12,15,16,4:5:21,10001,10006,,0,0,0,0,0,0,0,0,0,0
10033,杰出指挥官,4,1,团队的头脑，可以熟练地应对各种情形下的战斗,,,3,3,0,1,10034,40,200,20,20,1,20,1,5,0,5,0.1,5,0.1,10,0.5,90005,150,90004,10,1:2,10,12,15,16,4:5:21,10001,10006,,0,0,0,0,0,0,0,0,0,0
10034,将军,5,1,最为杰出的指挥官，城市的领导者之一,,,3,3,1,1,,50,200,25,20,1,20,1,5,0,5,0.1,5,0.1,10,0.5,,,,,1:2,10,12,15,16,4:5:21,10001,10006,10007,0,0,0,0,0,0,0,0,0,0
20001,猎人,1,2,擅长在野外收集生存物资,,,1,0,0,0,20011:20021:20031,10,120,3,40,2,10,0.5,5,0.1,5,0.2,5,0.1,5,0.2,90006,10,90004,10,3,9,13,14,17,,20001,,,0,0,0,0,0,0,0,0,0,0
20011,射手,2,2,准头格外好的猎人，专精设计,,,1,1,0,1,20012,20,120,3,40,3,10,0.5,5,0.1,5,0.2,5,0.3,5,0.2,90006,30,90004,10,3,9,13,14,17,5:7:21,20001,20002,,0,0,0,0,0,0,0,0,0,0
20012,精英射手,3,2,具有极佳的射击水平，百发百中,,,2,2,0,1,20013,30,120,3,40,4,10,0.5,5,0.1,5,0.2,5,0.5,5,0.2,90006,80,90004,10,3,9,13,14,17,5:7:21,20001,20002,,0,0,0,0,0,0,0,0,0,0
20013,神射手,4,2,杰出的射击水平已经让他声名远扬,,,3,3,0,1,20014,40,120,3,40,5,10,0.5,5,0.1,5,0.2,5,0.7,5,0.2,90006,150,90004,10,3,9,13,14,17,5:7:21,20001,20002,,0,0,0,0,0,0,0,0,0,0
20014,传奇狙击手,5,2,射手们景仰的对象，已经成为了一个传说般的存在,,,3,3,1,1,,50,120,3,40,6,10,0.5,5,0.1,5,0.2,5,0.9,5,0.2,,,,,3,9,13,14,17,5:7:21,20001,20002,20003,0,0,0,0,0,0,0,0,0,0
20021,侦探,2,2,具备强大的洞察力，能从环境中发现更多的细节,,,1,1,0,1,20022,20,120,6,40,2,10,0.5,5,0.2,5,0.2,5,0.2,5,0.2,90006,30,90004,10,3,9,13,14,17,4:21,20001,20004,,0,0,0,0,0,0,0,0,0,0
20022,知名侦探,3,2,已经利用自己出色的洞察力解决了数起事件，名声显露,,,2,2,0,1,20023,30,120,9,40,2,10,0.5,5,0.3,5,0.2,5,0.2,5,0.2,90006,80,90004,10,3,9,13,14,17,4:21,20001,20004,,0,0,0,0,0,0,0,0,0,0
20023,王牌侦探,4,2,侦探中的王牌，被众人所寄予厚望的存在,,,3,3,0,1,20024,40,120,12,40,2,10,0.5,5,0.4,5,0.2,5,0.2,5,0.2,90006,150,90004,10,3,9,13,14,17,4:21,20001,20004,,0,0,0,0,0,0,0,0,0,0
20024,黄金特工,5,2,以侦探之名为掩护，实际上是杰出的特工,,,3,3,1,1,,50,120,15,40,2,10,0.5,5,0.5,5,0.2,5,0.2,5,0.2,,,,,3,9,13,14,17,4:21,20001,20004,20005,0,0,0,0,0,0,0,0,0,0
20031,忍者,2,2,被委以特殊使命的猎人，接受特殊的培养,,,1,1,0,1,20032,20,120,3,40,2,10,0.5,5,0.2,5,0.2,5,0.4,5,0.2,90006,30,90004,10,3,9,13,14,17,1:20,20001,20006,,0,0,0,0,0,0,0,0,0,0
20032,中忍忍者,3,2,,,,2,2,0,1,20033,30,120,3,40,2,10,0.5,5,0.2,5,0.3,5,0.7,5,0.2,90006,80,90004,10,3,9,13,14,17,1:20,20001,20006,,0,0,0,0,0,0,0,0,0,0
20033,上忍忍者,4,2,,,,3,3,0,1,20034,40,120,3,40,2,10,0.5,5,0.2,5,0.4,5,1,5,0.2,90006,150,90004,10,3,9,13,14,17,1:20,20001,20006,,0,0,0,0,0,0,0,0,0,0
20034,天忍大师,5,2,,,,3,3,1,1,,50,120,3,40,2,10,0.5,5,0.2,5,0.5,5,1.3,5,0.2,,,,,3,9,13,14,17,1:20,20001,20006,20007,0,0,0,0,0,0,0,0,0,0
30001,学者,1,2,,,,1,0,0,0,30011:30021:30031,10,100,2,50,3,10,0.3,5,0,5,0.1,5,0.2,3,0.1,90007,10,90004,10,1,11,13,14,17,,30001,,,0,0,0,0,0,0,0,0,0,0
30011,医生,2,2,,,,1,1,0,1,30012,20,100,2,50,3,10,0.3,5,0,5,0.2,5,0.3,3,0.2,90007,30,90004,10,1,11,13,14,17,4:18,30001,30002,,0,0,0,0,0,0,0,0,0,0
30012,主治医师,3,2,,,,2,2,0,1,30013,30,100,2,50,3,10,0.3,5,0,5,0.3,5,0.4,3,0.3,90007,80,90004,10,1,11,13,14,17,4:18,30001,30002,,0,0,0,0,0,0,0,0,0,0
30013,主任医师,4,2,,,,3,3,0,1,30014,40,100,2,50,3,10,0.3,5,0,5,0.4,5,0.5,3,0.4,90007,150,90004,10,1,11,13,14,17,4:18,30001,30002,,0,0,0,0,0,0,0,0,0,0
30014,医学宗师,5,2,,,,3,3,1,1,,50,100,2,50,3,10,0.3,5,0,5,0.5,5,0.6,3,0.5,,,,,1,11,13,14,17,4:18,30001,30002,30003,0,0,0,0,0,0,0,0,0,0
30021,教授,2,2,,,,1,1,0,1,30022,20,100,2,50,6,10,0.3,5,0,5,0.1,5,0.2,3,0.1,90007,30,90004,10,1,11,13,14,17,5:8:19,30001,30004,,0,0,0,0,0,0,0,0,0,0
30022,终身教授,3,2,,,,2,2,0,1,30023,30,100,2,50,9,10,0.3,5,0,5,0.1,5,0.2,3,0.1,90007,80,90004,10,1,11,13,14,17,5:8:19,30001,30004,,0,0,0,0,0,0,0,0,0,0
30023,学院院长,4,2,,,,3,3,0,1,30024,40,100,2,50,12,10,0.3,5,0,5,0.1,5,0.2,3,0.1,90007,150,90004,10,1,11,13,14,17,5:8:19,30001,30004,,0,0,0,0,0,0,0,0,0,0
30024,传奇院士,5,2,,,,3,3,1,1,,50,100,2,50,15,10,0.3,5,0,5,0.1,5,0.2,3,0.1,,,,,1,11,13,14,17,5:8:19,30001,30004,30005,0,0,0,0,0,0,0,0,0,0
30031,修士,2,2,,,,1,1,0,1,30032,20,100,2,50,5,10,0.3,5,0,5,0.1,5,0.4,3,0.1,90007,30,90004,10,1,11,13,14,17,6:8:19,30001,30006,,0,0,0,0,0,0,0,0,0,0
30032,主教,3,2,,,,2,2,0,1,30033,30,100,2,50,7,10,0.3,5,0,5,0.1,5,0.7,3,0.1,90007,80,90004,10,1,11,13,14,17,6:8:19,30001,30006,,0,0,0,0,0,0,0,0,0,0
30033,大主教,4,2,,,,3,3,0,1,30034,40,100,2,50,9,10,0.3,5,0,5,0.1,5,1,3,0.1,90007,150,90004,10,1,11,13,14,17,6:8:19,30001,30006,,0,0,0,0,0,0,0,0,0,0
30034,教宗,5,2,,,,3,3,1,1,,50,100,2,50,11,10,0.3,5,0,5,0.1,5,1.3,3,0.1,,,,,1,11,13,14,17,6:8:19,30001,30006,30007,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
