id,level,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12_fur1,type_12_fur2,type_12_fur3,type_13
48,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
49,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
50,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
51,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
52,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
53,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
54,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
55,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
56,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
57,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
58,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
59,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
60,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
61,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
62,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
63,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
64,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
65,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
66,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
67,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
68,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
69,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
70,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
71,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
72,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
73,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
74,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
75,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
76,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
77,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
78,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
79,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
80,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
81,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
82,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
83,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
84,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
85,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
86,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
87,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
88,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
89,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
90,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
91,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
92,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
93,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
94,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
95,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
96,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
97,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
98,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
99,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
100,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
