id,skill_atlas,skill_icon,skill_dec,skill_name
210240,heroSkill_atlas,skill_210240,对所有敌人造成140%的伤害，同时为自己添加能量罩，免疫所有伤害，持续2回合,天神下凡
220101,heroSkill_atlas,skill_220101,对单个敌人造成125%伤害,绞杀
220202,heroSkill_atlas,skill_220202,对单个敌人造成造成120%伤害，并减少对方10%护甲，持续2回合,破甲
220303,heroSkill_atlas,skill_220303,随机对2个敌人造成攻击力120%的伤害,急速攻击
220104,heroSkill_atlas,skill_220104,对单个敌人造成130%伤害,狂刃
220205,heroSkill_atlas,skill_220205,对单个敌人造成135%伤害,炫目
220306,heroSkill_atlas,skill_220306,对单个敌人造成150%伤害,蓄力挥砍
220107,heroSkill_atlas,skill_220107,对单个敌人造成造成140%伤害，并减少对方15%护甲，持续2回合,突袭
220208,heroSkill_atlas,skill_220208,随机对2个敌人造成攻击力120%的伤害,急速连击
220309,heroSkill_atlas,skill_220309,对单个敌人造成140%伤害，并提升自身10%攻击，持续2回合,穿透射击
220110,heroSkill_atlas,skill_220110,对单个敌人造成150%的伤害，并造成10%攻击力的流血伤害，持续2回合,割裂
220311,heroSkill_atlas,skill_220311,对单个敌人造成170%伤害，并提升自身10%的命中，持续2回合,会心一击
220112,heroSkill_atlas,skill_220112,随机对3个敌人造成攻击力160%的伤害,风暴一击
220213,heroSkill_atlas,skill_220213,对单个敌人造成造成170%伤害，并减少对方20%护甲，持续2回合,弱点打击
220314,heroSkill_atlas,skill_220314,随机对2个敌人造成攻击力160%的伤害,快速攻击
220115,heroSkill_atlas,skill_220115,对单个敌人造成造成170%伤害，并减少对方20%攻击，持续2回合,炫目打击
220216,heroSkill_atlas,skill_220216,对单个敌人造成170%的伤害，并造成20%攻击力的流血伤害，持续2回合,撕裂伤口
220317,heroSkill_atlas,skill_220317,突袭后排敌人，对后排敌人敌人造成160%的伤害,武装突袭
220118,heroSkill_atlas,skill_220118,对血量最少的2个敌人发起突袭，造成170%的伤害,疾风突击
220219,heroSkill_atlas,skill_220219,对单个敌人造成180%伤害，并提升自身15%攻击，持续2回合,利刃
220320,heroSkill_atlas,skill_220320,对单个敌人造成造成200%伤害，并减少对方40%护甲，持续2回合,切割
220121,heroSkill_atlas,skill_220121,对血量最少的2个敌人发起突袭，造成190%的伤害，并提升自身20%闪避，持续2回合,闪避突袭
220222,heroSkill_atlas,skill_220222,对单个敌人造成200%的伤害，并造成30%攻击力的中毒伤害，持续2回合,蜂刺
220323,heroSkill_atlas,skill_220323,对单个敌人造成200%的伤害，并造成30%攻击力的流血伤害，持续2回合,流血
220124,heroSkill_atlas,skill_220124,给单个敌人造成210%的伤害，并产生50%的吸血效果,窃取
220225,heroSkill_atlas,skill_220225,对单个敌人造成210%伤害，并提升自身20%的命中，持续2回合,闪光突击
220326,heroSkill_atlas,skill_220326,对后排敌人造成180%的伤害，并产生60%的吸血效果,嗜血狂欢
220127,heroSkill_atlas,skill_220127,对单个敌人造成190%的伤害，并造成40%攻击力的流血伤害，持续2回合,痛苦袭击
220228,heroSkill_atlas,skill_220228,对单个敌人造成210%的伤害，根据当前损失血量增加其30%的攻击，持续2回合,无情
220329,heroSkill_atlas,skill_220329,对血量最少的2个敌人发起突袭，造成220%的伤害,血杀
220130,heroSkill_atlas,skill_220130,对前方整排的敌人造成200%的伤害，根据当前损失血量增加其40%的攻击，持续2回合,浴血回旋
220231,heroSkill_atlas,skill_220231,对血量最少的2个敌人发起突袭，造成200%的伤害，并造成30%攻击力的流血伤害，持续2回合,致命伤害
220332,heroSkill_atlas,skill_220332,对前方整排的2个敌人发起突袭，造成210%的伤害,狂怒
220133,heroSkill_atlas,skill_220133,对血量最少的2个敌人发起突袭，造成220%的伤害，并减少对方25%护甲，持续2回合,收割
220234,heroSkill_atlas,skill_220234,对后排敌人造成200%的伤害，并产生40%的吸血效果,饮血
220335,heroSkill_atlas,skill_220335,对生命值最低的敌人造成250%伤害,重金悬赏
220136,heroSkill_atlas,skill_220136,对单个敌人造成230%的伤害，并造成20%攻击力的流血伤害，持续2回合,暗影追杀
220237,heroSkill_atlas,skill_220237,对前方一排的敌人造成200%的伤害，造成击杀后则恢复自身10%的已损失血量,铁血裁决
220338,heroSkill_atlas,skill_220338,对单个敌人造成210%的伤害，并造成35%攻击力的流血伤害，持续2回合,判罪攻击
220139,heroSkill_atlas,skill_220139,对单个敌人造成240%的伤害，并减少对方15%护甲，持续2回合,利刃切割
220240,heroSkill_atlas,skill_220240,对后排敌人造成200%的伤害，并产生50%的吸血效果,杀手本能
230101,heroSkill_atlas,skill_230101,对单个敌人造成105%伤害,精神穿刺
230202,heroSkill_atlas,skill_230202,对单个敌人造成造成110%伤害,专注
230303,heroSkill_atlas,skill_230303,对前排敌人造成80%的伤害，并造成10%攻击力的中毒伤害，持续2回合,腐蚀液体
230104,heroSkill_atlas,skill_230104,对单个敌人造成115%伤害,恐怖袭击
230306,heroSkill_atlas,skill_230306,对单个敌人造成120%伤害,空袭
230205,heroSkill_atlas,skill_230205,对前排敌人造成110%的伤害,无情炮火
230107,heroSkill_atlas,skill_230107,随机对三个敌人造成90%的伤害，并降低单个敌人10%的护甲,静电印记
230208,heroSkill_atlas,skill_230208,对前排敌人造成110%的伤害,地面雷区
230309,heroSkill_atlas,skill_230309,对单个敌人造成120%的伤害，并减少对方15%护甲，持续2回合,粒子波动
230110,heroSkill_atlas,skill_230110,对所有敌人造成100%攻击力的伤害,饱和轰炸
230211,heroSkill_atlas,skill_230211,对所有敌人造成110%攻击力伤害，并造成20%攻击力削弱，持续2回合,沙尘暴
230312,heroSkill_atlas,skill_230312,对单个敌人造成130%的伤害，同时恢复最虚弱队友30%已损失的血量,紧急支援
230113,heroSkill_atlas,skill_230113,对单体目标敌人造成140%攻击力的伤害，并造成20%攻击力的灼烧伤害，持续2回合,致命能量
230214,heroSkill_atlas,skill_230214,对所有敌人造成120%攻击力伤害，同时给最虚弱队友施加一层寒冰铠甲，增加其20%护甲，持续2回合,强力冲击
230315,heroSkill_atlas,skill_230315,对前排敌人造成130%的伤害，并造成15%攻击力的辐射伤害，持续2回合,辐射蔓延
230116,heroSkill_atlas,skill_230116,对所有敌人造成120%的伤害，并眩晕前排敌人1回合,冲击波
230217,heroSkill_atlas,skill_230217,单个敌人受到150%的伤害，提高所有队友命中20%，持续2回合,目标指引
230318,heroSkill_atlas,skill_230318,对单体目标敌人造成140%攻击力的伤害，并眩晕敌人，持续2回合,重拳出击
230119,heroSkill_atlas,skill_230119,对所有敌人造成140%的伤害,地雷阵
230220,heroSkill_atlas,skill_230220,对所有敌人造成110%攻击力的伤害，随机冰冻2个敌人1回合,寒冷风暴
230321,heroSkill_atlas,skill_230321,对所有敌人造成130%攻击力伤害，并随机眩晕2个敌人2回合,重力投掷
230122,heroSkill_atlas,skill_230122,对前排敌人造成140%的伤害，并造成25%攻击力的中毒伤害，持续2回合,化学风暴
230223,heroSkill_atlas,skill_230223,对所有敌人造成130%的伤害，并造成30%攻击力的中毒伤害，持续2回合,剧毒瘟疫
230324,heroSkill_atlas,skill_230324,对所有敌人造成140%的伤害，并造成20%攻击力的燃烧伤害，持续2回合,末日袭击
230125,heroSkill_atlas,skill_230125,对随机3个敌人造成150%的伤害，并使其进入睡眠状态，无法攻击，持续2回合,噩梦粉尘
230226,heroSkill_atlas,skill_230226,对所有敌人造成130%的伤害，并降低对方护甲30%，持续2回合,黑洞爆发
230327,heroSkill_atlas,skill_230327,对前排敌人造成140%的伤害，并威慑敌人，降低其攻击力20%，持续2回合,枪火齐射
230128,heroSkill_atlas,skill_230128,对单个敌人造成180%的伤害，并降低其攻击力30%，持续2回合,重力旋涡
230229,heroSkill_atlas,skill_230229,对前排敌人造成140%的伤害，同时给我方最虚弱的队友增加吸血30%的效果，持续2回合,血肉渴望
230330,heroSkill_atlas,skill_230330,对最虚弱的2个敌人造成140%的伤害，同时增加我方最虚弱的队友30%护甲，持续2回合,基因攻击
230131,heroSkill_atlas,skill_230131,对所有敌人造成110%的伤害，并造成50%攻击力的中毒伤害，持续2回合,辐射风暴
230232,heroSkill_atlas,skill_230232,对所有敌人造成120%攻击力伤害，并造成20%攻击力的流血伤害，持续2回合,子弹倾泻
230333,heroSkill_atlas,skill_230333,单个敌人受到200%伤害，并冰冻对方1回合,绝对零度
230134,heroSkill_atlas,skill_230134,对随机3个敌人造成140%攻击力的伤害，并降低其攻击力20%，持续2回合,多重斩杀
230235,heroSkill_atlas,skill_230235,所有敌人受到130%的伤害，并减少50%护甲，持续2回合,震荡冲击
230136,heroSkill_atlas,skill_230136,对所有敌人造成130%的伤害，并造成35%攻击力的中毒伤害，持续2回合,腐蚀酸雾
230237,heroSkill_atlas,skill_230237,单个敌人受到190%伤害，并眩晕对方1回合,毁灭者导弹
230338,heroSkill_atlas,skill_230338,所有敌人受到140%的伤害，并减少30%护甲，持续2回合,穿甲弹
230139,heroSkill_atlas,skill_230139,所有敌人受到190%伤害，并眩晕对方1回合,神罚
300011,heroSkill_atlas,skill_300011,对单个敌人造成110%的伤害,挥砍lv1
300012,heroSkill_atlas,skill_300012,对单个敌人造成90%的伤害，调整自己的战斗姿态，受到伤害减少20%，持续2回合,防御姿态lv1
300013,heroSkill_atlas,skill_300011,对单个敌人造成130%的伤害,挥砍lv2
300014,heroSkill_atlas,skill_300012,对单个敌人造成100%的伤害，调整自己的战斗姿态，受到伤害减少40%，持续2回合,防御姿态lv2
300015,heroSkill_atlas,skill_300015,对单个敌人造成120%的伤害，开启壁垒，免疫所有攻击，持续2回合,铜墙铁壁
300016,heroSkill_atlas,skill_300016,对敌人造成120%伤害，并削弱敌人10%的护甲，持续2回合,战斗压制lv1
300017,heroSkill_atlas,skill_300016,对敌人造成130%伤害，并削弱敌人20%的护甲，持续2回合,战斗压制lv2
300018,heroSkill_atlas,skill_300018,对前排敌人造成130%的伤害,金属风暴
300019,heroSkill_atlas,skill_300019,对单个敌人造成90%的伤害，提升所有友军5%的攻击力，持续2回合,鼓舞lv1
300020,heroSkill_atlas,skill_300019,对单个敌人造成100%的伤害，提升所有友军10%的攻击力，持续2回合,鼓舞lv2
300021,heroSkill_atlas,skill_300021,对所有敌人造成110%伤害，提升所有友军20%的护甲，持续2回合,战略支援
300022,heroSkill_atlas,skill_300022,对2个敌人造成120%伤害,多重攻击lv1
300024,heroSkill_atlas,skill_230321,对最虚弱的1个敌方造成140%伤害，并提升自己暴击值10%，持续2回合,精准攻击lv1
300025,heroSkill_atlas,skill_300022,对2个敌人造成140%伤害,多重攻击lv2
300027,heroSkill_atlas,skill_300027,对最虚弱的1个敌方造成160%伤害，并提升自己暴击值20%，持续2回合,精准攻击lv2
300028,heroSkill_atlas,skill_300028,对单个敌人造成200%的伤害，并降低其护甲20%，持续2回合,穿甲攻击
300029,heroSkill_atlas,skill_300029,对敌人造成130%的伤害，并提升自身的闪避值30%，持续2回合,闪电反射lv1
300030,heroSkill_atlas,skill_300029,对敌人造成150%的伤害，并提升自身的闪避值50%，持续2回合,闪电反射lv2
300031,heroSkill_atlas,skill_300031,对单个敌人造成170%的伤害，并恢复自身已损失生命值的10%,濒死训练
300032,heroSkill_atlas,skill_300033,对单个敌人造成140%的伤害，并提升自身的攻击20%，持续2回合,复仇lv1
300033,heroSkill_atlas,skill_300033,对单个敌人造成160%的伤害，并提升自身的攻击40%，持续2回合,复仇lv2
300034,heroSkill_atlas,skill_300034,对3个敌人造成250%的伤害,致死打击
300035,heroSkill_atlas,skill_300035,对躲在后方的单个敌人发起一次精神鉴定，造成100%的伤害,精神鉴定lv1
300036,heroSkill_atlas,skill_300038,对单个敌人造成50%的伤害，同时恢复最虚弱队友5%的血量,战地支援lv1
300037,heroSkill_atlas,skill_300035,对躲在后方的单个敌人发起一次精神鉴定，造成120%的伤害,精神鉴定lv2
300038,heroSkill_atlas,skill_300038,对单个敌人造成70%的伤害，同时恢复最虚弱队友10%的血量,战地支援lv2
300039,heroSkill_atlas,skill_300039,对单个敌人造成100%的伤害，恢复所有友方英雄20%的血量,救死扶伤
300040,heroSkill_atlas,skill_300041,对前排的敌人造成80%的伤害，并造成20%攻击力的燃烧伤害，持续2回合,危险试剂lv1
300041,heroSkill_atlas,skill_300041,对前排的敌人造成100%的伤害，并造成40%攻击力的燃烧伤害，持续2回合,危险试剂lv2
300042,heroSkill_atlas,skill_300042,对所有敌人造成140%的伤害，并造成50%攻击力的中毒伤害，持续2回合,辐射研究
300043,heroSkill_atlas,skill_300044,对单个敌人造成70%的伤害，同时催眠敌方1回合,精神攻击lv1
300044,heroSkill_atlas,skill_300044,对单个敌人造成70%的伤害，同时催眠敌方2回合,精神攻击lv2
300045,heroSkill_atlas,skill_300045,对所有敌人发起一次审判，造成一次150%的攻击，同时降低敌方30%攻击，持续2回合,救赎审判
