id,sort,index,task_id,desc,guide_type,mask_color,trigger_type,trigger_param,if_service_help,service_value,if_return,help_value,return_id,end_type,end_param,conditon_param_1,conditon_param_2,conditon_param_3,conditon_param_4,conditon_param_5,guide_btn_dev,conditon_param_6,btn_view,btn_name,character_id,arrow_direction,wait_id,next_id,last_id,
109,1,9,1101,任务领取奖励,3,0,7,GuideUI,,,1,,201,2,,,,,,,,,GuideUI,Sure,,,,110,108,
110,1,10,0,任务发放奖励,23,0,1,,1,5:10001:50,1,,201,1,,,,,,,,,,,,,,201,109,
201,2,1,0,断线创建引导员和店主,7,0,1,,,,,,,6,,7|23,1,1,7|21,0,,,,,400,,,202,110,
202,2,2,0,对话~夸奖修复柜台,1,0,1,,,,,,,5,,1,,,,...唔...做的好！,,,,,400,,,203,201,
203,2,3,0,移动至冷兵器架,8,0,1,,,,,,,7,,1,1,7|24,6|24,,,,,,,,,204,202,
204,2,4,0,对话~引导修复货架,1,0,1,,,,,,,5,,1,,,1,还有这个<Color=#3aff5c>货架</Color>也需要好好修复。,,,,,400,,,205,203,
205,2,5,0,修复冷兵器架,9,0,1,,,,1,,301,8,2,70001,,500,,点击<Color=#3aff5c>货架</Color>进行修复。,55|153,,,,400,,,206,204,
206,2,6,0,修复冷兵器架成功,4,0,1,,,,1,,301,2,,xinshou_wupinhuojia,物品货架,展示商品供顾客购买！货架的呈现方式是关键！,,,,,,,,,,207,205,
207,2,7,1102,任务领取奖励,3,0,7,GuideUI,,,1,,301,2,,,,,,,,,GuideUI,Sure,,,,208,206,
208,2,8,0,任务发放奖励,23,0,1,,1,5:10001:50,1,,301,1,,,,,,,,,,,,,,301,207,
301,3,1,0,断线创建引导员和店主,7,0,1,,,,,,,6,,7|24,0,0,6|24,0,,,,,400,,,302,208,
302,3,2,0,制作武器对话,1,0,1,,,,,,,5,,1,,,,太棒了！现在我们只需要某样东西来制作武器......|咦？看看，还没开业就吸引到壁垒里<Color=#3aff5c>铸造专家</Color>的注意了吗？,,,,,400,,,401,301,
401,4,1,0,断线创建引导员和店主,7,0,1,,,,,,,6,,7|24,0,0,6|24,0,,,,,400,,,402,302,
402,4,2,0,创建铁匠,7,0,1,,,,,,,6,,4|22,1,,,1,,,,,1,,,403,401,
403,4,3,0,铁匠走到指定位置,8,0,1,,,,,,,7,,1,0,6|22,,,0|60,,,,1,,,404,402,
404,4,4,0,点击铁匠气泡栏,2,55,1,,,,,,,2,,,,360,,点击<Color=#3aff5c>气泡</Color>即可与铸造专家威廉对话。,,,,,1,,,405,403,
405,4,5,0,铁匠首次对话,1,0,1,,,,,,,5,,1,,,,嗨！您就是新来的商人，对吗？|我想您现在一定需要一名专业的员工，要不先看看我给您的见面礼？,,,,,1,,,501,404,
501,5,1,0,断线创建引导员和店主,7,0,1,,1,5:110001:1,,,,6,,7|24,1,0,6|24,0,,,,,400,,,502,405,
502,5,2,0,断线创建铁匠,7,0,1,,,,,,,6,,6|22,1,,,0,,,,,1,,,503,501,
503,5,3,0,招募铁匠--赠送砍刀图纸,5,0,1,,,,1,,601,1,,,,,,,,,,,1,,,504,502,
504,5,4,0,收取砍刀图纸,13,55,1,,,,1,,601,2,,1010,,,,点击<Color=#3aff5c>继续</Color>按钮！,,,,,1,3,,505,503,
505,5,5,1022,任务领取奖励,3,0,7,GuideUI,,,1,,601,2,,,,,,,,,GuideUI,Sure,,,,506,504,
506,5,6,0,任务发放奖励,23,0,1,,1,5:10001:50,1,,601,1,,,,,,,,,,,,,,507,505,
507,5,7,0,铁匠对话~引导制作,1,0,1,,,,1,,601,5,,1,,,,不要客气，试试<Color=#3aff5c>制作</Color>这件装备吧！,,,,,1,,,601,506,
601,6,1,0,断线创建引导员和店主,7,0,1,,,,,,,6,,7|24,1,0,6|24,0,,,,,400,,,602,507,
602,6,2,0,断线创建铁匠,7,0,1,,,,,,,6,,6|22,1,,,0,,,,,1,,,603,601,
603,6,3,0,制作砍刀-点击制作,24,55,7,mainUI,,,,,,2,,1010,equipListItem1,500,,点击<Color=#3aff5c>制作</Color>按钮！,,,mainUI,makeButton,1,,,604,602,
604,6,4,0,选择砍刀,24,55,7,EquipMakeUI,,,,,,2,,1010,equipListItem1,400,,点击<Color=#3aff5c>砍刀</Color>进行制作！,0|-90,,EquipMakeUI,1010,1,,,701,603,
701,7,1,0,断线创建引导员和店主,7,0,1,,1,14:2,,,,6,,7|24,0,0,6|24,0,,,,,400,,,702,604,
702,7,2,0,断线创建铁匠,7,0,1,,,,,,,6,,6|22,1,,,0,,,,,1,,,703,701,
703,7,3,0,等待制作-拿回砍刀,24,55,7,mainUI,1,1:1011:1,,,,2,,,,500,,等待制作结束后，点击<Color=#3aff5c>领取</Color>！,0|50,,mainUI,1,1,,,704,702,
704,7,4,1104,任务领取奖励,3,0,7,GuideUI,,,1,,801,2,,,,,,,,,GuideUI,Sure,,,,705,703,
705,7,5,0,任务发放奖励,23,0,1,,1,5:10001:50,1,,801,1,,,,,,,,,,,,,,801,704,
801,8,1,0,断线创建引导员和店主,7,0,1,,,,,,,6,,7|24,0,0,6|24,0,,,,,400,,,802,705,
802,8,2,0,断线创建铁匠,7,0,1,,,,,,,6,,6|22,1,,,0,,,,,1,,,803,801,
803,8,3,0,引导员要走了的对话,1,0,1,,,,,,,5,,1,,,,很好！威廉，剩下的事情我就让您来处理了。,,,,,400,,,804,802,
804,8,4,0,铁匠的回话,1,0,1,,,,,,,5,,0,,,,请放心，我会照顾好店长的！,,1,,,1,,,901,803,
901,9,1,0,断线创建铁匠和店主,7,0,1,,,,,,,6,,6|22,1,0,6|24,0,,,,,1,,,902,804,
902,9,2,0,移动至铁矿箱,8,0,1,,,,,,,7,,1,1,10|25,11|23,,,,,,,,,903,901,
903,9,3,0,修复铁矿箱对话,1,0,1,,,,,,,5,,1,,,,这是<Color=#3aff5c>铁矿箱</Color>，我们先修复它吧！,,,,,1,,,1001,902,
1001,10,1,0,断线创建铁匠和店主,7,0,1,,,,,,,6,,10|25,1,1,11|23,0,,,,,1,,,1002,903,
1002,10,2,1005,点击修复铁矿箱,9,55,1,,,,,,,8,2,90001,,450,,点击<Color=#3aff5c>铁矿箱</Color>进行修复。,0|107,,,,1,,,1003,1001,
1003,10,3,0,资源箱介绍弹框,4,0,1,,,,1,,1101,2,,xinshou_chuwulanzi,资源箱,在您的商店中存放资源以供制作装备，这是所有装备的关键所在！,,,,,,,,,,1004,1002,
1004,10,4,0,铁匠对话~引导铁矿来源,1,0,1,,,,1,,1101,5,,1,jianzhu_tiekuangchang,,,很好！别担心，城市里有<Color=#3aff5c>铁矿厂</Color>，会随时为您补充<Color=#3aff5c>铁</Color>资源！,,,,,1,,,1005,1003,
1005,10,5,1105,任务领取奖励,3,0,7,GuideUI,,,1,,1101,2,,,,,,,,,GuideUI,Sure,,,,1006,1004,
1006,10,6,0,任务发放奖励,23,0,1,,1,5:10001:50,1,,1101,1,,,,,,,,,,,,,,1101,1005,
1101,11,1,0,断线创建铁匠和店主,7,0,1,,1,,,,,6,,10|25,1,1,11|23,0,,,,,1,,,1102,1006,
1102,11,2,0,铁匠对话~引导制作其它装备,1,0,1,,,,,,,5,,1,,,,要不您尝试制作点别的装备？,,,,,1,,,1103,1101,
1103,11,3,0,铁匠对话~引导制作衣服,1,0,1,,,,,,,5,,1,,,,别担心，这次我们制作一件护甲。,,,,,1,,,1104,1102,
1104,11,4,,研究探险试用装,13,0,1,,1,6:11010:2,,,,2,,11010,,,,,,,,,,3,,1201,1103,
1201,12,1,,断线创建铁匠和店主,7,0,1,,,,,,,6,,10|25,1,1,11|23,,,,,,1,,,1202,1104,
1202,12,2,0,制作战甲-点击制作,24,55,7,mainUI,,,,,,2,,11010,,500,,点击<Color=#3aff5c>制作</Color>按钮！,,,mainUI,makeButton,1,,,1203,1201,
1203,12,3,0,制作探险试用装,24,55,7,EquipMakeUI,,,,,,2,,11010,1,400,,点击<Color=#3aff5c>探险试用装</Color>进行制作！,0|-90,,EquipMakeUI,11010,1,,,1301,1202,
1301,13,1,0,断线创建铁匠和店主,7,0,1,,1,14:2,,,,6,,10|25,1,1,11|23,0,,,,,1,,,1302,1203,
1302,13,2,0,等待制作-拿回探险试用装,24,55,7,mainUI,1,1:11011:1,,,,2,,10011,,500,,等待制作结束后，点击<Color=#3aff5c>领取</Color>！,0|70,,mainUI,1,1,,,1401,1301,
1401,14,1,0,断线创建铁匠和店主,7,0,1,,,,,,,6,,10|25,1,1,11|23,0,,,,,1,,,1402,1302,
1402,14,2,,铁匠对话~引导仓库和防具架摆放,1,0,1,,,,,,,5,,1,,,,那件护甲直接进了<Color=#3aff5c>仓库</Color>。|它似乎不适合放在<Color=#3aff5c>冷兵器架</Color>上......|放在<Color=#3aff5c>防具架</Color>上应该很不错。试一试吧！,,,,,1,,,1501,1401,
1501,15,1,,断线创建铁匠和店主,7,0,1,,,,,,,6,,10|25,1,1,11|23,0,,,,,1,,,1502,1402,
1502,15,2,0,点击设计-防具架摆放,24,55,7,mainUI,,,,,,2,,29001,,500,,点击<Color=#3aff5c>设计</Color>按钮。,,,mainUI,设计按钮,1,,,1503,1501,
1503,15,3,0,点击家具-防具架摆放,24,55,7,ShopDesignUI,,,,,,2,,29001,0,500,,点击<Color=#3aff5c>家具</Color>按钮。,,,ShopDesignUI,btn_furniture,1,,,1504,1502,
1504,15,4,0,点击防具架,24,55,7,FurnitureSelectionUI,,,,,,2,,29001,0,360,11|22|1,点击<Color=#3aff5c>初级防具架</Color>。,0|-100,,FurnitureSelectionUI,29001,1,,,1505,1503,
1505,15,5,,护甲架，点击确定摆放,24,0,7,ShopDesignUI,,,,,,2,,29001,,500,,点击<Color=#3aff5c>免费</Color>按钮。,,,ShopDesignUI,btn_confirm,1,,,1506,1504,
1506,15,6,,护甲架，点击完成回主界面,24,0,7,ShopDesignUI,,,1,,1601,2,,,,500,,点击<Color=#3aff5c>完成</Color>返回商店！,,,ShopDesignUI,btn_done,1,,,1507,1505,
1507,15,7,,铁匠对话~摆放防具架结束语,1,0,1,,,,1,,1601,5,,1,,,,嗯，这样好多了，这样顾客就可以找到他们想要的装备了！,,,,,1,,,1508,1506,
1508,15,8,1106,任务领取奖励,3,0,7,GuideUI,,,1,,1601,2,,,,,,,,,GuideUI,Sure,,,,1509,1507,
1509,15,9,0,任务发放奖励,23,0,1,,1,5:10001:50,1,,1601,1,,,,,,,,,,,,,,1601,1508,
1601,16,1,0,断线创建铁匠和店主,7,0,1,,,,,,,6,,10|25,1,1,11|23,0,,,,,1,,,1602,1509,
1602,16,2,0,铁匠对话~介绍顾客来了,1,0,1,,,,,,,5,,1,,,,看啊，您的首位顾客！我猜他想买刚制作好的装备！,,,,,1,,,1701,1601,
1701,17,1,0,断线创建铁匠和店主,7,0,1,,1,3:11011:1,,,,6,,10|25,1,1,11|23,0,,,,,1,,,1702,1602,
1702,17,2,0,点击首位顾客（固定需求探险试用装）气泡栏-服务器不发其它顾客,17,0,8,,,,,,,2,,11011,,360,,点击<Color=#3aff5c>气泡</Color>与顾客交谈！,0|30,,,,1,,,1703,1701,
1703,17,3,0,点击售卖,24,55,7,ShopperUI,,,,,,2,,,,280,,点击<Color=#3aff5c>售卖</Color>按钮。,,,ShopperUI,CheckoutBtn,1,,,1704,1702,
1704,17,4,0,铁匠对话~让你继续卖装备,1,0,1,,,4:1011:2,1,,1801,5,,1,,,,干的好，您已经开始展现真正的商业大亨的风采！|尝试再售卖一些装备以<Color=#3aff5c>达到2级</Color>，我会在这里看着！,,,,,1,,,1801,1703,
1801,18,1,0,断线创建铁匠和店主,7,0,1,,1,3:1011:1,,,,6,,10|25,1,1,11|23,0,,,,,1,,,1802,1704,
1802,18,2,0,点击第二位顾客（固定需求砍刀）气泡栏-服务器不发其它顾客,17,0,8,,,,,,,2,,1011,,360,,点击<Color=#3aff5c>气泡</Color>与顾客交谈！,0|5,,,,1,,,1803,1801,
1803,18,3,0,点击售卖-第2次,24,55,7,ShopperUI,,,,,,2,,,,280,,点击<Color=#3aff5c>售卖</Color>按钮。,,,ShopperUI,CheckoutBtn,1,,,1804,1802,
1804,18,4,0,点击升级-店主首次升级,24,55,7,PlayerUpUI,,,1,,1901,2,,,,280,,点击<Color=#3aff5c>继续</Color>按钮。,,,PlayerUpUI,ContinueBtn,1,,,1805,1803,
1805,18,5,0,点击升级奖励-金条,24,0,7,ReceiveAwardUI,,,1,,1901,2,,,,280,,点击<Color=#3aff5c>收取</Color>按钮。,,,ReceiveAwardUI,getItemOKButton,1,,,1901,1804,
1901,19,1,0,断线创建铁匠和店主,7,0,1,,,,,,,6,,10|25,1,1,11|23,0,,,,,1,,,1902,1805,
1902,19,2,0,铁匠对话~引导需要裁缝,1,0,1,,,,,,,5,,1,,,,又一名满意的顾客！高<Color=#3aff5c>店长等级</Color>会解锁很多东西。|不过话说回来，我现在只能制作金属物品......,,,,,1,,,1903,1901,
1903,19,3,0,赠送两把砍刀-显示在武器架上,16,0,1,,1,4:1011:2,1,,2001,1,,,,,,,,,,,,,,2001,1902,
2001,20,1,0,断线创建铁匠和店主,7,0,1,,,,,,,6,,10|25,1,1,11|23,0,,,,,1,,,2002,1903,
2002,20,2,0,铁匠对话~引导裁缝来了,1,0,1,,1,5:110003:1,,,,5,,1,,,,咦？您看，壁垒里的<Color=#3aff5c>服装设计师</Color>—琳过来了！,,,,,1,,,2101,2001,
2101,21,1,0,断线创建铁匠和店主,7,0,1,,,,,,,6,,10|25,1,1,11|23,0,,,,,1,,,2102,2002,
2102,21,2,0,创建裁缝,7,0,1,,,,,,,6,,3|23,1,,,1,,,,,3,,,2103,2101,
2103,21,3,0,裁缝走到指定位置,8,0,1,,,,,,,7,,1,0,6|23,,,0|65,,,,3,,,2104,2102,
2104,21,4,0,点击气泡栏与裁缝对话,2,0,4,,,,,,,2,,,,360,,点击<Color=#3aff5c>气泡</Color>与服装设计师对话。,,,,,3,,,2105,2103,
2105,21,5,0,裁缝对话~求招聘,1,0,1,,,,,,,5,,0,,,,您是新来的商人吗？欢迎来到02壁垒！|我已经失业太久了，恳请招募我为您工作！,,,,,3,,,2201,2104,
2201,22,1,,断线创建铁匠和店主,7,0,1,,,,,,,6,,10|25,1,1,11|23,0,,,,,1,,,2202,2105,
2202,22,2,,断线创建裁缝,7,0,1,,,,,,,6,,6|23,1,,,0,,,,,3,,,2203,2201,
2203,22,3,,解锁裁缝--赠送2种图纸,5,0,1,,,,,,,1,,,,,,点击<Color=#3aff5c>免费招募</Color>按钮。,,,,,3,,,2301,2202,
2301,23,1,0,断线创建铁匠和店主,7,0,1,,,,,,,6,,10|25,1,1,11|23,0,,,,,1,,,2302,2203,
2302,23,2,,断线创建裁缝,7,0,1,,,,,,,6,,6|23,1,,,0,,,,,3,,,2303,2301,
2303,23,3,,研究图纸-短袖,13,0,1,,,,1,,2401,2,,12010,,,,,,,,,3,3,,2304,2302,
2304,23,4,,研究图纸-牛仔裤,13,0,1,,,,1,,2401,2,,15010,,,,,,,,,3,3,,2305,2303,
2305,23,5,1021,任务领取奖励,3,0,7,GuideUI,,,1,,2401,2,,,,,,,,,GuideUI,Sure,,,,2306,2304,
2306,23,6,0,任务发放奖励,23,0,1,,1,5:10001:50,1,,2401,1,,,,,,,,,,,,,,2401,2305,
2401,24,1,0,断线创建铁匠和店主,7,0,1,,,,,,,6,,10|25,1,1,11|23,0,,,,,1,,,2402,2306,
2402,24,2,0,断线创建裁缝,7,0,1,,,,,,,6,,6|23,1,,,0,,,,,3,,,2403,2401,
2403,24,3,0,裁缝对话~感谢招募,1,0,1,,,,,,,5,,1,,,,感谢店长您的帮助，我一定不会让您失望的！,,,,,3,,,2404,2402,
2404,24,4,0,铁匠对话~离开,1,0,1,,,,,,,5,,1,,,,我得去打扫我的工作台了，接下来就交给琳了......,,1,,,1,,,2405,2403,
2405,24,5,0,裁缝对话~需要皮革箱,1,0,1,,,,,,,5,,0,,,,当然，与新老板交流是我的荣幸！|对了，商店的<Color=#3aff5c>皮革箱</Color>在哪？|没有<Color=#3aff5c>皮革</Color>资源，我将无法缝制任何东西......,,,,,3,,,2406,2404,
2406,24,6,0,裁缝对话~摆放皮革箱,1,0,1,,,,,,,5,,0,,,,额？没有？那我们先摆放一个<Color=#3aff5c>皮革箱</Color>吧。,,,,,3,,,2501,2405,
2501,25,1,0,断线创建裁缝和店主,7,0,1,,,,,,,6,,6|23,1,1,11|23,0,,,,,3,,,2502,2406,
2502,25,2,0,点击设计-皮革架,24,55,7,mainUI,,,,,,2,,19001,,500,,点击<Color=#3aff5c>设计</Color>按钮。,15|20,,mainUI,设计按钮,3,,,2503,2501,
2503,25,3,0,点击家具,24,55,7,ShopDesignUI,,,,,,2,,19001,1,500,,点击<Color=#3aff5c>家具</Color>按钮。,,,ShopDesignUI,btn_furniture,3,,,2504,2502,
2504,25,4,0,点击皮革架,24,55,7,FurnitureSelectionUI,,,,,,2,,19001,1,360,10|25|0,点击<Color=#3aff5c>初级皮革箱</Color>。,0|-100,,FurnitureSelectionUI,19001,3,,,2505,2503,
2505,25,5,,皮革架，点击确定摆放,24,0,7,ShopDesignUI,,,,,,2,,19001,,500,,点击<Color=#3aff5c>免费</Color>按钮。,,,ShopDesignUI,btn_confirm,3,,,2506,2504,
2506,25,6,,皮革架，点击完成回主界面,24,0,7,ShopDesignUI,,,1,,2601,2,,,,500,,点击<Color=#3aff5c>完成</Color>返回商店！,,,ShopDesignUI,btn_done,3,,,2507,2505,
2507,25,7,1110,任务领取奖励,3,0,7,GuideUI,,,1,,2601,2,,,,,,,,,GuideUI,Sure,,,,2508,2506,
2508,25,8,0,任务发放奖励,23,0,1,,1,5:10001:50,1,,2601,1,,,,,,,,,,,,,,2509,2507,
2509,25,9,0,裁缝对话~告诉你皮革来源,1,0,1,,,,1,,2601,5,,1,jianzhu_pige,,,请店长放心，城市里有皮革工厂，会一直为我们补充<Color=#3aff5c>皮革</Color>资源！,,,,,3,,,2601,2508,
2601,26,1,0,断线创建裁缝和店主,7,0,1,,,,,,,6,,6|23,1,1,11|23,0,,,,,3,,,2602,2509,
2602,26,2,0,裁缝对话~引导制作短袖,1,0,1,,,,,,,5,,1,,,,太好了，我已经迫不及待想向您展示我的能力了！,,,,,3,,,2701,2601,
2701,27,1,0,断线创建裁缝和店主,7,0,1,,,,,,,6,,6|23,1,1,11|23,0,,,,,3,,,2702,2602,
2702,27,2,0,判定第一制造队列是否空着,22,0,1,,1,5:20003:75,,,,1,,,,,,,,,,,,,6000,2703,2701,
2703,27,3,0,点击制作-短袖,24,55,7,mainUI,,,,,,2,,,,500,,点击<Color=#3aff5c>制作</Color>按钮。,,,mainUI,makeButton,3,,,2704,2702,
2704,27,4,0,点击短袖,24,55,7,EquipMakeUI,,,,,,2,,,,400,,点击<Color=#3aff5c>短袖</Color>进行制作。,0|-100,,EquipMakeUI,12010,3,,,2801,2703,
2801,28,1,0,断线创建裁缝和店主,7,0,1,,,,,,,6,,6|23,1,1,11|23,0,,,,,3,,,2802,2704,
2802,28,2,0,裁缝对话~解锁制作第2个制作栏位,1,0,1,,1,5:10001:100,,,,5,,1,,,,店长，怎么回事？只有一个<Color=#3aff5c>制作栏位</Color>？这可不行！|让我来协助您，<Color=#3aff5c>制作栏位</Color>可是所有商人的命脉！,,,,,3,,,2901,2801,
2901,29,1,0,断线创建裁缝和店主,7,0,1,,,,,,,6,,6|23,1,1,11|23,0,,,,,3,,,2902,2802,
2902,29,2,0,解锁新的制造栏位,24,55,7,mainUI,,,,,,2,,,,500,,点击<Color=#3aff5c>+</Color>按钮。,,,mainUI,makeButton,3,,,2903,2901,
2903,29,3,0,解锁制造栏位-显示ui,24,0,7,BuyMakingSlotUI,,,,,,2,,,,500,,点击<Color=#3aff5c>免费</Color>按钮。,,,BuyMakingSlotUI,gemButton,3,,,2904,2902,
2904,29,4,1111,任务领取奖励,3,0,7,GuideUI,,,1,,3001,2,,,,,,,,,GuideUI,Sure,,,,2905,2903,
2905,29,5,0,任务发放奖励,23,0,1,,1,5:10001:50,1,,3001,1,,,,,,,,,,,,,,3001,2904,
3001,30,1,0,断线创建裁缝和店主,7,0,1,,,,,,,6,,6|23,1,1,11|23,0,,,,,3,,,3002,2905,
3002,30,2,0,裁缝对话~再做一件短袖,1,0,1,,,,,,,5,,1,,,,很好，使用您刚获得的<Color=#3aff5c>制作栏位</Color>。,,,,,3,,,3101,3001,
3101,31,1,0,断线创建裁缝和店主,7,0,1,,,,,,,6,,6|23,1,1,11|23,0,,,,,3,,,3102,3002,
3102,31,2,0,点击制作第2件短袖,24,55,7,mainUI,,,,,,2,,,,500,,点击<Color=#3aff5c>制作</Color>按钮。,,,mainUI,makeButton,3,,,3103,3101,
3103,31,3,0,点击第二件短袖,24,55,7,EquipMakeUI,1,14:3,,,,2,,,,400,,点击<Color=#3aff5c>短袖</Color>制作它。,0|-100,,EquipMakeUI,12010,3,,,3201,3102,
3201,32,1,0,断线创建裁缝和店主,7,0,1,,,,,,,6,,6|23,1,1,11|23,0,,,,,3,,,3202,3103,
3202,32,2,,收取短袖（杰出品质）,24,55,7,mainUI,1,7:12013,,,,2,,,12010,500,,等待制作结束后，点击<Color=#3aff5c>领取</Color>！,0|50,,mainUI,1,3,,,3204,3201,
3204,32,3,,点击免费升级--史诗（不要钱），此处改为强制升级,24,0,7,ReceiveAwardUI,1,7:0,1,,3301,2,,,,300,,点击<Color=#3aff5c>免费</Color>按钮。,,,ReceiveAwardUI,UpButton,3,,,3205,3202,
3205,32,4,,升级成功,24,0,7,ReceiveAwardUI,1,2:1,1,,3301,2,,,,300,,点击<Color=#3aff5c>收取</Color>按钮。,,,ReceiveAwardUI,GetQualityOKButton,3,,,3203,3204,
3203,32,5,0,裁缝对话~告诉你获得了高品质,1,0,1,,,,,,,5,,1,,,,非常棒，对吧？若您允许我继续扩建，我能做的更好！,,,,,3,,,3206,3205,
3206,32,6,0,琳对话~告诉你高品质装备的作用,1,0,1,,,,1,,3301,5,,1,,,,<Color=#3aff5c>高品质装备</Color>战力更高也更珍贵。记得留意它们哦！,,,,,3,,,3207,3203,
3207,32,7,1112,任务领取奖励,3,0,7,GuideUI,,,1,,3301,2,,,,,,,,,GuideUI,Sure,,,,3208,3206,
3208,32,8,0,任务发放奖励,23,0,1,,1,5:10001:50,1,,3301,1,,,,,,,,,,,,,,3301,3207,
3301,33,1,0,断线创建裁缝和店主,7,0,1,,,,,,,6,,6|23,1,1,11|23,0,,,,,3,,,3302,3208,
3302,33,2,0,npc对话,1,0,1,,,,,,,5,,1,,,,再制作1件短袖我就能学会<Color=#3aff5c>2阶装备</Color>了，这样能售卖更多钱哦！,,,,,3,,,3303,3301,
3303,33,3,0,点击制作-短袖,24,55,7,mainUI,,,,,,2,,,,500,,点击<Color=#3aff5c>制作</Color>按钮。,,,mainUI,makeButton,3,,,3304,3302,
3304,33,4,0,点击短袖,24,55,7,EquipMakeUI,1,14:2,,,,2,,,,400,,点击<Color=#3aff5c>短袖</Color>进行制作。,0|-100,,EquipMakeUI,12010,3,,,3401,3303,
3401,34,1,,断线创建裁缝和店主,7,0,1,,,,,,,6,,6|23,1,1,11|23,0,,,,,3,,,3402,3304,
3402,34,2,,2件解锁连帽衫,24,55,7,mainUI,,,,,,2,,,,500,,等待制作结束后，点击<Color=#3aff5c>领取</Color>！,0|50,,mainUI,1,3,,,3403,3401,
3403,34,3,,收取3件成功后---解锁黑长袍图纸--改为继续,24,0,7,ReceiveAwardUI,,,1,,3501,2,,,,300,,点击<Color=#3aff5c>继续</Color>按钮。,,,ReceiveAwardUI,guideButton,3,3,,3404,3402,
