id,hero_type,level_min,level_max,conditions,talk,wight
101046,3,1,50,1,商店被抢劫了吗？,10000
101047,3,1,50,1,需要我给你上货吗？,10000
101048,3,1,50,1,什么都没有了吗？,10000
101049,3,1,50,1,白来了！,10000
101052,3,1,50,1,该补货了,10000
101053,3,1,50,1,别打盹，老板补货吧。,10000
102001,1,1,50,2,这个也行！,10000
102002,1,1,50,2,我正需要这个！,10000
102003,1,1,50,2,完美！,10000
102005,1,1,50,2,我爱这个！,10000
102006,1,1,50,2,太完美了！,10000
102007,1,1,50,2,好家伙！,10000
102008,1,1,50,2,这个合适。,10000
102009,1,1,50,2,不错。,10000
102010,1,1,50,2,很好。,10000
102011,1,1,50,2,没白来。,10000
102012,1,1,50,2,我找这个很久了!,10000
102013,1,1,50,2,值得称赞。,10000
102014,1,1,50,2,好好好。,10000
102015,1,1,50,2,正合我意！,10000
102016,1,1,50,2,我正需要这个！,10000
102017,1,1,50,2,这个合适。,10000
102018,1,1,50,2,好家伙！,10000
102019,2,1,50,2,完美！,10000
102021,2,1,50,2,我正需要这个！,10000
102022,2,1,50,2,好家伙！,10000
102023,2,1,50,2,不错。,10000
102024,2,1,50,2,这个合适。,10000
102025,2,1,50,2,离真相更进一步。,10000
102026,2,1,50,2,这个就行了！,10000
102027,2,1,50,2,正合我意！,10000
102028,2,1,50,2,这个也行！,10000
102029,2,1,50,2,我正需要这个！,10000
102030,2,1,50,2,完美！,10000
102032,2,1,50,2,我爱这个！,10000
102033,2,1,50,2,太完美了！,10000
102034,2,1,50,2,好家伙！,10000
102035,2,1,50,2,这个合适。,10000
102036,2,1,50,2,不错。,10000
102037,3,1,50,2,很好。,10000
102038,3,1,50,2,没白来。,10000
102039,3,1,50,2,我找这个很久了!,10000
102040,3,1,50,2,值得称赞。,10000
102041,3,1,50,2,好好好。,10000
102042,3,1,50,2,正合我意！,10000
102043,3,1,50,2,我正需要这个！,10000
102044,3,1,50,2,这个合适。,10000
102045,3,1,50,2,好家伙！,10000
102046,3,1,50,2,完美！,10000
102047,3,1,50,2,这个合适。,10000
102048,3,1,50,2,我正需要这个！,10000
102049,3,1,50,2,好家伙！,10000
102050,3,1,50,2,不错。,10000
102051,3,1,50,2,这个合适。,10000
102052,3,1,50,2,这个就行了！,10000
102053,3,1,50,2,这个就行了！,10000
102054,3,1,50,2,正合我意！,10000
103001,1,1,50,3,这个一般。,10000
103002,1,1,50,3,我再看看。,10000
103003,1,1,50,3,实际点的更适合我。,10000
103004,1,1,50,3,我需要更劲爆点的。,10000
103005,1,1,50,3,我不喜欢这个。,10000
103007,1,1,50,3,这个不行。,10000
103008,1,1,50,3,我再看看。,10000
103009,1,1,50,3,还行，我再看看。,10000
103010,1,1,50,3,一般,10000
103011,1,1,50,3,这个算了,10000
103014,1,1,50,3,这个不对。,10000
103016,1,1,50,3,还行，我再看看。,10000
103017,1,1,50,3,太过脆弱。,10000
103018,1,1,50,3,还行，我再看看。,10000
103020,2,1,50,3,一般,10000
103021,2,1,50,3,这个一般。,10000
103023,2,1,50,3,这个算了。,10000
103024,2,1,50,3,我再看看。,10000
103025,2,1,50,3,这个一般。,10000
103026,2,1,50,3,还行，我再看看。,10000
103027,2,1,50,3,我再仔细找找。,10000
103028,2,1,50,3,这个一般。,10000
103029,2,1,50,3,我再看看。,10000
103031,2,1,50,3,我需要更劲爆点的。,10000
103032,2,1,50,3,我不喜欢这个。,10000
103034,2,1,50,3,这个不行。,10000
103035,2,1,50,3,我再看看。,10000
103036,2,1,50,3,还行，我再看看。,10000
103037,3,1,50,3,一般,10000
103038,3,1,50,3,这个算了,10000
103041,3,1,50,3,这个不对。,10000
103045,3,1,50,3,还行，我再看看。,10000
103047,3,1,50,3,一般,10000
103050,3,1,50,3,这个算了。,10000
103051,3,1,50,3,我再看看。,10000
103052,3,1,50,3,这个一般。,10000
103053,3,1,50,3,还行，我再看看。,10000
103054,3,1,50,3,我再仔细找找。,10000
104001,1,1,50,4,嗯......,10000
104002,1,1,50,4,店长看上去有点忙......,10000
104003,1,1,50,4,柜台那里排着队呢。,10000
104004,1,1,50,4,店长忙的很！,10000
104005,1,1,50,4,柜台挤不进去。,10000
104006,1,1,50,4,我来的不是时候。,10000
104007,1,1,50,4,看来要个大点柜台。,10000
104008,1,1,50,4,生意太好了。,10000
104009,1,1,50,4,没时间排队了。,10000
104010,1,1,50,4,嗯......,10000
104011,1,1,50,4,柜台人满了。,10000
104012,1,1,50,4,人太多了，我很紧张。,10000
104013,1,1,50,4,下次再来。,10000
104014,1,1,50,4,不必着急，自能相遇。,10000
104015,1,1,50,4,店长还需要帮手吗？,10000
104016,1,1,50,4,嗯......,10000
104017,1,1,50,4,错过这次机会了。,10000
104018,1,1,50,4,我这大块头挤不进去。,10000
104019,2,1,50,4,嗯......,10000
104020,2,1,50,4,店长看上去有点忙......,10000
104021,2,1,50,4,柜台那里排着队呢。,10000
104022,2,1,50,4,店长忙的很！,10000
104023,2,1,50,4,柜台挤不进去。,10000
104024,2,1,50,4,我来的不是时候。,10000
104025,2,1,50,4,看来要个大点柜台。,10000
104026,2,1,50,4,生意太好了。,10000
104027,2,1,50,4,没时间排队了。,10000
104028,2,1,50,4,嗯......,10000
104029,2,1,50,4,柜台人满了。,10000
104030,2,1,50,4,人太多了，我很紧张。,10000
104031,2,1,50,4,下次再来。,10000
104032,2,1,50,4,不必着急，自能相遇。,10000
104033,2,1,50,4,店长还需要帮手吗？,10000
104034,2,1,50,4,嗯......,10000
104035,2,1,50,4,错过这次机会了。,10000
104036,2,1,50,4,我这大块头挤不进去。,10000
104037,3,1,50,4,嗯......,10000
104038,3,1,50,4,店长看上去有点忙......,10000
104039,3,1,50,4,柜台那里排着队呢。,10000
104040,3,1,50,4,店长忙的很！,10000
104041,3,1,50,4,柜台挤不进去。,10000
104042,3,1,50,4,我来的不是时候。,10000
104043,3,1,50,4,看来要个大点柜台。,10000
104044,3,1,50,4,生意太好了。,10000
104045,3,1,50,4,没时间排队了。,10000
104046,3,1,50,4,嗯......,10000
104047,3,1,50,4,柜台人满了。,10000
104048,3,1,50,4,人太多了，我很紧张。,10000
104049,3,1,50,4,下次再来。,10000
104050,3,1,50,4,不必着急，自能相遇。,10000
104051,3,1,50,4,店长还需要帮手吗？,10000
104052,3,1,50,4,嗯......,10000
104053,3,1,50,4,错过这次机会了。,10000
104054,3,1,50,4,我这大块头挤不进去。,10000
105001,1,1,50,5,不错！,10000
105002,1,1,50,5,我家里也摆着这个。,10000
105003,1,1,50,5,让人充满希望。,10000
105004,1,1,50,5,好想带回家。,10000
105005,1,1,50,5,漂亮！,10000
105006,1,1,50,5,这个值得收藏。,10000
105007,1,1,50,5,这个卖吗？,10000
105008,1,1,50,5,能量全给你！,10000
105009,1,1,50,5,漂亮！,10000
105010,1,1,50,5,好看！,10000
105011,1,1,50,5,喜欢！,10000
105012,1,1,50,5,不错！,10000
105014,1,1,50,5,这个值得收藏,10000
105015,1,1,50,5,这个已经很少见了。,10000
105016,1,1,50,5,好看！,10000
105017,1,1,50,5,我喜欢！,10000
105018,1,1,50,5,令人兴奋！,10000
105019,2,1,50,5,不错！,10000
105020,2,1,50,5,我家里也摆着这个。,10000
105021,2,1,50,5,让人充满希望。,10000
105022,2,1,50,5,好想带回家。,10000
105023,2,1,50,5,漂亮！,10000
105024,2,1,50,5,这个值得收藏。,10000
105025,2,1,50,5,这个卖吗？,10000
105026,2,1,50,5,能量全给你！,10000
105027,2,1,50,5,漂亮！,10000
105028,2,1,50,5,好看！,10000
105029,2,1,50,5,喜欢！,10000
105030,2,1,50,5,不错！,10000
105032,2,1,50,5,这个值得收藏,10000
105033,2,1,50,5,这个已经很少见了。,10000
105034,2,1,50,5,好看！,10000
105035,2,1,50,5,我喜欢！,10000
105036,2,1,50,5,令人兴奋！,10000
105037,3,1,50,5,不错！,10000
105038,3,1,50,5,我家里也摆着这个。,10000
105039,3,1,50,5,让人充满希望。,10000
105040,3,1,50,5,好想带回家。,10000
105041,3,1,50,5,漂亮！,10000
105042,3,1,50,5,这个值得收藏。,10000
105043,3,1,50,5,这个卖吗？,10000
105044,3,1,50,5,能量全给你！,10000
105045,3,1,50,5,漂亮！,10000
105046,3,1,50,5,好看！,10000
105047,3,1,50,5,喜欢！,10000
105048,3,1,50,5,不错！,10000
105050,3,1,50,5,这个值得收藏,10000
105051,3,1,50,5,这个已经很少见了。,10000
105052,3,1,50,5,好看！,10000
105053,3,1,50,5,我喜欢！,10000
105054,3,1,50,5,令人兴奋！,10000
106001,1,1,50,6,抱歉,10000
106002,1,1,50,6,你好,10000
106003,1,1,50,6,又见到你真开心！,10000
106004,1,1,50,6,哈喽哈,10000
106005,1,1,50,6,击个掌，伙计。,10000
106006,1,1,50,6,让一让。,10000
106007,1,1,50,6,您好,10000
106008,1,1,50,6,好久不见,10000
106009,1,1,50,6,抱歉,10000
106010,1,1,50,6,我认识你吗？,10000
106011,1,1,50,6,......,10000
106012,1,1,50,6,别挡道,10000
106013,1,1,50,6,抱歉,10000
106014,1,1,50,6,你好,10000
106015,1,1,50,6,(鞠躬),10000
106016,1,1,50,6,让一让。,10000
106017,1,1,50,6,你好,10000
106018,1,1,50,6,抱歉,10000
106019,2,1,50,6,抱歉,10000
106020,2,1,50,6,你好,10000
106021,2,1,50,6,又见到你真开心！,10000
106022,2,1,50,6,哈喽,10000
106023,2,1,50,6,击个掌，伙计。,10000
106024,2,1,50,6,让一让。,10000
106025,2,1,50,6,您好,10000
106026,2,1,50,6,好久不见,10000
106027,2,1,50,6,抱歉,10000
106028,2,1,50,6,我认识你吗？,10000
106029,2,1,50,6,......,10000
106030,2,1,50,6,别挡道,10000
106031,2,1,50,6,抱歉,10000
106032,2,1,50,6,你好,10000
106033,2,1,50,6,(鞠躬),10000
106034,2,1,50,6,让一让。,10000
106035,2,1,50,6,你好,10000
106036,2,1,50,6,抱歉,10000
106037,3,1,50,6,抱歉,10000
106038,3,1,50,6,你好,10000
106039,3,1,50,6,又见到你真开心！,10000
106040,3,1,50,6,哈喽哈,10000
106041,3,1,50,6,击个掌，伙计。,10000
106042,3,1,50,6,让一让。,10000
106043,3,1,50,6,您好,10000
106044,3,1,50,6,好久不见,10000
106045,3,1,50,6,抱歉,10000
106046,3,1,50,6,我认识你吗？,10000
106047,3,1,50,6,......,10000
106048,3,1,50,6,别挡道,10000
106049,3,1,50,6,抱歉,10000
106050,3,1,50,6,你好,10000
106051,3,1,50,6,(鞠躬),10000
106052,3,1,50,6,让一让。,10000
106053,3,1,50,6,你好,10000
106054,3,1,50,6,抱歉,10000
107001,1,1,50,7,新的一天开始了！,10000
107002,1,1,50,7,也许还有希望。,10000
107003,1,1,50,7,战斗，为了活下去。,10000
107004,1,1,50,7,我的队友等着我呢。,10000
107005,1,1,50,7,希望这次任务顺利。,10000
107006,1,1,50,7,准备突击！,10000
107007,1,1,50,7,壁垒变得越来越好了！,10000
107008,1,1,50,7,保护别人，让人幸福。,10000
107009,1,1,50,7,我需要更好的护甲。,10000
107010,1,1,50,7,都说这家店不错。,10000
107011,1,1,50,7,碰巧路过这里。,10000
107012,1,1,50,7,我只稍作停留。,10000
107013,1,1,50,7,不要忘记我们是谁！,10000
107014,1,1,50,7,我闻到了向日葵气息。,10000
107015,1,1,50,7,希望会产生绝望。,10000
107016,1,1,50,7,请保持硬核。,10000
107017,1,1,50,7,昨天的猎杀令人难忘。,10000
107018,1,1,50,7,活下去，活下去！,10000
107019,2,1,50,7,我的枪很快！,10000
107020,2,1,50,7,你想活多久?,10000
107021,2,1,50,7,金牌赏金猎人登场！,10000
107022,2,1,50,7,一击必杀！,10000
107023,2,1,50,7,速度要快，动作要静。,10000
107024,2,1,50,7,不能停止练习！,10000
107025,2,1,50,7,我会调查清楚的。,10000
107026,2,1,50,7,这家店藏着个秘密。,10000
107027,2,1,50,7,壁垒的空气因我而清新。,10000
107028,2,1,50,7,枪械才是未来，我的朋友！,10000
107029,2,1,50,7,我的枪也不错！,10000
107030,2,1,50,7,给你们看看我的新宝贝！,10000
107031,2,1,50,7,忍术里没有禁忌可言。,10000
107032,2,1,50,7,我没时间废话。,10000
107033,2,1,50,7,这就是我的忍道！,10000
107034,2,1,50,7,仿生人会梦见电子羊吗？,10000
107035,2,1,50,7,你有名字吗？,10000
107036,2,1,50,7,一起做梦怎么样！,10000
107037,3,1,50,7,新的一天开始了！,10000
107038,3,1,50,7,也许还有希望。,10000
107039,3,1,50,7,战斗，为了活下去。,10000
107040,3,1,50,7,我的队友等着我呢。,10000
107041,3,1,50,7,希望这次任务顺利。,10000
107042,3,1,50,7,准备突击！,10000
107043,3,1,50,7,壁垒变得越来越好了！,10000
107044,3,1,50,7,保护别人，让人幸福。,10000
107045,3,1,50,7,我需要更好的护甲。,10000
107046,3,1,50,7,都说这家店不错。,10000
107047,3,1,50,7,碰巧路过这里。,10000
107048,3,1,50,7,我只稍作停留。,10000
107049,3,1,50,7,不要忘记我们是谁！,10000
107050,3,1,50,7,我闻到了向日葵气息。,10000
107051,3,1,50,7,希望会产生绝望。,10000
107052,3,1,50,7,请保持硬核。,10000
107053,3,1,50,7,昨天的猎杀邻人难忘。,10000
107054,3,1,50,7,活下去，活下去！,10000
108001,1,1,50,8,人们总是很天真，|以为文明会重建，|却不知道野蛮，|才是真正的梦乡。,10000
108002,1,1,50,8,为了活下来，|我牺牲了一切。,10000
108003,1,1,50,8,幸存是种幸运|还是诅咒呢？,10000
108004,1,1,50,8,伙计！|可能这世道没有正义|但看到掠夺者所做的|你会知道什么是错的。,10000
108005,1,1,50,8,总要有人冲在最前面|为什么不是我？,10000
108006,1,1,50,8,我给壁垒带回了食物|在教堂下面分发|你可以去看看。,10000
108007,1,1,50,8,护卫征收新兵了，你有兴趣吗。,10000
108008,1,1,50,8,大家要多加小心|掠夺者在附近出没|希望壁垒没有被发现|不然就麻烦了。,10000
108009,1,1,50,8,我有自己想保护得|人和土地，你呢？,10000
108010,1,1,50,8,请保持距离，|我买完东西就走。,10000
108011,1,1,50,8,别想和我套近乎，|我全身都是刺，|这是我的铠甲。,10000
108012,1,1,50,8,不是因为我变强了，|所以不跟人合作;|而是孤独让我变强了！,10000
108013,1,1,50,8,趁我们还有气力，|就要分出身负。,10000
108014,1,1,50,8,末日武士？|还是最后的武士？|多么有趣！,10000
108015,1,1,50,8,你们个个都是|最好的稻草人，|但敌人可不是麻雀。,10000
108016,1,1,50,8,你有没有看见，|我的执行官盔甲?,10000
108017,1,1,50,8,他们愤怒，残忍，|毫无怜悯...而你，|你比他们更糟，大开杀戒吧，|直到一切终结之时。,10000
108018,1,1,50,8,外面的异兽越发强大，|做好准备吧，|和平都是暂时的。,10000
108019,2,1,50,8,别怕！不就是|苹果放你头上吗|我又不会射偏！,10000
108020,2,1,50,8,你的枪法不差吧，|要来几发吗？,10000
108021,2,1,50,8,哪个更加沉重？是杀人的武器，|还是不愿面对的过去。,10000
108022,2,1,50,8,我是一块石头，|我没有呼吸，|没有声音，|没有颤抖。,10000
108023,2,1,50,8,当十字线把你锁定，|死神将亲吻你的额头。,10000
108024,2,1,50,8,当敌人在你的射程内时|，记住！你也一样。,10000
108025,2,1,50,8,只要是假以时日，|没有什么是不可以战胜的。,10000
108026,2,1,50,8,人类的希望的壁垒？|不过是宇宙里的破水沟。,10000
108027,2,1,50,8,我在执行秘密任务！|请对我的行踪保密。,10000
108028,2,1,50,8,这把枪在发言，|他心中充满仇恨，|我只是帮他一把。,10000
108029,2,1,50,8,你也想改枪吗？|你有故事吗？|你有酒吗？,10000
108030,2,1,50,8,我自己改的枪，|已经握不动了，|他们是我的孩子，|会自己长大。,10000
108031,2,1,50,8,我早已闭上了眼睛，|光明根本就不存在。,10000
108032,2,1,50,8,别说话，听雨......,10000
108033,2,1,50,8,事出总是突然，|而理由都是后加上的。,10000
108034,2,1,50,8,要么就做，要么就不做。没有所谓试一试。,10000
108035,2,1,50,8,我本以为自己来自未来，|却发现来到了旅途终点。,10000
108036,2,1,50,8,命运？不就是身不由己，|我不喜欢这种概念。,10000
108037,3,1,50,8,医治疾病是做医生的原因|医治病人则是医生痛苦的根源。,10000
108038,3,1,50,8,哪有那么高超的医术，|给人希望就足够了。,10000
108039,3,1,50,8,义体医生多风光！|人们已不满足于修修补补，|我快认不得他们的模样。,10000
108040,3,1,50,8,机械是有灵魂的，|无视机械灵魂的家伙，|不配做机械师。,10000
108041,3,1,50,8,你快看看！|最新款的机器人员工，|只要1000金条哦！,10000
108042,3,1,50,8,哐哐哐......|吵到你了吗，抱歉，|这里有润滑油卖吗？,10000
108043,3,1,50,8,能量全给你！,10000
108044,3,1,50,8,能量全给你！,10000
108045,3,1,50,8,能量全给你！,10000
108046,3,1,50,8,未来即是过去，过去即是未来，|过去无法改变，而未来已经发生，|一切只是重复，直到永远？,10000
108047,3,1,50,8,你知道吗，旧时代人们|对知识有着病态的崇拜，|那些不结合实际的，|片面的思考有何意义呢。,10000
108048,3,1,50,8,是什么呢？|为什么呢？|所以呢？|还有呢？,10000
108049,3,1,50,8,生为有限身，死作无名鬼。,10000
108050,3,1,50,8,......,10000
108051,3,1,50,8,你是人间怨灵，|还是山间野鬼？,10000
108052,3,1,50,8,付过钱了吗？|那我可以教你点东西。,10000
108053,3,1,50,8,说我不讲武德，|先打败我再说,10000
108054,3,1,50,8,各种各样的武器，|杀人的工具？|赚钱的饭碗而已。,10000
110001,4,1,100,9,新的一天开始了！,10000
110002,4,1,100,9,壁垒变得越来越好了！,10000
110003,4,1,100,9,给你们看看我的新宝贝！,10000
110004,4,1,100,9,我得制作更多的武器,10000
110005,4,1,100,9,我喜欢宁静,10000
110006,4,1,100,9,有时我更喜欢热闹,10000
110007,4,1,100,9,大家要多加小心，掠夺者在附近出没,10000
110008,4,1,100,9,外面的异兽越发强大。,10000
110009,4,1,100,9,没有什么是不可以战胜的。,10000
110010,4,1,100,9,给人希望就足够了。,10000
110011,4,1,100,10,好久不见！,10000
110012,4,1,100,10,你好...,10000
110013,4,1,100,10,又见到你真开心！,10000
110014,4,1,100,10,击个掌，伙计。,10000
110015,4,1,100,10,欢迎光临,10000
110016,4,1,100,13,这个货架空了！,10000
110017,4,1,100,13,快点补货，不然没客人了！,10000
110018,4,1,100,14,买卖的时候记得使用能量加倍卖出哦！,10000
110019,4,1,100,14,今天的生意非常不错！,10000
110020,4,1,100,14,柜台四周保持畅通，给顾客留出空间哦！,10000
110021,4,1,100,14,货架四周请留出空间让顾客查看商品。,10000
111001,1,1,100,11,这家店为什么要把门堵住？,10000
111002,2,1,100,11,大门被堵住了，我没法进去！,10000
111003,3,1,100,11,我进不了店内！,10000
112001,4,1,99,12,真乖，我的伙伴。,10000
112002,3,1,99,12,真乖，给你糖吃。,10000
112003,2,1,99,12,真乖，给你糖吃。,10000
112004,1,1,99,12,真乖，给你糖吃。,10000
112005,3,1,99,12,真可爱！,10000
112006,2,1,99,12,真可爱！,10000
112007,1,1,99,12,真可爱！,10000
112008,3,1,99,12,好小！,10000
112009,2,1,99,12,好小！,10000
112010,1,1,99,12,好小！,10000
112011,3,1,99,12,你好，小家伙。,10000
112012,2,1,99,12,你好，小家伙。,10000
112013,1,1,99,12,你好，小家伙。,10000
112014,3,1,99,12,特别喜欢摸摸你。,10000
112015,2,1,99,12,特别喜欢摸摸你。,10000
112016,1,1,99,12,特别喜欢摸摸你。,10000
112017,3,1,99,12,还是你最有趣。,10000
112018,2,1,99,12,还是你最有趣。,10000
112019,1,1,99,12,还是你最有趣。,10000
112020,3,1,99,12,快快长大，小家伙。,10000
112021,2,1,99,12,快快长大，小家伙。,10000
112022,1,1,99,12,快快长大，小家伙。,10000
112023,3,1,99,12,我是特地来看你的，小可爱。,10000
112024,2,1,99,12,我是特地来看你的，小可爱。,10000
112025,1,1,99,12,我是特地来看你的，小可爱。,10000
112026,4,5,99,12,击个掌，我的好伙伴。,10000
112027,4,9,99,12,有你在我的生活才会更有趣。,10000
112028,4,11,99,12,需要吃点什么么？我的小伙伴。,10000
113001,1,1,99,15,有些货架看不了！,10000
113002,2,1,99,15,有些货架看不了！,10000
113003,3,1,99,15,有些货架看不了！,10000
900001,5,1,100,99,我的伙伴托我找你买一些装备,5000
900002,5,1,100,99,我急需一批装备，希望你能帮忙。,10000
900003,5,12,100,99,有一个新的收购商希望能在你这收购一批装备。,1000
900004,5,20,100,99,我需要一批收藏品，我猜你一定有,1000
990001,5,1,100,100,马上就要开战了，我需要这把称手的武器，报酬你可以放心。,10000
990002,5,1,100,100,听说这有个有趣的东西，是否能出售给我？,10000
990003,5,1,100,100,这次我需要你的帮助！,10000
990004,5,1,100,100,我带来了大量的资金，你可不要吝啬,10000
120001,6,3,99,102,我制作的钝器坚固无比！,10000
120002,6,3,99,102,招募我就能制作钝器了！,10000
120003,6,3,99,102,想敲碎敌人脑袋，只有我制作的装备可以做到！,10000
120004,6,3,99,104,在这废土里，你一定更需要一双耐用的鞋子！,10000
120005,6,3,99,104,招募我就能制作鞋子了！,10000
120006,6,3,99,104,你一定不想光着脚走路吧？找我就行！,10000
120007,6,3,99,105,各种应急药品我都会制作！,10000
120008,6,3,99,105,招募我，店里就可以制作全新商品了！,10000
120009,6,3,99,105,出门在外一定要准备一些应急药品！只有我会制作哦...,10000
120010,6,3,99,106,破门必备，得靠我制作的霰弹枪！,10000
120011,6,3,99,106,招募我就能制作霰弹枪了！,10000
120012,6,3,99,106,我制作的霰弹枪，买过的人都说好！,10000
120013,6,3,99,107,野外探险，我制作的工具是必不可少的！,10000
120014,6,3,99,107,招募我就能制作工具了！,10000
120015,6,3,99,107,工具？炸弹？你还想要什么？我都能制作！,10000
