ID,name,desc,
126,27_SPX_Furniture_Upgrate_Begin,新增：1、联盟科技升级2、科技开启3、帮助联盟成员升级建筑（单独帮助和全部帮助）,
127,28_SPX_Delete,新增：通用删除道具音效和删除悬赏音效,
128,30_SPX_Task_Reset,新增：通用重置任务音效（目标界面）,
129,31_SPX_Equipment_Best,新增：点击装备优化按钮,
130,32_SPX_Message_Button,新增：通用点击查看信息和介绍按钮音效（倒感叹号形状）,
131,38_SPX_Item_Receive,新增：获得物品通用音效（获得奖励金条；获得图纸；获得各类物品奖励；抽奖；雇佣英雄和工匠等）,
132,39_SPX_HighQualityHeros_Hire,新增：1、雇佣SR及以上英雄2、每周联盟勋章获得音效,
133,40_SPX_Equipment_Fix,新增：修理道具音效,
134,41_SPX_Recharge_Button,新增：点击开通会员和充值按钮,
135,46_SPX_Customer_Advice,新增：顾客界面点击建议按钮,
136,47_SPX_CustomerChat_Success,新增：1、顾客界面，点击闲聊成功音效2、点击加成收益按钮3、顾客观赏家具和宠物获得能量音效,
137,48_SPX_CustomerChat_Fault,新增：顾客界面，点击闲聊失败音效,
138,49_SPX_Customer_reject,新增：顾客界面，点击拒绝按钮,
139,51_SPX_GoldBars,新增：获得和花费金条通用音效,
140,52_SPX_Shop_Extension,新增：点击扩建店铺音效,
141,53_SPX_Shop_Return_Click,新增：点击返回商店按钮,
142,54_SPX_City_Click,新增：点击前往城市按钮,
143,55_SPX_Building_Click,新增：点击建筑物音效,
144,56_Guild_Money,新增：获得和花费联盟币,
145,58_DogBark_1,新增：点击宠物小家家具声效,
146,59_DogBark_2,新增：喂食成功声效,
147,60_PopUp,,
148,SFX_daziji,字幕打字机的效果,
149,SFX_ready_to_fight,新增：副本出战短曲,
150,SFX_gold_shoumai,新增：点击买卖售卖按钮,
151,SFX_gold_shoudao,新增：收到新币声音（动画飞到新币初）,
200,SFX_buqiang,新增：步枪开枪声,
201,SFX_dunqi,新增：钝器攻击声,
202,SFX_gongjian,新增：弓箭射箭声,
203,SFX_liren,新增：利刃攻击声,
204,SFX_shouqiang,新增：手枪开枪声,
205,SFX_xiandanqiang,新增：霰弹枪开枪声,
206,SFX_zhongwuqi,新增：重机枪开枪声,
207,SFX_jujiqiang,新增：狙击枪开枪声,
208,SFX_sangshi,新增：丧尸怪攻击声,
209,SFX_BOSS,新增：丧尸BOSS攻击声,
300,SFX_duye_hit,新增：毒液受击声,
301,SFX_liren_hit,新增：利刃受击声,
302,SFX_dunqi_hit,新增：钝器/弓箭受击声,
303,SFX_xiandanqiang_hit,新增：霰弹枪受击声,
304,,新增：手枪受击声,
305,SFX_jujiqiang_hit,新增：狙击枪受击声,
306,SFX_jiqiang_hit,新增：重武器/步枪受击声,
