index,id,equip_type,skill_atlas,skill_icon,skill_name,display_type,speed,speed_effect,shift_target,if_group,anger_skill_prepare_effect_id,anger_skill_prepare_audio_id,anger_skill_prepare_next_time,anger_skill_prepare_life_time,effect_trigger_time,skill_attack_effect_id,skill_attack_audio,skill_attack_bullet,skill_attack_bullet_if_through,skill_attack_bullet_next_time,skill_attack_trigger_effect_id,trajectory,skill_attack_trigger_audio,skill_attack_trigger_next_time,skill_attack_hit_effect_id,skill_attack_hit_audio
151,10005,6,heroSkill_atlas,skill_10001,重武器类普通攻击,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
152,10005,7,heroSkill_atlas,skill_10001,狙击枪类普通攻击,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
153,10005,8,heroSkill_atlas,skill_10001,霰弹枪类普通攻击,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
154,10021,11,heroSkill_atlas,skill_10001,空手普通攻击,0,1,,10,0,,,,,,6001,201,,0,,,,,,6101,302
155,10021,1,heroSkill_atlas,skill_10001,利刃类普通攻击,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
156,10021,2,heroSkill_atlas,skill_10001,钝器类普通攻击,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
157,10021,3,heroSkill_atlas,skill_10001,弓弩类普通攻击,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
158,10021,4,heroSkill_atlas,skill_10001,手枪类类普通攻击,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
159,10021,5,heroSkill_atlas,skill_10001,步枪类普通攻击,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
160,10021,6,heroSkill_atlas,skill_10001,重武器类普通攻击,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
161,10021,7,heroSkill_atlas,skill_10001,狙击枪类普通攻击,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
162,10021,8,heroSkill_atlas,skill_10001,霰弹枪类普通攻击,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
163,10007,11,heroSkill_atlas,skill_10001,空手普通攻击,0,1,,10,0,,,,,,6001,201,,0,,,,,,6101,302
164,10007,1,heroSkill_atlas,skill_10001,利刃类普通攻击,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
165,10007,2,heroSkill_atlas,skill_10001,钝器类普通攻击,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
166,10007,3,heroSkill_atlas,skill_10001,弓弩类普通攻击,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
167,10007,4,heroSkill_atlas,skill_10001,手枪类类普通攻击,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
168,10007,5,heroSkill_atlas,skill_10001,步枪类普通攻击,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
169,10007,6,heroSkill_atlas,skill_10001,重武器类普通攻击,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
170,10007,7,heroSkill_atlas,skill_10001,狙击枪类普通攻击,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
171,10007,8,heroSkill_atlas,skill_10001,霰弹枪类普通攻击,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
172,10006,11,heroSkill_atlas,skill_10001,空手普通攻击,0,1,,10,0,,,,,,6001,201,,0,,,,,,6101,302
173,10006,1,heroSkill_atlas,skill_10001,利刃类普通攻击,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
174,10006,2,heroSkill_atlas,skill_10001,钝器类普通攻击,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
175,10006,3,heroSkill_atlas,skill_10001,弓弩类普通攻击,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
176,10006,4,heroSkill_atlas,skill_10001,手枪类类普通攻击,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
177,10006,5,heroSkill_atlas,skill_10001,步枪类普通攻击,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
178,10006,6,heroSkill_atlas,skill_10001,重武器类普通攻击,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
179,10006,7,heroSkill_atlas,skill_10001,狙击枪类普通攻击,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
180,10006,8,heroSkill_atlas,skill_10001,霰弹枪类普通攻击,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
800,10008,1,heroSkill_atlas,skill_10008,人形怪利刃普攻,0,1,,10,0,,,,,,2002,45,,0,,,,,,2001,
801,10008,2,heroSkill_atlas,skill_10008,人形怪钝器普攻,0,1,,10,0,,,,,,2003,46,,0,,,,,,2001,
802,10008,3,heroSkill_atlas,skill_10008,怪物弓弩类普通攻击,1,0,,10,0,,,,,,2018,47,2006,0,,,,,,2101,
803,10008,4,heroSkill_atlas,skill_10008,人形怪手枪普攻,1,0,,10,0,,,,,,2029,48,2017,0,,,,,,2101,
804,10008,5,heroSkill_atlas,skill_10008,怪物重武器类普通攻击,1,0,,10,0,,,,,,2036,48,2035,0,,,,,,2001,
805,10008,6,heroSkill_atlas,skill_10008,怪物重武器类普通攻击,1,0,,10,0,,,,,,2046,49,2035,0,,,,,,2101,
806,10008,7,heroSkill_atlas,skill_10008,怪物重武器类普通攻击,1,0,,10,0,,,,,,2036,49,2035,0,,,,,,2001,
807,10008,8,heroSkill_atlas,skill_10008,怪物重武器类普通攻击,1,0,,10,0,,,,,,2046,49,2035,0,,,,,,2101,
808,10008,9,heroSkill_atlas,skill_10008,boss普通攻击,0,1,,10,0,,,,,,,45,,0,,,,,,2034,
809,10008,10,heroSkill_atlas,skill_10008,僵尸怪普通攻击,0,1,,10,0,,,,,,,45,,0,,,,,,2125,
900,10009,1,heroSkill_atlas,skill_10009,怪物利刃类普通攻击,0,1,,10,0,,,,,,2102,45,,0,,,,,,2001,
901,10009,2,heroSkill_atlas,skill_10009,怪物钝器类普通攻击,0,1,,10,0,,,,,,2103,46,,0,,,,,,2001,
902,10009,3,heroSkill_atlas,skill_10009,怪物弓弩类普通攻击,1,0,,10,0,,,,,,2018,47,2006,0,,,,,,2101,
903,10009,4,heroSkill_atlas,skill_10009,怪物手枪类类普通攻击,1,0,,10,0,,,,,,2129,48,2017,0,,,,,,2001,
904,10009,5,heroSkill_atlas,skill_10009,怪物重武器类普通攻击,1,0,,10,0,,,,,,2046,48,2035,0,,,,,,2101,
905,10009,6,heroSkill_atlas,skill_10009,怪物重武器类普通攻击,1,0,,10,0,,,,,,2036,49,2035,0,,,,,,2001,
906,10009,7,heroSkill_atlas,skill_10009,怪物重武器类普通攻击,1,0,,10,0,,,,,,2046,49,2035,0,,,,,,2101,
907,10009,8,heroSkill_atlas,skill_10009,怪物重武器类普通攻击,1,0,,10,0,,,,,,2036,49,2035,0,,,,,,2001,
908,10009,9,heroSkill_atlas,skill_10009,boss普通攻击,0,1,,10,0,,,,,,,45,,0,,,,,,2034,
909,10009,10,heroSkill_atlas,skill_10009,僵尸怪普通攻击,0,1,,10,0,,,,,,,45,,0,,,,,,2125,
920,11001,1,heroSkill_atlas,skill_10001,人形怪利刃普攻,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
921,11001,2,heroSkill_atlas,skill_10001,人形怪钝器普攻,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
922,11001,3,heroSkill_atlas,skill_10001,人形怪弓弩普攻,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
923,11001,4,heroSkill_atlas,skill_10001,人形怪手枪类普攻,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
924,11001,5,heroSkill_atlas,skill_10001,人形怪步枪普攻,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
925,11001,6,heroSkill_atlas,skill_10001,人形怪重武器普攻,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
926,11001,7,heroSkill_atlas,skill_10001,人形怪狙击枪普攻,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
927,11001,8,heroSkill_atlas,skill_10001,人形怪霰弹枪普攻,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
928,11002,1,heroSkill_atlas,skill_10001,人形怪利刃普攻,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
929,11002,2,heroSkill_atlas,skill_10001,人形怪钝器普攻,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
930,11002,3,heroSkill_atlas,skill_10001,人形怪弓弩普攻,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
931,11002,4,heroSkill_atlas,skill_10001,人形怪手枪类普攻,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
932,11002,5,heroSkill_atlas,skill_10001,人形怪步枪普攻,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
933,11002,6,heroSkill_atlas,skill_10001,人形怪重武器普攻,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
934,11002,7,heroSkill_atlas,skill_10001,人形怪狙击枪普攻,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
935,11002,8,heroSkill_atlas,skill_10001,人形怪霰弹枪普攻,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
936,11003,1,heroSkill_atlas,skill_10001,人形怪利刃普攻,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
937,11003,2,heroSkill_atlas,skill_10001,人形怪钝器普攻,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
938,11003,3,heroSkill_atlas,skill_10001,人形怪弓弩普攻,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
939,11003,4,heroSkill_atlas,skill_10001,人形怪手枪类普攻,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
940,11003,5,heroSkill_atlas,skill_10001,人形怪步枪普攻,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
941,11003,6,heroSkill_atlas,skill_10001,人形怪重武器普攻,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
942,11003,7,heroSkill_atlas,skill_10001,人形怪狙击枪普攻,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
943,11003,8,heroSkill_atlas,skill_10001,人形怪霰弹枪普攻,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
944,11004,1,heroSkill_atlas,skill_10001,人形怪利刃普攻,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
945,11004,2,heroSkill_atlas,skill_10001,人形怪钝器普攻,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
946,11004,3,heroSkill_atlas,skill_10001,人形怪弓弩普攻,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
947,11004,4,heroSkill_atlas,skill_10001,人形怪手枪类普攻,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
948,11004,5,heroSkill_atlas,skill_10001,人形怪步枪普攻,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
949,11004,6,heroSkill_atlas,skill_10001,人形怪重武器普攻,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
950,11004,7,heroSkill_atlas,skill_10001,人形怪狙击枪普攻,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
951,11004,8,heroSkill_atlas,skill_10001,人形怪霰弹枪普攻,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
952,11005,1,heroSkill_atlas,skill_10001,人形怪利刃普攻,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
953,11005,2,heroSkill_atlas,skill_10001,人形怪钝器普攻,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
954,11005,3,heroSkill_atlas,skill_10001,人形怪弓弩普攻,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
955,11005,4,heroSkill_atlas,skill_10001,人形怪手枪类普攻,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
956,11005,5,heroSkill_atlas,skill_10001,人形怪步枪普攻,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
957,11005,6,heroSkill_atlas,skill_10001,人形怪重武器普攻,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
958,11005,7,heroSkill_atlas,skill_10001,人形怪狙击枪普攻,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
959,11005,8,heroSkill_atlas,skill_10001,人形怪霰弹枪普攻,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
960,11006,1,heroSkill_atlas,skill_10001,人形怪利刃普攻,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
961,11006,2,heroSkill_atlas,skill_10001,人形怪钝器普攻,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
962,11006,3,heroSkill_atlas,skill_10001,人形怪弓弩普攻,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
963,11006,4,heroSkill_atlas,skill_10001,人形怪手枪类普攻,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
964,11006,5,heroSkill_atlas,skill_10001,人形怪步枪普攻,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
965,11006,6,heroSkill_atlas,skill_10001,人形怪重武器普攻,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
966,11006,7,heroSkill_atlas,skill_10001,人形怪狙击枪普攻,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
967,11006,8,heroSkill_atlas,skill_10001,人形怪霰弹枪普攻,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
968,11007,1,heroSkill_atlas,skill_10001,人形怪利刃普攻,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
969,11007,2,heroSkill_atlas,skill_10001,人形怪钝器普攻,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
970,11007,3,heroSkill_atlas,skill_10001,人形怪弓弩普攻,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
971,11007,4,heroSkill_atlas,skill_10001,人形怪手枪类普攻,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
972,11007,5,heroSkill_atlas,skill_10001,人形怪步枪普攻,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
973,11007,6,heroSkill_atlas,skill_10001,人形怪重武器普攻,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
974,11007,7,heroSkill_atlas,skill_10001,人形怪狙击枪普攻,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
975,11007,8,heroSkill_atlas,skill_10001,人形怪霰弹枪普攻,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
976,11008,1,heroSkill_atlas,skill_10001,人形怪利刃普攻,0,1,,10,0,,,,,,6002,203,,0,,,,,,6102,301
977,11008,2,heroSkill_atlas,skill_10001,人形怪钝器普攻,0,1,,10,0,,,,,,6003,201,,0,,,,,,6103,302
978,11008,3,heroSkill_atlas,skill_10001,人形怪弓弩普攻,1,0,,10,0,,,,,,6004,202,,0,,,,,,6104,302
979,11008,4,heroSkill_atlas,skill_10001,人形怪手枪类普攻,1,0,,10,0,,,,,,6005,204,,0,,,,,,6105,304
980,11008,5,heroSkill_atlas,skill_10001,人形怪步枪普攻,1,0,,10,0,,,,,,6006,200,,0,,,,,,6106,306
981,11008,6,heroSkill_atlas,skill_10001,人形怪重武器普攻,1,0,,10,0,,,,,,6009,206,,0,,,,,,6109,306
982,11008,7,heroSkill_atlas,skill_10001,人形怪狙击枪普攻,1,0,,10,0,,,,,,6008,207,,0,,,,,,6108,305
983,11008,8,heroSkill_atlas,skill_10001,人形怪霰弹枪普攻,1,0,,10,0,,,,,,6007,205,,0,,,,,,6107,303
1001,10011,10,heroSkill_atlas,skill_10009,活死人僵尸怪普攻,0,1,,10,0,,,,,,6201,208,,0,,,,,,2001,301
1002,10012,9,heroSkill_atlas,skill_10009,boss荆棘失控者普攻,0,1,,10,0,,,,,,6202,209,,0,,,,,,2001,301
1003,10013,2,heroSkill_atlas,skill_10009,精英怪物钝器远程群攻,1,0,,8,1,,,,,,6003,201,,1,,,,,,2001,302
1004,10014,4,heroSkill_atlas,skill_10009,人形怪手枪远程群攻,1,0,,8,1,3017,,800,1000,,6005,204,,1,,2032,,,200,2001,304
1005,10015,2,heroSkill_atlas,skill_10009,BOSS怪物钝器远程群攻,1,0,,8,1,,,,,,6003,201,,1,,,,,,2001,302
1006,10016,4,heroSkill_atlas,skill_10009,BOSS手枪远程群攻,1,0,,8,1,3017,,800,1000,,6005,204,,1,,2032,,,200,2001,304
1007,10017,10,heroSkill_atlas,skill_10009,僵尸怪群体攻击,0,1,,8,1,,,,,,6203,208,,1,,2031,,,,6204,300
1008,10018,9,heroSkill_atlas,skill_10009,僵尸BOSS怪远程群攻,1,0,,8,1,3017,,800,1000,,6203,209,,1,,2031,,,200,6204,300
1003,10019,1,heroSkill_atlas,skill_10009,精英怪物利刃远程群攻,1,0,,8,1,,,,,,6002,203,,1,,,,,,2001,302
1005,10020,1,heroSkill_atlas,skill_10009,BOSS怪物钝器远程群攻,1,0,,8,1,,,,,,6003,201,,1,,2042,,,200,2001,302
1024,210104,1,heroSkill_atlas,skill_210104,守护屏障,1,0,,0,1,3017,,,1000,,6002,203,,0,,,,,,6102,301
1025,210104,2,heroSkill_atlas,skill_210104,守护屏障,1,0,,0,1,3017,,,1000,,6003,201,,0,,,,,,6103,302
1026,210104,3,heroSkill_atlas,skill_210104,守护屏障,1,0,,0,1,3017,,,1000,,6004,202,,0,,,,,,6104,302
1027,210104,4,heroSkill_atlas,skill_210104,守护屏障,1,0,,0,1,3017,,,1000,,6005,204,,0,,,,,,6105,304
1028,210104,5,heroSkill_atlas,skill_210104,守护屏障,1,0,,0,1,3017,,,1000,,6006,200,,0,,,,,,6106,306
1029,210104,6,heroSkill_atlas,skill_210104,守护屏障,1,0,,0,1,3017,,,1000,,6009,206,,0,,,,,,6109,306
1030,210104,7,heroSkill_atlas,skill_210104,守护屏障,1,0,,0,1,3017,,,1000,,6008,207,,0,,,,,,6108,305
1031,210104,8,heroSkill_atlas,skill_210104,守护屏障,1,0,,0,1,3017,,,1000,,6007,205,,0,,,,,,6107,303
1032,210104,11,heroSkill_atlas,skill_210104,守护屏障,1,0,,0,1,3017,,,1000,,6001,201,,0,,,,,,6101,302
1033,210104,10,heroSkill_atlas,skill_210104,守护屏障,1,0,,0,1,3017,,,1000,,6201,208,,0,,,,,,2001,301
1034,210104,9,heroSkill_atlas,skill_210104,守护屏障,1,0,,0,1,3017,,,1000,,6201,208,,0,,,,,,2001,301
1035,210107,1,heroSkill_atlas,skill_210107,校准,1,0,,0,1,3017,,,1000,,6002,203,,0,,,,,,6102,301
1036,210107,2,heroSkill_atlas,skill_210107,校准,1,0,,0,1,3017,,,1000,,6003,201,,0,,,,,,6103,302
1037,210107,3,heroSkill_atlas,skill_210107,校准,1,0,,0,1,3017,,,1000,,6004,202,,0,,,,,,6104,302
1038,210107,4,heroSkill_atlas,skill_210107,校准,1,0,,0,1,3017,,,1000,,6005,204,,0,,,,,,6105,304
1039,210107,5,heroSkill_atlas,skill_210107,校准,1,0,,0,1,3017,,,1000,,6006,200,,0,,,,,,6106,306
1040,210107,6,heroSkill_atlas,skill_210107,校准,1,0,,0,1,3017,,,1000,,6009,206,,0,,,,,,6109,306
