id,name,atlas,big_icon,icon,icon_shelf,type,sub_type,desc,sort,level,unlock_show_type,unlock_show_val,unlock_type,unlock_val_01,unlock_val_02,unlock_dec,activate_drawing,artisan_id,artisan_lv,production_artisan_exp,speed_up_energy,make_integral,speed_up_diamond,production_time,material_id,material_num,delete_material_id,delete_material_num,component1_type,component1_id,component1_num,component2_type,component2_id,component2_num,progress1_reward_type,progress1_reward_id,progress1_reward_val,progress1_exp,progress1_dec,progress1_blueprint,progress2_reward_type,progress2_reward_id,progress2_reward_val,progress2_exp,progress2_dec,progress2_blueprint,progress3_reward_type,progress3_reward_id,progress3_reward_val,progress3_exp,progress3_dec,progress3_blueprint,progress4_reward_type,progress4_reward_id,progress4_reward_val,progress4_exp,progress4_dec,progress4_blueprint,progress5_reward_type,progress5_reward_id,progress5_reward_val,progress5_exp,progress5_dec,progress5_blueprint,star1_reward_type,star1_reward_id,star1_reward_val,star1_item_num,star1__dec,star2_reward_type,star2_reward_id,star2_reward_val,star2_item_num,star2__dec,star3_reward_type,star3_reward_id,star3_reward_val,star3_item_num,star3__dec
v:number,v:string,v:string,v:string,v:string,v:string,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:number,list:number,list:number,v:number,v:number,v:number,v:number,v:number,list:number,list:number,list:number,list:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:string
装备ID,装备类别名称,图集,大图标url,UI对应图标,货架对应图标,大类别,小类别,装备说明,序号,等级,前端显示解锁条件类型:1-获得指定员工解锁，2-制作指定装备达到X数量解锁，3-宝箱获得，4-转盘获得，5-七日目标完成获得，6-礼包获得,前端显示解锁条件,解锁类型:1-获得指定员工解锁，2-制作指定装备达到X数量解锁，3-通过获得图纸解锁,解锁条件1,解锁条件2,解锁说明文字,激活消耗图纸数量,所需员工ID,所需员工等级,制造工匠获得经验,加速能量与时间兑换比例1能量=X秒(改为总消耗能量),巧匠大赛积分,加速消耗钻石(已废弃，改用公式计算),制作时间-秒,消耗材料ID,消耗材料数量,删除返回材料ID,删除返回材料数量,消耗配件1类型,消耗配件1id,消耗配件1数量,消耗配件2类型,消耗配件2id,消耗配件2数量,物品进度1奖励_类型,物品进度1奖励_id,物品进度1奖励_效果值,物品进度1_制作数量,物品进度1_文字说明,物品进度1_奖励图纸数量,物品进度2奖励_类型,物品进度2奖励_id,物品进度2奖励_效果值,物品进度2_制作数量,物品进度2_文字说明,物品进度2_奖励图纸数量,物品进度3奖励_类型,物品进度3奖励_id,物品进度3奖励_效果值,物品进度3_制作数量,物品进度3_文字说明,物品进度3_奖励图纸数量,物品进度4奖励_类型,物品进度4奖励_id,物品进度4奖励_效果值,物品进度4_制作数量,物品进度4_文字说明,物品进度4_奖励图纸数量,物品进度5奖励_类型,物品进度5奖励_id,物品进度5奖励_效果值,物品进度5_制作数量,物品进度5_文字说明,物品进度5_奖励图纸数量,升星1奖励_类型,升星1奖励_id,升星1奖励_效果值（触发概率=X/10000）,升星1_需要材料数量,升星1_文字说明,升星2奖励_类型,升星2奖励_id,升星2奖励_效果值（触发概率=X/10000）,升星2_需要材料数量,升星2_文字说明,升星3奖励_类型,升星3奖励_id,升星3奖励_效果值（触发概率=X/10000）,升星3_需要材料数量,升星3_文字说明
1150,战术匕首,Equip_Icon01_atlas,icon_1150,icon_1150,icon_1150,1,1,用于战场上搏杀的锋利匕首。,15,2,6,-1,3,161150,1,通过购买礼包获得,0,1,2,10,48,14,,72,20001,11,20001,1,,,,,,,4,0,25,6,制作耗时,1,5,0,125,16,售价提升,1,4,0,25,28,制作耗时,1,8,0,2,45,高品质概率,1,8,0,3,75,高品质概率,1,1,0,1000,10,成本回溯|有几率返还100%材料,2,0,500,20,双倍快乐|有几率制作暴击X2件,3,0,2,40,超凡制作|有几率制作出超凡装备
1040,反曲刀,Equip_Icon01_atlas,icon_1040,icon_1040,icon_1040,1,1,造型曲线很漂亮的刀，实用性也还不错！,4,3,3,2,3,161040,1,开启军用补给箱获得,0,1,3,26,90,21,13,200,20001:20002,16:4,20001:20002,1:1,2,30001,2,,,,5,0,125,7,售价提升,1,1,20001,4,18,资源节省,1,4,0,25,32,制作耗时,1,8,0,2,50,高品质概率,1,8,0,3,80,高品质概率,1,1,0,1000,15,成本回溯|有几率返还100%材料,2,0,500,30,双倍快乐|有几率制作暴击X2件,3,0,2,60,超凡制作|有几率制作出超凡装备
1160,源氏刃,Equip_Icon01_atlas,icon_1160,icon_1160,icon_1160,1,1,传说中源氏使用的利刃，无比锋利！,16,6,6,-1,3,161160,1,通过参与活动获得,0,1:7,15:1,263,515,296,,3600,20001:20005,113:29,20001:20005,11:2,2,30010,4,2,30006,4,4,0,25,10,制作耗时,1,1,20001,25,24,资源节省,1,5,0,125,44,售价提升,1,1,20005,6,70,资源节省,1,8,0,2,110,高品质概率,1,1,0,1000,30,成本回溯|有几率返还100%材料,2,0,500,60,双倍快乐|有几率制作暴击X2件,3,0,2,120,超凡制作|有几率制作出超凡装备
1170,鬼头镰刀,Equip_Icon02_atlas,icon_1170,icon_1170,icon_1170,1,1,这把镰刀可不是用来割草的，而是用来...,17,7,4,-1,3,161170,1,通过参与活动获得,0,1:7,17:13,330,620,498,14,6500,20001:20005:20008,160:45:18,20001:20005:20008,16:4:1,2,30015,4,,,,4,0,25,10,制作耗时,1,1,20001,30,24,资源节省,1,2,30015,1,50,节约配件,1,5,0,125,80,售价提升,1,8,0,2,120,高品质概率,1,1,0,1000,35,成本回溯|有几率返还100%材料,2,0,500,70,双倍快乐|有几率制作暴击X2件,3,0,2,140,超凡制作|有几率制作出超凡装备
1100,铝合金斧,Equip_Icon02_atlas,equip_liren,equip_liren,equip_liren,1,1,铝合金的斧头，有着与他沉重外形不匹配的重量,10,8,4,-1,3,161100,1,幸运转盘获得,0,1:7,22:18,533,925,981,13,16200,20001:20005:20009,214:57:6,20001:20005:20009,21:5:1,2,30017,4,2,30012,7,4,0,25,11,制作耗时,1,1,20001,45,28,资源节省,1,5,0,125,50,售价提升,1,1,20005,11,80,资源节省,1,8,0,2,125,高品质概率,1,1,0,1000,40,成本回溯|有几率返还100%材料,2,0,500,80,双倍快乐|有几率制作暴击X2件,3,0,2,160,超凡制作|有几率制作出超凡装备
1110,钛合金斧,Equip_Icon01_atlas,icon_1110,icon_1110,icon_1110,1,1,钛合金斧头，满满的科技感的同时也有着满满的威力,11,8,3,-1,3,161110,1,开启无畏宝箱获得,0,1:7,23:19,585,995,1146,13,19200,20001:20005:20010,229:62:8,20001:20005:20010,22:6:1,2,30016,3,2,30018,4,4,0,25,11,制作耗时,1,1,20001,50,28,资源节省,1,5,0,125,50,售价提升,1,1,20005,12,80,资源节省,1,8,0,2,125,高品质概率,1,1,0,1000,40,成本回溯|有几率返还100%材料,2,0,500,80,双倍快乐|有几率制作暴击X2件,3,0,2,160,超凡制作|有几率制作出超凡装备
1140,切割之刃,Equip_Icon02_atlas,equip_liren,equip_liren,equip_liren,1,1,锋利的刀刃是它的外表，残忍无情是它的内心,14,10,4,-1,3,161140,1,幸运转盘获得,0,1:7,28:24,848,2480,2352,13,34800,20001:20005:20010,306:87:19,20001:20005:20010,30:8:1,2,30022,5,2,30017,6,4,0,20,12,制作耗时,1,1,20001,65,28,资源节省,1,5,0,125,50,售价提升,1,1,20005,16,80,资源节省,1,8,0,2,125,高品质概率,1,1,0,1000,50,成本回溯|有几率返还100%材料,2,0,500,100,双倍快乐|有几率制作暴击X2件,3,0,2,200,超凡制作|有几率制作出超凡装备
1180,金伯利彩刃,Equip_Icon02_atlas,icon_1180,icon_1180,icon_1180,1,1,刀的强度和韧度在彩钻的加持下到达了新高度,18,5,3,-1,3,161180,1,开启奇兵宝箱获得,0,1:7,11:1,143,335,103,13,1800,20001:20005,65:13,20001:20005,6:1,2,30008,2,2,30051,3,4,0,25,8,制作耗时,1,1,20001,12,20,资源节省,1,2,30051,1,36,节约配件,1,5,0,125,55,售价提升,1,8,0,2,85,高品质概率,1,1,0,1000,25,成本回溯|有几率返还100%材料,2,0,500,50,双倍快乐|有几率制作暴击X2件,3,0,2,100,超凡制作|有几率制作出超凡装备
2010,粗壮树干,Equip_Icon01_atlas,icon_2010,icon_2010,icon_2010,1,2,坚硬实用且易于加工的武器,1,1,1,2,1,2,1,获得工人约翰后解锁,0,2,1,2,15,1,11,15,20002,5,20002,1,,,,,,,7,3010,1,7,解锁图纸,1,7,2020,1,18,解锁图纸,1,5,0,150,32,售价提升,1,8,0,2,55,高品质概率,1,8,0,3,85,高品质概率,1,1,0,1000,5,成本回溯|有几率返还100%材料,2,0,500,10,双倍快乐|有几率制作暴击X2件,3,0,2,20,超凡制作|有几率制作出超凡装备
2020,铁丝球棍,Equip_Icon01_atlas,icon_2020,icon_2020,icon_2020,1,2,经过特别加工过后的装备，比普通的木棒更好用,2,2,2,2010,2,2010,18,制作粗壮树干达到X18可解锁,1,2,2,7,40,9,12,50,20002,8,20002,1,1,2011,1,,,,5,0,150,8,售价提升,1,7,2030,1,20,解锁图纸,1,4,0,25,36,制作耗时,1,8,0,2,55,高品质概率,1,8,0,3,85,高品质概率,1,1,0,1000,10,成本回溯|有几率返还100%材料,2,0,500,20,双倍快乐|有几率制作暴击X2件,3,0,2,40,超凡制作|有几率制作出超凡装备
2030,火把,Equip_Icon01_atlas,icon_2030,icon_2030,icon_2030,1,2,携带方便，晚上还能驱散黑暗,3,3,2,2020,2,2020,20,制作铁丝球棍达到X20可解锁,3,2,2,18,70,15,13,140,20002,13,20002,1,2,30001,2,,,,5,0,150,7,售价提升,1,7,2040,1,18,解锁图纸,1,4,0,25,32,制作耗时,1,1,20002,3,50,资源节省,1,8,0,2,80,高品质概率,1,1,0,1000,15,成本回溯|有几率返还100%材料,2,0,500,30,双倍快乐|有几率制作暴击X2件,3,0,2,60,超凡制作|有几率制作出超凡装备
2040,灭火器,Equip_Icon01_atlas,icon_2040,icon_2040,icon_2040,1,2,据说有喷气装置，可以破坏所有防御，但是应该已经是空瓶子了,4,4,2,2030,2,2030,18,制作火把达到X18可解锁,7,2,5,47,135,24,13,360,20002:20001,19:5,20002:20001,2:1,2,30004,3,,,,5,0,125,8,售价提升,1,4,0,25,20,制作耗时,1,7,2060,1,36,解锁图纸,1,1,20002,6,55,资源节省,1,8,0,2,85,高品质概率,1,1,0,1000,20,成本回溯|有几率返还100%材料,2,0,500,40,双倍快乐|有几率制作暴击X2件,3,0,2,80,超凡制作|有几率制作出超凡装备
2060,钢棍,Equip_Icon01_atlas,icon_2060,icon_2060,icon_2060,1,2,沉重的铁棍，坚固是它的代名词,6,5,2,2040,2,2040,36,制作灭火器达到X36可解锁,10,2:4,9:1,110,260,57,13,990,20002:20006,37:7,20002:20006,4:1,2,30008,2,2,30002,4,4,0,25,8,制作耗时,1,1,20002,10,20,资源节省,1,7,2070,1,36,解锁图纸,1,5,0,125,55,售价提升,1,8,0,2,85,高品质概率,1,1,0,1000,25,成本回溯|有几率返还100%材料,2,0,500,50,双倍快乐|有几率制作暴击X2件,3,0,2,100,超凡制作|有几率制作出超凡装备
2070,警棍,Equip_Icon01_atlas,icon_2070,icon_2070,icon_2070,1,2,酷炫的铁棍，同时也有巨大的威慑力,7,6,2,2060,2,2060,36,制作钢棍达到X36可解锁,15,2:4,13:8,203,420,154,13,2400,20002:20006,77:19,20002:20006,9:2,2,30010,4,,,,4,0,25,9,制作耗时,1,1,20002,20,22,资源节省,1,7,2080,1,40,解锁图纸,1,5,0,125,60,售价提升,1,8,0,2,95,高品质概率,1,1,0,1000,30,成本回溯|有几率返还100%材料,2,0,500,60,双倍快乐|有几率制作暴击X2件,3,0,2,120,超凡制作|有几率制作出超凡装备
2080,战锤,Equip_Icon01_atlas,icon_2080,icon_2080,icon_2080,1,2,沉重的铁锤，碾压敌人,8,7,2,2070,2,2070,40,制作警棍达到X40可解锁,25,2:4,17:13,330,620,392,13,5400,20002:20006:20005,127:32:9,20002:20006:20005,14:1:3,1,2041,1,2,30013,4,4,0,25,10,制作耗时,1,1,20002,28,24,资源节省,1,7,2100,1,44,解锁图纸,1,5,0,125,70,售价提升,1,8,0,2,110,高品质概率,1,1,0,1000,35,成本回溯|有几率返还100%材料,2,0,500,70,双倍快乐|有几率制作暴击X2件,3,0,2,140,超凡制作|有几率制作出超凡装备
2100,电击棍,Equip_Icon01_atlas,icon_2100,icon_2100,icon_2100,1,2,高科技的产物，他能打击敌人也能麻痹敌人,10,8,2,2080,2,2080,44,制作战锤达到X44可解锁,35,2:4,22:18,533,925,771,13,16200,20002:20006:20009,192:51:6,20002:20006:20009,21:5:1,2,30017,5,2,30007,8,4,0,25,11,制作耗时,1,1,20002,43,28,资源节省,1,7,2110,1,50,解锁图纸,1,5,0,125,80,售价提升,1,8,0,2,125,高品质概率,1,1,0,1000,40,成本回溯|有几率返还100%材料,2,0,500,80,双倍快乐|有几率制作暴击X2件,3,0,2,160,超凡制作|有几率制作出超凡装备
2110,碎骨锤,Equip_Icon02_atlas,icon_2110,icon_2110,icon_2110,1,2,沉重的重量使它与强壮的英雄更加匹配,11,9,2,2100,2,2100,50,制作电击棍达到X50可解锁,45,2:4,24:20,630,1065,1048,13,16800,20002:20006:20009,219:60:10,20002:20006:20009,24:6:1,2,30019,4,2,30008,10,4,0,25,10,制作耗时,1,1,20002,49,26,资源节省,1,7,2130,1,46,解锁图纸,1,5,0,125,70,售价提升,1,8,0,2,110,高品质概率,1,1,0,1000,45,成本回溯|有几率返还100%材料,2,0,500,90,双倍快乐|有几率制作暴击X2件,3,0,2,180,超凡制作|有几率制作出超凡装备
2130,机械动力臂钉锤,Equip_Icon02_atlas,equip_dunqi,equip_dunqi,equip_dunqi,1,2,在机械动力的加持下，钉锤能直接击碎敌人的骨头,13,10,2,2110,2,2110,46,制作碎骨锤达到X46可解锁,60,2:4,27:23,795,2335,1625,13,29400,20002:20006:20009,261:74:17,20002:20006:20009,29:8:2,2,30022,5,2,30016,5,4,0,20,10,制作耗时,1,1,20002,58,26,资源节省,1,5,0,125,46,售价提升,1,1,20006,16,70,资源节省,1,8,0,2,110,高品质概率,1,1,0,1000,50,成本回溯|有几率返还100%材料,2,0,500,100,双倍快乐|有几率制作暴击X2件,3,0,2,200,超凡制作|有几率制作出超凡装备
2160,平底锅,Equip_Icon01_atlas,icon_2160,icon_2160,icon_2160,1,2,在展现你的厨艺之余，还能拍扁对方的脑袋,16,2,5,-1,3,162160,1,大亨之路第1天获得,0,2,2,11,55,13,,100,20002:20001,11:3,20002:20001,1:1,2,30001,2,,,,5,0,150,8,售价提升,1,1,20002,2,20,资源节省,1,2,30001,1,36,节约配件,1,4,0,25,55,制作耗时,1,8,0,2,85,高品质概率,1,1,0,1000,10,成本回溯|有几率返还100%材料,2,0,500,20,双倍快乐|有几率制作暴击X2件,3,0,2,40,超凡制作|有几率制作出超凡装备
2150,工兵铲,Equip_Icon01_atlas,icon_2150,icon_2150,icon_2150,1,2,用它对着丧尸的脖根那么来一下，他的脑袋就搬家了,15,3,6,-1,3,162150,1,通过购买礼包获得,0,2,3,26,90,18,,200,20002:20001,14:4,20002:20001,1:1,,,,,,,5,0,150,7,售价提升,1,4,0,25,18,制作耗时,1,1,20002,3,32,资源节省,1,1,20001,2,50,资源节省,1,8,0,2,80,高品质概率,1,1,0,1000,15,成本回溯|有几率返还100%材料,2,0,500,30,双倍快乐|有几率制作暴击X2件,3,0,2,60,超凡制作|有几率制作出超凡装备
2050,石锤,Equip_Icon01_atlas,icon_2050,icon_2050,icon_2050,1,2,镶嵌不知名石头的锤子，真的很重,5,4,3,2,3,162050,1,开启军用补给箱获得,0,2,6,59,165,34,14,480,20002:20001,23:6,20002:20001,3:1,2,30005,2,,,,5,0,125,8,售价提升,1,4,0,25,20,制作耗时,1,1,20002,7,36,资源节省,1,1,20001,2,55,资源节省,1,8,0,2,85,高品质概率,1,1,0,1000,20,成本回溯|有几率返还100%材料,2,0,500,40,双倍快乐|有几率制作暴击X2件,3,0,2,80,超凡制作|有几率制作出超凡装备
2090,页锤,Equip_Icon01_atlas,icon_2090,icon_2090,icon_2090,1,2,它是能彰显地位的权杖，也能击碎敌人的头颅,9,7,3,5,3,162090,1,开启胜利宝箱获得,0,2:4,18:14,450,675,444,14,7200,20002:20006,140:35,20002:20006,15:3,1,2041,1,2,30015,4,4,0,25,10,制作耗时,1,1,20002,31,24,资源节省,1,5,0,125,44,售价提升,1,2,30015,1,70,节约配件,1,8,0,2,110,高品质概率,1,1,0,1000,35,成本回溯|有几率返还100%材料,2,0,500,70,双倍快乐|有几率制作暴击X2件,3,0,2,140,超凡制作|有几率制作出超凡装备
2120,雷神锤,Equip_Icon02_atlas,icon_2120,icon_2120,icon_2120,1,2,在击中敌人的时候能释放强大的电流，造成更多伤害,12,9,5,-1,3,162120,1,开启合金宝箱获得,0,2:4,25:21,683,1140,1358,14,20400,20002:20006:20009,233:65:12,20002:20006:20009,23:6:1,2,30021,3,2,30015,5,4,0,25,10,制作耗时,1,1,20002,52,26,资源节省,1,5,0,125,46,售价提升,1,1,20006,14,70,资源节省,1,8,0,2,110,高品质概率,1,1,0,1000,45,成本回溯|有几率返还100%材料,2,0,500,90,双倍快乐|有几率制作暴击X2件,3,0,2,180,超凡制作|有几率制作出超凡装备
