id,day,type,type_des,type_atlas,type_icon,parameter_1,parameter_2,parameter_3,type_reward1,reward1,reward1_number,type_reward2,reward2,reward2_number,type_reward3,reward3,reward3_number
1204,2,20,增加制作槽至5,StaticIcon,icon_liren2,4,-1,-1,9,60001,1,-1,-1,-1,19,90001,10
1205,2,27,向顾客出售装备x{0},StaticIcon,icon_liren2,200,-1,-1,2,10002,10,-1,-1,-1,26,4024,1
1301,3,19,挑战街道废墟简单难度BOSSx1次,StaticIcon,icon_liren2,4,1,-1,1,10001,5000,-1,-1,-1,19,90002,10
1302,3,24,在市场出售装备x{0},StaticIcon,icon_liren2,1,-1,-1,19,90002,1,-1,-1,-1,19,90003,10
1303,3,14,招募{0}名英雄,StaticIcon,icon_liren2,4,-1,-1,24,130300,1,-1,-1,-1,19,90004,10
1304,3,8,提升柜台等级到3级,StaticIcon,icon_liren2,12001,3,-1,19,90001,1,-1,-1,-1,19,90001,10
1305,3,17,任意英雄穿戴{0}阶装备x{1},StaticIcon,icon_liren2,3,3,-1,2,10002,10,-1,-1,-1,17,140001,2
1401,4,8,提升铁矿箱至6级,StaticIcon,icon_liren2,17002,6,-1,6,30002,10,-1,-1,-1,19,90005,10
1402,4,13,提升伐木场等级到6,StaticIcon,icon_liren2,1100,6,-1,6,30003,10,-1,-1,-1,19,90006,10
1403,4,8,提升保险柜等级到3,StaticIcon,icon_liren2,31001,3,-1,19,90002,1,-1,-1,-1,19,90007,10
1404,4,6,提升{0}里程碑等级至精通,StaticIcon,icon_liren2,4020,-1,-1,17,140001,1,-1,-1,-1,19,90001,10
1405,4,27,向顾客出售装备x{0},StaticIcon,icon_liren2,300,-1,-1,2,10002,10,-1,-1,-1,26,10034,1
1501,5,4,制作UMP9冲锋枪以解锁{0},StaticIcon,icon_liren2,5060,-1,-1,6,30004,10,-1,-1,-1,19,90005,10
1502,5,26,成功完成探险x{0}次,StaticIcon,icon_liren2,25,-1,-1,6,30005,10,-1,-1,-1,19,90006,10
1503,5,17,任意英雄穿戴{0}阶装备x{1},StaticIcon,icon_liren2,3,6,-1,19,90001,1,-1,-1,-1,19,90007,10
1504,5,21,店主等级达到{0}级,StaticIcon,icon_liren2,23,-1,-1,22,130200,1,-1,-1,-1,19,90001,10
1505,5,22,开启任意宝箱x{0}个,StaticIcon,icon_liren2,5,-1,-1,2,10002,10,-1,-1,-1,17,140001,2
1601,6,19,挑战街道废墟正常难度BOSSx1次,StaticIcon,icon_liren2,5,1,-1,6,30006,10,-1,-1,-1,19,90008,10
1602,6,18,提升{0}探险等级到{1},StaticIcon,icon_liren2,2,9,-1,17,140001,1,-1,-1,-1,19,90009,10
1603,6,8,提升柜台等级到5级,StaticIcon,icon_liren2,12001,5,-1,19,90001,1,-1,-1,-1,19,90010,10
1604,6,6,提升{0}里程碑等级至精通,StaticIcon,icon_liren2,12030,-1,-1,22,130300,1,-1,-1,-1,19,90001,10
1605,6,1,出售装备赚取新币x{0},StaticIcon,icon_liren2,1000000,-1,-1,2,10002,10,-1,-1,-1,26,25034,1
1701,7,3,解锁任意装备x{0},StaticIcon,icon_liren2,45,-1,-1,19,90005,1,-1,-1,-1,19,90008,10
1702,7,9,扩建店铺等级至{0}级,StaticIcon,icon_liren2,4,-1,-1,17,140001,1,-1,-1,-1,19,90009,10
1703,7,21,店主等级达到{0}级,StaticIcon,icon_liren2,25,-1,-1,19,90008,1,-1,-1,-1,19,90010,10
1704,7,15,完成英雄转职x{0}次,StaticIcon,icon_liren2,1,-1,-1,22,130400,2,-1,-1,-1,19,90001,10
1705,7,27,向顾客出售装备x{0},StaticIcon,icon_liren2,1500,-1,-1,2,10002,10,-1,-1,-1,17,140001,2
