id,equipment_id,equipment_name,type,sort,sort_name,level,slot1_data,slot2_data,slot3_data,slot4_data,slot5_data,slot6_data,slot7_data,slot8_data,slot9_data,slot10_data,slot11_data,slot12_data
1127,4150,爆能手枪,1,4,icon_4150,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1128,4150,爆能手枪,1,4,icon_4150,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1129,4150,爆能手枪,1,4,icon_4150,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
1130,4090,闪雷电浆冲锋枪,1,4,icon_4090,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1131,4090,闪雷电浆冲锋枪,1,4,icon_4090,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1132,4090,闪雷电浆冲锋枪,1,4,icon_4090,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
1133,4100,小矮人射线手枪,1,4,icon_4100,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1134,4100,小矮人射线手枪,1,4,icon_4100,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1135,4100,小矮人射线手枪,1,4,icon_4100,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
1136,4160,南瓜手枪,1,4,icon_4160,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1137,4160,南瓜手枪,1,4,icon_4160,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1138,4160,南瓜手枪,1,4,icon_4160,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
1139,4110,溶解液短枪,1,4,icon_4110,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1140,4110,溶解液短枪,1,4,icon_4110,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1141,4110,溶解液短枪,1,4,icon_4110,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
1142,4170,多管燧发手枪,1,4,icon_4170,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1143,4170,多管燧发手枪,1,4,icon_4170,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1144,4170,多管燧发手枪,1,4,icon_4170,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
1145,4180,金伯利彩弹短枪,1,4,icon_4180,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1146,4180,金伯利彩弹短枪,1,4,icon_4180,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1147,4180,金伯利彩弹短枪,1,4,icon_4180,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
1200,5010,蒙德拉贡步枪,1,5,icon_5010,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1201,5010,蒙德拉贡步枪,1,5,icon_5010,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1202,5010,蒙德拉贡步枪,1,5,icon_5010,3,,,0.36:0.08899999:0.409:260,0.36:0.215:0.473:260,0.36:0.343:0.534:260,0.36:0.468:0.5980001:260,0.36:0.5839999:0.652:260,,,0.36:0.729:0.734:260,0.36:0.109:0.535:260,
1203,5020,UZI冲锋枪,1,5,icon_5020,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1204,5020,UZI冲锋枪,1,5,icon_5020,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1205,5020,UZI冲锋枪,1,5,icon_5020,3,,,0.36:0.072:0.406:260,0.36:0.1979998:0.4700002:260,0.36:0.3259998:0.5310002:260,0.36:0.4509998:0.5950003:260,0.36:0.5669997:0.6490002:260,,,0.36:0.7119998:0.7310002:260,0.36:0.082:0.549:260,
1206,5030,95式冲锋步枪,1,5,icon_5030,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1207,5030,95式冲锋步枪,1,5,icon_5030,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1208,5030,95式冲锋步枪,1,5,icon_5030,3,,,0.36:0.072:0.402:260,0.36:0.1979998:0.466:260,0.36:0.3259998:0.527:260,0.36:0.4509998:0.5910001:260,0.36:0.5669997:0.645:260,,,0.36:0.7119998:0.7270001:260,0.36:0.102:0.539:260,
1209,5040,汤姆逊冲锋枪,1,5,icon_5040,1,,,0.43:0.014:0.402:258,0.43:0.156:0.491:258,,,,,,,,
1210,5040,汤姆逊冲锋枪,1,5,icon_5040,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1211,5040,汤姆逊冲锋枪,1,5,icon_5040,3,,,0.36:0.058:0.405:260,0.36:0.1839999:0.4689998:260,0.36:0.3119999:0.5299998:260,0.36:0.4369999:0.5939999:260,0.36:0.5529998:0.6479998:260,,,0.36:0.6979998:0.7299998:260,0.36:0.082:0.548:260,
1212,5050,UMP9冲锋枪,1,5,icon_5050,1,,,0.43:0.026:0.402:258,0.43:0.1680001:0.491:258,,,,,,,,
1213,5050,UMP9冲锋枪,1,5,icon_5050,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1214,5050,UMP9冲锋枪,1,5,icon_5050,3,,,0.36:0.07:0.401:260,0.36:0.1959999:0.4650001:260,0.36:0.3239999:0.5260001:260,0.36:0.4489999:0.5900002:260,0.36:0.5649999:0.6440001:260,,,0.36:0.7099999:0.7260001:260,0.36:0.086:0.54:260,
1215,5060,AK47突击步枪,1,5,icon_5060,1,,,0.43:0.018:0.398:258,0.43:0.16:0.4869998:258,,,,,,,,
1216,5060,AK47突击步枪,1,5,icon_5060,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1217,5060,AK47突击步枪,1,5,icon_5060,3,,,0.36:0.074:0.405:260,0.36:0.1999999:0.4689998:260,0.36:0.3279999:0.5299998:260,0.36:0.4529999:0.5939999:260,0.36:0.5689998:0.6479998:260,,,0.36:0.7139999:0.7299998:260,0.36:0.102:0.536:260,
1218,5070,MP5冲锋枪,1,5,icon_5070,1,,,0.43:0.018:0.402:258,0.43:0.16:0.491:258,,,,,,,,
1219,5070,MP5冲锋枪,1,5,icon_5070,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1220,5070,MP5冲锋枪,1,5,icon_5070,3,,,0.36:0.078:0.405:260,0.36:0.2039998:0.4689998:260,0.36:0.3319998:0.5299998:260,0.36:0.4569998:0.5939999:260,0.36:0.5729998:0.6479998:260,,,0.36:0.7179998:0.7299998:260,0.36:0.086:0.544:260,
1221,5080,M416突击步枪,1,5,icon_5080,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1222,5080,M416突击步枪,1,5,icon_5080,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1223,5080,M416突击步枪,1,5,icon_5080,3,,,0.36:0.074:0.405:260,0.36:0.1999999:0.4689998:260,0.36:0.3279999:0.5299998:260,0.36:0.4529999:0.5939999:260,0.36:0.5689998:0.6479998:260,,,0.36:0.7139999:0.7299998:260,0.36:0.086:0.54:260,
1224,5090,塔沃夫突击步枪,1,5,icon_5090,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1225,5090,塔沃夫突击步枪,1,5,icon_5090,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1226,5090,塔沃夫突击步枪,1,5,icon_5090,3,,,0.36:0.09799981:0.3929997:260,0.36:0.224:0.457:260,0.36:0.3519998:0.5179997:260,0.36:0.4769998:0.5819998:260,0.36:0.5929998:0.6359997:260,,,0.36:0.7379998:0.7179998:260,0.36:0.098:0.544:260,
1227,5150,M4A1-S消音步枪,1,5,icon_5150,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1228,5150,M4A1-S消音步枪,1,5,icon_5150,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1229,5150,M4A1-S消音步枪,1,5,icon_5150,3,,,0.36:0.09799981:0.3929997:260,0.36:0.224:0.457:260,0.36:0.3519998:0.5179997:260,0.36:0.4769998:0.5819998:260,0.36:0.5929998:0.6359997:260,,,0.36:0.7379998:0.7179998:260,0.36:0.098:0.544:260,
1230,5100,G36C突击枪,1,5,icon_5100,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1231,5100,G36C突击枪,1,5,icon_5100,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1232,5100,G36C突击枪,1,5,icon_5100,3,,,0.36:0.09799981:0.3929997:260,0.36:0.224:0.457:260,0.36:0.3519998:0.5179997:260,0.36:0.4769998:0.5819998:260,0.36:0.5929998:0.6359997:260,,,0.36:0.7379998:0.7179998:260,0.36:0.098:0.544:260,
1233,5110,电弧突击步枪,1,5,icon_5110,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1234,5110,电弧突击步枪,1,5,icon_5110,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1235,5110,电弧突击步枪,1,5,icon_5110,3,,,0.36:0.09799981:0.3929997:260,0.36:0.224:0.457:260,0.36:0.3519998:0.5179997:260,0.36:0.4769998:0.5819998:260,0.36:0.5929998:0.6359997:260,,,0.36:0.7379998:0.7179998:260,0.36:0.098:0.544:260,
1236,5120,FAMAS突击枪,1,5,icon_5120,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1237,5120,FAMAS突击枪,1,5,icon_5120,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1238,5120,FAMAS突击枪,1,5,icon_5120,3,,,0.36:0.09799981:0.3929997:260,0.36:0.224:0.457:260,0.36:0.3519998:0.5179997:260,0.36:0.4769998:0.5819998:260,0.36:0.5929998:0.6359997:260,,,0.36:0.7379998:0.7179998:260,0.36:0.098:0.544:260,
1239,5130,电磁脉冲步枪,1,5,icon_5130,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1240,5130,电磁脉冲步枪,1,5,icon_5130,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1241,5130,电磁脉冲步枪,1,5,icon_5130,3,,,0.36:0.09799981:0.3929997:260,0.36:0.224:0.457:260,0.36:0.3519998:0.5179997:260,0.36:0.4769998:0.5819998:260,0.36:0.5929998:0.6359997:260,,,0.36:0.7379998:0.7179998:260,0.36:0.098:0.544:260,
1300,6010,雷明顿M870,1,8,icon_6010,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1301,6010,雷明顿M870,1,8,icon_6010,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1302,6010,雷明顿M870,1,8,icon_6010,3,,,0.36:0.086:0.403:260,0.36:0.218:0.463:260,0.36:0.356:0.534:260,0.36:0.459:0.588:260,0.36:0.562:0.649:260,,,0.36:0.704:0.709:260,0.36:0.081:0.527:260,
1303,6020,雷托霰弹枪,1,8,icon_6020,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1304,6020,雷托霰弹枪,1,8,icon_6020,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1305,6020,雷托霰弹枪,1,8,icon_6020,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.481:0.5980001:260,0.36:0.5969999:0.652:260,,,0.36:0.742:0.734:260,0.36:0.122:0.552:260,
1306,6030,590M霰弹枪,1,8,icon_6030,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1307,6030,590M霰弹枪,1,8,icon_6030,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1308,6030,590M霰弹枪,1,8,icon_6030,3,,,0.36:0.083:0.399:260,0.36:0.209:0.457:260,0.36:0.35:0.521:260,0.36:0.459:0.588:260,0.36:0.581:0.642:260,,,0.36:0.707:0.712:260,0.36:0.09:0.523:260,
1309,6040,KSG霰弹枪,1,8,icon_6040,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1310,6040,KSG霰弹枪,1,8,icon_6040,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1311,6040,KSG霰弹枪,1,8,icon_6040,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.481:0.5980001:260,0.36:0.5969999:0.652:260,,,0.36:0.742:0.734:260,0.36:0.122:0.552:260,
1312,6050,红点霰弹,1,8,icon_6050,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1313,6050,红点霰弹,1,8,icon_6050,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1314,6050,红点霰弹,1,8,icon_6050,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.481:0.5980001:260,0.36:0.5969999:0.652:260,,,0.36:0.742:0.734:260,0.36:0.122:0.552:260,
1315,6060,爆裂的三管霰弹枪,1,8,icon_6060,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1316,6060,爆裂的三管霰弹枪,1,8,icon_6060,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1317,6060,爆裂的三管霰弹枪,1,8,icon_6060,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.478:0.5980001:260,0.36:0.584:0.646:260,,,0.36:0.701:0.715:260,0.36:0.103:0.523:260,
1318,6070,聒噪之人连射霰弹枪,1,8,icon_6070,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1319,6070,聒噪之人连射霰弹枪,1,8,icon_6070,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1320,6070,聒噪之人连射霰弹枪,1,8,icon_6070,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.471:0.588:260,0.36:0.587:0.642:260,,,0.36:0.72:0.705:260,0.36:0.09:0.52:260,
1321,6080,九头蛇多管霰弹枪,1,8,icon_6080,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1322,6080,九头蛇多管霰弹枪,1,8,icon_6080,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1323,6080,九头蛇多管霰弹枪,1,8,icon_6080,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.481:0.5980001:260,0.36:0.5969999:0.652:260,,,0.36:0.742:0.734:260,0.36:0.122:0.552:260,
1324,6150,战术霰弹枪,1,8,icon_6150,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1325,6150,战术霰弹枪,1,8,icon_6150,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1326,6150,战术霰弹枪,1,8,icon_6150,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.481:0.5980001:260,0.36:0.5969999:0.652:260,,,0.36:0.742:0.734:260,0.36:0.122:0.552:260,
1327,6090,冻结之星霰弹枪,1,8,icon_6090,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1328,6090,冻结之星霰弹枪,1,8,icon_6090,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1329,6090,冻结之星霰弹枪,1,8,icon_6090,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.481:0.5980001:260,0.36:0.5969999:0.652:260,,,0.36:0.742:0.734:260,0.36:0.122:0.552:260,
1330,6100,眼镜蛇生化霰弹枪,1,8,icon_6100,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1331,6100,眼镜蛇生化霰弹枪,1,8,icon_6100,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1332,6100,眼镜蛇生化霰弹枪,1,8,icon_6100,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.481:0.5980001:260,0.36:0.5969999:0.652:260,,,0.36:0.742:0.734:260,0.36:0.122:0.552:260,
1333,6110,雷神霰弹枪,1,8,icon_6110,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1334,6110,雷神霰弹枪,1,8,icon_6110,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1335,6110,雷神霰弹枪,1,8,icon_6110,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.481:0.5980001:260,0.36:0.5969999:0.652:260,,,0.36:0.742:0.734:260,0.36:0.122:0.552:260,
1336,6120,灼烧霰弹枪,1,8,icon_6120,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1337,6120,灼烧霰弹枪,1,8,icon_6120,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1338,6120,灼烧霰弹枪,1,8,icon_6120,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.481:0.5980001:260,0.36:0.5969999:0.652:260,,,0.36:0.742:0.734:260,0.36:0.122:0.552:260,
1400,7010,M24狙击步枪,1,7,icon_7010,1,,,0.43:0.022:0.402:258,0.43:0.1640002:0.491:258,,,,,,,,
1401,7010,M24狙击步枪,1,7,icon_7010,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1402,7010,M24狙击步枪,1,7,icon_7010,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.471:0.585:260,0.36:0.594:0.642:260,,,0.36:0.71:0.709:260,0.36:0.093:0.517:260,
1403,7020,AWM狙击步枪,1,7,icon_7020,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1404,7020,AWM狙击步枪,1,7,icon_7020,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1405,7020,AWM狙击步枪,1,7,icon_7020,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.468:0.595:260,0.36:0.591:0.649:260,,,0.36:0.71:0.712:260,0.36:0.09:0.53:260,
1406,7030,DSR狙击枪,1,7,icon_7030,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1407,7030,DSR狙击枪,1,7,icon_7030,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1408,7030,DSR狙击枪,1,7,icon_7030,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.481:0.5980001:260,0.36:0.5969999:0.652:260,,,0.36:0.723:0.718:260,0.36:0.103:0.527:260,
1409,7040,SVD狙击枪,1,7,icon_7040,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1410,7040,SVD狙击枪,1,7,icon_7040,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1411,7040,SVD狙击枪,1,7,icon_7040,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.481:0.5980001:260,0.36:0.5969999:0.652:260,,,0.36:0.722:0.718:260,0.36:0.106:0.527:260,
1412,7050,AS50狙击步枪,1,7,icon_7050,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
1413,7050,AS50狙击步枪,1,7,icon_7050,2,,,0.43:0.024:0.486:258,0.43:0.175:0.564:259,0.43:0.31:0.628:258,0.43:0.444:0.691:258,0.43:0.591:0.754:258,,,,,
1414,7050,AS50狙击步枪,1,7,icon_7050,3,,,0.36:0.102:0.409:260,0.36:0.228:0.473:260,0.36:0.356:0.534:260,0.36:0.481:0.5980001:260,0.36:0.5969999:0.652:260,,,0.36:0.742:0.734:260,0.36:0.122:0.552:260,
1415,7060,莫幸纳甘狙击枪,1,7,icon_7060,1,,,0.43:0.054:0.402:258,0.43:0.196:0.491:258,,,,,,,,
