id,lv_min,lv_max,reward_group,type,rarity,name,item_id,item_num,probability,get_repeatedly
10085,21,30,1,18,1,小型经验箱,150006,2,500,1
10086,21,30,1,18,1,中型经验箱,150007,1,200,1
10087,21,30,1,25,1,维修工具,130400,1,500,1
10088,21,30,1,23,1,功能饮料,150002,1,500,1
10089,21,30,1,17,2,幸运转盘,140001,1,500,1
10090,21,30,1,23,2,恢复药水,150001,1,200,1
10091,21,30,1,18,2,大型经验箱,150008,1,100,1
10092,21,30,1,24,2,高级战斗手册,130302,1,200,1
10093,21,30,1,17,2,幸运转盘,140001,1,100,1
10094,21,30,1,22,2,高级战斗辅助器,130202,1,150,1
10095,21,30,1,21,2,高级探测器,130102,1,150,1
10096,21,30,1,20,2,大型机动车,130003,1,150,1
10097,21,30,1,2,2,金条,10002,88,30,1
10098,21,30,1,2,2,金条,10002,128,25,1
10099,21,30,1,2,2,金条,10002,188,20,1
10100,21,30,1,2,2,金条,10002,288,15,1
10101,21,30,1,18,2,大型经验箱,150008,1,100,1
10102,21,30,1,24,2,高级战斗手册,130302,1,150,1
10103,21,30,1,22,2,高级战斗辅助器,130202,1,200,1
10104,21,30,1,21,2,高级探测器,130102,1,200,1
10105,21,30,1,4,2,图纸碎片,10004,5,100,1
10106,21,30,1,4,2,图纸碎片,10004,3,250,1
10107,21,30,1,8,2,沉重的行李箱,50001,1,150,1
10108,21,30,1,8,2,军用补给箱,50002,1,150,1
10109,21,30,1,8,2,完整的保险柜,50003,1,150,1
10110,21,30,1,1,3,大量新币,10001,30,80,1
10111,21,30,1,9,3,行李箱钥匙,60001,2,150,1
10112,21,30,1,23,2,恢复药水,150001,2,100,1
10113,21,30,1,9,3,行李箱钥匙,60001,2,50,1
10114,21,30,1,9,3,补给箱钥匙,60002,2,50,1
10115,21,30,1,9,3,保险柜钥匙,60003,1,50,1
10116,21,30,1,2,3,金条,10002,500,5,1
10117,21,30,1,1,3,巨量新币,10001,50,40,1
10118,31,45,1,20,1,便携交通工具,130001,1,500,1
10119,31,45,1,20,1,轻型机动车,130002,1,350,1
10120,31,45,1,21,1,初级探测器,130100,1,500,1
10121,31,45,1,21,1,中级探测器,130101,1,350,1
10122,31,45,1,22,1,初级战斗辅助器,130200,1,500,1
10123,31,45,1,22,1,中级战斗辅助器,130201,1,350,1
10124,31,45,1,24,1,初级战斗手册,130300,1,500,1
10125,31,45,1,24,1,中级战斗手册,130301,1,350,1
10126,31,45,1,18,1,小型经验箱,150006,2,500,1
10127,31,45,1,18,1,中型经验箱,150007,1,200,1
10128,31,45,1,25,1,维修工具,130400,1,500,1
10129,31,45,1,23,1,功能饮料,150002,1,500,1
10130,31,45,1,17,2,幸运转盘,140001,1,500,1
10131,31,45,1,23,2,恢复药水,150001,1,200,1
10132,31,45,1,18,2,大型经验箱,150008,1,100,1
10133,31,45,1,24,2,高级战斗手册,130302,1,200,1
10134,31,45,1,17,2,幸运转盘,140001,1,100,1
10135,31,45,1,22,2,高级战斗辅助器,130202,1,150,1
10136,31,45,1,21,2,高级探测器,130102,1,150,1
10137,31,45,1,20,2,大型机动车,130003,1,150,1
10138,31,45,1,2,2,金条,10002,88,30,1
10139,31,45,1,2,2,金条,10002,128,25,1
10140,31,45,1,2,2,金条,10002,188,20,1
10141,31,45,1,2,2,金条,10002,288,15,1
10142,31,45,1,18,2,大型经验箱,150008,1,100,1
10143,31,45,1,24,2,高级战斗手册,130302,1,150,1
10144,31,45,1,22,2,高级战斗辅助器,130202,1,200,1
10145,31,45,1,21,2,高级探测器,130102,1,200,1
10146,31,45,1,4,2,图纸碎片,10004,5,100,1
10147,31,45,1,4,2,图纸碎片,10004,3,250,1
10148,31,45,1,8,2,沉重的行李箱,50001,1,150,1
10149,31,45,1,8,2,军用补给箱,50002,1,150,1
10150,31,45,1,8,2,完整的保险柜,50003,1,150,1
10151,31,45,1,8,2,旧日回收箱,50004,1,150,1
10152,31,45,1,1,3,大量新币,10001,30,80,1
10153,31,45,1,9,3,行李箱钥匙,60001,2,150,1
10154,31,45,1,23,2,恢复药水,150001,2,100,1
10155,31,45,1,9,3,行李箱钥匙,60001,2,50,1
10156,31,45,1,9,3,补给箱钥匙,60002,1,50,1
10157,31,45,1,9,3,保险柜钥匙,60003,1,50,1
10158,31,45,1,9,3,回收箱钥匙,60004,1,50,1
10159,31,45,1,2,3,金条,10002,500,5,1
10160,31,45,1,1,3,巨量新币,10001,50,40,1
10161,46,99,1,20,1,便携交通工具,130001,1,500,1
10162,46,99,1,20,1,轻型机动车,130002,1,350,1
10163,46,99,1,21,1,初级探测器,130100,1,500,1
10164,46,99,1,21,1,中级探测器,130101,1,350,1
10165,46,99,1,22,1,初级战斗辅助器,130200,1,500,1
10166,46,99,1,22,1,中级战斗辅助器,130201,1,350,1
10167,46,99,1,24,1,初级战斗手册,130300,1,500,1
10168,46,99,1,24,1,中级战斗手册,130301,1,350,1
10169,46,99,1,18,1,小型经验箱,150006,2,500,1
10170,46,99,1,18,1,中型经验箱,150007,1,200,1
10171,46,99,1,25,1,维修工具,130400,1,500,1
10172,46,99,1,23,1,功能饮料,150002,1,500,1
10173,46,99,1,17,2,幸运转盘,140001,1,500,1
10174,46,99,1,23,2,恢复药水,150001,1,200,1
10175,46,99,1,18,2,大型经验箱,150008,1,100,1
10176,46,99,1,24,2,高级战斗手册,130302,1,200,1
10177,46,99,1,17,2,幸运转盘,140001,1,100,1
10178,46,99,1,22,2,高级战斗辅助器,130202,1,150,1
10179,46,99,1,21,2,高级探测器,130102,1,150,1
10180,46,99,1,20,2,大型机动车,130003,1,150,1
10181,46,99,1,2,2,金条,10002,88,30,1
10182,46,99,1,2,2,金条,10002,128,25,1
10183,46,99,1,2,2,金条,10002,188,20,1
10184,46,99,1,2,2,金条,10002,288,15,1
10185,46,99,1,18,2,大型经验箱,150008,1,100,1
10186,46,99,1,24,2,高级战斗手册,130302,1,150,1
10187,46,99,1,22,2,高级战斗辅助器,130202,1,200,1
10188,46,99,1,21,2,高级探测器,130102,1,200,1
10189,46,99,1,4,2,图纸碎片,10004,5,100,1
10190,46,99,1,4,2,图纸碎片,10004,3,250,1
10191,46,99,1,8,2,沉重的行李箱,50001,1,150,1
10192,46,99,1,8,2,军用补给箱,50002,1,150,1
10193,46,99,1,8,2,完整的保险柜,50003,1,150,1
10194,46,99,1,8,2,旧日回收箱,50004,1,150,1
10195,46,99,1,8,2,高级密码箱,50005,1,150,1
10196,46,99,1,1,3,大量新币,10001,30,80,1
10197,46,99,1,9,3,行李箱钥匙,60001,2,150,1
10198,46,99,1,23,2,恢复药水,150001,2,100,1
10199,46,99,1,9,3,行李箱钥匙,60001,3,50,1
10200,46,99,1,9,3,补给箱钥匙,60002,2,50,1
10201,46,99,1,9,3,保险柜钥匙,60003,1,50,1
10202,46,99,1,9,3,回收箱钥匙,60004,1,50,1
10203,46,99,1,9,3,密码箱IC卡,60005,1,50,1
10204,46,99,1,2,3,金条,10002,500,5,1
10205,46,99,1,1,3,巨量新币,10001,50,40,1
