id,shelter_id,floor_index,floor_type,floor_name,atlas,icon,dec,instance_id,reward1_id,reward1_num,reward2_id,reward2_num
102,4,12,1,神秘BOSS,refuge_atlas,touxiang_1500,闪避高|攻击高|吸引火力,411,413048,1,10002,50
103,4,13,1,游荡者据点,refuge_atlas,touxiang_1600,简单的挑战,412,70001,8,70001,8
104,4,14,2,失控14层,refuge_atlas,touxiang_1600,一般的挑战,413,10004,2,80003,1
105,4,15,1,失控15层,refuge_atlas,touxiang_1700,精英怪物,414,140001,2,140001,2
106,4,16,1,失控16层,refuge_atlas,touxiang_1600,怪物较多,415,150001,2,90001,2
107,4,17,1,失控17层,refuge_atlas,touxiang_1600,需要治疗,416,130202,2,150006,2
108,4,18,2,神秘BOSS,refuge_atlas,touxiang_ldztm,高爆发|攻击高|需要治疗,417,413034,1,10002,75
109,4,19,1,变异者据点,refuge_atlas,touxiang_1900,简单的挑战,418,70001,8,70001,8
110,4,20,1,失控20层,refuge_atlas,touxiang_1900,一般的挑战,419,150002,2,150001,2
111,4,21,1,失控21层,refuge_atlas,touxiang_2000,精英怪物,420,130400,5,130400,5
112,4,22,2,失控22层,refuge_atlas,touxiang_1900,怪物较多,421,130302,2,80001,1
113,4,23,1,失控23层,refuge_atlas,touxiang_1900,需要治疗,422,150006,2,80002,1
114,4,24,1,神秘BOSS,refuge_atlas,touxiang_2100,有吸血|注意控制|需要治疗,423,10002,80,10002,100
115,4,25,1,丧尸据点,refuge_atlas,touxiang_1400a,简单的挑战,424,70001,8,70001,8
116,4,26,2,失控26层,refuge_atlas,touxiang_1400a,一般的挑战,425,150001,2,90001,2
117,4,27,1,失控27层,refuge_atlas,touxiang_1300b,精英怪物,426,130102,2,150006,2
118,4,28,1,失控28层,refuge_atlas,touxiang_1400a,怪物较多,427,140001,2,140001,2
119,4,29,1,失控29层,refuge_atlas,touxiang_1400a,需要治疗,428,70001,8,80003,1
120,4,30,2,神秘BOSS,refuge_atlas,touxiang_2400,防御高|持续伤害|需要治疗,429,414018,1,10002,150
