languages_game,languages_CN,languages_TC,languages_EN
冒险,冒险,冒險,Quest
可挑战,可挑战,可挑戰,Available
挑战中,挑战中,挑戰中,In challenge
解锁{0}冒险吗？,解锁{0}冒险吗？,解鎖{0}冒險嗎？,Unlock {0} quest?
冒险吗？,冒险吗？,冒險嗎？,Quest?
选择强化,选择强化,選擇強化,Select Booster
无加成道具,无加成道具,無加成道具,No bonus items
选择宝箱,选择宝箱,選擇寶箱,Choose chest
探险击杀头目可以获得宝箱！,探险击杀头目可以获得宝箱！,探險擊殺頭目可以獲得寶箱！,Kill the boss to get a chest!
-资源-,-资源-,-資源-,-Resource-
-店主换装-,-店主换装-,-店主換裝-,-Customize-
储蓄罐提示,储蓄罐提示,儲蓄罐提示,Piggy bank tips
能量金币小贴士,能量金币小贴士,能量金幣小貼士,Energy Coins Tips
家具数量限制,家具数量限制,家具數量限製,Furniture limit
新币是店长手头的主要货币，能通过向顾客售卖物品获得。,新币是店长手头的主要货币，能通过向顾客售卖物品获得。,新幣是店長手頭的主要貨幣，能通過向顧客售賣物品獲得。,New dollar is the primary currency of a shopkeeper. Earn it by selling items to customers.
（您的新币：{0}）,（您的新币：{0}）,（您的新幣：{0}）,(Your new dollar: {0})
已满,已满,已滿,Full
经验,经验,經驗,EXP
{0}月{1}日 救赎日38年,{0}月{1}日 救赎日38年,{0}月{1}日 救贖日38年,{0}Month{1}Day Redemption 38 years 
结束还有：,结束还有：,結束還有：,End after:
02号堡垒正在筹备神秘活动，堡垒日报将实时报道相关信息。,02号堡垒正在筹备神秘活动，堡垒日报将实时报道相关信息。,02號堡壘正在籌備神秘活動，堡壘日報將實時報道相關信息。,Shelter 02 is preparing for a mysterious event， The Shelter Daily will continue to report relevant information.
是否实时刷新,是否实时刷新,是否實時刷新,Whether to real-time refresh
未完成,未完成,未完成,Incomplete
完成,完成,完成,Complete
交易所,交易所,交易所,Market
正在加载......,正在加载......,正在加載......,Loading...
稀有,稀有,稀有,Rare
超稀有,超稀有,超稀有,Super rare
累计奖励,累计奖励,累計獎勵,Cumulative Reward
奖池奖励,奖池奖励,獎池獎勵,Prize pool rewards
恭喜你抽到了,恭喜你抽到了,恭喜你抽到了,Congratulations! You got it
获得累计奖励,获得累计奖励,獲得累計獎勵,Get cumulative rewards
下次重置:,下次重置:,下次重置:,Next Reset in:
免费重置,免费重置,免費重置,Free reset
抽奖道具不足,抽奖道具不足,抽獎道具不足,Insufficient Lucky Wheel
点击激活,点击激活,點擊激活,Click to activate
已就绪,已就绪,已就緒,Ready
上架,上架,上架,On the market
无变化,无变化,無變化,No change
有变化,有变化,有變化,Changed
锁定状态,锁定状态,鎖定狀態,Locked
报价,报价,報價,Offer
请求,请求,請求,Request
已过期,已过期,已過期,Expired
小时,小时,小時,h
等级不足,等级不足,等級不足,Level too low
筛选 -- 等阶,筛选 -- 等阶,篩選 -- 等階,Filter--Tier
筛选 -- 品质,筛选 -- 品质,篩選 -- 品質,Filter--Quality
排序,排序,排序,Sort
刷新,刷新,刷新,Refresh
至少保留一个选项,至少保留一个选项,至少保留一個選項,Keep at least one option
金币按钮,金币按钮,金幣按鈕,New Dollar button
钻石按钮,钻石按钮,鉆石按鈕,Gold Bar button
物品栏已满,物品栏已满,物品欄已滿,Inventory full
您没有满足要求的物品，,您没有满足要求的物品，,您沒有滿足要求的物品，,You have no item meets the requirements，
或是它在您的物品栏中已被标记为锁定。,或是它在您的物品栏中已被标记为锁定。,或是它在您的物品欄中已被標記為鎖定。,or it has been locked.
正在处理......,正在处理......,正在處理......,Processing
价格已发生变动，请重试,价格已发生变动，请重试,價格已發生變動，請重試,The price has changed，please try again
无法找到这笔交易的列表。请刷新后重试,无法找到这笔交易的列表。请刷新后重试,無法找到這筆交易的列表。請刷新後重試,The list of this item could not be found. Please refresh and try again
您无法购买自己的报价！,您无法购买自己的报价！,您無法購買自己的報價！,You can't buy your own offer!
您无法满足自己的请求！,您无法满足自己的请求！,您無法滿足自己的請求！,You can't meet your request!
交易失败 请重试,交易失败 请重试,交易失敗 請重試,Trade failed. Please try again.
通过市场购买,通过市场购买,通過市場購買,Buy from market
新币价格,新币价格,新幣價格,New Dollar price
金条价格,金条价格,金條價格,Gold Bar price
正在获取......,正在获取......,正在獲取......,Fetching...
通过物品栏满足,通过物品栏满足,通過物品欄滿足,Sell from Inventory
新币收入,新币收入,新幣收入,New Dollar income
金条收入,金条收入,金條收入,Gold Bar income
摊位列表,摊位列表,攤位列表,Trade Slot
底部,底部,底部,Bottom
您确定要取消交易吗？,您确定要取消交易吗？,您確定要取消交易嗎？,Are you sure you want to cancel the trade?
（您的物品会被退回）,（您的物品会被退回）,（您的物品會被退回）,(Your items will be returned)
（您的新币或金条会被退回）,（您的新币或金条会被退回）,（您的新幣或金條會被退回）,(Your new dollar or gold bars will be returned)
新币不足！,新币不足，快去卖给顾客装备来赚取新币吧！,新幣不足，快去賣給顧客裝備來賺取新幣吧！,Insufficient new dollar!
金条不足！,金条不足！,金條不足！,Insufficient gold bars!
下一步,下一步,下一步,Next
您支付（每个）,您支付（每个）,您支付（每個）,You Pay (Each)
您将获得（每个）,您将获得（每个）,您將獲得（每個）,You Get(Each)
物品栏中：,物品栏中：,物品欄中：,In Inventory:
上限：,上限：,上限：,Max:
不适用,不适用,不適用,Not applicable
您将支付：,您将支付：,您將支付：,You pay:
您将收到：,您将收到：,您將收到：,You receive:
您没有更改这些设置的权限,您没有更改这些设置的权限,您沒有更改這些設置的權限,You do not have permission to change these settings
经验：,经验：,經驗：,EXP:
成员,成员,成員,Member
管理员,管理员,管理員,Officer
会长,会长,會長,Guildmaster
在线,在线,在線,Online
特效,特效,特效,Special effects
恭喜，您已经达到等级{0}!,恭喜，您已经达到等级{0}!,恭喜，您已經達到等級{0}!,Congratulations，you have reached level {0}!
对应图纸还未解锁！,对应图纸还未解锁！,對應圖紙還未解鎖！,The blueprint has not been unlocked yet!
缺少要求,缺少要求,缺少要求,Missing requirements
修复道具不足,修复道具不足,修復道具不足,Insufficient repair item
维修,维修,維修,Repair
穿装备的条件下组件,穿装备的条件下组件,穿裝備的條件下組件,Compo with Equipment
未穿装备的条件下组件,未穿装备的条件下组件,未穿裝備的條件下組件,Compo with Equipment
未解锁该装备槽,未解锁该装备槽,未解鎖該裝備槽,The equipment slot is not unlocked
探索中不可切换装备,探索中不可切换装备,探索中不可切換裝備,Cannot change the equipment during quest
{0}阶,{0}阶,{0}階,Tier {0}
阶,阶,階,Tier
确认要解雇{0}吗？,确认要解雇{0}吗？,確認要解雇{0}嗎？,Do you want to dismiss {0}?
名字不能为空,名字不能为空,名字不能為空,Name cannot be empty
可穿戴<color=#ffaa3d>{0}</color>阶装备,可穿戴<color=#ffaa3d>{0}</color>阶装备,可穿戴<color=#ffaa3d>{0}</color>階裝備,Can wear Tier <color=#ffaa3d>{0}</color> equipment
需要{0}级可转职,需要{0}级可转职,需要{0}級可轉職,Able to transfer at lv{0}
转职,转职,轉職,Transfer
进阶,进阶,進階,Promotion
没有可转职的职业了,没有可转职的职业了,沒有可轉職的職業了,No class available to transfer
可解锁一个栏位,可解锁一个栏位,可解鎖一個欄位,A slot can be unlocked
<color=#B63801>{0}级</color>+1个栏位,<color=#B63801>{0}级</color>+1个栏位,<color=#B63801>{0}級</color>+1個欄位,<color=#B63801>Lv{0}</color> +1 slot
下次必出<color=#f36cf9>SR</color>,下次必出<color=#f36cf9>SR</color>,下次必出<color=#f36cf9>SR</color>,Next one will get <color=#f36cf9>SR</color>
再次举办<color=#85ed14>{0}</color>次必出<color=#f36cf9>SR</color>,再次举办<color=#85ed14>{0}</color>次必出<color=#f36cf9>SR</color>,再次舉辦<color=#85ed14>{0}</color>次必出<color=#f36cf9>SR</color>,Get <color=#f36cf9>SR</color> after refreshing <color=#85ed14>{0}</color> more times
正在刷新卡牌中,正在刷新卡牌中,正在刷新卡牌中,Refreshing cards
无空闲槽位,无空闲槽位,無空閑槽位,No free slot
道具数量不足,道具数量不足,道具數量不足,Insufficient props
恢复{0},恢复{0},恢復{0},Heal {0}
恢复,恢复,恢復,Heal
{0}将准备好再次去冒险。,{0}将准备好再次去冒险。,{0}將準備好再次去冒險。,{0} will be ready for another quest!
将准备好再次去冒险。,将准备好再次去冒险。,將準備好再次去冒險。,will be ready for another quest!
恭喜您等级提升,恭喜您等级提升,恭喜您等級提升,Congrats! Level up! 
可穿戴{0}阶装备,可穿戴{0}阶装备,可穿戴{0}階裝備,Max equipment tier{0}
转职成功!,转职成功!,轉職成功!,Tranfered!
进阶成功!,进阶成功!,進階成功!,Promoted!
恭喜!{0}转职成为{1}!,恭喜!{0}转职成为{1}!,恭喜!{0}轉職成為{1}!,Congrats! {0} is transfered to {1}!
恭喜!{0}进阶成为{1}!,恭喜!{0}进阶成为{1}!,恭喜!{0}進階成為{1}!,Congrats! {0} is promoted to {1}!
{0}到达等级{1},{0}到达等级{1},{0}到達等級{1},{0} reaches level {1}
到达等级,到达等级,到達等級,Reach level
先选择一个道具,先选择一个道具！,先選擇一個道具！,Select a prop first!
探险期间不可使用道具,探险期间不可使用道具！,探險期間不可使用道具！,Cannot use prop during the quest!
等级已满不能使用道具,等级已满不能使用道具！,等級已滿不能使用道具！,Max level! Cannot use prop.
已经达到等级上限，请去科学院升级指挥科技！,已经达到等级上限，请去科学院升级指挥科技！,已經達到等級上限，請去科學院升級指揮科技！,Already reached max level， please upgrade command tech in Worker Home!
数量不足,数量不足,數量不足,Insufficient
需要店主达到{0}级,需要店主达到{0}级,需要店主達到{0}級,Need Shopkeeper reach level {0}
今日试炼已完成：,今日试炼已完成：,今日試煉已完成：,Today's trial has been completed:
第{0}天解锁,第{0}天解锁,第{0}天解鎖,Day {0} unlocked
声望,声望,聲望,Reputation
解锁等级：,解锁等级：,解鎖等級：,Unlock Lv:
解锁需求,解锁需求,解鎖需求,Unlock requirement
扩建您的店铺，获得更多空间。,扩建您的店铺，获得更多空间。,擴建您的店鋪，獲得更多空間。,Expand your shop for more space.
没有足够的空间,没有足够的空间！,沒有足夠的空間！,Not enough space!
柜台不可被回收,柜台不可被回收,櫃臺不可被回收,The counter cannot be recycled
 阶, 阶, 階,Tier
{0}级{1}想要,{0}级{1}想要,{0}級{1}想要,Lv{0} {1} wants to buy
{0}级{1}想卖,{0}级{1}想卖,{0}級{1}想賣,Lv{0} {1} wants to sell
多付,多付,多付,Pay More
少付,少付,少付,Pay Less
成功,成功,成功,Success
适得其反,适得其反,適得其反,Failed
购买,购买,購買,Buy
{ 0}级{ 1}想要售卖(id={2}),{ 0}级{ 1}想要售卖(id={2}),{ 0}級{ 1}想要售賣(id={2}),{0} level {1} wants to sell (id={2})
工匠要给你,黑市商人前来出售,黑市商人前來出售,Black market traders come to sell
没有宝箱,没有宝箱,沒有寶箱,No chest
您没有适合此宝箱的钥匙,您没有适合此宝箱的IC卡！,您沒有適合此寶箱的IC卡！,You have no key for this chest!
你确认要离开{0}吗？离开后你将无法享受联盟共享改造与研究技术等级加成！,你确认要离开{0}吗？离开后你将无法享受联盟共享改造与研究技术等级加成！,你確認要離開{0}嗎？離開後你將無法享受聯盟共享改造與研究技術等級加成！,Are you sure to quit {0}? You will lose shared bonus of this guild!
花费金条创建,花费金条创建,花費金條創建,Create with gold bars
联盟名称长度需要处于3与14字符之间,联盟名称长度需要处于2与14字符之间！,聯盟名稱長度需要處於2與14字符之間！,Guild name length needs to be between 3 and 14 characters
名称中包含敏感内容,名称中包含敏感内容！,名稱中包含敏感內容！,Name contains sensitive content
成员数,成员数,成員數,Members
最低等级 {0},最低等级 {0},最低等級 {0},Min Level {0}
您当前已拥有联盟,您当前已拥有联盟,您當前已擁有聯盟,You are already in a guild
成员：,成员：,成員：,Members:
暂未统计,暂未统计,暫未統計,No statistics yet
私人,私人,私人,Private
公会摘要,联盟摘要,聯盟摘要,Guild Info
成员列表,成员列表,成員列表,Guild Members
名成员,名成员,名成員,members
净价值,净价值,凈價值,Net Worth
进入了公会,进入了联盟,進入了聯盟,joined the guild
晋升为,晋升为,晉升為,promoted to
被降级为,被降级为,被降級為,demoted to
离开了公会,离开了联盟,離開了聯盟,left the guild
被移除出了公会,被移除出了联盟,被移除出了聯盟,was removed from the guild
恭喜，员工已经达到等级{0}！,恭喜，工匠已经达到等级{0}！,恭喜，工匠已經達到等級{0}！,Congrat!The worker has reached level {0}.
新,新,新,New
签到,签到,簽到,Check in
抽奖,抽奖,抽獎,Lottery
扩建完成！,扩建完成！,擴建完成！,Expand Complete!
大内容部分,大内容部分,大內容部分,Large parts
货架内容部分,货架内容部分,貨架內容部分,Shelf parts
物品栏大小,物品栏大小,物品欄大小,Inventory Capacity
图片部分,图片部分,圖片部分,Picture parts
{0}正在升级，要花费金条来立即完成升级吗？,{0}正在升级，要花费金条来立即完成升级吗？,{0}正在升級，要花費金條來立即完成升級嗎？,{0} is upgrading. Finish now with gold bars?
{0}准备好升级了，完成它来开始新的升级吧！,{0}准备好升级了，完成它来开始新的升级吧！,{0}準備好升級了，完成它來開始新的升級吧！,{0} is ready to upgrade. Finish it for new upgrade!
奖品,奖品,獎品,Prize
概率,概率,概率,Rate
-文本组件-,-文本组件-,-文本組件-,-Text component-
-图片组件-,-图片组件-,-圖片組件-,-Picture component-
-动态替换的图片组件-,-动态替换的图片组件-,-動態替換的圖片組件-,-Dynamic replacement picture component-
-任务进度条-,-任务进度条-,-任務進度條-,-Task progress-
-Item状态组件-,-Item状态组件-,-Item狀態組件-,-Item state component-
您点的太快了，稍微等一下,您点的太快了，稍微等一下,您點的太快了，稍微等一下,You clicked too fast， please wait
任务提示小面板,任务提示小面板,任務提示小面板,Task prompt panel
店铺按钮,店铺按钮,店鋪按鈕,Shop
城市按钮,城市按钮,城市按鈕,City
万,万,萬,10 thousand
亿,亿,億,100 million
无法连接到服务器,无法连接到服务器,無法連接到服務器,Unable to connect to server
市场阶级,市场阶级,市場階級,Market Rank
新英雄栏位,新英雄栏位,新英雄欄位,New Hero Slot
新贸易栏位,新贸易栏位,新貿易欄位,New Trade Slot
新制作栏位,新制作栏位,新製作欄位,New Craft Slot
商铺扩建,商铺扩建,商鋪擴建,Expand
新冒险栏位,新冒险栏位,新冒險欄位,New Quest Slot
新勇士,新勇士,新勇士,New Warrior
新工匠,新工匠,新工匠,New Worker
新英雄职业,新英雄职业,新英雄職業,New Hero Class
新家具,新家具,新家具,New Furniture
新装饰,新装饰,新裝飾,New Decoration
新市场层级已解锁,新市场层级已解锁,新市場層級已解鎖,New market class unlocked
新英雄栏位已解锁,新英雄栏位已解锁,新英雄欄位已解鎖,New hero slot unlocked
新贸易栏位已解锁,新贸易栏位已解锁,新貿易欄位已解鎖,New trade slot unlocked
新制作栏位已解锁,新制作栏位已解锁,新製作欄位已解鎖,New craft slot unlocked
新的空间已解锁,新的空间已解锁,新的空間已解鎖,New space unlocked
新冒险栏位已解锁,新冒险栏位已解锁,新冒險欄位已解鎖,New quest slot unlocked
新勇士可用,新勇士可用,新勇士可用,New warrior available
新工匠可用,新工匠可用,新工匠可用,New worker available
新英雄职业解锁,新英雄职业解锁,新英雄職業解鎖,New hero class unlocked
新装饰可用,新装饰可用,新裝飾可用,New decoration available
新品阶物品现已登录市场!,新品阶物品现已登录市场!,新品階物品現已登錄市場!,New tier items are now on the market!
一个新的英雄栏位现在可使用,一个新的英雄栏位现在可使用,一個新的英雄欄位現在可使用,New hero slot available
一个新的贸易栏位现在可使用,一个新的贸易栏位现在可使用,一個新的貿易欄位現在可使用,New trade slot available
一个新的制作栏位现在可使用,一个新的制作栏位现在可使用,一個新的製作欄位現在可使用,New craft slot available
一个新的空间现在可使用,一个新的空间现在可使用,一個新的空間現在可使用,New space available
一个新的冒险栏位现在可使用,一个新的冒险栏位现在可使用,一個新的冒險欄位現在可使用,New quest slot available
新装饰现已开放购买!,新装饰现已开放购买!,新裝飾現已開放購買!,New decoration available
肤色,肤色,膚色,Skin Color
发型,发型,發型,Hairstyle
发色,发色,發色,Hair Color
五官,五官,五官,Facial Features
五官颜色,五官颜色,五官顏色,Features Color
眼睛颜色,眼睛颜色,眼睛顏色,Eye Color
裤子,裤子,褲子,Pants
帽子,帽子,帽子,Hat
鞋子,鞋子,鞋子,Shoes
手持,手持,手持,Accessories
黄金,金条,金條,Gold Bar
装备图纸,装备图纸,裝備圖紙,Blueprint
普通材料,普通材料,普通材料,Normal material
副本材料,副本材料,副本材料,Dungeon material
特殊材料,特殊材料,特殊材料,Special material
道具,道具,道具,Item
利刃,利刃,利刃,Blade
钝器,钝器,鈍器,Blunt
弓弩,弓弩,弓弩,Crossbow
轻型武器,轻型武器,輕型武器,Light Weapon
步枪,步枪,步槍,Rifle
重型武器,重型武器,重型武器,Heavy Weapon
狙击枪,狙击枪,狙擊槍,Sniper
霞弹枪,霞弹枪,霞彈槍,Shotgun
轻型护甲,轻型护甲,輕型護甲,Light Armor
重型护甲,重型护甲,重型護甲,Heavy Armor
便衣,便衣,便衣,Plain Clothes
头盔,头盔,頭盔,Helmet
轻装裤,轻装裤,輕裝褲,Light Pants
重装裤,重装裤,重裝褲,Heavy Pants
靴子,靴子,靴子,Boots
药品,药品,藥品,Medicine
工具,工具,工具,Tool
暗器,暗器,暗器,Hidden Weapon
投掷类,投掷类,投擲類,Throwing
首饰,首饰,首飾,Jewelry
攻击力加成,攻击力加成,攻擊力加成,Attack bonus
防御加成,防御加成,防禦加成,Defense bonus
血量上限加成,血量上限加成,血量上限加成,HP limit bonus
韧性加成,韧性加成,韌性加成,TUF bonus
钝器(装备效果加成),钝器(装备效果加成),鈍器(裝備效果加成),Blunt weapon (equipment effect bonus)
重型盔甲,重型盔甲,重型盔甲,Heavy Armor
攻速,攻速,攻速,Attack speed
轻型盔甲,轻型盔甲,輕型盔甲,Light Armor
初始能量,初始能量,初始能量,Initial energy
正常难度,正常难度,正常難度,Normal
困难难度,困难难度,困難難度,Hard
天,天,天,d 
时,时,時,h 
分,分,分,m 
天前,天前,天前,d ago
时前,时前,時前,h ago
分前,分前,分前,m ago
秒前,秒前,秒前,s ago
晋级礼包,,,Promotion Pack
完成任务获取活跃值领取礼包,,,Complete tasks to get active points and receive gift packs
礼包可获得英雄晋级道具,,,The pack contains hero promotion items.
完成成就,完成成就,完成成就,Achievement complete
新兴的商人,新兴的商人,新興的商人,Emerging trader
成长之星 I,成长之星 I,成長之星 I,Growing Star I
领取奖励！,领取奖励！,領取獎勵！,Collect Reward!
下个任务倒计时：,下个任务倒计时：,下個任務倒計時：,Next Task in:
布置桌子,布置桌子,布置桌子,Set the table
待办任务,待办任务,待辦任務,To-do Tasks
