level,type,item_des,item_compare_des,need_level,next_level_point,need_point,add_task_num,common_material,unreal_material,precious_material,hot_shelf,define_shelf,cold_shelf,other_shelf,ware_house_add,stack_add,make_add,adv_add,material_add,exp_add,buy_add,sell_add,common_material_recover,unreal_material_recover,precious_material_recover,name,desc,atlas,icon
15,21,公会等级,解锁新升级,14,20,15,,11,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
16,21,公会等级,解锁新升级,15,20,20,,,,,35,42,49,56,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
17,21,公会等级,解锁新升级,16,20,20,,,18,,,,,,,,,,,139,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
18,21,公会等级,解锁新升级,17,20,20,,,,,,,,,63,,,,130,,77,,91,,105,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
19,21,公会等级,解锁新升级,18,20,20,,,,,,,,,,70,,121,,,,84,,98,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
20,21,公会等级,解锁新升级,19,30,20,4,,,25,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
21,21,公会等级,解锁新升级,20,30,30,,,,,,,,,,,112,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
22,21,公会等级,解锁新升级,21,30,30,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
23,21,公会等级,解锁新升级,22,30,30,,,,,,,,,,,,,,140,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
24,21,公会等级,解锁新升级,23,30,30,,12,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
25,21,公会等级,解锁新升级,24,40,30,5,,19,,,,,,,,,,131,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
26,21,公会等级,解锁新升级,25,40,40,,,,,36,43,50,57,,,,122,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
27,21,公会等级,解锁新升级,26,40,40,,,,26,,,,,,,113,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
28,21,公会等级,解锁新升级,27,40,40,,,,,,,,,64,,,,,,78,,92,,106,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
29,21,公会等级,解锁新升级,28,40,40,,,,,,,,,,71,,,,,,85,,99,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
30,21,公会等级,解锁新升级,29,50,40,6,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
31,21,公会等级,解锁新升级,30,50,50,,,,,,,,,,,,,,141,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
32,21,公会等级,解锁新升级,31,50,50,,,,,,,,,,,,,132,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
33,21,公会等级,解锁新升级,32,50,50,,,,,,,,,,,,123,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
34,21,公会等级,解锁新升级,33,50,50,,,,,,,,,,,114,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
35,21,公会等级,解锁新升级,34,75,50,,13,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
36,21,公会等级,解锁新升级,35,75,75,,,20,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
37,21,公会等级,解锁新升级,36,75,75,,,,27,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
38,21,公会等级,解锁新升级,37,75,75,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
39,21,公会等级,解锁新升级,38,75,75,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
40,21,公会等级,解锁新升级,39,100,75,7,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
41,21,公会等级,解锁新升级,40,100,100,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
42,21,公会等级,解锁新升级,41,100,100,,,,,37,44,51,58,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
43,21,公会等级,解锁新升级,42,100,100,,,,,,,,,,72,,,,,,86,,100,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
44,21,公会等级,解锁新升级,43,100,100,,,,,,,,,65,,,,,,79,,93,,107,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
45,21,公会等级,解锁新升级,44,150,100,,,21,,,,,,,,,,,142,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
46,21,公会等级,解锁新升级,45,150,150,,14,,,,,,,,,,,133,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
47,21,公会等级,解锁新升级,46,150,150,,,,28,,,,,,,,124,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
48,21,公会等级,解锁新升级,47,150,150,,,,,,,,,,,115,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
49,21,公会等级,解锁新升级,48,150,150,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
50,21,公会等级,解锁新升级,49,200,150,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
51,21,公会等级,解锁新升级,50,200,200,8,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
52,21,公会等级,解锁新升级,51,200,200,,,,,,,,,,,,,,143,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
53,21,公会等级,解锁新升级,52,200,200,,,,,,,,,,,,,134,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
54,21,公会等级,解锁新升级,53,200,200,,,,,,,,,,,,125,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
55,21,公会等级,解锁新升级,54,250,200,,,22,,38,45,52,59,,,116,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
56,21,公会等级,解锁新升级,55,250,250,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
57,21,公会等级,解锁新升级,56,250,250,,15,,29,,,,,66,,,,,,80,,94,,108,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
58,21,公会等级,解锁新升级,57,250,250,,,,,,,,,,73,,,,,,87,,101,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
59,21,公会等级,解锁新升级,58,250,250,,,,,,,,,,,,,,144,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
60,21,公会等级,解锁新升级,59,300,250,,,,,,,,,,,,,135,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
61,21,公会等级,解锁新升级,60,300,300,,,,,,,,,,,,126,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
62,21,公会等级,解锁新升级,61,300,300,,,,,,,,,,,117,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
63,21,公会等级,解锁新升级,62,300,300,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
64,21,公会等级,解锁新升级,63,300,300,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
65,21,公会等级,解锁新升级,64,350,300,,,23,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
66,21,公会等级,解锁新升级,65,350,350,,,,,,,,,,,,,,145,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
67,21,公会等级,解锁新升级,66,350,350,,,,30,39,46,53,60,,,,,136,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
68,21,公会等级,解锁新升级,67,350,350,,16,,,,,,,67,,,127,,,81,,95,,109,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
69,21,公会等级,解锁新升级,68,350,350,,,,,,,,,,74,118,,,,,88,,102,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
70,21,公会等级,解锁新升级,69,400,350,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
71,21,公会等级,解锁新升级,70,400,400,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
72,21,公会等级,解锁新升级,71,400,400,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
73,21,公会等级,解锁新升级,72,400,400,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
74,21,公会等级,解锁新升级,73,400,400,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
75,21,公会等级,解锁新升级,74,450,400,,,24,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
76,21,公会等级,解锁新升级,75,450,450,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
77,21,公会等级,解锁新升级,76,450,450,,,,31,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
78,21,公会等级,解锁新升级,77,450,450,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
79,21,公会等级,解锁新升级,78,450,450,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
80,21,公会等级,解锁新升级,79,500,450,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
81,21,公会等级,解锁新升级,80,500,500,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
82,21,公会等级,解锁新升级,81,500,500,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
83,21,公会等级,解锁新升级,82,500,500,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
84,21,公会等级,解锁新升级,83,500,500,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
85,21,公会等级,解锁新升级,84,500,500,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
86,21,公会等级,解锁新升级,85,500,500,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
87,21,公会等级,解锁新升级,86,500,500,,,,32,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
88,21,公会等级,解锁新升级,87,500,500,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
89,21,公会等级,解锁新升级,88,500,500,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
90,21,公会等级,解锁新升级,89,0,500,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
