id,name,architecture_type,cost_grade,icon,big_icon,atlas,unlock_type,unlock_id,unlock_val,introduction_dec,functional_dec,shared_dec
1800,玻璃厂,1,3,icon_ziyuan2,jianzhu_bilichang,item_atlas,1,2800,10,修复的玻璃厂，可以源源不断的产出特殊玻璃。,改造玻璃厂，将提升玻璃生产效率。,统计商会联盟内所有成员的玻璃厂改造次数，改造次数越多，共享奖励加成越高
1900,芯片工厂,1,3,icon_ziyuan5,jianzhu_xinpianchang,item_atlas,1,3000,10,修复的芯片工厂，可以源源不断的产出电路元件。,改造芯片工厂，将提升电路元件生产效率。,统计商会联盟内所有成员的芯片工厂改造次数，改造次数越多，共享奖励加成越高
2000,英雄之家,4,2,zhuejiemian_yingxiong,jianzhu_jiuba,main_atlas,2,0,2,英雄常驻和交流的场所。,投资英雄之家，将提升英雄的等级上限。,
2100,贸易所,2,1,icon_tiekuang,jianzhu_jiaoyisuo,item_atlas,2,0,7,,,
2200,商会总部,4,1,icon_gonghuirenyuan,jianzhu_shanghui,cityBuilding_atlas,2,0,5,商会联盟的总部驻地。,投资商会联盟驻地，将提升商会的人员上限。,
2300,科学院,2,1,icon_tiekuang,jianzhu_kexueyuan,item_atlas,2,0,1,,,
2400,铸造工艺,3,1,2400,jianzhu_kexueyuan,item_atlas,3,1,1,科学院的科研小组成立的铸造工艺研究项目,研究铸造工艺，将提升铸造专家的等级上限。,统计商会联盟内所有成员的铸造工艺研究次数，研究次数越多，共享奖励加成越高
2500,木材工艺,3,1,2500,jianzhu_kexueyuan,item_atlas,3,2,1,科学院的科研小组成立的木材工艺研究项目,研究木材工艺，将提升木材加工专家的等级上限。,统计商会联盟内所有成员的木材工艺研究次数，研究次数越多，共享奖励加成越高
2600,纺织工艺,3,1,2600,jianzhu_kexueyuan,item_atlas,3,3,1,科学院的科研小组成立的纺织工艺研究项目,研究纺织工艺，将提升服装设计师的等级上限。,统计商会联盟内所有成员的纺织工艺研究次数，研究次数越多，共享奖励加成越高
2700,手工工艺,3,1,2700,jianzhu_kexueyuan,item_atlas,3,4,1,科学院的科研小组成立的手工工艺研究项目,研究手工工艺，将提升手工专家的等级上限。,统计商会联盟内所有成员的手工工艺研究次数，研究次数越多，共享奖励加成越高
2800,化学工艺,3,1,2800,jianzhu_kexueyuan,item_atlas,3,5,1,科学院的科研小组成立的化学工艺研究项目,研究化学工艺，将提升化学专家的等级上限。,统计商会联盟内所有成员的化学工艺研究次数，研究次数越多，共享奖励加成越高
2900,枪械工艺,3,1,2900,jianzhu_kexueyuan,item_atlas,3,6,1,科学院的科研小组成立的枪械工艺研究项目,研究枪械工艺，将提升枪械装配师的等级上限。,统计商会联盟内所有成员的枪械工艺研究次数，研究次数越多，共享奖励加成越高
3000,工程工艺,3,1,3000,jianzhu_kexueyuan,item_atlas,3,7,1,科学院的科研小组成立的工程工艺研究项目,研究工程工艺，将提升工程师的等级上限。,统计商会联盟内所有成员的工程工艺研究次数，研究次数越多，共享奖励加成越高
3100,精密工艺,3,3,3100,jianzhu_kexueyuan,item_atlas,3,8,1,科学院的科研小组成立的精密工艺研究项目,研究精密工艺，将提升精密加工专家的等级上限。,统计商会联盟内所有成员的精密工艺研究次数，研究次数越多，共享奖励加成越高
3200,艺术工艺,3,3,3200,jianzhu_kexueyuan,item_atlas,3,9,1,科学院的科研小组成立的艺术工艺研究项目,研究艺术工艺，将提升首饰设计师的等级上限。,统计商会联盟内所有成员的艺术工艺研究次数，研究次数越多，共享奖励加成越高
3300,尖端科技,3,3,3300,jianzhu_kexueyuan,item_atlas,3,10,1,科学院的科研小组成立的尖端科技研究项目,研究尖端科技，将提升工程院士的等级上限。,统计商会联盟内所有成员的尖端科技研究次数，研究次数越多，共享奖励加成越高
3700,补给站,4,2,icon_jiayouzhan,jianzhu_bujizhan,item_atlas,0,0,0,用于各个探索副本的补给的建筑。,投资补给站可以加速指定副本的英雄休息时间。,
3800,中转站,4,2,icon_wuzi,jianzhu_zhongzhuanzhan,item_atlas,0,0,0,用于各个探索副本获得的战利品载重的建筑。,投资中转站可以增加指定副本发现战利品的数量。,
