id,task_group,pre_group_id,task_type,group_name,atlas,icon,des,des_2,condition_id,parameter_num,award_1_type,award_1_id,award_1_num,task_scenes,task_guide_1,task_guide_2,task_guide_3,task_guide_4,task_guide_5,dialog
9,4,3,2,经营提升,FurnitureIcon_01_atlas,icon_bxg_31001,将店铺内的<color=#FFC923>初级储物箱</color>升至<color=#FFC923>2</color>级,将店铺内的<color=#FFC923>初级储物箱</color>升至<color=#FFC923>2</color>级,31001,2,2,10002,10,IndoorScene,21005,20007,20008,,,
10,4,3,2,经营提升,FurnitureIcon_01_atlas,icon_guitai_12001,将<color=#FFC923>初级柜台</color>初级柜台升至<color=#FFC923>2</color>级,将<color=#FFC923>初级柜台</color>初级柜台升至<color=#FFC923>2</color>级,12001,2,2,10002,10,IndoorScene,21005,20007,20008,,,
11,5,4,4,开启新业务,portrait_atlas,gongjiang_yuehan,<color=#FFC923>招募</color>木材加工专家-约翰,<color=#FFC923>招募</color>木材加工专家-约翰,2,1,2,10002,10,IndoorScene,20024,20020,20021,,,
12,5,4,3,开启新业务,FurnitureIcon_01_atlas,icon_mucaijia_18001,<color=#FFC923>设计</color>-<color=#FFC923>家具</color>中购买1个<color=#FFC923>初级木材箱</color>,<color=#FFC923>设计</color>-<color=#FFC923>家具</color>中购买1个<color=#FFC923>初级木材箱</color>,18001,1,2,10002,10,IndoorScene,10012,10013,20015,22016,,
13,5,4,1,开启新业务,Equip_Icon01_atlas,icon_2010,制作<color=#FFC923>粗壮树干</color>×5,制作<color=#FFC923>粗壮树干</color>×5,2010,5,2,10002,10,IndoorScene,20002,34003,20004,,,
14,6,5,1,丰富商品,Equip_Icon01_atlas,icon_2010,制作<color=#FFC923>粗壮树干</color>×7来解锁<color=#FFC923>简易弓</color>,制作<color=#FFC923>粗壮树干</color>×7来解锁<color=#FFC923>简易弓</color>,2010,7,2,10002,10,IndoorScene,20002,34003,20004,,,
15,6,5,1,丰富商品,Equip_Icon01_atlas,icon_12010,制作<color=#FFC923>短袖</color>×12来解锁<color=#FFC923>牛仔护甲</color>,制作<color=#FFC923>短袖</color>×12来解锁<color=#FFC923>牛仔护甲</color>,12010,12,2,10002,10,IndoorScene,20002,34003,20004,,,
16,6,5,1,丰富商品,Equip_Icon01_atlas,icon_15010,制作<color=#FFC923>牛仔裤</color>×8来解锁<color=#FFC923>防爆腿甲</color>,制作<color=#FFC923>牛仔裤</color>×8来解锁<color=#FFC923>防爆腿甲</color>,15010,8,2,10002,10,IndoorScene,20002,34003,20004,,,
17,7,6,9,街道探索,main_atlas,zhuejiemian_yingxiong,给任意一名英雄<color=#FFC923>穿戴</color>3件装备,给任意一名英雄<color=#FFC923>穿戴</color>3件装备,-1,3,23,150002,3,IndoorScene,20024,20062,,,,
18,7,6,10,街道探索,Explore_atlas,tanxian_changjingchengshi,再次探索副本<color=#FFC923>街道废墟</color>,再次探索副本<color=#FFC923>街道废墟</color>,1,3,23,150002,3,CityScene,20040,20042,20043,,,
19,7,6,11,街道探索,Explore_atlas,tanxian_changjingchengshi,副本探索将<color=#FFC923>街道废墟</color>提升到2级,副本探索将<color=#FFC923>街道废墟</color>提升到2级,1,2,23,150002,3,CityScene,20040,20042,20043,,,
20,8,7,12,创造空间,shopdesign_atlas,jiaju_kuojian,<color=#FFC923>扩建店铺</color>来提升您的店铺空间,<color=#FFC923>扩建店铺</color>来提升您的店铺空间,-1,2,2,10002,10,IndoorScene,10012,20044,20045,,,
21,8,7,3,创造空间,FurnitureIcon_01_atlas,icon_fjj_29001,<color=#FFC923>设计</color>-<color=#FFC923>家具</color>中购买2个<color=#FFC923>初级防具架</color>,店铺内拥有2个<color=#FFC923>初级防具架</color>,29001,2,2,10002,10,IndoorScene,10012,10013,20015,22016,,
22,8,7,3,创造空间,FurnitureIcon_01_atlas,icon_lwqj_28001,<color=#FFC923>设计</color>-<color=#FFC923>家具</color>中购买2个<color=#FFC923>初级冷兵器架</color>,店铺内拥有2个<color=#FFC923>初级冷兵器架</color>,28001,2,2,10002,10,IndoorScene,10012,10013,20015,22016,,
