id,rarity,cumulative_times_min,cumulative_times_max,aptitude_num,probability,profession_id,profession_name,talent_group,cost_gold,cost_diamonds
261,4,50,51,42,10,10001,战士,103,0,0
262,4,50,51,43,9,10001,战士,103,0,0
263,4,50,51,44,8,10001,战士,103,0,0
264,4,50,51,44,7,10001,战士,103,0,0
265,4,50,51,45,6,10001,战士,103,0,0
266,4,50,51,46,5,10001,战士,103,0,0
267,4,50,51,47,4,10001,战士,103,0,0
268,4,50,51,48,3,10001,战士,103,0,0
269,4,50,51,49,2,10001,战士,103,0,0
270,4,50,51,50,1,10001,战士,103,0,0
281,3,50,51,34,200,20001,猎人,202,0,0
282,3,50,51,35,180,20001,猎人,202,0,0
283,3,50,51,36,160,20001,猎人,202,0,0
284,3,50,51,34,140,20001,猎人,202,0,0
285,3,50,51,35,120,20001,猎人,202,0,0
286,3,50,51,36,100,20001,猎人,202,0,0
287,3,50,51,37,80,20001,猎人,202,0,0
288,3,50,51,38,60,20001,猎人,202,0,0
289,3,50,51,39,40,20001,猎人,202,0,0
290,3,50,51,40,20,20001,猎人,202,0,0
291,4,50,51,42,10,20001,猎人,203,0,0
292,4,50,51,43,9,20001,猎人,203,0,0
293,4,50,51,44,8,20001,猎人,203,0,0
294,4,50,51,44,7,20001,猎人,203,0,0
295,4,50,51,45,6,20001,猎人,203,0,0
296,4,50,51,46,5,20001,猎人,203,0,0
297,4,50,51,47,4,20001,猎人,203,0,0
298,4,50,51,48,3,20001,猎人,203,0,0
299,4,50,51,49,2,20001,猎人,203,0,0
300,4,50,51,50,1,20001,猎人,203,0,0
311,3,50,51,34,200,30001,学者,302,0,0
312,3,50,51,35,180,30001,学者,302,0,0
313,3,50,51,36,160,30001,学者,302,0,0
314,3,50,51,34,140,30001,学者,302,0,0
315,3,50,51,35,120,30001,学者,302,0,0
316,3,50,51,36,100,30001,学者,302,0,0
317,3,50,51,37,80,30001,学者,302,0,0
318,3,50,51,38,60,30001,学者,302,0,0
319,3,50,51,39,40,30001,学者,302,0,0
320,3,50,51,40,20,30001,学者,302,0,0
321,4,50,51,42,10,30001,学者,303,0,0
322,4,50,51,43,9,30001,学者,303,0,0
323,4,50,51,44,8,30001,学者,303,0,0
324,4,50,51,44,7,30001,学者,303,0,0
325,4,50,51,45,6,30001,学者,303,0,0
326,4,50,51,46,5,30001,学者,303,0,0
327,4,50,51,47,4,30001,学者,303,0,0
328,4,50,51,48,3,30001,学者,303,0,0
329,4,50,51,49,2,30001,学者,303,0,0
330,4,50,51,50,1,30001,学者,303,0,0
