id,type,if_bullet,vfxname,isLoop,speed,time,desc
2047,2,0,Fx_bullet_aoe,0,,200,橘黄色的弹幕效果
2018,2,0,Fx_bullet_003,0,,200,通用枪口，弓口冒烟特效
2041,2,0,Fx_bullet_007,0,,200,银白色的枪口发射特效
2029,2,0,Fx_bullet_005,0,,200,黄色枪口发射的中型火花特效，做的细长一些，与大型的射击火花有明显区分
2129,2,0,Fx_bullet_005_white,0,,200,白色枪口发射的中型火花特效
2036,2,0,Fx_bullet_006,0,,150,深黄色枪口发射的大型火花特效，比中型的射击火花有明显区分，夸张一些
2014,2,0,Fx_B_heal,0,,8000,治疗释放
2048,2,0,Fx_explor_002,0,,200,橘黄色的爆炸效果
2019,2,0,Fx_eplor,0,,500,橘黄色的蘑菇云型的定点爆发特效
2020,2,0,Fx_crack,0,,500,践踏，地裂特效，有棕褐色的地裂效果
2021,2,0,Fx_wave,0,,1000,蓝色波纹特效
2022,2,0,blade_005,0,,300,大范围长距离白色刀光刀光
2023,2,0,Fx_jiban,0,,1000,粉色或紫色的星星粒子特效
2123,2,0,Fx_jiban_red,0,,1000,红色的星星粒子特效，攻击提升buff
2025,2,0,Fx_B_qianghua,0,,500,黄色烟雾特效叠加黄色十字粒子效果
2125,2,0,Fx_B_qianghua_red,0,,500,红色烟雾特效叠加红色十字粒子效果
2026,2,1,Line_lazer_01,1,,250,橘红色直线激光
2027,2,0,Fx_zhuoshao,0,,200,被灼烧的烟雾粒子特效
2028,2,0,Fx_B_qusan_blue,0,,1000,蓝色聚气
2128,2,0,Fx_B_qusan_green,0,,1000,绿色聚气特效
2228,2,0,Fx_B_qusan_yellow,0,,1000,黄色聚气特效
2030,2,0,Fx_sxkh,0,,1000,红色群体buff（类似魔法阵）的特效，要多一些科技感或写实感，比如多一些六边形元素或者烟雾效果
2031,2,0,Fx_fzyt,0,,200,毒瓶液体爆炸特效
2032,2,0,Fx_jscc,0,,400,蓝色或黄色或银白色的光波特效
2033,2,0,Fx_jscc_h,0,,300,受击特效，颜色与释放特效一致
2034,2,0,Fx_claw,0,,200,银白色或黄色或红色的爪形特效
2038,2,0,Fx_dilei_warning,0,,500,黄色的地雷形状的定点特效
2039,3,1,Fx_scb,0,,250,黄色沙尘粒子特效
2040,2,0,Fx_hxfb,0,,1000,黄褐色的大型群体烟雾效果
2042,2,0,Fx_gunhit_001,0,,200,大一些黄色星星受击特效
2044,2,0,Fx_shenfa,0,,400,从上到下的黄色闪电
2045,1,0,FX_Firer_B,0,,400,燃烧
2050,2,0,Fx_fsfb,0,,1000,白色爆发特效
3000,4,0,ui_fire Variant,0,,1000,怒气值满时，战斗界面的卡牌周边会冒出火焰
3001,4,0,ui_flash_01 Variant,0,,1000,获得奖励，奖励道具的后面有光效和星星四散开的效果
3002,4,0,ui_flash_02 Variant,0,,1000,获得奖励，播放完道具后面的光效爆炸和星星四散开的特效后，道具后面需要循环播放转圈的金光特效
3003,4,0,ui_fx_flare_01 Variant,1,,1000,获得奖励后，高品质后面会有一个绿色（颜色我们可调）光晕效果，光晕中会有绿色（颜色我们可调）的粒子往外随机飞散，特效为循环播放的
3004,4,0,ui_fx_flare_02 Variant,1,,1000,获得道具背景特效
3006,4,0,UI_Skill_F Variant,1,,1000,向上飞的黄色粒子特效，怒气满时的特效
3007,4,0,ui_trail_01 Variant,1,,1000,获得道具的拖尾星星特效
3008,4,0,UI_liuguang_2,1,,1000,制造流光特效
3009,4,0,ui_loading_glow,1,,1000,进度条粒子特效
5001,5,0,Fx_Box_lvup_loop,1,,1000,家具升级特效
5002,5,0,Fx_Sc_fire,1,,1000,场景黑烟特效
3010,4,0,ui_ring_02,0,,700,空点击
3011,4,0,ui_ring_01,1,,1000,引导点击特效
3012,5,0,scene_fire,1,,1000,场景火焰特效
3013,5,0,scene_smoke,1,,1000,场景黑烟特效
3014,2,1,BulletSmallBlue,0,,200,蓝色子弹特效
3015,2,1,FireballMissileGreen,0,,300,绿色子弹特效
3016,2,0,Healing,0,,1500,大范围群体治疗特效
3116,2,0,MagicChargeNone,0,,1500,职业技能聚气特效
3017,2,0,MagicChargeBlue,0,,1000,蓝色聚气特效
3018,2,0,MagicChargeGreen,0,,1000,绿色聚气特效
3019,2,0,MagicChargeYellow,0,,1000,黄色聚气特效
3020,2,0,RoundHitBlue,0,,200,蓝色打击特效
3021,2,0,RoundHitGreen,0,,200,绿色打击特效
3022,2,0,RoundHitRed,0,,200,红色打击特效
3023,2,0,SwordSlashThinGreen,0,,200,绿色刀光
3024,2,0,SwordSlashThinRed,0,,200,红色刀光
3025,5,0,fx_equipEnd_Boom,0,,1000,收取装备特效
6001,2,0,Fx_v_Punch_001,0,,200,空拳攻击特效
6002,2,0,Fx_v_blade_001,0,,200,利刃攻击特效
6003,2,0,Fx_v_gunzi_001,0,,200,棍棒攻击特效
6004,2,0,Fx_v_ bow_001,0,,200,弓箭攻击特效
6005,2,0,Fx_v_handgun_001,0,,200,手枪攻击特效
6006,2,0,Fx_v_gunfire_001,0,,200,步枪攻击特效
6007,2,0,Fx_v_ShootGun_001,0,,200,霰弹枪攻击特效
6008,2,0,Fx_v_snipergun_001,0,,200,狙击枪攻击特效
6009,2,0,Fx_v_machinegun_001,0,,200,重机枪攻击特效
6101,2,0,Fx_v_PunchHit_001,0,,200,空拳击中特效
6102,2,0,Fx_v_bladehit_001,0,,200,利刃击中特效
6103,2,0,Fx_v_bladehit_001,0,,200,棍棒击中特效
6104,2,0,Fx_v_bowhit_001,0,,200,弓箭击中特效
6105,2,0,Fx_v_handgun_hit_001,0,,200,手枪击中特效
6106,2,0,Fx_v_machinetgun_hit_001,0,,200,步枪击中特效
6107,2,0,Fx_v_shootgun_hit_001,0,,200,霰弹枪击中特效
6108,2,0,Fx_v_snipergun_hit_001,0,,200,狙击枪击中特效
6109,2,0,Fx_v_machinetgun_hit_001,0,,200,重机枪击中特效
6201,2,0,Fx_v_clew_001,0,,200,普通怪物空手攻击特效
6202,2,0,Fx_v_clew_002,0,,200,BOSS怪空手攻击特效
6203,2,0,Fx_v_posionsmoke_001,0,,200,BOSS怪释放技能特效
6204,2,0,Fx_v_posion_hit_001,0,,200,BOSS技能群体受击特效
