id,name,type,dec,hero_1,hero_2,hero_3
11049,49,atk,攻击力,1357,1453,1752
11050,50,atk,攻击力,1493,1598,1927
11051,51,atk,攻击力,1642,1758,2120
11052,52,atk,攻击力,1806,1934,2332
11053,53,atk,攻击力,1987,2127,2565
11054,54,atk,攻击力,2186,2340,2822
11055,55,atk,攻击力,2405,2574,3104
12001,1,defend,防御力,2,3,3
12002,2,defend,防御力,4,6,6
12003,3,defend,防御力,6,9,9
12004,4,defend,防御力,8,12,12
12005,5,defend,防御力,10,15,15
12006,6,defend,防御力,12,18,18
12007,7,defend,防御力,14,21,21
12008,8,defend,防御力,16,24,24
12009,9,defend,防御力,18,27,27
12010,10,defend,防御力,20,30,30
12011,11,defend,防御力,22,33,33
12012,12,defend,防御力,24,36,36
12013,13,defend,防御力,26,39,39
12014,14,defend,防御力,28,42,42
12015,15,defend,防御力,30,45,45
12016,16,defend,防御力,32,48,48
12017,17,defend,防御力,34,51,51
12018,18,defend,防御力,36,54,54
12019,19,defend,防御力,38,57,57
12020,20,defend,防御力,40,60,60
12021,21,defend,防御力,42,63,63
12022,22,defend,防御力,44,66,66
12023,23,defend,防御力,46,69,69
12024,24,defend,防御力,48,72,72
12025,25,defend,防御力,50,75,75
12026,26,defend,防御力,52,78,78
12027,27,defend,防御力,54,81,81
12028,28,defend,防御力,56,84,84
12029,29,defend,防御力,58,87,87
12030,30,defend,防御力,60,90,90
12031,31,defend,防御力,62,93,93
12032,32,defend,防御力,64,96,96
12033,33,defend,防御力,66,99,99
12034,34,defend,防御力,68,102,102
12035,35,defend,防御力,70,105,105
12036,36,defend,防御力,72,108,108
12037,37,defend,防御力,74,111,111
12038,38,defend,防御力,76,114,114
12039,39,defend,防御力,78,117,117
12040,40,defend,防御力,80,120,120
12041,41,defend,防御力,82,123,123
12042,42,defend,防御力,84,126,126
12043,43,defend,防御力,86,129,129
12044,44,defend,防御力,88,132,132
12045,45,defend,防御力,90,135,135
12046,46,defend,防御力,92,138,138
12047,47,defend,防御力,94,141,141
12048,48,defend,防御力,96,144,144
12049,49,defend,防御力,98,147,147
12050,50,defend,防御力,100,150,150
12051,51,defend,防御力,102,153,153
12052,52,defend,防御力,104,156,156
12053,53,defend,防御力,106,159,159
12054,54,defend,防御力,108,162,162
12055,55,defend,防御力,110,165,165
13001,1,hit,命中,81,85,90
13002,2,hit,命中,81,85,90
13003,3,hit,命中,81,85,90
13004,4,hit,命中,81,85,90
13005,5,hit,命中,81,85,90
13006,6,hit,命中,81,85,90
13007,7,hit,命中,81,85,90
13008,8,hit,命中,81,85,90
13009,9,hit,命中,81,85,90
13010,10,hit,命中,81,85,90
13011,11,hit,命中,81,85,90
13012,12,hit,命中,81,85,90
13013,13,hit,命中,81,85,90
13014,14,hit,命中,81,85,90
13015,15,hit,命中,81,85,90
13016,16,hit,命中,81,85,90
13017,17,hit,命中,81,85,90
13018,18,hit,命中,81,85,90
13019,19,hit,命中,81,85,90
13020,20,hit,命中,81,85,90
13021,21,hit,命中,81,85,90
13022,22,hit,命中,81,85,90
13023,23,hit,命中,81,85,90
13024,24,hit,命中,81,85,90
13025,25,hit,命中,81,85,90
13026,26,hit,命中,81,85,90
13027,27,hit,命中,81,85,90
13028,28,hit,命中,81,85,90
13029,29,hit,命中,81,85,90
13030,30,hit,命中,81,85,90
13031,31,hit,命中,81,85,90
13032,32,hit,命中,81,85,90
13033,33,hit,命中,81,85,90
13034,34,hit,命中,81,85,90
13035,35,hit,命中,81,85,90
13036,36,hit,命中,81,85,90
13037,37,hit,命中,81,85,90
13038,38,hit,命中,81,85,90
13039,39,hit,命中,81,85,90
13040,40,hit,命中,81,85,90
13041,41,hit,命中,81,85,90
13042,42,hit,命中,81,85,90
13043,43,hit,命中,81,85,90
13044,44,hit,命中,81,85,90
13045,45,hit,命中,81,85,90
13046,46,hit,命中,81,85,90
13047,47,hit,命中,81,85,90
13048,48,hit,命中,81,85,90
13049,49,hit,命中,81,85,90
13050,50,hit,命中,81,85,90
13051,51,hit,命中,81,85,90
13052,52,hit,命中,81,85,90
13053,53,hit,命中,81,85,90
13054,54,hit,命中,81,85,90
13055,55,hit,命中,81,85,90
14001,1,miss,闪避,0,0,0
14002,2,miss,闪避,1,1,1
14003,3,miss,闪避,2,2,2
14004,4,miss,闪避,3,3,3
14005,5,miss,闪避,4,4,4
14006,6,miss,闪避,5,5,5
14007,7,miss,闪避,6,6,6
14008,8,miss,闪避,7,7,7
14009,9,miss,闪避,8,8,8
14010,10,miss,闪避,9,9,9
14011,11,miss,闪避,10,10,10
14012,12,miss,闪避,11,11,11
14013,13,miss,闪避,12,12,12
14014,14,miss,闪避,13,13,13
14015,15,miss,闪避,14,14,14
14016,16,miss,闪避,15,15,15
14017,17,miss,闪避,16,16,16
14018,18,miss,闪避,17,17,17
14019,19,miss,闪避,18,18,18
14020,20,miss,闪避,19,19,19
14021,21,miss,闪避,20,20,20
14022,22,miss,闪避,21,21,21
14023,23,miss,闪避,22,22,22
14024,24,miss,闪避,23,23,23
14025,25,miss,闪避,24,24,24
14026,26,miss,闪避,25,25,25
14027,27,miss,闪避,26,26,26
14028,28,miss,闪避,27,27,27
14029,29,miss,闪避,28,28,28
14030,30,miss,闪避,29,29,29
14031,31,miss,闪避,30,30,30
14032,32,miss,闪避,31,31,31
14033,33,miss,闪避,32,32,32
14034,34,miss,闪避,33,33,33
14035,35,miss,闪避,34,34,34
14036,36,miss,闪避,35,35,35
14037,37,miss,闪避,36,36,36
14038,38,miss,闪避,37,37,37
14039,39,miss,闪避,38,38,38
14040,40,miss,闪避,39,39,39
14041,41,miss,闪避,40,40,40
14042,42,miss,闪避,41,41,41
14043,43,miss,闪避,42,42,42
14044,44,miss,闪避,43,43,43
14045,45,miss,闪避,44,44,44
14046,46,miss,闪避,45,45,45
14047,47,miss,闪避,46,46,46
14048,48,miss,闪避,47,47,47
14049,49,miss,闪避,48,48,48
14050,50,miss,闪避,49,49,49
14051,51,miss,闪避,50,50,50
14052,52,miss,闪避,51,51,51
14053,53,miss,闪避,52,52,52
14054,54,miss,闪避,53,53,53
14055,55,miss,闪避,54,54,54
15001,1,power,总战力,4.8,6.7,7.3
15002,2,power,总战力,8.8,9.2,12.2
15003,3,power,总战力,12.8,13.5,16.5
15004,4,power,总战力,16.8,17.8,20.8
15005,5,power,总战力,20.8,22.1,26.7
15006,6,power,总战力,24.8,26.4,32.6
15007,7,power,总战力,28.8,30.7,38.5
15008,8,power,总战力,32.8,36.6,44.4
15009,9,power,总战力,38.4,42.5,50.3
15010,10,power,总战力,44,48.4,56.2
15011,11,power,总战力,49.6,54.3,62.1
15012,12,power,总战力,55.2,60.2,68
15013,13,power,总战力,60.8,66.1,73.9
15014,14,power,总战力,66.4,72,79.8
15015,15,power,总战力,72,77.9,85.7
15016,16,power,总战力,77.6,83.8,91.6
15017,17,power,总战力,83.2,89.7,97.5
15018,18,power,总战力,88.8,95.6,103.4
15019,19,power,总战力,94.4,101.5,109.3
15020,20,power,总战力,100,107.4,115.2
15021,21,power,总战力,115,123.5,132.9
15022,22,power,总战力,122.5,131.7,141.9
15023,23,power,总战力,130.7,140.3,151.6
15024,24,power,总战力,139.3,149.6,161.7
15025,25,power,总战力,148.6,159.6,172.9
15026,26,power,总战力,158.3,170,184.8
15027,27,power,总战力,169.1,181.5,197.5
15028,28,power,总战力,180.6,193.7,211.3
15029,29,power,总战力,193.2,206.7,226.2
15030,30,power,总战力,206.6,220.8,242.2
15031,31,power,总战力,221.1,236,259.4
15032,32,power,总战力,236.7,252.3,278.1
15033,33,power,总战力,253.4,270.1,298.3
15034,34,power,总战力,271.6,289.4,320
15035,35,power,总战力,291.3,310.2,343.6
15036,36,power,总战力,312.5,332.5,369.1
15037,37,power,总战力,335.2,356.7,396.5
15038,38,power,总战力,359.8,382.8,426.2
15039,39,power,总战力,386.3,411.2,458.9
15040,40,power,总战力,415.4,441.9,494.3
15041,41,power,总战力,455.1,483.9,543
15042,42,power,总战力,491.4,522.5,587.5
15043,43,power,总战力,531.4,564.5,635.8
15044,44,power,总战力,574.8,609.9,688.3
15045,45,power,总战力,621.6,659.4,745.7
15046,46,power,总战力,672.9,713.1,808.1
15047,47,power,总战力,728.4,771.7,876.2
15048,48,power,总战力,788.8,835.6,950.4
15049,49,power,总战力,854.5,905.2,1031.1
15050,50,power,总战力,926.3,980.9,1119.1
15051,51,power,总战力,1004.5,1063.5,1215.5
15052,52,power,总战力,1089.6,1153.7,1320.4
15053,53,power,总战力,1182.7,1251.9,1434.9
15054,54,power,总战力,1284.2,1359.3,1560.2
15055,55,power,总战力,1394.9,1476.3,1697
